gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_relevance_score,thyroid_disease_rank,hypertension_disease_relevance_score,hypertension_disease_rank,thyroid_disease_id,hypertension_disease_id,branch_evidence_note
CYP2D6,1565,True,False,True,2,3,1,0,mixed,True,True,True,True,False,True,False,10,True,True,shared,0.002771848910135263,1567,0.02671192734994403,730,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
DNMT1,1786,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0025870589827929123,1610,0.01074467615837451,1697,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
EDN1,1906,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.016776256214846075,660,0.06552496573646582,244,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
EGFR,1956,False,False,True,1,1,1,0,consistent:decreases;increases,True,False,False,False,False,True,False,1,True,True,shared,0.019715506816504885,622,0.04470924981378032,383,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
EIF4E,1977,False,False,True,1,1,1,0,consistent:affects;increases,True,False,False,False,False,False,False,2,True,False,thyroid-specific,0.0022174791281082107,1712,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ELN,2006,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0014783194187388072,2019,0.030302789574825365,628,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ENO1,2023,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,True,True,shared,0.0036957985468470188,1444,0.0022174791281082107,4299,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
EPAS1,2034,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.004434958256216422,1204,0.01857211667783077,1078,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ESR1,2099,True,False,True,2,14,1,0,mixed,True,True,True,True,False,True,False,57,True,True,shared,0.01627166308862724,666,0.095583008339471,136,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ESR2,2100,True,False,True,1,4,1,0,mixed,False,True,True,True,False,True,False,16,True,True,shared,0.0030182354799250647,1499,0.04477127457207459,380,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
