gene,READ_delta,COAD_delta,READ_p,COAD_p,READ_q,COAD_q,READ_direction,COAD_direction,direction_concordant,READ_FDR_positive,COAD_FDR_positive,shared_FDR_positive
PTGER4,-1.9155000000000009,-1.6399999999999997,1.5905226189097468e-06,9.311908362228188e-22,1.822868382902592e-05,1.9089412142567784e-20,down,down,True,True,True,True
PTGES2,0.3034999999999996,0.3734999999999999,0.0085978925742593,4.896452919785818e-08,0.0251795425389022,1.1809092335954033e-07,up,up,True,True,True,True
PTGS1,-2.9659999999999997,-2.114,1.9487602794160187e-05,7.265735273315512e-20,0.0001141416735086,6.357969829294745e-19,down,down,True,True,True,True
PTGS2,-1.7115,0.8569000000000002,0.2220825898075989,0.1118505007152639,0.3251923636468414,0.1348785449801713,down,up,False,False,False,False
RELA,0.1819999999999995,0.2155000000000004,0.141947115070424,0.0007582195163375,0.2424929882453077,0.0012952916737432,up,up,True,False,True,False
RXRA,-0.8729999999999993,-0.9759999999999992,0.0002969438586047,4.3558637040894944e-18,0.0013527442447551,2.9765068644611543e-17,down,down,True,True,True,True
SELE,1.01895,1.6652,0.2095443468198287,0.0002044504034242,0.3244912358182934,0.0003644550669736,up,up,True,False,True,False
SIRT1,-0.4170000000000002,-0.0610000000000003,0.0160297680137366,0.3883987815164667,0.0386600287390118,0.419061843215135,down,down,True,True,False,False
SQSTM1,0.3170000000000001,0.1254999999999988,0.1645918939092723,0.1052858750006741,0.2699307060112066,0.130809723485686,up,up,True,False,False,False
STAT3,-0.2350000000000003,-0.1959999999999997,0.2487222543120251,0.0134455887130422,0.3516418078204493,0.0183756379078243,down,down,True,False,True,False
TIMP1,1.621000000000001,2.3999999999999995,7.155309746674163e-07,7.753621743042372e-20,1.4668384980682034e-05,6.357969829294745e-19,up,up,True,True,True,True
TIMP2,-1.137999999999999,-0.3685,0.0192484862573663,0.0029345493280668,0.04384377425289,0.0046275585557976,down,down,True,True,True,True
