run_id,size_scale,size_x,size_y,size_z,exhaustiveness,seed,it1t_affinity_kcal_mol,it1t_rmsd_A,qc_pass_lt2A,resumed_from_cache,pose
24,0.9,21.97605638207343,21.97605638207343,21.97605638207343,64,3002,-6.413,2.692264371814594,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.90_e64_seed3002.pdbqt
25,0.9,21.97605638207343,21.97605638207343,21.97605638207343,128,590836,-6.409,2.6009707619423907,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.90_e128_seed590836.pdbqt
26,0.9,21.97605638207343,21.97605638207343,21.97605638207343,128,3001,-6.394,2.6249036747530177,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.90_e128_seed3001.pdbqt
27,0.9,21.97605638207343,21.97605638207343,21.97605638207343,128,3002,-6.462,2.054437087459892,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.90_e128_seed3002.pdbqt
28,1.0,24.417840424526034,24.417840424526034,24.417840424526034,32,590836,-6.322,2.426543182231423,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s1.00_e32_seed590836.pdbqt
29,1.0,24.417840424526034,24.417840424526034,24.417840424526034,32,3001,-6.287,2.8820171750177384,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s1.00_e32_seed3001.pdbqt
30,1.0,24.417840424526034,24.417840424526034,24.417840424526034,32,3002,-6.371,2.5274744615784357,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s1.00_e32_seed3002.pdbqt
31,1.0,24.417840424526034,24.417840424526034,24.417840424526034,64,590836,-6.38,2.5566205078232707,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s1.00_e64_seed590836.pdbqt
32,1.0,24.417840424526034,24.417840424526034,24.417840424526034,64,3001,-6.379,2.5328226934614557,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s1.00_e64_seed3001.pdbqt
33,1.0,24.417840424526034,24.417840424526034,24.417840424526034,64,3002,-6.371,2.5274744615784357,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s1.00_e64_seed3002.pdbqt
34,1.0,24.417840424526034,24.417840424526034,24.417840424526034,128,590836,-6.025,2.9057955090091347,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s1.00_e128_seed590836.pdbqt
35,1.0,24.417840424526034,24.417840424526034,24.417840424526034,128,3001,-6.379,2.5328226934614557,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s1.00_e128_seed3001.pdbqt
36,1.0,24.417840424526034,24.417840424526034,24.417840424526034,128,3002,-6.255,2.614939058743864,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s1.00_e128_seed3002.pdbqt
