donor_id,gene_symbol,tumor_mean,normal_mean,tumor_minus_normal
C139,ADAMTS1,0.0,0.0,0.0
C140,ADAMTS1,0.0,0.0,0.0
C142,ADAMTS1,0.0,0.0,0.0
C143,ADAMTS1,0.0,0.0,0.0
C151,ADAMTS1,0.0,0.0,0.0
C155,ADAMTS1,0.004407775122672319,0.0,0.004407775122672319
C157,ADAMTS1,0.01786448061466217,0.056077003479003906,-0.038212522864341736
C162,ADAMTS1,0.007274380885064602,0.0,0.007274380885064602
C165,ADAMTS1,0.0008561632712371647,0.0,0.0008561632712371647
C170,ADAMTS1,0.0021437339019030333,0.0,0.0021437339019030333
C106,AHSG,0.0,0.0,0.0
C107,AHSG,0.0,0.0,0.0
C109,AHSG,0.0,0.0,0.0
C110,AHSG,0.0,0.0,0.0
C111,AHSG,0.0,0.0,0.0
C112,AHSG,0.0,0.0,0.0
C113,AHSG,0.0,0.0,0.0
C114,AHSG,0.0,0.0,0.0
C115,AHSG,0.0,0.0,0.0
C116,AHSG,0.0,0.0,0.0
C119,AHSG,0.0,0.0,0.0
C122,AHSG,0.0,0.0,0.0
C123,AHSG,0.0,0.0,0.0
C124,AHSG,0.0,0.0,0.0
C125,AHSG,0.0,0.0,0.0
C126,AHSG,0.0,0.0,0.0
C129,AHSG,0.0,0.0,0.0
C130,AHSG,0.0,0.0,0.0
C132,AHSG,0.0,0.0,0.0
C133,AHSG,0.0,0.0,0.0
C134,AHSG,0.0,0.0,0.0
C135,AHSG,0.0,0.0,0.0
C136,AHSG,0.0,0.0,0.0
C137,AHSG,0.0,0.0,0.0
C138,AHSG,0.0,0.0,0.0
C139,AHSG,0.0,0.0,0.0
C140,AHSG,0.0,0.0,0.0
C142,AHSG,0.0,0.0,0.0
C143,AHSG,0.0,0.0,0.0
C151,AHSG,0.0,0.0,0.0
C155,AHSG,0.0,0.0,0.0
C157,AHSG,0.0,0.0,0.0
C162,AHSG,0.0,0.0,0.0
C165,AHSG,0.0,0.0,0.0
C170,AHSG,0.0,0.0,0.0
C106,AKR1C1,0.0,0.0,0.0
C107,AKR1C1,0.0,0.0,0.0
C109,AKR1C1,0.0,0.0,0.0
C110,AKR1C1,0.0,0.0,0.0
C111,AKR1C1,0.006486338097602129,0.0,0.006486338097602129
C112,AKR1C1,0.0003999951295554638,0.0,0.0003999951295554638
C113,AKR1C1,0.0,0.0,0.0
C114,AKR1C1,0.0,0.0,0.0
C115,AKR1C1,0.0,0.0,0.0
C116,AKR1C1,0.002014659345149994,0.0,0.002014659345149994
C119,AKR1C1,0.0,0.0,0.0
C122,AKR1C1,0.02097080647945404,0.0,0.02097080647945404
C123,AKR1C1,0.0024667815305292606,0.0,0.0024667815305292606
C124,AKR1C1,0.020128903910517693,0.06567154824733734,-0.04554264433681965
C125,AKR1C1,0.0007416591979563236,0.0,0.0007416591979563236
C126,AKR1C1,0.0,0.0,0.0
C129,AKR1C1,0.0,0.0,0.0
C130,AKR1C1,0.012865862809121609,0.0,0.012865862809121609
C132,AKR1C1,0.014646121300756931,0.0,0.014646121300756931
C133,AKR1C1,0.008582446724176407,0.0,0.008582446724176407
C134,AKR1C1,0.016366876661777496,0.0,0.016366876661777496
C135,AKR1C1,0.0,0.0,0.0
C136,AKR1C1,0.0,0.0,0.0
C137,AKR1C1,0.005839986726641655,0.0,0.005839986726641655
C138,AKR1C1,0.0,0.0,0.0
C139,AKR1C1,0.0,0.0,0.0
C140,AKR1C1,0.005332957487553358,0.0,0.005332957487553358
C142,AKR1C1,0.0,0.0,0.0
C143,AKR1C1,0.0,0.0,0.0
C151,AKR1C1,0.0,0.0,0.0
C155,AKR1C1,0.00945055577903986,0.0,0.00945055577903986
C157,AKR1C1,0.006649964954704046,0.017086932435631752,-0.010436967480927706
C162,AKR1C1,0.0027458458207547665,0.0,0.0027458458207547665
C165,AKR1C1,0.008187486790120602,0.0,0.008187486790120602
C170,AKR1C1,0.004826865158975124,0.0,0.004826865158975124
C106,AKR1C3,0.06009145453572273,0.09905028343200684,-0.0389588288962841
C107,AKR1C3,0.021288491785526276,0.0,0.021288491785526276
C109,AKR1C3,0.0,0.0,0.0
C110,AKR1C3,0.025640198960900307,0.0,0.025640198960900307
C111,AKR1C3,0.007949607446789742,0.0,0.007949607446789742
C112,AKR1C3,0.027202771976590157,0.0,0.027202771976590157
C113,AKR1C3,0.0,0.0,0.0
C114,AKR1C3,0.009497370570898056,0.0,0.009497370570898056
C115,AKR1C3,0.014714963734149933,0.0,0.014714963734149933
C116,AKR1C3,0.0,0.0,0.0
C119,AKR1C3,0.0,0.0,0.0
C122,AKR1C3,0.024979012086987495,0.027506228536367416,-0.002527216449379921
C123,AKR1C3,0.020631659775972366,0.08698425441980362,-0.06635259464383125
C124,AKR1C3,0.02989432029426098,0.0,0.02989432029426098
C125,AKR1C3,0.006044694688171148,0.0,0.006044694688171148
C126,AKR1C3,0.027216056361794472,0.013668393716216087,0.013547662645578384
C129,AKR1C3,0.02352355420589447,0.0,0.02352355420589447
C130,AKR1C3,0.0,0.0,0.0
C132,AKR1C3,0.0045212130062282085,0.0,0.0045212130062282085
C133,AKR1C3,0.05214853584766388,0.0,0.05214853584766388
C134,AKR1C3,0.045034538954496384,0.00927564688026905,0.03575889207422733
C135,AKR1C3,0.008986108936369419,0.0,0.008986108936369419
C136,AKR1C3,0.0021924853790551424,0.04939242824912071,-0.04719994287006557
C137,AKR1C3,0.015156562440097332,0.0,0.015156562440097332
C138,AKR1C3,0.0,0.0,0.0
C139,AKR1C3,0.012814502231776714,0.0,0.012814502231776714
C140,AKR1C3,0.026396073400974274,0.0,0.026396073400974274
C142,AKR1C3,0.0,0.0,0.0
C143,AKR1C3,0.01603432558476925,1.1557756662368774,-1.1397413406521082
C151,AKR1C3,0.0,0.0,0.0
C155,AKR1C3,0.16818568110466003,0.0,0.16818568110466003
C157,AKR1C3,0.040797941386699677,0.0,0.040797941386699677
C162,AKR1C3,0.018363451585173607,0.0,0.018363451585173607
C165,AKR1C3,0.08469338715076447,0.0,0.08469338715076447
C170,AKR1C3,0.015878135338425636,0.0,0.015878135338425636
C106,ATF4,0.3838200867176056,0.39910849928855896,-0.01528841257095337
C107,ATF4,0.7514119148254395,1.387116551399231,-0.6357046365737915
C109,ATF4,0.43865853548049927,0.0,0.43865853548049927
C110,ATF4,0.4713394045829773,0.02994507923722267,0.4413943253457546
C111,ATF4,0.5991421937942505,0.24322500824928284,0.35591718554496765
C112,ATF4,0.6541770100593567,0.3924297094345093,0.2617473006248474
C113,ATF4,0.5005021691322327,0.25653722882270813,0.24396494030952454
C114,ATF4,0.3720555305480957,0.4606274962425232,-0.08857196569442749
C115,ATF4,0.657708466053009,0.2125643938779831,0.44514407217502594
C116,ATF4,0.365190327167511,0.2553876042366028,0.1098027229309082
C119,ATF4,0.7467442750930786,0.0,0.7467442750930786
C122,ATF4,0.4768507480621338,0.13793525099754333,0.33891549706459045
C123,ATF4,0.44709357619285583,0.3080933690071106,0.13900020718574524
C124,ATF4,0.5970408916473389,1.1994585990905762,-0.6024177074432373
C125,ATF4,0.6263120174407959,0.8052636384963989,-0.17895162105560303
C126,ATF4,0.5213087797164917,0.2692265808582306,0.2520821988582611
C129,ATF4,0.8155505061149597,0.452609658241272,0.36294084787368774
C130,ATF4,0.5088226199150085,0.8795031905174255,-0.370680570602417
C132,ATF4,0.49984005093574524,0.0,0.49984005093574524
C133,ATF4,0.6673939824104309,0.3659266531467438,0.30146732926368713
C134,ATF4,0.6254162788391113,0.4921107590198517,0.13330551981925964
C135,ATF4,0.45318910479545593,0.688662588596344,-0.23547348380088806
C136,ATF4,0.656832218170166,0.6791739463806152,-0.02234172821044922
C137,ATF4,0.41927453875541687,0.3243260979652405,0.09494844079017639
