branch_class,gene_symbol,string_id,string_preferred_name,mapped_to_STRING,degree,weighted_degree,degree_centrality,degree_rank,betweenness_centrality,betweenness_rank,closeness_centrality,pagerank,pagerank_rank,core_number,network_central_top10pct_any,network_top10pct_n,network_nodes_total,accessed_at_utc,source_database
thyroid-branch,CYP2D6,9606.ENSP00000496150,CYP2D6,True,5,4.086,0.022935779816513763,112,0.0074092877790055646,44,0.3007574958698021,0.003199258740452146,111,4,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,DNMT1,9606.ENSP00000352516,DNMT1,True,6,5.361,0.027522935779816515,100,0.015516002198452627,22,0.3390829651059108,0.00463472877585045,78,4,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,EDN1,9606.ENSP00000368683,EDN1,True,11,8.643,0.05045871559633028,67,0.002135111839455729,74,0.3203988017225239,0.004854225926617591,72,8,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,EGFR,9606.ENSP00000275493,EGFR,True,58,48.788,0.26605504587155965,3,0.08999245498962521,2,0.4700461462396308,0.023266710125352353,2,13,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,EIF4E,9606.ENSP00000425561,EIF4E,True,3,2.325,0.013761467889908258,136,0.0,170,0.316523009766203,0.0016476345245944818,164,3,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,ELN,9606.ENSP00000351807,ELN,True,7,5.6,0.03211009174311927,89,0.0015111148212786736,82,0.30307994757536044,0.004011952662846107,88,5,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,ENO1,9606.ENSP00000495530,ENO1,True,8,6.429,0.03669724770642202,79,0.009628519371531603,35,0.33762454375061657,0.004448784653772619,81,6,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,EPAS1,9606.ENSP00000263734,EPAS1,True,9,7.306,0.04128440366972477,74,4.7733050115926564e-05,142,0.3559986685805821,0.003661043368293185,93,9,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,ESR1,9606.ENSP00000405330,ESR1,True,39,34.898,0.17889908256880735,11,0.05310513554197264,5,0.43368898575700743,0.01619001385350207,7,13,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,ESR2,9606.ENSP00000343925,ESR2,True,10,8.811,0.045871559633027525,71,0.0007358594104288002,103,0.357620530396439,0.0043356438505653535,83,9,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
