branch_class,status,source,native_id,term_name,description,intersection_size,term_size,effective_domain_size,query_size_mappable,p_value_corrected,significant_g_scs,precision,recall,source_order,group_id,branch_n_genes,branch_exact_2NAP_human_n,branch_exact_2NAP_experimental_n,branch_parent_naphthalene_n,branch_multi_source_ge2_n,branch_CTD_n,branch_toxicogenomic_n,branch_bioassay_target_n,background_n_genes,background_definition,multiple_testing,accessed_at_utc,source_database,error
thyroid-specific,OK,GO:BP,GO:0000278,mitotic cell cycle,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]",5,83,682,30,1.0,False,0.16666666666666666,0.060240963855421686,75,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000280,nuclear division,"""The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."" [GOC:mah]",1,33,682,30,1.0,False,0.03333333333333333,0.030303030303030304,77,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000281,mitotic cytokinesis,"""A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells."" [GOC:mtg_cell_cycle]",1,7,682,30,1.0,False,0.03333333333333333,0.14285714285714285,78,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000302,response to reactive oxygen species,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals."" [GOC:krc]",1,30,682,30,1.0,False,0.03333333333333333,0.03333333333333333,87,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000303,response to superoxide,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a superoxide stimulus. Superoxide is the anion, oxygen-, formed by addition of one electron to dioxygen (O2) or any compound containing the superoxide anion."" [GOC:krc, ISBN:0198506732]",1,5,682,30,1.0,False,0.03333333333333333,0.2,88,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000305,response to oxygen radical,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen radical stimulus. An oxygen radical is any oxygen species that carries a free electron; examples include hydroxyl radicals and the superoxide anion."" [GOC:krc, ISBN:0124325653]",1,5,682,30,1.0,False,0.03333333333333333,0.2,90,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000375,"RNA splicing, via transesterification reactions","""Splicing of RNA via a series of two transesterification reactions."" [GOC:krc]",1,6,682,30,1.0,False,0.03333333333333333,0.16666666666666666,106,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","""Splicing of RNA via a series of two transesterification reactions with a bulged adenosine residue from the intron branch point as the initiating nucleophile. When the initial RNA for the splicing reaction is a single molecule (cis splicing), the excised intron is released in a lariat structure."" [GOC:krc, PMID:11377794]",1,6,682,30,1.0,False,0.03333333333333333,0.16666666666666666,108,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000395,mRNA 5'-splice site recognition,"""Recognition of the intron 5'-splice site by components of the assembling spliceosome."" [GOC:krc, ISBN:0879695897]",1,1,682,30,1.0,False,0.03333333333333333,1.0,119,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000398,"mRNA splicing, via spliceosome","""The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."" [GOC:krc, ISBN:0198506732, ISBN:0879695897]",1,6,682,30,1.0,False,0.03333333333333333,0.16666666666666666,120,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000422,autophagy of mitochondrion,"""The autophagic process in which mitochondria are delivered to a type of vacuole and degraded in response to changing cellular conditions."" [GOC:autophagy, PMID:15798367, PMID:19289147, PMID:23065344]",1,9,682,30,1.0,False,0.03333333333333333,0.1111111111111111,125,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000423,mitophagy,"""The selective autophagy process in which a mitochondrion is degraded by macroautophagy."" [PMID:15798367]",1,9,682,30,1.0,False,0.03333333333333333,0.1111111111111111,126,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000724,double-strand break repair via homologous recombination,"""The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule."" [GOC:elh, PMID:10357855]",1,18,682,30,1.0,False,0.03333333333333333,0.05555555555555555,200,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000725,recombinational repair,"""A DNA repair process that involves the exchange, reciprocal or nonreciprocal, of genetic material between the broken DNA molecule and a homologous DNA region."" [GOC:elh]",1,18,682,30,1.0,False,0.03333333333333333,0.05555555555555555,201,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000729,DNA double-strand break processing,"""The 5' to 3' exonucleolytic resection of the DNA at the site of the break to form a 3' single-strand DNA overhang."" [PMID:10357855]",1,5,682,30,1.0,False,0.03333333333333333,0.2,203,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000819,sister chromatid segregation,"""The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."" [GOC:ai, GOC:elh]",1,22,682,30,1.0,False,0.03333333333333333,0.045454545454545456,229,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000902,cell morphogenesis,"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]",2,53,682,30,1.0,False,0.06666666666666667,0.03773584905660377,230,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000910,cytokinesis,"""The division of the cytoplasm and the plasma membrane of a cell and its partitioning into two daughter cells."" [GOC:mtg_cell_cycle]",1,12,682,30,1.0,False,0.03333333333333333,0.08333333333333333,233,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001501,skeletal system development,"""The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton)."" [GOC:dph, GOC:jid, GOC:tb]",3,35,682,30,1.0,False,0.1,0.08571428571428572,306,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001503,ossification,"""The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."" [GOC:mtg_mpo, PMID:17572649]",1,44,682,30,1.0,False,0.03333333333333333,0.022727272727272728,308,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001525,angiogenesis,"""Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels."" [ISBN:0878932453]",1,50,682,30,1.0,False,0.03333333333333333,0.02,318,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001541,ovarian follicle development,"""The process whose specific outcome is the progression of the ovarian follicle over time, from its formation to the mature structure."" [https://www.ncbi.nlm.nih.gov/books/NBK279054/]",1,9,682,30,1.0,False,0.03333333333333333,0.1111111111111111,320,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001545,primary ovarian follicle growth,"""Increase in size of primary follicles including oocyte growth and granulosa and/or theca cell proliferation until more than one layer of granulosa cells is present (preantral follicle)."" [GOC:mtg_mpo, https://www.ncbi.nlm.nih.gov/books/NBK279054/]",1,1,682,30,1.0,False,0.03333333333333333,1.0,324,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001553,luteinization,"""The set of processes resulting in differentiation of theca and granulosa cells into luteal cells and in the formation of a corpus luteum after ovulation."" [https://www.ncbi.nlm.nih.gov/books/NBK279054/]",1,1,682,30,1.0,False,0.03333333333333333,1.0,332,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001568,blood vessel development,"""The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."" [GOC:hjd, UBERON:0001981]",1,70,682,30,1.0,False,0.03333333333333333,0.014285714285714285,341,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001649,osteoblast differentiation,"""The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone."" [CL:0000062, GO_REF:0000034, GOC:jid]",1,29,682,30,1.0,False,0.03333333333333333,0.034482758620689655,354,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001655,urogenital system development,"""The process whose specific outcome is the progression of the urogenital system over time, from its formation to the mature structure."" [GOC:go_curators]",1,11,682,30,1.0,False,0.03333333333333333,0.09090909090909091,356,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001659,temperature homeostasis,"""A homeostatic process in which an organism modulates its internal body temperature."" [GOC:jl]",1,24,682,30,1.0,False,0.03333333333333333,0.041666666666666664,360,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001662,behavioral fear response,"""An acute behavioral change resulting from a perceived external threat."" [GOC:dph, PMID:9920659]",1,5,682,30,1.0,False,0.03333333333333333,0.2,363,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001667,ameboidal-type cell migration,"""Cell migration that is accomplished by extension and retraction of a pseudopodium."" [GOC:dph]",1,20,682,30,1.0,False,0.03333333333333333,0.05,365,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001701,in utero embryonic development,"""The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus."" [GOC:go_curators, GOC:mtg_sensu]",3,36,682,30,1.0,False,0.1,0.08333333333333333,380,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001704,formation of primary germ layer,"""The formation of the ectoderm, mesoderm and endoderm during gastrulation."" [GOC:go_curators]",2,14,682,30,1.0,False,0.06666666666666667,0.14285714285714285,383,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001706,endoderm formation,"""The formation of the endoderm during gastrulation."" [GOC:go_curators]",1,10,682,30,1.0,False,0.03333333333333333,0.1,385,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001707,mesoderm formation,"""The process that gives rise to the mesoderm. This process pertains to the initial formation of the structure from unspecified parts."" [GOC:go_curators]",1,5,682,30,1.0,False,0.03333333333333333,0.2,386,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001708,cell fate specification,"""The cellular developmental process involved in cell fate commitment in which the cell is designated to follow a developmental path, unless they receive extrinsic cues that direct an alternative fate."" [GOC:go_curators]",1,9,682,30,1.0,False,0.03333333333333333,0.1111111111111111,387,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001736,establishment of planar polarity,"""Coordinated organization of groups of cells in the plane of an epithelium, such that they all orient to similar coordinates."" [GOC:dph]",1,3,682,30,1.0,False,0.03333333333333333,0.3333333333333333,399,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001738,morphogenesis of a polarized epithelium,"""The morphogenetic process in which the anatomical structures of a polarized epithelium are generated and organized. A polarized epithelium is an epithelium where the epithelial sheet is oriented with respect to the planar axis."" [GOC:dph]",1,7,682,30,1.0,False,0.03333333333333333,0.14285714285714285,401,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001756,somitogenesis,"""The formation of mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo."" [ISBN:0721662544]",1,7,682,30,1.0,False,0.03333333333333333,0.14285714285714285,412,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001763,morphogenesis of a branching structure,"""The process in which the anatomical structures of branches are generated and organized. A branch is a division or offshoot from a main stem. Examples in animals would include blood vessels, nerves, lymphatics and other endothelial or epithelial tubes."" [ISBN:0721662544]",1,21,682,30,1.0,False,0.03333333333333333,0.047619047619047616,416,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001775,cell activation,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",7,100,682,30,1.0,False,0.23333333333333334,0.07,427,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001776,leukocyte homeostasis,"""The process of regulating the proliferation and elimination of cells of the immune system such that the total number of cells of a particular cell type within a whole or part of an organism is stable over time in the absence of an outside stimulus."" [GOC:add, ISBN:0781735149]",1,18,682,30,1.0,False,0.03333333333333333,0.05555555555555555,428,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001779,natural killer cell differentiation,"""The process in which a relatively unspecialized cell acquires the specialized features of a natural killer cell."" [GOC:add, ISBN:0781735149]",1,1,682,30,1.0,False,0.03333333333333333,1.0,431,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001787,natural killer cell proliferation,"""The expansion of a natural killer cell population by cell division."" [GOC:add, ISBN:0781735149]",1,1,682,30,1.0,False,0.03333333333333333,1.0,436,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001816,cytokine production,"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]",2,65,682,30,1.0,False,0.06666666666666667,0.03076923076923077,460,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001817,regulation of cytokine production,"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",2,65,682,30,1.0,False,0.06666666666666667,0.03076923076923077,461,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001819,positive regulation of cytokine production,"""Any process that activates or increases the frequency, rate or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",2,48,682,30,1.0,False,0.06666666666666667,0.041666666666666664,463,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001824,blastocyst development,"""The process whose specific outcome is the progression of the blastocyst over time, from its formation to the mature structure. The mammalian blastocyst is a hollow ball of cells containing two cell types, the inner cell mass and the trophectoderm. The blastula follows the morula and precedes the gastrula in the developmental sequence."" [GOC:dph, ISBN:0124020607, ISBN:0198542771]",2,6,682,30,1.0,False,0.06666666666666667,0.3333333333333333,468,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001825,blastocyst formation,"""The initial formation of a blastocyst from a solid ball of cells known as a morula."" [GOC:dph, ISBN:0124020607, ISBN:0198542771]",1,4,682,30,1.0,False,0.03333333333333333,0.25,469,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001826,inner cell mass cell differentiation,"""The process in which a relatively unspecialized cell acquires specialized features of an inner cell mass cell."" [GOC:dph, ISBN:0124020607, ISBN:0198542771]",1,2,682,30,1.0,False,0.03333333333333333,0.5,470,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0001835,blastocyst hatching,"""The hatching of the cellular blastocyst from the zona pellucida."" [GOC:dph, ISBN:0124020607, ISBN:0198542771]",1,1,682,30,1.0,False,0.03333333333333333,1.0,479,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
