branch_class,gene_a,gene_b,string_id_a,string_id_b,preferred_name_a,preferred_name_b,score,required_score,network_type,species,accessed_at_utc,source_database
thyroid-branch,HMOX1,GPX3,9606.ENSP00000216117,9606.ENSP00000373477,HMOX1,GPX3,0.844,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,BCL2,9606.ENSP00000216117,9606.ENSP00000381185,HMOX1,BCL2,0.856,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,IL4,9606.ENSP00000216117,9606.ENSP00000231449,HMOX1,IL4,0.878,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,NLRP3,9606.ENSP00000216117,9606.ENSP00000337383,HMOX1,NLRP3,0.892,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,NQO1,9606.ENSP00000216117,9606.ENSP00000319788,HMOX1,NQO1,0.916,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,KEAP1,9606.ENSP00000216117,9606.ENSP00000377245,HMOX1,KEAP1,0.934,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,POR,9606.ENSP00000216117,9606.ENSP00000419970,HMOX1,POR,0.965,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,NFE2L2,9606.ENSP00000216117,9606.ENSP00000380252,HMOX1,NFE2L2,0.989,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,CDKN1B,9606.ENSP00000216911,9606.ENSP00000228872,AURKA,CDKN1B,0.74,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,ESR1,9606.ENSP00000216911,9606.ENSP00000405330,AURKA,ESR1,0.769,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,NFKB1,9606.ENSP00000216911,9606.ENSP00000226574,AURKA,NFKB1,0.794,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,MYC,9606.ENSP00000216911,9606.ENSP00000478887,AURKA,MYC,0.914,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,BRCA1,9606.ENSP00000216911,9606.ENSP00000418960,AURKA,BRCA1,0.942,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,HDAC6,9606.ENSP00000216911,9606.ENSP00000365804,AURKA,HDAC6,0.944,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
