Table_section,stage,n,definition,ChemicalID,ChemicalName,phase1_scope,gene_cards_k,phase1_unfiltered_rank,phase1_bh_fdr,phase1_degree_matched_bh_fdr,phase1_n_ctd_human_genes,phase1_crc_overlap,molecular_level,molecular_M2_definition_met,entity_E_tag,entity_E_reason,entity_manual_review_required,canonical_name,synonyms,entity_type,parent_compound,metabolite_of,exposure_family,exposure_axis,candidate_to_axis_relationship,all_candidate_biomarkers,mapping_confidence,mapping_source,searched_domain_count,searched_domains,mapping_status,selection_reason,all_biomarker_summary,above_lod_pct,min_cycle_above_lod_pct,median_cycle_above_lod_pct,max_cycle_above_lod_pct,n_measured,n_above_lod,D_tag,n_cycles_available,cycle_list,first_cycle,last_cycle,biological_matrix,nhanes_lab_component,analyte_available_n,crc_outcome_available_n,exposure_plus_outcome_n,complete_covariate_n,available_crc_cases,available_controls,survey_weight_available,strata_psu_available,creatinine_available_if_urine,core_covariates_available,T_tag,T_reason,selected_primary_biomarker,chemical_class,CasRN,PubChemCID,DTXSID,X_tag,B_tag,human_biomarker,nhanes_variable,biomarker_type,nhanes_cycles,n_cycles,C_tag,E_tag,N_tag,M_tag,eligible_permissive,eligible_moderate,eligible_strict,audit_status,audit_evidence,what_was_checked,databases_checked,possible_proxy,reason_unresolved,manual_review_required,manual_review_reason,priority_tier,final_disposition,PRIORITIZATION_OUTCOME_BLINDED
267-chemical actionability matrix,,,,C000720090,"4,8-dioxa-3H-perfluorononanoic acid",GeneCards_Disorders,1000.0,155.0,1.0,1.0,3.0,0.0,M0,False,1.0,specific_ctd_entity_id:C000720090,False,4 8 dioxa 3h perfluorononanoic acid,"4,8-dioxa-3H-perfluorononanoic acid;PFAS;4 8 dioxa 3h PFnonanoic acid",PFAS or fluorinated compound,,,pfas_perfluoro,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES GenX/HFPO-DA variable,,unresolved,CDC NHANES PFAS panels searched; PFNA explicitly excluded as a non-equivalent analyte,27.0,Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,no analyte mapping,,pfas_perfluoro,,,,0.0,0.0,,,,,0.0,0.0,1.0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC); CDC NHANES PFAS panels searched; PFNA explicitly excluded as a non-equivalent analyte; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 27 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,PFAS class searched; no candidate-specific NHANES GenX/HFPO-DA variable,CDC NHANES PFAS panels searched; PFNA explicitly excluded as a non-equivalent analyte,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C000720141,perfluorotridecanoic acid,GeneCards_Disorders,1000.0,156.0,1.0,1.0,6.0,0.0,M0,False,1.0,specific_ctd_entity_id:C000720141,False,perfluorotridecanoic acid,perfluorotridecanoic acid;PFAS;PFtridecanoic acid,PFAS or fluorinated compound,,,pfas_perfluoro,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,27.0,Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,no analyte mapping,,pfas_perfluoro,,,,0.0,0.0,,,,,0.0,0.0,1.0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC); CDC NHANES PFAS panels searched; no specific analyte name match; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 27 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,PFAS class searched; no candidate-specific NHANES variable,CDC NHANES PFAS panels searched; no specific analyte name match,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C000720151,"perfluoro-3,5,7,9-butaoxadecanoic acid",GeneCards_Disorders,1000.0,157.0,1.0,1.0,1.0,0.0,M0,False,1.0,specific_entity_identifier:PubChemCID,False,perfluoro 3 5 7 9 butaoxadecanoic acid,"perfluoro-3,5,7,9-butaoxadecanoic acid;PFAS;PF 3 5 7 9 butaoxadecanoic acid",PFAS or fluorinated compound,,,pfas_perfluoro,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,27.0,Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,no analyte mapping,,pfas_perfluoro,,CID:57358057,,0.0,0.0,,,,,0.0,0.0,1.0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC); CDC NHANES PFAS panels searched; no specific analyte name match; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 27 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,PFAS class searched; no candidate-specific NHANES variable,CDC NHANES PFAS panels searched; no specific analyte name match,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C000720250,perfluoro-2-methoxyacetic acid,GeneCards_Disorders,1000.0,158.0,1.0,1.0,1.0,0.0,M0,False,1.0,specific_entity_identifier:PubChemCID,False,perfluoro 2 methoxyacetic acid,perfluoro-2-methoxyacetic acid;PFAS;PF 2 methoxyacetic acid,PFAS or fluorinated compound,,,pfas_perfluoro,PFAS exposure axis,PFAS class searched; no candidate-specific NHANES variable,,unresolved,CDC NHANES PFAS panels searched; no specific analyte name match,27.0,Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,no analyte mapping,,pfas_perfluoro,,CID:5125273,,0.0,0.0,,,,,0.0,0.0,1.0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC); CDC NHANES PFAS panels searched; no specific analyte name match; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 27 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,PFAS class searched; no candidate-specific NHANES variable,CDC NHANES PFAS panels searched; no specific analyte name match,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C000730470,bisphenol P,GeneCards_Disorders,1000.0,159.0,1.0,1.0,4.0,0.0,M0,False,1.0,specific_entity_identifier:PubChemCID,False,bisphenol p,bisphenol P,bisphenol or bisphenol-related compound,,,bisphenols,bisphenol exposure axis,direct urinary analyte,URXBPH,high,CDC NHANES environmental phenols panel and codebook,33.0,Environmental Phenols;Environmental Phenols & Parabens,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXBPH"", ""n_cycles_available"": 5, ""total_measured"": 12907, ""total_above_lod"": 11918, ""pooled_above_lod_pct"": 92.3374912837995, ""min_cycle_above_lod_pct"": 89.71474487746083, ""median_cycle_above_lod_pct"": 92.85714285714286, ""max_cycle_above_lod_pct"": 93.62519201228879}]",92.3374912837995,89.71474487746083,92.85714285714286,93.6251920122888,12907.0,11918.0,2.0,5.0,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012,2003-2004,2011-2012,urine,Environmental Phenols;Environmental Phenols & Parabens,12907.0,17382.0,6912.0,6261.0,45.0,5706.0,True,True,True,True,1.0,survey model feasible but event/sample margin is limited,URXBPH,bisphenols,,CID:630355,,1.0,1.0,URXBPH,URXBPH,urinary biomarker,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012,5.0,2.0,1.0,pending_manual_review,M0,True,True,False,resolved_mapped,CDC NHANES catalog domains checked: Environmental Phenols;Environmental Phenols & Parabens; CDC NHANES environmental phenols panel and codebook; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 33 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,direct urinary analyte,,False,,Tier_A_moderate,enter_systematic_human_screen,True
267-chemical actionability matrix,,,,C000730511,"3,3'-dimethylbisphenol A",GeneCards_Disorders,1000.0,160.0,1.0,1.0,5.0,0.0,M0,False,1.0,specific_entity_identifier:PubChemCID,False,3 3 dimethylbisphenol a,"3,3'-dimethylbisphenol A;BPA",bisphenol or bisphenol-related compound,,,bisphenols,bisphenol exposure axis,direct urinary analyte,URXBPH,high,CDC NHANES environmental phenols panel and codebook,33.0,Environmental Phenols;Environmental Phenols & Parabens,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXBPH"", ""n_cycles_available"": 5, ""total_measured"": 12907, ""total_above_lod"": 11918, ""pooled_above_lod_pct"": 92.3374912837995, ""min_cycle_above_lod_pct"": 89.71474487746083, ""median_cycle_above_lod_pct"": 92.85714285714286, ""max_cycle_above_lod_pct"": 93.62519201228879}]",92.3374912837995,89.71474487746083,92.85714285714286,93.6251920122888,12907.0,11918.0,2.0,5.0,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012,2003-2004,2011-2012,urine,Environmental Phenols;Environmental Phenols & Parabens,12907.0,17382.0,6912.0,6261.0,45.0,5706.0,True,True,True,True,1.0,survey model feasible but event/sample margin is limited,URXBPH,bisphenols,,CID:6620,,1.0,1.0,URXBPH,URXBPH,urinary biomarker,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012,5.0,2.0,1.0,pending_manual_review,M0,True,True,False,resolved_mapped,CDC NHANES catalog domains checked: Environmental Phenols;Environmental Phenols & Parabens; CDC NHANES environmental phenols panel and codebook; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 33 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,direct urinary analyte,,False,,Tier_A_moderate,enter_systematic_human_screen,True
267-chemical actionability matrix,,,,C002462,"4,4'-isopropylidenediphenol dimethacrylate",GeneCards_Disorders,1000.0,161.0,1.0,1.0,7.0,0.0,M0,False,1.0,specific_entity_identifier:PubChemCID,False,4 4 isopropylidenediphenol dimethacrylate,"4,4'-isopropylidenediphenol dimethacrylate",CTD entity,,,bisphenols,bisphenol exposure axis,bisphenol family searched; no candidate-specific NHANES variable,,unresolved,CDC NHANES environmental phenols/parabens panels searched,0.0,,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,no analyte mapping,,bisphenols,,CID:76739,,0.0,0.0,,,,,0.0,0.0,1.0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: none matched; CDC NHANES environmental phenols/parabens panels searched; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 0 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,bisphenol family searched; no candidate-specific NHANES variable,CDC NHANES environmental phenols/parabens panels searched,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C002615,benzo(c)phenanthrene,GeneCards_Disorders,1000.0,162.0,1.0,1.0,9.0,0.0,M0,False,1.0,"specific_entity_identifier:CasRN,PubChemCID,DTXSID,InChIKey",False,benzo c phenanthrene,benzo(c)phenanthrene;195-19-7,CTD entity,,,pahs,PAH exposure axis,parent PAH to validated urinary OH-PAH proxy,URXP25,moderate,CDC NHANES urinary OH-PAH panel; parent-specificity is limited,68.0,Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXP25"", ""n_cycles_available"": 3, ""total_measured"": 8459, ""total_above_lod"": 8416, ""pooled_above_lod_pct"": 99.49166568152263, ""min_cycle_above_lod_pct"": 99.20692141312185, ""median_cycle_above_lod_pct"": 99.54716981132076, ""max_cycle_above_lod_pct"": 99.70345963756178}]",99.49166568152263,99.20692141312183,99.54716981132076,99.70345963756178,8459.0,8416.0,2.0,3.0,2013-2014;2015-2016;2017-2018,2013-2014,2017-2018,urine,Polycyclic Aromatic Hydrocarbons (PAH) - Urine,8459.0,17382.0,0.0,0.0,0.0,0.0,False,True,True,True,0.0,insufficient complete-case events/sample or survey infrastructure,URXP25,pahs,195-19-7,CID:9136,DTXSID4075459,1.0,1.0,URXP25,URXP25,urinary biomarker,2013-2014;2015-2016;2017-2018,3.0,1.0,1.0,pending_manual_review,M0,False,False,False,resolved_mapped,CDC NHANES catalog domains checked: Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine; CDC NHANES urinary OH-PAH panel; parent-specificity is limited; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 68 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,parent PAH to validated urinary OH-PAH proxy,,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C006710,benzotriphenylene,GeneCards_Disorders,1000.0,163.0,1.0,1.0,6.0,0.0,M0,False,1.0,"specific_entity_identifier:CasRN,PubChemCID,DTXSID,InChIKey",False,benzotriphenylene,benzotriphenylene;215-58-7,CTD entity,,,pahs,PAH exposure axis,parent PAH to validated urinary OH-PAH proxy,URXP10,moderate,CDC NHANES urinary OH-PAH panel; parent-specificity is limited,68.0,Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXP10"", ""n_cycles_available"": 9, ""total_measured"": 23952, ""total_above_lod"": 21231, ""pooled_above_lod_pct"": 88.63977955911824, ""min_cycle_above_lod_pct"": 60.21621621621622, ""median_cycle_above_lod_pct"": 99.3638170974155, ""max_cycle_above_lod_pct"": 100.0}]",88.63977955911824,60.21621621621622,99.3638170974155,100.0,23952.0,21231.0,1.0,9.0,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,2001-2002,2017-2018,urine,"Phthalates, Phytoestrogens & PAHs - Urine;Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine",23952.0,17382.0,9896.0,8980.0,70.0,8195.0,True,True,True,True,2.0,predefined primary survey model feasible,URXP10,pahs,215-58-7,CID:9164,DTXSID9049245,1.0,1.0,URXP10,URXP10,urinary biomarker,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,9.0,2.0,1.0,pending_manual_review,M0,True,True,False,resolved_mapped,CDC NHANES catalog domains checked: Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine; CDC NHANES urinary OH-PAH panel; parent-specificity is limited; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 68 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,parent PAH to validated urinary OH-PAH proxy,,False,,Tier_A_moderate,enter_systematic_human_screen,True
267-chemical actionability matrix,,,,C008422,5-methylchrysene,GeneCards_Disorders,1000.0,164.0,1.0,1.0,3.0,0.0,M0,False,1.0,"specific_entity_identifier:CasRN,PubChemCID,DTXSID,InChIKey",False,5 methylchrysene,5-methylchrysene;3697-24-3,CTD entity,,,pahs,PAH exposure axis,parent PAH to validated urinary OH-PAH proxy,URXP10,moderate,CDC NHANES urinary OH-PAH panel; parent-specificity is limited,68.0,Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXP10"", ""n_cycles_available"": 9, ""total_measured"": 23952, ""total_above_lod"": 21231, ""pooled_above_lod_pct"": 88.63977955911824, ""min_cycle_above_lod_pct"": 60.21621621621622, ""median_cycle_above_lod_pct"": 99.3638170974155, ""max_cycle_above_lod_pct"": 100.0}]",88.63977955911824,60.21621621621622,99.3638170974155,100.0,23952.0,21231.0,1.0,9.0,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,2001-2002,2017-2018,urine,"Phthalates, Phytoestrogens & PAHs - Urine;Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine",23952.0,17382.0,9896.0,8980.0,70.0,8195.0,True,True,True,True,2.0,predefined primary survey model feasible,URXP10,pahs,3697-24-3,CID:19427,DTXSID6063143,1.0,1.0,URXP10,URXP10,urinary biomarker,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,9.0,2.0,1.0,pending_manual_review,M0,True,True,False,resolved_mapped,CDC NHANES catalog domains checked: Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine; CDC NHANES urinary OH-PAH panel; parent-specificity is limited; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 68 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,parent PAH to validated urinary OH-PAH proxy,,False,,Tier_A_moderate,enter_systematic_human_screen,True
267-chemical actionability matrix,,,,C009005,potassium mercuric thiocyanate,GeneCards_Disorders,1000.0,165.0,1.0,1.0,1.0,0.0,M0,False,1.0,"specific_entity_identifier:CasRN,PubChemCID,DTXSID,InChIKey",False,potassium mercuric thiocyanate,potassium mercuric thiocyanate;14099-12-8,elemental species or metal compound,,,heavy_metals,metal exposure axis,metal family searched; no mapped elemental analyte,,unresolved,CDC NHANES Metals - Urine and blood metal panels searched,119.0,Metals - Urine,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,no analyte mapping,,heavy_metals,14099-12-8,CID:11615,DTXSID70930966,0.0,0.0,,,,,0.0,0.0,1.0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: Metals - Urine; CDC NHANES Metals - Urine and blood metal panels searched; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 119 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,metal family searched; no mapped elemental analyte,CDC NHANES Metals - Urine and blood metal panels searched,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C009590,triphenylene,GeneCards_Disorders,1000.0,166.0,1.0,1.0,6.0,0.0,M0,False,1.0,"specific_entity_identifier:CasRN,PubChemCID,DTXSID,InChIKey",False,triphenylene,triphenylene;217-59-4,CTD entity,,,pahs,PAH exposure axis,family-level urinary OH-PAH proxy,URXP10,low,CDC NHANES urinary OH-PAH panel; only family-level proxy assigned,68.0,Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXP10"", ""n_cycles_available"": 9, ""total_measured"": 23952, ""total_above_lod"": 21231, ""pooled_above_lod_pct"": 88.63977955911824, ""min_cycle_above_lod_pct"": 60.21621621621622, ""median_cycle_above_lod_pct"": 99.3638170974155, ""max_cycle_above_lod_pct"": 100.0}]",88.63977955911824,60.21621621621622,99.3638170974155,100.0,23952.0,21231.0,1.0,9.0,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,2001-2002,2017-2018,urine,"Phthalates, Phytoestrogens & PAHs - Urine;Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine",23952.0,17382.0,9896.0,8980.0,70.0,8195.0,True,True,True,True,2.0,predefined primary survey model feasible,URXP10,pahs,217-59-4,CID:9170,DTXSID9059757,1.0,1.0,URXP10,URXP10,urinary biomarker,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,9.0,2.0,1.0,pending_manual_review,M0,True,True,False,resolved_mapped,CDC NHANES catalog domains checked: Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine; CDC NHANES urinary OH-PAH panel; only family-level proxy assigned; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 68 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,family-level urinary OH-PAH proxy,,False,,Tier_A_moderate,enter_systematic_human_screen,True
267-chemical actionability matrix,,,,C013707,thallium sulfate,GeneCards_Disorders,1000.0,167.0,1.0,1.0,41.0,0.0,M0,False,1.0,"specific_entity_identifier:CasRN,PubChemCID,DTXSID",False,thallium sulfate,thallium sulfate;10031-59-1,elemental species or metal compound,,,heavy_metals,metal exposure axis,elemental urinary biomarker for parent metal/species,URXUTL,moderate,CDC NHANES metals blood/urine panels and codebooks,119.0,Metals - Urine,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXUTL"", ""n_cycles_available"": 10, ""total_measured"": 26712, ""total_above_lod"": 26612, ""pooled_above_lod_pct"": 99.62563641808924, ""min_cycle_above_lod_pct"": 99.21171171171171, ""median_cycle_above_lod_pct"": 99.60598105377915, ""max_cycle_above_lod_pct"": 100.0}]",99.62563641808924,99.21171171171171,99.60598105377916,100.0,26712.0,26612.0,2.0,10.0,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,1999-2000,2017-2018,urine,Metals - Urine,26712.0,17382.0,1715.0,1531.0,10.0,1409.0,True,True,True,True,0.0,insufficient complete-case events/sample or survey infrastructure,URXUTL,heavy_metals,10031-59-1,CID:24833,DTXSID401014795,1.0,1.0,URXUTL,URXUTL,urinary biomarker,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,10.0,2.0,1.0,pending_manual_review,M0,False,False,False,resolved_mapped,CDC NHANES catalog domains checked: Metals - Urine; CDC NHANES metals blood/urine panels and codebooks; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 119 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,elemental urinary biomarker for parent metal/species,,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C014844,tetrahydrophthalamic acid,GeneCards_Disorders,1000.0,168.0,1.0,1.0,1.0,0.0,M0,False,1.0,"specific_entity_identifier:CasRN,PubChemCID,DTXSID,InChIKey",False,tetrahydrophthalamic acid,tetrahydrophthalamic acid;2028-12-8,CTD entity,,,phthalates,,none,,unresolved,,0.0,,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,no analyte mapping,,phthalates,2028-12-8,CID:99725,DTXSID90942400,0.0,0.0,,,,,0.0,0.0,1.0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: none matched; ; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 0 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,,,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
