"gene_symbol","module","network_input","kME_grey","kME_brown","kME_turquoise","kME_blue","max_abs_kME","best_kME_module"
"RP11-903H12.3","grey",TRUE,0.0829260404119745,0.177666029272382,0.0846835049782521,0.0315851488503749,0.177666029272382,"brown"
"RPL5P17","grey",TRUE,0.0905262364960054,-0.0458738808125419,-0.0725879105470378,-0.0507084712147886,0.0905262364960054,"grey"
"CRHR2","turquoise",TRUE,0.304889503147258,-0.0667663913602611,0.316112567712709,0.0654860622876535,0.316112567712709,"turquoise"
"FGD5P1","turquoise",TRUE,0.175616516438947,0.049498276254525,0.531025250910055,0.286615246488382,0.531025250910055,"turquoise"
"GPC5","grey",TRUE,0.226423008120978,0.0618279200781257,0.315867385254443,0.248104458793853,0.315867385254443,"turquoise"
"RP11-295P9.12","grey",TRUE,0.308745470409137,-0.0671323111571455,0.0495340273402222,-0.071299870920434,0.308745470409137,"grey"
"SFRP1","turquoise",TRUE,0.140630457270377,0.0880984659113552,0.82736542993477,0.500185627542222,0.82736542993477,"turquoise"
"CILP","turquoise",TRUE,0.125795486293474,0.0253101289257702,0.842031739019858,0.503620249995963,0.842031739019858,"turquoise"
"RP11-697E2.12","grey",TRUE,0.172668942941226,-0.114615380467243,-0.0631956515062059,-0.0570975082491803,0.172668942941226,"grey"
"TRIM7","brown",TRUE,-0.503361623403337,0.528705676314303,0.090308121487826,0.156889734565382,0.528705676314303,"brown"
"RP11-845M18.6","grey",TRUE,0.128018313873356,0.045732208790743,0.178494207282891,0.0510202857291867,0.178494207282891,"turquoise"
"TSPEAR","grey",TRUE,0.346463178753989,-0.228340099769328,0.0325693122172114,-0.0217131581880108,0.346463178753989,"grey"
"DHRS9","brown",TRUE,-0.170568379163448,0.665444519047318,0.12283936438253,0.444139241110361,0.665444519047318,"brown"
"RP11-392E22.5","grey",TRUE,0.120397669418463,0.0627306096488109,0.00355955940468685,0.0456912904811847,0.120397669418463,"grey"
"HCAR2","turquoise",TRUE,0.0463335265819176,0.102952339883572,0.528477949556842,0.392673977024626,0.528477949556842,"turquoise"
"AC011330.5","turquoise",TRUE,0.198581472910626,0.0322455842623929,0.212886352934134,0.155689766638418,0.212886352934134,"turquoise"
"GIF","grey",TRUE,0.150001844948185,0.282987553757063,-0.0499746064845075,0.0927736354965147,0.282987553757063,"brown"
"NLRP2","turquoise",TRUE,0.0353394818473691,0.182609080159762,0.339392246656194,0.290431307855765,0.339392246656194,"turquoise"
"SCARA5","blue",TRUE,0.193160577286497,0.361571935301175,0.47622779026873,0.623168128668104,0.623168128668104,"blue"
"AMH","grey",TRUE,-0.133011480061856,0.142803750977141,-0.087481736866815,-0.0169333022255404,0.142803750977141,"brown"
"AC093698.2","grey",TRUE,0.100133996822116,-0.15631371494448,-0.127451318782407,-0.136775949831374,0.15631371494448,"brown"
"FCRL1","blue",TRUE,0.135591293826819,0.351742461236959,0.527932768447549,0.711441393368432,0.711441393368432,"blue"
"SOX2","grey",TRUE,-0.0215459016331439,0.0432312307824369,0.222636026366093,0.082169794987494,0.222636026366093,"turquoise"
"SEMA3E","turquoise",TRUE,0.0734313602783356,0.106347669181619,0.61550255816652,0.284509017102516,0.61550255816652,"turquoise"
"TFF2","brown",TRUE,-0.315628118590545,0.489332198562702,0.0644346315771773,0.0197750142071594,0.489332198562702,"brown"
"CCL18","turquoise",TRUE,-0.181402678264583,0.0945842027768822,0.666396130226006,0.433523447501396,0.666396130226006,"turquoise"
"RP11-326C3.2","grey",TRUE,0.144619752453458,0.0420695669920997,0.0236915701943058,0.0267842218935905,0.144619752453458,"grey"
"U91328.21","grey",TRUE,0.0377518501271238,-0.00904883438332326,-0.0938031068980518,-0.0934031257601345,0.0938031068980518,"turquoise"
"TMEM40","grey",TRUE,0.119524315058308,-0.0970270880354851,-0.0232924901011893,-0.105274229408641,0.119524315058308,"grey"
"BRSK2","grey",TRUE,0.349772267786738,-0.29567707251612,0.102031724648799,-0.0371079298348156,0.349772267786738,"grey"
"ATOH1","brown",TRUE,-0.145968451074042,0.715245013210303,0.0731894084865476,0.327359299308827,0.715245013210303,"brown"
"PMS2P9","grey",TRUE,0.177818604812176,0.0784656746023367,0.0490844952963858,-0.00749977320665586,0.177818604812176,"grey"
"AC004471.10","grey",TRUE,0.259456300789682,-0.148556114903062,0.142489527004717,0.0307221849686228,0.259456300789682,"grey"
"AC005752.10","grey",TRUE,0.310339822606107,-0.119140740974631,-0.0158783777462367,-0.159952558883287,0.310339822606107,"grey"
"AC108938.5","turquoise",TRUE,0.073660815880635,0.177254427378132,0.373947099352518,0.269003067314287,0.373947099352518,"turquoise"
"ACMSD","grey",TRUE,0.275726519611501,0.00801674649641769,0.0156762948034449,-0.0463214352675894,0.275726519611501,"grey"
"AP000476.1","turquoise",TRUE,0.0660012658397705,0.0949590109912514,0.546744575574947,0.446311124206547,0.546744575574947,"turquoise"
"BEST3","grey",TRUE,0.164018490909131,-0.0937544058107429,0.0161823316984233,-0.051598557580892,0.164018490909131,"grey"
"BUD13P1","grey",TRUE,0.391445969290858,0.0288262087834833,0.24714069178526,0.111249641826601,0.391445969290858,"grey"
"C9orf131","turquoise",TRUE,0.380849816284357,0.0494992793149969,0.289220751646899,0.199058099448915,0.380849816284357,"grey"
"CEP295NL","turquoise",TRUE,0.0693126249359193,0.165025636605388,0.411681290977394,0.310930662996039,0.411681290977394,"turquoise"
"CNR1","turquoise",TRUE,0.215325180794362,0.177292683806426,0.687177369448983,0.525062427627506,0.687177369448983,"turquoise"
"CNTN2","turquoise",TRUE,0.297777028872558,0.0238089920860866,0.547716463793717,0.31484046035247,0.547716463793717,"turquoise"
"CNTNAP3P2","turquoise",TRUE,0.047731888940681,0.278792829456822,0.551638538112325,0.347983039935107,0.551638538112325,"turquoise"
"CTD-2522E6.4","grey",TRUE,0.364195181822338,-0.0251179475091236,0.0626032759586765,0.0238836397038439,0.364195181822338,"grey"
"CTD-3187F8.14","turquoise",TRUE,0.0625538274781576,0.0398745295721935,0.488897836803488,0.271232402163074,0.488897836803488,"turquoise"
"DAZL","turquoise",TRUE,0.0198496650675096,0.0349211540330199,0.565708694663251,0.374315440024914,0.565708694663251,"turquoise"
"DCAF13P3","grey",TRUE,0.185312689047355,-0.0235585575627988,0.140747066722826,0.041891813237914,0.185312689047355,"grey"
"DPEP3","turquoise",TRUE,0.0613573315873645,0.203317446242723,0.466912496466599,0.505363488441828,0.505363488441828,"blue"
"EEF1A1P30","grey",TRUE,0.345246918467982,-0.0922265981364048,-0.0335180849022218,0.00303315604616112,0.345246918467982,"grey"
"FP325331.1","grey",TRUE,0.262184651094373,0.0224413277654141,0.0727982731713487,0.0421333127856748,0.262184651094373,"grey"
"FRMPD3","turquoise",TRUE,0.0679492421592461,0.283725823899632,0.306638866819321,0.202715273216547,0.306638866819321,"turquoise"
"GPR45","grey",TRUE,0.255222056661783,-0.0103962144382068,0.19232112300303,0.123924153009839,0.255222056661783,"grey"
"GRK1","grey",TRUE,0.483543150864444,-0.265312487822247,-0.0631626429445036,-0.0821527819015946,0.483543150864444,"grey"
"HCN1","grey",TRUE,0.201707597416096,-0.0626917082661722,-0.0167430334506983,-0.126939130383526,0.201707597416096,"grey"
"HNRNPA3P1","grey",TRUE,0.132552078895257,-0.0587694600377201,0.163088574620255,0.105298273537988,0.163088574620255,"turquoise"
"IGF2BP1","grey",TRUE,0.327289989498732,-0.0832261283991566,0.207244009910432,0.0602138793411291,0.327289989498732,"grey"
"IGHE","blue",TRUE,-0.0980519569531475,0.422348231916049,0.390004399820223,0.630133042145724,0.630133042145724,"blue"
"INSM1","grey",TRUE,-0.165731719443251,0.397801092645212,0.225491380418462,0.231462503469284,0.397801092645212,"brown"
"ITLN2","grey",TRUE,0.0612764965749095,0.41542637361561,0.0064610117815179,0.177675911804998,0.41542637361561,"brown"
"KRT13","grey",TRUE,-0.173722382693986,0.0545952479679128,0.108136536999129,-0.0725186258597381,0.173722382693986,"grey"
"KRT18P1","grey",TRUE,0.00586745918819524,-0.0497458612350731,-0.0511465417084832,-0.00611910876837363,0.0511465417084832,"turquoise"
"LINC00552","grey",TRUE,0.350319332499854,-0.323280915099058,-0.0490600914484427,-0.156486753089871,0.350319332499854,"grey"
"LINC00705","grey",TRUE,0.164916139581371,0.0298354138710527,0.0866015219657507,-0.0330192325590295,0.164916139581371,"grey"
"LINC01055","blue",TRUE,0.228083981210471,0.122402735624044,0.432899188555668,0.492947822555494,0.492947822555494,"blue"
"LRRC4C","turquoise",TRUE,0.15990265026676,-0.0909087350610112,0.77597015085464,0.339959070433058,0.77597015085464,"turquoise"
"LRRTM4","turquoise",TRUE,0.241948682321156,-0.0883710060154038,0.361624235413742,0.0728029241452802,0.361624235413742,"turquoise"
"MYH4","grey",TRUE,0.0636997135080116,-0.0703393595882401,-0.0275452820319031,-0.0904103698469295,0.0904103698469295,"blue"
"NEFL","turquoise",TRUE,0.0306656613757799,0.201638385377527,0.564506088882625,0.317668857100203,0.564506088882625,"turquoise"
"OR7E91P","grey",TRUE,0.0846325715629675,0.100306812925521,-0.111955961775567,-0.105620203828247,0.111955961775567,"turquoise"
"PCDHA2","turquoise",TRUE,0.165541963983131,0.00919896989488319,0.34416203133755,0.188689538201165,0.34416203133755,"turquoise"
"PCDHA5","grey",TRUE,0.0755913243647833,0.0512087365869831,0.259156129027,0.16926092012445,0.259156129027,"turquoise"
"PHACTR2P1","turquoise",TRUE,0.354630121723358,0.118395912676809,0.293312498537445,0.183419152974588,0.354630121723358,"grey"
"PLK5","grey",TRUE,0.291900461432492,-0.0070929925740591,0.0235247195540112,0.0136857805613999,0.291900461432492,"grey"
"PNLIPRP2","grey",TRUE,0.307448423967297,-0.0821623213706821,-0.129780822092659,-0.0363858252617357,0.307448423967297,"grey"
"POU1F1","grey",TRUE,0.149869766948636,0.0580528860964613,0.131631341607354,0.0630013355827299,0.149869766948636,"grey"
"PRND","turquoise",TRUE,0.08917204653747,0.0730604758693331,0.704973846233704,0.378286805892032,0.704973846233704,"turquoise"
"PTCHD1","turquoise",TRUE,0.129478978364164,0.165882959921542,0.468299343913216,0.255150077671421,0.468299343913216,"turquoise"
"RP1-79C4.4","grey",TRUE,0.0878909010254655,-0.102651033938979,0.256296609820044,-0.00649382314747735,0.256296609820044,"turquoise"
"RP11-1193F23.1","grey",TRUE,-0.0093235177583567,-0.0402186976814526,0.19121909889838,0.0821484304223569,0.19121909889838,"turquoise"
"RP11-156L14.1","grey",TRUE,0.13842752858765,0.0651620407650003,0.195953293046557,0.0807526143118045,0.195953293046557,"turquoise"
"RP11-165E7.1","grey",TRUE,0.186349469513144,0.0387891218905677,0.178178570407204,0.14490366156879,0.186349469513144,"grey"
"RP11-203L2.3","grey",TRUE,0.347900026098733,0.0380159080034975,0.0357263044050487,-0.00297377054964791,0.347900026098733,"grey"
"RP11-382M14.1","grey",TRUE,0.0170554259618544,0.161293656012597,0.075609532772053,0.0849122729237938,0.161293656012597,"brown"
"RP11-516A11.1","grey",TRUE,0.20551368214853,0.0228260864342309,0.13494709063126,0.133833279374833,0.20551368214853,"grey"
"RP11-524C21.2","turquoise",TRUE,0.301965616128068,-0.155890499897141,0.427947443521794,0.0856309256280985,0.427947443521794,"turquoise"
"RP11-768B22.2","blue",TRUE,0.100812122226686,0.24828349859555,0.399072073265916,0.630666380702288,0.630666380702288,"blue"
"RP11-791G16.4","grey",TRUE,0.0637589421163391,0.0329214595051453,0.210022259320081,0.189101740723348,0.210022259320081,"turquoise"
"RP11-8H2.1","turquoise",TRUE,0.325362374626712,-0.150097086391612,0.373787965508862,0.122472274313708,0.373787965508862,"turquoise"
"RP5-828K20.1","grey",TRUE,0.0717683917347423,-0.0610038763569787,-0.172363238579196,-0.140419518302487,0.172363238579196,"turquoise"
"RP5-984P4.6","grey",TRUE,0.271153798796333,0.283743431458321,0.0788360494173749,0.13526380296935,0.283743431458321,"brown"
"SERPINB7","turquoise",TRUE,-0.179994605691223,0.397249585845372,0.256952393554757,0.348260098750132,0.397249585845372,"brown"
"SERPINH1P1","grey",TRUE,0.0123309249977972,0.130836274704223,0.0928659470642446,0.146061497328604,0.146061497328604,"blue"
"SMARCE1P6","grey",TRUE,0.234405803305486,-0.0349410023335224,-0.0259243737393326,-0.0700958397698421,0.234405803305486,"grey"
"TMEM179","turquoise",TRUE,0.226253575838649,0.00170765143004406,0.441725111854865,0.25485868858826,0.441725111854865,"turquoise"
"TPTE2","blue",TRUE,0.174773421275174,0.0737955851329827,0.328925396031032,0.431431867837823,0.431431867837823,"blue"
"TPTE2P2","grey",TRUE,0.399215753495384,-0.231572172458639,0.0590605432045556,-0.0745335751041789,0.399215753495384,"grey"
"TUBA4B","grey",TRUE,0.136246516379066,-0.0181504386842759,0.0721441939775671,0.0311515242590663,0.136246516379066,"grey"
"UGT1A7","grey",TRUE,0.301076118829082,-0.00760943642781184,-0.0946277392627994,-0.0624206647474056,0.301076118829082,"grey"
"WNT9B","turquoise",TRUE,0.130757913880661,-0.000730288316402473,0.639388427882061,0.368569958464017,0.639388427882061,"turquoise"
