cohort,Patient,Sample,Class,qc_pass_total_cells,confident_epithelial_cells,low_confidence_cells,ambiguous_cells,epithelial_pass_50
GSE294300,patient_17,GSE294300_tum_17,Tumor,6098,283,332,96,True
GSE294300,patient_18,GSE294300_nor_18,Normal,8100,201,316,183,True
GSE294300,patient_18,GSE294300_tum_18,Tumor,3997,469,153,92,True
GSE294300,patient_19,GSE294300_nor_19,Normal,8870,171,301,150,True
GSE294300,patient_19,GSE294300_tum_19,Tumor,9001,578,609,169,True
GSE294300,patient_20,GSE294300_nor_20,Normal,6979,1267,285,165,True
GSE294300,patient_20,GSE294300_tum_20,Tumor,9048,134,636,306,True
GSE294300,patient_21,GSE294300_nor_21,Normal,4446,395,129,59,True
GSE294300,patient_21,GSE294300_tum_21,Tumor,4116,14,118,98,False
GSE294300,patient_23,GSE294300_nor_23,Normal,7560,243,711,277,True
GSE294300,patient_23,GSE294300_tum_23,Tumor,7620,183,559,312,True
