probe_id,gene_symbol,mad,selection_rank
ENSG00000170370.11,EMX2,4.1335,184
ENSG00000239532.1,RP11-9D8.1,4.1309499999999995,185
ENSG00000260834.1,RP11-256I9.2,4.1235,186
ENSG00000204644.9,ZFP57,4.1235,187
ENSG00000244753.2,RPL15P21,4.1175,188
ENSG00000234685.1,NUS1P2,4.116999999999999,189
ENSG00000236732.1,AC094019.4,4.112295,190
ENSG00000228033.5,AC010967.2,4.111800000000001,191
ENSG00000123388.4,HOXC11,4.1057,192
ENSG00000261039.2,RP11-417E7.2,4.0929,193
ENSG00000257595.2,RP3-473L9.4,4.080499999999999,194
ENSG00000254662.1,RP11-872D17.4,4.0767500000000005,195
ENSG00000261279.5,ULK4P1,4.0748,196
ENSG00000253773.2,C8orf37-AS1,4.0642499999999995,197
ENSG00000197358.9,BNIP3P1,4.0625,198
ENSG00000164326.4,CARTPT,4.0577000000000005,199
ENSG00000232628.5,RP11-365O16.3,4.0573999999999995,200
ENSG00000139656.6,SMIM2,4.0573999999999995,201
ENSG00000255090.5,MIR100HG,4.04695,202
ENSG00000237510.7,AC008268.2,4.0355,203
ENSG00000235269.1,AL162759.1,4.03455,204
ENSG00000235034.6,C19orf81,4.020149999999999,205
ENSG00000232023.2,AC009410.1,4.01945,206
ENSG00000273213.1,RP5-998N21.10,4.0165500000000005,207
ENSG00000254319.5,RP11-134O21.1,4.01225,208
ENSG00000250697.1,CTD-2066L21.3,4.007000000000001,209
ENSG00000229859.8,PGA3,3.9995,210
ENSG00000211643.2,IGLV5-52,3.997,211
ENSG00000257355.1,CTD-2006C1.10,3.9924999999999997,212
ENSG00000187504.6,RPL7P48,3.9859999999999998,213
ENSG00000177306.4,OR7E125P,3.9854499999999997,214
ENSG00000264404.2,LINC00864,3.979,215
ENSG00000229007.1,EXOSC3P1,3.9574000000000003,216
ENSG00000261120.1,RP11-62H20.1,3.9549000000000003,217
ENSG00000261063.1,RP11-538I12.2,3.9540000000000006,218
ENSG00000205456.11,TP53TG3D,3.9494999999999996,219
