"gene_symbol","module","network_input","kME_turquoise","kME_brown","kME_blue","kME_grey","max_abs_kME","best_kME_module"
"PRRX2","turquoise",TRUE,0.654710932238436,0.521351571238015,-0.0838107130671728,-0.0819849011974234,0.654710932238436,"turquoise"
"SMKR1","grey",TRUE,-0.0619585706970051,-0.0726072314417746,-0.0600679228968858,0.138421593626804,0.138421593626804,"grey"
"NOX1","grey",TRUE,-0.0763091265362498,-0.142065414182102,-0.0333752804837437,0.449461433071976,0.449461433071976,"grey"
"AGAP2","brown",TRUE,0.31853932855102,0.61811211520057,0.0974190006873738,-0.271284293288754,0.61811211520057,"brown"
"SEMA3B-AS1","grey",TRUE,0.0661011211774568,0.0469698084593753,0.0425427270912464,-0.0379657525092513,0.0661011211774568,"turquoise"
"LSAMP","turquoise",TRUE,0.754052688564829,0.542098378231538,0.0877890890270032,0.284444809866498,0.754052688564829,"turquoise"
"PRDM8","brown",TRUE,0.460393383750767,0.618204820873839,0.000501456928715898,-0.423540343088722,0.618204820873839,"brown"
"RSAD2","brown",TRUE,0.50294251964148,0.624500947972076,0.0338499048865053,-0.0935627668244873,0.624500947972076,"brown"
"GZMA","brown",TRUE,0.270031183047407,0.709740000152344,-0.140283213270881,-0.346697089090074,0.709740000152344,"brown"
"RP11-336A10.5","grey",TRUE,-0.0833996631826037,-0.0709001643623867,0.124866862714097,0.0866387993192037,0.124866862714097,"blue"
"ST6GALNAC1","grey",TRUE,-0.00470756585392296,0.213952564489825,-0.0837811883028977,-0.0881755954188314,0.213952564489825,"brown"
"AC007326.1","grey",TRUE,0.127043640775845,0.0982283588560029,0.231890298287886,0.0720472580225128,0.231890298287886,"blue"
"CXCL2","grey",TRUE,-0.0696249941493155,0.123765210368605,0.093960186390329,0.0246459910048151,0.123765210368605,"brown"
"PTAFR","brown",TRUE,0.631408671746212,0.840191834431541,-0.0511498298793438,-0.309777838861935,0.840191834431541,"brown"
"CDKN2A","grey",TRUE,0.238816532467577,0.182709638183812,0.0177478229139907,-0.0137920693544726,0.238816532467577,"turquoise"
"ANKRD65","turquoise",TRUE,0.723650746241736,0.477946981692388,-0.0341604343711517,0.14741861400498,0.723650746241736,"turquoise"
"APELA","turquoise",TRUE,0.42653815386564,0.224044229724668,0.0829329412799452,0.377351539280298,0.42653815386564,"turquoise"
"CTA-223H9.9","blue",TRUE,0.028982384830619,-0.0367717270047702,0.339988608934038,0.166642424348259,0.339988608934038,"blue"
"LINC01140","turquoise",TRUE,0.668095506151981,0.66174457191624,0.0157703757839362,-0.0204951461743244,0.668095506151981,"turquoise"
"NETO2","grey",TRUE,0.145256544847318,0.127528961747999,0.0790235306066545,0.107753117804998,0.145256544847318,"turquoise"
"RASGRP4","brown",TRUE,0.731293973926471,0.829112865796295,0.163993865288032,-0.0505780130062419,0.829112865796295,"brown"
"RP11-103B5.4","blue",TRUE,-0.0504938545019797,-0.224926126100885,0.327535959426168,0.0470963786955567,0.327535959426168,"blue"
"DERL3","brown",TRUE,0.419911258059266,0.651109404640382,-0.0366464894982656,-0.0105474039331592,0.651109404640382,"brown"
"SCARNA6","blue",TRUE,0.0215083745266626,-0.0406763838112218,0.454896578114017,0.150137705152334,0.454896578114017,"blue"
"C15orf26","turquoise",TRUE,0.309011585533732,0.296293354101477,0.139432974537564,-0.041213782835372,0.309011585533732,"turquoise"
"GUCY2GP","grey",TRUE,-0.056493152332257,-0.185517386540741,0.126232681681657,0.550636651792158,0.550636651792158,"grey"
"KRT36","turquoise",TRUE,0.31921063153428,0.283681882159918,0.027611062600959,0.197801585309772,0.31921063153428,"turquoise"
"NDUFAF4P3","blue",TRUE,0.00768649139375049,-0.058362240155806,0.328420083076703,0.107563472986477,0.328420083076703,"blue"
"UPF3AP1","grey",TRUE,0.0653999831831933,0.0256727761545329,0.0917188699546645,0.223428085212049,0.223428085212049,"grey"
"XXbac-BPG308K3.5","grey",TRUE,-0.15178323760646,-0.0528691542170488,0.0279602968343003,-0.101308219013392,0.15178323760646,"turquoise"
"FAM129A","turquoise",TRUE,0.876570943011441,0.766839698736424,0.145167626487225,0.00227376713493306,0.876570943011441,"turquoise"
"PRKD1","turquoise",TRUE,0.866630302636782,0.557331517108272,0.0998507866325531,0.160808533226906,0.866630302636782,"turquoise"
"LINC00858","grey",TRUE,-0.0102242024400135,-0.168134362790782,0.0869913677512456,0.354710206544662,0.354710206544662,"grey"
"HK3","brown",TRUE,0.672811669792889,0.77496065566717,0.054929379461044,-0.178306031577857,0.77496065566717,"brown"
"TMOD1","turquoise",TRUE,0.566373914881231,0.381550214057443,-0.0912005502448465,-0.172613297926825,0.566373914881231,"turquoise"
"NCKAP1L","brown",TRUE,0.787950491331442,0.937504742710034,0.118498263661778,-0.0476553016226333,0.937504742710034,"brown"
"ATHL1","blue",TRUE,-0.0438037912796063,-0.0406246830996629,0.426888692728116,0.12957124562558,0.426888692728116,"blue"
"HAUS6P1","grey",TRUE,0.105783659196965,0.13775194635691,0.110022191051322,0.0589741167291546,0.13775194635691,"brown"
"RP11-439C15.4","blue",TRUE,-0.206177186436955,-0.154852357365159,0.291595541967809,0.197743685635381,0.291595541967809,"blue"
"CD244","brown",TRUE,0.364137214163182,0.758098485452161,-0.0233243030265285,-0.260310599331235,0.758098485452161,"brown"
