index,test_id,biomarker,variable,organ_system_id,organ_system_name,SD,SL
75,NHANES_URXMIB,URXMIB,URXMIB,musculoskeletal_immune,Musculoskeletal/immune-related,0.012141365933216353,-0.012141365933216353
76,NHANES_URXMIB,URXMIB,URXMIB,respiratory,Respiratory,0.022566411280544662,-0.013896633084404624
77,NHANES_URXMOH,URXMOH,URXMOH,cancer,Cancer,0.07136566479676837,0.07136566479676837
78,NHANES_URXMOH,URXMOH,URXMOH,cardiovascular,Cardiovascular,0.05001059014642165,0.04103800085527876
79,NHANES_URXMOH,URXMOH,URXMOH,endocrine,Endocrine,0.010488441369422423,-0.010488441369422423
80,NHANES_URXMOH,URXMOH,URXMOH,hepatic,Hepatic,0.016024248421123273,-0.016024248421123273
81,NHANES_URXMOH,URXMOH,URXMOH,metabolic,Metabolic,0.056043006251427135,0.056043006251427135
82,NHANES_URXMOH,URXMOH,URXMOH,musculoskeletal_immune,Musculoskeletal/immune-related,0.0019233146752380681,0.0019233146752380681
83,NHANES_URXMOH,URXMOH,URXMOH,respiratory,Respiratory,0.02061375772014721,0.02061375772014721
84,NHANES_URXMZP,URXMZP,URXMZP,cancer,Cancer,0.026658949703491547,0.026658949703491547
85,NHANES_URXMZP,URXMZP,URXMZP,cardiovascular,Cardiovascular,0.11890150454379236,0.11890150454379236
86,NHANES_URXMZP,URXMZP,URXMZP,endocrine,Endocrine,0.04534852005132743,0.04534852005132743
87,NHANES_URXMZP,URXMZP,URXMZP,hepatic,Hepatic,0.010916026431531434,0.010916026431531434
88,NHANES_URXMZP,URXMZP,URXMZP,metabolic,Metabolic,0.125937744854267,0.125937744854267
89,NHANES_URXMZP,URXMZP,URXMZP,musculoskeletal_immune,Musculoskeletal/immune-related,0.01562545434806681,-0.01562545434806681
90,NHANES_URXMZP,URXMZP,URXMZP,respiratory,Respiratory,0.03329874642914098,0.02221496180616499
91,NHANES_URXP02,URXP02,URXP02,cancer,Cancer,0.11718866036353053,0.11718866036353053
92,NHANES_URXP02,URXP02,URXP02,cardiovascular,Cardiovascular,0.07519569321329131,0.07519569321329131
93,NHANES_URXP02,URXP02,URXP02,endocrine,Endocrine,0.10412260748740122,-0.10412260748740122
94,NHANES_URXP02,URXP02,URXP02,hepatic,Hepatic,0.09838696082555069,0.09838696082555069
95,NHANES_URXP02,URXP02,URXP02,metabolic,Metabolic,0.10115573643204087,0.10115573643204087
96,NHANES_URXP02,URXP02,URXP02,musculoskeletal_immune,Musculoskeletal/immune-related,0.007441460066271929,-0.007441460066271929
97,NHANES_URXP02,URXP02,URXP02,respiratory,Respiratory,0.05243283014342861,0.019397261294692228
98,NHANES_URXP04,URXP04,URXP04,cancer,Cancer,0.10356668389926721,0.10356668389926721
99,NHANES_URXP04,URXP04,URXP04,cardiovascular,Cardiovascular,0.09502323340516951,0.07004408179192534
100,NHANES_URXP04,URXP04,URXP04,endocrine,Endocrine,0.016271644533529923,-0.016271644533529923
101,NHANES_URXP04,URXP04,URXP04,hepatic,Hepatic,0.036009690669238016,0.036009690669238016
102,NHANES_URXP04,URXP04,URXP04,metabolic,Metabolic,0.05906432837174149,0.05906432837174149
103,NHANES_URXP04,URXP04,URXP04,musculoskeletal_immune,Musculoskeletal/immune-related,0.005355345070894687,0.005355345070894687
104,NHANES_URXP04,URXP04,URXP04,respiratory,Respiratory,0.053258035959810844,0.040040684694166585
105,NHANES_URXP10,URXP10,URXP10,cancer,Cancer,0.09560928779006247,0.09560928779006247
106,NHANES_URXP10,URXP10,URXP10,cardiovascular,Cardiovascular,0.10473980259624474,0.10222264679922913
107,NHANES_URXP10,URXP10,URXP10,endocrine,Endocrine,0.006650343129314706,0.006650343129314706
108,NHANES_URXP10,URXP10,URXP10,hepatic,Hepatic,0.009720741951791761,-0.009720741951791761
109,NHANES_URXP10,URXP10,URXP10,metabolic,Metabolic,0.08395941663209884,0.08395941663209884
110,NHANES_URXP10,URXP10,URXP10,musculoskeletal_immune,Musculoskeletal/immune-related,0.05286886806620182,-0.05286886806620182
111,NHANES_URXP10,URXP10,URXP10,respiratory,Respiratory,0.05436570419268898,0.0502197682975243
112,NHANES_URXP25,URXP25,URXP25,cancer,Cancer,0.14591326689633016,0.14591326689633016
113,NHANES_URXP25,URXP25,URXP25,cardiovascular,Cardiovascular,0.18768231712521577,0.18768231712521577
114,NHANES_URXP25,URXP25,URXP25,endocrine,Endocrine,0.022750971265235672,-0.022750971265235672
115,NHANES_URXP25,URXP25,URXP25,hepatic,Hepatic,0.0915148619286864,0.0915148619286864
116,NHANES_URXP25,URXP25,URXP25,metabolic,Metabolic,0.16283221793314576,0.16283221793314576
117,NHANES_URXP25,URXP25,URXP25,musculoskeletal_immune,Musculoskeletal/immune-related,0.003188584224318566,-0.003188584224318566
118,NHANES_URXP25,URXP25,URXP25,respiratory,Respiratory,0.0853872609687478,-0.001303450950027195
119,NHANES_URXUBA,URXUBA,URXUBA,cancer,Cancer,0.01219253427588285,0.01219253427588285
120,NHANES_URXUBA,URXUBA,URXUBA,cardiovascular,Cardiovascular,0.12065466694226082,0.11918554312278215
121,NHANES_URXUBA,URXUBA,URXUBA,endocrine,Endocrine,0.04268107123162761,0.04268107123162761
122,NHANES_URXUBA,URXUBA,URXUBA,hepatic,Hepatic,0.04651454475158142,0.04651454475158142
123,NHANES_URXUBA,URXUBA,URXUBA,metabolic,Metabolic,0.026590193982012626,0.023173435966422653
124,NHANES_URXUBA,URXUBA,URXUBA,musculoskeletal_immune,Musculoskeletal/immune-related,0.025015891738402227,-0.025015891738402227
125,NHANES_URXUBA,URXUBA,URXUBA,respiratory,Respiratory,0.06011492280884257,0.06011492280884257
126,NHANES_URXUCD,URXUCD,URXUCD,cancer,Cancer,0.0704218032774986,-0.0704218032774986
127,NHANES_URXUCD,URXUCD,URXUCD,cardiovascular,Cardiovascular,0.08014477419023251,0.08014477419023251
128,NHANES_URXUCD,URXUCD,URXUCD,endocrine,Endocrine,0.007598415192544149,-0.007598415192544149
129,NHANES_URXUCD,URXUCD,URXUCD,hepatic,Hepatic,0.026303459925897693,0.026303459925897693
130,NHANES_URXUCD,URXUCD,URXUCD,metabolic,Metabolic,0.09600842178582009,0.09600842178582009
131,NHANES_URXUCD,URXUCD,URXUCD,musculoskeletal_immune,Musculoskeletal/immune-related,0.14068792115508014,0.14068792115508014
132,NHANES_URXUCD,URXUCD,URXUCD,respiratory,Respiratory,0.06247999166974266,0.0326052053151091
133,NHANES_URXUCO,URXUCO,URXUCO,cancer,Cancer,0.09340240984418655,-0.09340240984418655
134,NHANES_URXUCO,URXUCO,URXUCO,cardiovascular,Cardiovascular,0.11922250826083525,0.11922250826083525
135,NHANES_URXUCO,URXUCO,URXUCO,endocrine,Endocrine,0.006828167045775322,0.006828167045775322
136,NHANES_URXUCO,URXUCO,URXUCO,hepatic,Hepatic,0.053307653497447254,0.053307653497447254
137,NHANES_URXUCO,URXUCO,URXUCO,metabolic,Metabolic,0.02192507620207099,-0.02192507620207099
138,NHANES_URXUCO,URXUCO,URXUCO,musculoskeletal_immune,Musculoskeletal/immune-related,0.07342866979423933,-0.07342866979423933
139,NHANES_URXUCO,URXUCO,URXUCO,respiratory,Respiratory,0.01584487555323738,-0.00864611737543799
140,NHANES_URXUCS,URXUCS,URXUCS,cancer,Cancer,0.17041579407948698,-0.17041579407948698
141,NHANES_URXUCS,URXUCS,URXUCS,cardiovascular,Cardiovascular,0.10703694581010358,0.10703694581010358
142,NHANES_URXUCS,URXUCS,URXUCS,endocrine,Endocrine,0.0538936136988036,0.0538936136988036
143,NHANES_URXUCS,URXUCS,URXUCS,hepatic,Hepatic,0.057733827178003454,-0.057733827178003454
144,NHANES_URXUCS,URXUCS,URXUCS,metabolic,Metabolic,0.03641598056917454,0.03641598056917454
145,NHANES_URXUCS,URXUCS,URXUCS,musculoskeletal_immune,Musculoskeletal/immune-related,0.014627170690088788,0.014627170690088788
146,NHANES_URXUCS,URXUCS,URXUCS,respiratory,Respiratory,0.07898337087873619,0.07898337087873619
147,NHANES_URXUMO,URXUMO,URXUMO,cancer,Cancer,0.052561624256301814,-0.052561624256301814
148,NHANES_URXUMO,URXUMO,URXUMO,cardiovascular,Cardiovascular,0.06928166907022809,0.06928166907022809
149,NHANES_URXUMO,URXUMO,URXUMO,endocrine,Endocrine,0.09932602421752684,-0.09932602421752684
150,NHANES_URXUMO,URXUMO,URXUMO,hepatic,Hepatic,0.024450897814597576,0.024450897814597576
151,NHANES_URXUMO,URXUMO,URXUMO,metabolic,Metabolic,0.059535257774226524,0.059535257774226524
152,NHANES_URXUMO,URXUMO,URXUMO,musculoskeletal_immune,Musculoskeletal/immune-related,0.011115642540443137,0.011115642540443137
153,NHANES_URXUMO,URXUMO,URXUMO,respiratory,Respiratory,0.059494970541677246,0.039531411249460746
154,NHANES_URXUPB,URXUPB,URXUPB,cancer,Cancer,0.027597764965289536,-0.027597764965289536
155,NHANES_URXUPB,URXUPB,URXUPB,cardiovascular,Cardiovascular,0.13252245773483057,0.13252245773483057
156,NHANES_URXUPB,URXUPB,URXUPB,endocrine,Endocrine,0.05460779598662887,-0.05460779598662887
157,NHANES_URXUPB,URXUPB,URXUPB,hepatic,Hepatic,0.054421158097250406,0.054421158097250406
158,NHANES_URXUPB,URXUPB,URXUPB,metabolic,Metabolic,0.06570678305448477,0.06570678305448477
159,NHANES_URXUPB,URXUPB,URXUPB,musculoskeletal_immune,Musculoskeletal/immune-related,0.030709064580188752,0.030709064580188752
160,NHANES_URXUPB,URXUPB,URXUPB,respiratory,Respiratory,0.07887308398875557,0.07887308398875557
161,NHANES_URXUSB,URXUSB,URXUSB,cancer,Cancer,0.003037433388973641,0.003037433388973641
162,NHANES_URXUSB,URXUSB,URXUSB,cardiovascular,Cardiovascular,0.16076304048478288,0.16076304048478288
163,NHANES_URXUSB,URXUSB,URXUSB,endocrine,Endocrine,0.04798406999624375,0.04798406999624375
164,NHANES_URXUSB,URXUSB,URXUSB,hepatic,Hepatic,0.04346749729046047,-0.04346749729046047
165,NHANES_URXUSB,URXUSB,URXUSB,metabolic,Metabolic,0.10322507397550089,0.10322507397550089
166,NHANES_URXUSB,URXUSB,URXUSB,musculoskeletal_immune,Musculoskeletal/immune-related,0.04651934546396774,0.04651934546396774
167,NHANES_URXUSB,URXUSB,URXUSB,respiratory,Respiratory,0.13701227276387942,0.11954226465946312
168,NHANES_URXUSN,URXUSN,URXUSN,cancer,Cancer,0.16146999496205397,-0.16146999496205397
169,NHANES_URXUSN,URXUSN,URXUSN,cardiovascular,Cardiovascular,0.08897594886625666,0.06594545130100467
170,NHANES_URXUSN,URXUSN,URXUSN,endocrine,Endocrine,0.11083164869149947,-0.11083164869149947
171,NHANES_URXUSN,URXUSN,URXUSN,hepatic,Hepatic,0.10588821765276159,0.10588821765276159
172,NHANES_URXUSN,URXUSN,URXUSN,metabolic,Metabolic,0.0865385838357966,0.0865385838357966
173,NHANES_URXUSN,URXUSN,URXUSN,musculoskeletal_immune,Musculoskeletal/immune-related,0.05448728269751248,0.05448728269751248
174,NHANES_URXUSN,URXUSN,URXUSN,respiratory,Respiratory,0.06539655263026743,0.05574079038128435
175,NHANES_URXUSR,URXUSR,URXUSR,cancer,Cancer,0.037823795098912254,0.037823795098912254
176,NHANES_URXUSR,URXUSR,URXUSR,cardiovascular,Cardiovascular,0.12146243219774017,0.12109852767216661
177,NHANES_URXUSR,URXUSR,URXUSR,endocrine,Endocrine,0.18093504688914075,0.18093504688914075
178,NHANES_URXUSR,URXUSR,URXUSR,hepatic,Hepatic,0.016492608855675755,0.016492608855675755
179,NHANES_URXUSR,URXUSR,URXUSR,metabolic,Metabolic,0.014693590527558,0.014693590527558
180,NHANES_URXUSR,URXUSR,URXUSR,musculoskeletal_immune,Musculoskeletal/immune-related,0.13189917582784685,-0.13189917582784685
181,NHANES_URXUSR,URXUSR,URXUSR,respiratory,Respiratory,0.06059114227068869,-0.0006390821292450297
182,NHANES_URXUTL,URXUTL,URXUTL,cancer,Cancer,0.020066491327390974,-0.020066491327390974
183,NHANES_URXUTL,URXUTL,URXUTL,cardiovascular,Cardiovascular,0.11654359727479896,0.06959210375605918
184,NHANES_URXUTL,URXUTL,URXUTL,endocrine,Endocrine,0.019132129788433185,-0.019132129788433185
185,NHANES_URXUTL,URXUTL,URXUTL,hepatic,Hepatic,0.08217150235040763,-0.08217150235040763
186,NHANES_URXUTL,URXUTL,URXUTL,metabolic,Metabolic,0.0616928034657939,0.0616928034657939
187,NHANES_URXUTL,URXUTL,URXUTL,musculoskeletal_immune,Musculoskeletal/immune-related,0.01740900939485706,0.01740900939485706
188,NHANES_URXUTL,URXUTL,URXUTL,respiratory,Respiratory,0.05688969930023672,0.05688969930023672
189,NHANES_URXUTU,URXUTU,URXUTU,cancer,Cancer,0.05697335861644108,-0.05697335861644108
190,NHANES_URXUTU,URXUTU,URXUTU,cardiovascular,Cardiovascular,0.08323428822797273,0.08323428822797273
191,NHANES_URXUTU,URXUTU,URXUTU,endocrine,Endocrine,0.03024193593306772,0.03024193593306772
192,NHANES_URXUTU,URXUTU,URXUTU,hepatic,Hepatic,0.027666638715451677,0.027666638715451677
193,NHANES_URXUTU,URXUTU,URXUTU,metabolic,Metabolic,0.046785689549561124,0.046785689549561124
194,NHANES_URXUTU,URXUTU,URXUTU,musculoskeletal_immune,Musculoskeletal/immune-related,0.025064712221371827,-0.025064712221371827
195,NHANES_URXUTU,URXUTU,URXUTU,respiratory,Respiratory,0.05868611874067274,0.04088135045615196
196,NHANES_URXUUR,URXUUR,URXUUR,cancer,Cancer,0.015845584150032243,-0.015845584150032243
197,NHANES_URXUUR,URXUUR,URXUUR,cardiovascular,Cardiovascular,0.05293181631050684,0.02640356241662236
198,NHANES_URXUUR,URXUUR,URXUUR,endocrine,Endocrine,0.07924248018666165,-0.07924248018666165
199,NHANES_URXUUR,URXUUR,URXUUR,hepatic,Hepatic,0.015409312192000492,-0.015409312192000492
200,NHANES_URXUUR,URXUUR,URXUUR,metabolic,Metabolic,0.029564839259517438,0.019560623901517152
201,NHANES_URXUUR,URXUUR,URXUUR,musculoskeletal_immune,Musculoskeletal/immune-related,0.037774385822174364,0.037774385822174364
202,NHANES_URXUUR,URXUUR,URXUUR,respiratory,Respiratory,0.021926658593474934,0.0055258496806261746
