mcop_log2,mcop_ng_ml,log_or_vs_median,se_log_or,or_vs_median,ci_low,ci_high
0.8526156820735825,1.8057719186545933,-0.6923252010598967,0.3847170085785317,0.5004111587088893,0.23344195842892076,1.0726920277985044
0.8820162228347406,1.8429490958972976,-0.6826639729525062,0.3793086477708315,0.5052691744729471,0.2382484168429741,1.0715577549496822
0.9114167635958985,1.8808916757323542,-0.6730027448451159,0.3739002960570226,0.5101743520893198,0.24315383355727985,1.0704247007828627
0.9408173043570566,1.919615416245014,-0.6633415167377256,0.3684919538375177,0.515127149407554,0.24816024569855963,1.0692928648171975
0.9702178451182146,1.9591363999475073,-0.6536802886303351,0.36308362153658635,0.5201280287220215,0.2532697323072875,1.0681622466202283
0.9996183858793726,1.9994710404583356,-0.6440190605229447,0.35767529960415867,0.5251774568150704,0.2584844151981102,1.0670328458114395
1.0290189266405305,2.0406360893190785,-0.6343578324155543,0.35226698851779453,0.5302759050005945,0.2638064598377285,1.0659046620661434
1.0584194674016887,2.082648642951543,-0.6246966043081639,0.3468586887848378,0.5354238491680257,0.2692380762405719,1.064777695119724
1.0878200081628466,2.1255261497581466,-0.6150353762007734,0.34145040094477513,0.5406217698267533,0.27478151988259797,1.0636519447722899
1.1172205489240046,2.169286417368486,-0.6053741480933831,0.336042125571822,0.5458701521509751,0.28043909263355465,1.062527410893769
1.1466210896851627,2.2139476200350923,-0.5957129199859926,0.3306338632777629,0.551169486024984,0.286213143708042,1.0614040934295124
1.1760216304463207,2.2595283061814535,-0.5860516918786022,0.3252256147150749,0.5565202660888927,0.2921060706357123,1.0602819924064486
1.2054221712074786,2.306047406105436,-0.5763904637712118,0.31981738058036807,0.5619229917848043,0.2981203202509501,1.0591611079398702
1.2348227119686368,2.353524239841302,-0.5667292356638214,0.31440916161818083,0.5673781674034302,0.30425838970236807,1.0580414402409144
1.2642232527297947,2.40197852518359,-0.5570680075564309,0.3090009586251739,0.5728863021311602,0.3105228274824572,1.0569229896248333
1.2936237934909527,2.451430385876192,-0.5474067794490406,0.3035927724547725,0.5784479100975903,0.31691623447772416,1.0558057565201473
1.3230243342521109,2.5019003599700262,-0.5377455513416501,0.29818460402231334,0.5840635104235117,0.32344126503964343,1.0546897414787937
1.3524248750132688,2.553409408352776,-0.5280843232342598,0.29277645431076266,0.5897336272693651,0.33010062807674423,1.0535749451874008
1.3818254157744267,2.6059789234542436,-0.5184230951268693,0.287368324377079,0.5954587898841663,0.3368970881681431,1.0524613684798358
1.411225956535585,2.6596307381309243,-0.5087618670194789,0.2819602153593088,0.6012395326549064,0.3438334666988185,1.0513490123511948
1.4406264972967429,2.714387134733496,-0.49910063891208856,0.2765521284845142,0.6070763951564306,0.3509126430169074,1.050237877973436
1.4700270380579008,2.770270854360994,-0.4894394108046981,0.27114406507764915,0.6129699222018036,0.35813755561328237,1.0491279667128834
