Analysis,Cycles,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,Dropped_cycle,analysis_family,Sex_group,Effect,Female_OR,Female_CI_low,Female_CI_high,Male_OR,Male_CI_low,Male_CI_high,Interaction_OR_Male_vs_Female,Interaction_CI_low,Interaction_CI_high,Interaction_P,Excluded_known_timing_CRC_N,Timing_known_CRC_N,Timing_missing_CRC_N,Exam_age_median,Exam_age_Q1,Exam_age_Q3,Diagnosis_age_median,Diagnosis_age_Q1,Diagnosis_age_Q3,Years_since_diagnosis_median,Years_since_diagnosis_Q1,Years_since_diagnosis_Q3,Exposure,Excluded_fraction,Cutoff_log2,Retained_exposure_n,Normalization,Model_role,Secondary_exposure,Secondary_OR,Secondary_CI_low,Secondary_CI_high,Secondary_P,Complete_case_N,Complete_case_CRC_N,MCOP_BH_FDR,Burden_definition
MCOP_x_sex_interaction,,ok,9936,70,9866,0.1256768357289179,0.12534702444814103,1.1339156680359925,0.8844786605625807,1.453697866944228,0.31825946995322324,109.0,214.0,105.0,Newton-IRLS converged,,sex_interaction,,MCOP x sex interaction: male/female slope ratio,1.173118708473736,1.0011527626587322,1.3746228902333868,1.3302176840045172,1.0623713843534215,1.6655937018816434,1.1339156680359925,0.8844786605625807,1.453697866944228,0.31825946995322324,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary_all_cases,,ok,9936,70,9866,0.2195424963136761,0.07309672751901108,1.245506776277735,1.0775254462916755,1.4396756337333285,0.0033113585227657213,109.0,214.0,105.0,Newton-IRLS converged,,diagnosis_timing,,,,,,,,,,,,,0.0,73.0,3.0,73.0,66.0,80.0,59.0,50.0,71.0,6.0,2.0,20.0,,,,,,,,,,,,,,,
Exclude_diagnosis_lt_1y,,ok,9928,62,9866,0.2160990081371804,0.07848456272444022,1.2412252643184896,1.062415571319017,1.450129495814673,0.0069115721746269235,109.0,214.0,105.0,Newton-IRLS converged,,diagnosis_timing,,,,,,,,,,,,,9.0,73.0,3.0,73.0,66.0,80.0,59.0,50.0,71.0,6.0,2.0,20.0,,,,,,,,,,,,,,,
Exclude_diagnosis_lt_2y,,ok,9921,55,9866,0.2334395375080575,0.08304662963876458,1.2629364652965427,1.0712688825566703,1.4888965238765344,0.005858077553983538,109.0,214.0,105.0,Newton-IRLS converged,,diagnosis_timing,,,,,,,,,,,,,17.0,73.0,3.0,73.0,66.0,80.0,59.0,50.0,71.0,6.0,2.0,20.0,,,,,,,,,,,,,,,
Exclude_diagnosis_lt_5y,,ok,9910,44,9866,0.23468222164030256,0.08967697425889345,1.2645068719596277,1.058597981928688,1.5104672940334745,0.010130732854087247,109.0,214.0,105.0,Newton-IRLS converged,,diagnosis_timing,,,,,,,,,,,,,29.0,73.0,3.0,73.0,66.0,80.0,59.0,50.0,71.0,6.0,2.0,20.0,,,,,,,,,,,,,,,
Descriptive_CRC_interval_le_5y,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,descriptive_only,34,34,0,,,,,,,,,,,,diagnosis_timing,,,,,,,,,,,,,,34.0,0.0,73.0,65.0,80.0,70.0,64.0,78.75,2.0,1.0,4.0,,,,,,,,,,,,,,,
Descriptive_CRC_interval_gt_5y,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,descriptive_only,39,39,0,,,,,,,,,,,,diagnosis_timing,,,,,,,,,,,,,,39.0,0.0,72.0,67.5,80.0,54.0,47.5,58.5,19.0,9.5,24.0,,,,,,,,,,,,,,,
Exclude_top_1pct,,ok,9835,70,9765,0.2396363631686479,0.08064497239242827,1.2707869613480827,1.0830711355709872,1.4910373364173628,0.0036468870532693556,109.0,214.0,105.0,Newton-IRLS converged,,tail_exclusion,,,,,,,,,,,,,,,,,,,,,,,,,mcop_log2,0.01,8.457503975922346,10975.0,,,,,,,,,,,
Exclude_top_2.5pct,,ok,9685,67,9618,0.17695421331547942,0.08016639554975681,1.193576441968001,1.0182312195906815,1.3991171115276524,0.02938624780908213,109.0,214.0,105.0,Newton-IRLS converged,,tail_exclusion,,,,,,,,,,,,,,,,,,,,,,,,,mcop_log2,0.025,7.647997908547697,10808.0,,,,,,,,,,,
Creatinine_normalized_MCOP,,ok,9936,70,9866,0.21833061663983572,0.07379285820063868,1.2439982861708034,1.074736559601432,1.439917272908071,0.0037898999093102935,109.0,214.0,105.0,Newton-IRLS converged,,creatinine_normalization,,,,,,,,,,,,,,,,,,,,,,,,,mcop_creatinine_norm_log2,,,,log2(MCOP) - log2(urine creatinine),,,,,,,,,,
MCOP_alone_same_CC_None,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.2195424963136761,0.07309672751901108,1.245506776277735,1.0775254462916755,1.4396756337333285,0.0033113585227657213,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCOP_alone,None,,,,,,,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MEHHP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.2195424963136761,0.07309672751901108,1.245506776277735,1.0775254462916755,1.4396756337333285,0.0033113585227657213,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same_complete_case_MCOP_only,MEHHP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MEHHP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.20074872392101803,0.07312197601711624,1.2223175940594253,1.0574108699698848,1.412942067438529,0.007070952403563227,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coexposure_adjusted,MEHHP,1.1835186506433777,0.9644562635836192,1.4523379123653524,0.10566502612397509,9936.0,70.0,0.009798687160945084,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MEOHP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.2195424963136761,0.07309672751901108,1.245506776277735,1.0775254462916755,1.4396756337333285,0.0033113585227657213,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same_complete_case_MCOP_only,MEOHP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MEOHP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.19797241524223017,0.07307931217620589,1.2189287695030402,1.0545684112193043,1.4089056047149286,0.007838949728756067,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coexposure_adjusted,MEOHP,1.2084056787302806,0.9961398385113857,1.4659029063326632,0.05468284443032579,9936.0,70.0,0.009798687160945084,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MECPP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.2195424963136761,0.07309672751901108,1.245506776277735,1.0775254462916755,1.4396756337333285,0.0033113585227657213,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same_complete_case_MCOP_only,MECPP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MECPP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.18384436935527212,0.07534335312618776,1.2018287671549759,1.0351188933184732,1.3953879065338008,0.016295669027686678,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coexposure_adjusted,MECPP,1.2294790784038423,0.9734169078994754,1.5528996794340315,0.08236048672182665,9936.0,70.0,0.016295669027686678,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MBzP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.2195424963136761,0.07309672751901108,1.245506776277735,1.0775254462916755,1.4396756337333285,0.0033113585227657213,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same_complete_case_MCOP_only,MBzP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MBzP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.22098238238496312,0.07196405547242957,1.24730145589361,1.0815032419071375,1.4385171135787524,0.0026960588037311093,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coexposure_adjusted,MBzP,0.9657505197415402,0.774679601983454,1.2039481406159132,0.7546439692575416,9936.0,70.0,0.009798687160945084,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_PhthalateBurden_excl_MCOP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.2195424963136761,0.07309672751901108,1.245506776277735,1.0775254462916755,1.4396756337333285,0.0033113585227657213,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same_complete_case_MCOP_only,PhthalateBurden_excl_MCOP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_PhthalateBurden_excl_MCOP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.21133771699075568,0.07304958456439156,1.2353294763763059,1.0688206188954399,1.427778327088436,0.004607506774386729,109.0,214.0,105.0,Newton-IRLS converged,,coexposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coexposure_adjusted,PhthalateBurden_excl_MCOP,1.282812659174862,0.6443645413491775,2.553846794694332,0.47496863370643183,9936.0,70.0,0.009798687160945084,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
