contrast,subtype,lineage,donor_id,tumor_score,normal_score,tumor_minus_normal
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C140,-0.06622163206338882,-0.11902069300413132,0.05279906094074249
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C142,0.035773418843746185,-0.0499599426984787,0.08573336154222488
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C143,-0.16665995121002197,-0.07161527127027512,-0.09504467993974686
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C151,-0.008811026811599731,0.013620489276945591,-0.022431515157222748
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C152,-0.039579421281814575,-0.03330225870013237,-0.006277162581682205
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C155,0.062107786536216736,0.008772042579948902,0.05333574488759041
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C157,0.09864359349012375,0.07705815136432648,0.02158544212579727
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C162,-0.01620430126786232,-0.02767271175980568,0.01146841049194336
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C165,0.0519171804189682,0.008921707980334759,0.04299547150731087
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C170,-0.1126936599612236,-0.04448721185326576,-0.06820644438266754
macrophage tumor vs normal,macrophage,myeloid,C106,-0.08226045221090317,-0.1863412708044052,0.10408081859350204
macrophage tumor vs normal,macrophage,myeloid,C107,-0.020013634115457535,-0.08763183653354645,0.06761820614337921
macrophage tumor vs normal,macrophage,myeloid,C109,-0.05910152941942215,-0.269111692905426,0.21001017093658447
macrophage tumor vs normal,macrophage,myeloid,C110,-0.00616134237498045,-0.1996980905532837,0.19353674352169037
macrophage tumor vs normal,macrophage,myeloid,C111,-0.008192084729671478,-0.15916657447814941,0.15097448229789734
macrophage tumor vs normal,macrophage,myeloid,C112,-0.001452606520615518,-0.07019680738449097,0.06874419748783112
macrophage tumor vs normal,macrophage,myeloid,C113,-0.1250050812959671,-0.20064350962638855,0.07563842833042145
macrophage tumor vs normal,macrophage,myeloid,C114,-0.09023900330066681,-0.15606199204921722,0.06582298874855042
macrophage tumor vs normal,macrophage,myeloid,C115,-0.024933164939284325,-0.10808144509792328,0.0831482782959938
macrophage tumor vs normal,macrophage,myeloid,C116,-0.063822440803051,-0.05392717570066452,-0.009895265102386475
macrophage tumor vs normal,macrophage,myeloid,C119,-0.03811038285493851,-0.20042382180690765,0.16231343150138855
macrophage tumor vs normal,macrophage,myeloid,C122,-0.07170691341161728,-0.15736457705497742,0.08565766364336014
macrophage tumor vs normal,macrophage,myeloid,C123,-0.039724837988615036,-0.15641413629055023,0.1166892945766449
macrophage tumor vs normal,macrophage,myeloid,C124,-0.018671594560146332,0.056345172226428986,-0.07501676678657532
macrophage tumor vs normal,macrophage,myeloid,C125,-0.012387513183057308,-0.066875159740448,0.054487645626068115
macrophage tumor vs normal,macrophage,myeloid,C126,-0.021526485681533813,-0.07408452779054642,0.052558042109012604
macrophage tumor vs normal,macrophage,myeloid,C129,-0.011313598603010178,-0.12016541510820389,0.10885182023048401
