gene_set,tissue,tissue_role,n_set_genes_planned,n_set_genes_modelled,n_reference_genes_modelled,mean_female_minus_male_beta,median_female_minus_male_beta,rank_biserial_correlation_vs_rest_828,raw_p,null_hypothesis,method,FDR,fdr_family,fdr_denominator,set_direction
hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,440,439,223,-0.02572779274791649,-0.009555998310951885,-0.06685598128645409,0.15945778092502794,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.4856838042013939,five prespecified gene sets x 9 tissues,45,male-shifted
shared-core,Artery - Coronary,hypertension/cardiovascular tissue,189,189,473,-0.028406148752407996,-0.022760536733213627,-0.04397239280960208,0.37660536683285295,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5885075620843551,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-specific,Artery - Coronary,hypertension/cardiovascular tissue,30,30,632,-0.03781774179027147,-0.023447131911057323,-0.11244725738396621,0.29785617254066854,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5351506118018983,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-specific,Artery - Coronary,hypertension/cardiovascular tissue,251,250,412,-0.025304565302162775,-0.014927575262191461,-0.017067961165048495,0.7126778178782753,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.9080782509859694,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-branch,Artery - Coronary,hypertension/cardiovascular tissue,219,219,443,-0.029695408072663267,-0.022760536733213627,-0.06249420204706391,0.190476945549664,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5186631998134857,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,440,439,223,-0.026639871161152177,-0.01871375942542192,-0.05811209740850076,0.2213804302798329,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5186631998134857,five prespecified gene sets x 9 tissues,45,male-shifted
shared-core,Heart - Left Ventricle,hypertension/cardiovascular tissue,189,189,473,-0.0031264611715855596,-0.00044350742189438325,0.05126570242849304,0.3026089399836097,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5351506118018983,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-specific,Heart - Left Ventricle,hypertension/cardiovascular tissue,30,30,632,0.0007001757366888529,0.006834173088765694,0.05116033755274252,0.6359432091431383,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.8671952851951886,five prespecified gene sets x 9 tissues,45,female-shifted
hypertension-specific,Heart - Left Ventricle,hypertension/cardiovascular tissue,251,250,412,-0.01907261972035149,-0.003717592778424619,-0.10766990291262135,0.02011359115995335,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3424269828273845,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,219,219,443,-0.0026022643348356388,-0.00012334537634955327,0.057237391385015046,0.23051697769488255,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5186631998134857,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,440,439,223,-0.012207417064960238,-0.002128178157881879,-0.06646781821710568,0.16189460140046463,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.4856838042013939,five prespecified gene sets x 9 tissues,45,male-shifted
shared-core,Heart - Atrial Appendage,hypertension/cardiovascular tissue,189,189,473,-0.04541460321235488,-0.03835920857232411,-0.10278868418403297,0.03872388452671848,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3424269828273845,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-specific,Heart - Atrial Appendage,hypertension/cardiovascular tissue,30,30,632,-0.0026742847344546,-0.01922383145444568,0.061814345991561215,0.5672813179926455,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.8234728809570661,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-specific,Heart - Atrial Appendage,hypertension/cardiovascular tissue,251,250,412,-0.036867940963712736,-0.026332014693905857,-0.0010485436893203914,0.9821074316315838,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.998051078571981,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,219,219,443,-0.039559765064697314,-0.03802879076823271,-0.08263500211303176,0.08342291698785506,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3754031264453478,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,440,439,223,-0.0405474834807819,-0.032179943129352934,-0.09496715936136957,0.04565693104365126,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3424269828273845,five prespecified gene sets x 9 tissues,45,male-shifted
shared-core,Kidney - Cortex,hypertension/renal tissue,189,189,473,0.19057050744557222,0.1725836612732371,0.09104332360146317,0.06711833301162078,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3754031264453478,five prespecified gene sets x 9 tissues,45,female-shifted
thyroid-specific,Kidney - Cortex,hypertension/renal tissue,30,30,632,0.14599480543213167,0.18461416591625734,-0.00031645569620253333,0.998051078571981,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.998051078571981,five prespecified gene sets x 9 tissues,45,female-shifted
hypertension-specific,Kidney - Cortex,hypertension/renal tissue,251,250,412,0.147111640178526,0.15297868636453366,-0.03475728155339808,0.45316557980292826,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.6797483697043923,five prespecified gene sets x 9 tissues,45,female-shifted
thyroid-branch,Kidney - Cortex,hypertension/renal tissue,219,219,443,0.18446424689578583,0.17491555196683287,0.08383066885185064,0.07905195950931815,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3754031264453478,five prespecified gene sets x 9 tissues,45,female-shifted
hypertension-branch,Kidney - Cortex,hypertension/renal tissue,440,439,223,0.1658217219859787,0.16482366759213876,0.04656935350419311,0.3271224121271866,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5452040202119777,five prespecified gene sets x 9 tissues,45,female-shifted
shared-core,Adrenal Gland,hypertension/endocrine tissue,189,189,473,0.005849008382184067,-0.0033646484505906135,-0.10730785149389799,0.03092778526621078,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3424269828273845,five prespecified gene sets x 9 tissues,45,female-shifted
thyroid-specific,Adrenal Gland,hypertension/endocrine tissue,30,30,632,0.005316246202099806,0.007595108453901199,-0.023101265822784822,0.8309491601044998,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.950861944064261,five prespecified gene sets x 9 tissues,45,female-shifted
hypertension-specific,Adrenal Gland,hypertension/endocrine tissue,251,250,412,0.02089345933657028,0.013149487635150107,0.07794174757281547,0.09248435464041657,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.37834508716534054,five prespecified gene sets x 9 tissues,45,female-shifted
thyroid-branch,Adrenal Gland,hypertension/endocrine tissue,219,219,443,0.005776027261624578,-0.0018125179879676353,-0.10339425049218176,0.030302641880880662,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3424269828273845,five prespecified gene sets x 9 tissues,45,female-shifted
hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,440,439,223,0.014416463367597627,0.006139735310648091,-0.015986189566585263,0.7366860715222745,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.9080782509859694,five prespecified gene sets x 9 tissues,45,female-shifted
shared-core,Liver,optional toxicokinetic/metabolism reference only,189,189,473,0.08538804561961863,0.07928953589246762,0.060729107240735214,0.22201516424378898,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5186631998134857,five prespecified gene sets x 9 tissues,45,female-shifted
thyroid-specific,Liver,optional toxicokinetic/metabolism reference only,30,30,632,0.059753699587483236,0.0911887084013919,0.014873417721519067,0.8908135393369505,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.950861944064261,five prespecified gene sets x 9 tissues,45,female-shifted
hypertension-specific,Liver,optional toxicokinetic/metabolism reference only,251,250,412,0.06900104669095163,0.05162189741019507,-0.09963106796116505,0.031501801644872304,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3424269828273845,five prespecified gene sets x 9 tissues,45,female-shifted
thyroid-branch,Liver,optional toxicokinetic/metabolism reference only,219,219,443,0.0818764913686412,0.08097364534610306,0.058865971943061535,0.2175196537530023,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5186631998134857,five prespecified gene sets x 9 tissues,45,female-shifted
hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,440,439,223,0.07605604167390849,0.06533526542643012,-0.04936821353054743,0.2988820103742794,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5351506118018983,five prespecified gene sets x 9 tissues,45,female-shifted
