gene_symbol,gene_id,branch_membership,tissue,tissue_role,gtex_release,gtex_annotation,expression_unit,preprocessing,model_formula,model_columns_used,n_male,n_female,male_mean_log2_tpm1,male_median_log2_tpm1,female_mean_log2_tpm1,female_median_log2_tpm1,male_median_tpm,female_median_tpm,female_minus_male_beta,female_minus_male_se,t_statistic,residual_df,direction,raw_p,FDR,fdr_family,fdr_denominator,meaningful_abs_effect_ge_0_25,is_expressed_median_tpm_ge_0_1,model_status,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate,FDR_shared_primary,fdr_denominator_shared_primary,priority_audit_gene
CASP3,ENSG00000164305.20,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],471,220,3.8962392564739705,3.8569657766697483,3.8516519144072845,3.851880791215711,13.4898,13.438849999999999,-0.04805210287514199,0.03161951180576623,-1.5196978109693353,682,,0.12905038411048664,,,,,True,OK,True,False,True,3,True,True,True,0.4326028976415926,1701,True
ESR1,ENSG00000091831.25,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],471,220,1.995868516986547,1.9754247535970164,2.0609381013090986,2.049393310573995,2.93244,3.1393250000000004,0.09739253255582882,0.04338775563407861,2.2447008639306647,682,,0.025107112860977977,,,,,True,OK,True,False,True,2,True,True,True,0.22777869390485792,1701,True
AR,ENSG00000169083.18,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],471,220,3.425803340461277,3.466627120041501,3.5091780499502523,3.553703969565926,10.055,10.742799999999999,0.08740911495209353,0.034637876265544716,2.5235125352948344,682,,0.011844977448030184,,,,,True,OK,True,True,True,3,True,False,False,0.1600559724638689,1701,True
ESR2,ENSG00000140009.19,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],471,220,0.2112695968547445,0.192925113937094,0.226433442982032,0.20813496143970844,0.143079,0.155194,0.010932346891817653,0.008998317916324607,1.2149322788411778,682,,0.22481237219809297,,,,,True,OK,True,False,True,1,False,False,False,0.5615357490586728,1701,True
ESRRA,ENSG00000173153.17,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],471,220,4.784122293356214,4.781165592405263,4.852211534471872,4.886320888666646,26.4963,28.5753,0.0470245166828525,0.03496859632537621,1.34476420629808,682,,0.1791484362189851,,,,,True,OK,True,False,True,1,False,False,False,0.5011350990420302,1701,True
AHR,ENSG00000106546.14,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],471,220,4.612656709881354,4.568652354618223,4.5469414389171465,4.524706091951192,22.7302,22.018250000000002,-0.05353084810361247,0.04152860350434262,-1.2890115146302665,682,,0.19783112013159293,,,,,True,OK,True,True,True,2,True,False,False,0.530774030510788,1701,True
THRB,ENSG00000151090.20,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],471,220,4.440737354098098,4.463687842201262,4.52509214110154,4.584793775124776,21.065,22.9972,0.093354114129092,0.04412960021975823,2.1154534295394405,682,,0.0347532527529038,,,,,True,OK,True,False,True,2,True,False,False,0.2542359731534808,1701,True
TP53,ENSG00000141510.19,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],168,100,3.9927709005281105,4.004616861461163,3.8852682954354383,3.9293127985555847,15.0513,14.23495,-0.09594724182359006,0.04705065634365366,-2.039232803104812,259,,0.042441911387414474,,,,,True,OK,True,False,True,2,True,True,True,0.2798205087984187,1701,True
JUN,ENSG00000177606.9,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],168,100,8.031042125388216,8.007843479939716,7.708091300034358,7.636936225288293,256.3965,198.043,-0.1973314462929632,0.1296892308589726,-1.5215715675540282,259,,0.1293363826659473,,,,,True,OK,True,False,True,2,True,True,True,0.4326028976415926,1701,True
CASP3,ENSG00000164305.20,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],168,100,4.174825338302797,4.179310648476972,4.1932751185968025,4.191258306073699,17.1175,17.26815,-0.031497722532102645,0.04717492596872352,-0.6676793208533132,259,,0.5049328020753777,,,,,True,OK,True,False,True,3,True,True,True,0.7865299416943383,1701,True
