gene_symbol,gene_id,branch_membership,tissue,tissue_role,gtex_release,gtex_annotation,expression_unit,preprocessing,model_formula,model_columns_used,n_male,n_female,male_mean_log2_tpm1,male_median_log2_tpm1,female_mean_log2_tpm1,female_median_log2_tpm1,male_median_tpm,female_median_tpm,female_minus_male_beta,female_minus_male_se,t_statistic,residual_df,direction,raw_p,FDR,fdr_family,fdr_denominator,meaningful_abs_effect_ge_0_25,is_expressed_median_tpm_ge_0_1,model_status,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate,FDR_shared_primary,fdr_denominator_shared_primary,priority_audit_gene
ESR1,ENSG00000091831.25,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,111,1.1019213112915764,1.0680299941319602,1.1668989418642401,1.1270455176397047,1.096575,1.18411,0.0423933132035066,0.044138096769292263,0.9604698957704143,287,,0.33762724106627806,,,,,True,OK,True,False,True,2,True,True,True,0.671407334409047,1701,True
AR,ENSG00000169083.18,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,111,1.1991593346200067,1.1109918479596934,1.3162202340499367,1.2706007015929004,1.1599599999999999,1.41262,0.1004741118728593,0.05494825449300989,1.8285223579875658,287,,0.06850897920008445,,,,,True,OK,True,True,True,3,True,False,False,0.3374053951376616,1701,True
ESR2,ENSG00000140009.19,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,111,2.488397801516567,2.520540351136963,2.442347221846446,2.4836274892452224,4.7379750000000005,4.59302,-0.07271465702419012,0.06621823324926122,-1.0981062685631435,287,,0.27307848028773724,,,,,True,OK,True,False,True,1,False,False,False,0.6174171300208744,1701,True
ESRRA,ENSG00000173153.17,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,111,5.187937595812188,5.184298424521217,5.1824294177772865,5.155020578358575,35.360600000000005,34.63,-0.023451378294783852,0.046952634636991446,-0.4994688471923954,287,,0.6178317993669437,,,,,True,OK,True,False,True,1,False,False,False,0.8516465889166703,1701,True
AHR,ENSG00000106546.14,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,111,3.9486908050580714,3.956522401842653,3.9885437003346333,3.9806468600059444,14.5253,14.7868,-0.047981771721103614,0.06842589036338756,-0.7012224680787943,287,,0.48373235902628847,,,,,True,OK,True,True,True,2,True,False,False,0.7654220862360155,1701,True
THRB,ENSG00000151090.20,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,111,2.2324065288530552,2.2690020288185675,2.273548823810685,2.280876161880099,3.8199,3.85973,-0.011601344390712573,0.04838493326856446,-0.23977183819430686,287,,0.8106782955119504,,,,,True,OK,True,False,True,2,True,False,False,0.9379028687310799,1701,True
TP53,ENSG00000141510.19,shared-core;thyroid-branch;hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,78,2.5472445678348126,2.5602693999853567,2.8557221006931255,2.8717723927586953,4.8982399999999995,6.319710000000001,0.21240424850650222,0.054669621314891864,3.8852335794146766,254,,0.00013048180188913208,,,,,True,OK,True,False,True,2,True,True,True,0.00822035351901532,1701,True
JUN,ENSG00000177606.9,shared-core;thyroid-branch;hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,78,6.380842696445803,6.332947379406454,6.675310445807468,6.547690290720778,79.6146,92.61425,0.4373833237590082,0.19715902030007568,2.2184291801273486,254,,0.027410187807699014,,,,,True,OK,True,False,True,2,True,True,True,0.22913825231779628,1701,True
CASP3,ENSG00000164305.20,shared-core;thyroid-branch;hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,78,3.6799331284580825,3.6985334241889296,3.8185991599821683,3.8165956513438504,11.98285,13.09005,0.12574877338441215,0.05108256415859552,2.4616770018435488,254,,0.014494110692529094,,,,,True,OK,True,False,True,3,True,True,True,0.1812829579999411,1701,True
ESR1,ENSG00000091831.25,shared-core;thyroid-branch;hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,78,2.035185047581908,2.2784412157220215,1.9530747903916308,2.016784258628537,3.851535,3.054935,-0.02402033392601323,0.12341590551669877,-0.19462915922748028,254,,0.8458388543508641,,,,,True,OK,True,False,True,2,True,True,True,0.9519111283023354,1701,True
AR,ENSG00000169083.18,shared-core;thyroid-branch;hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,78,3.799515559687247,3.9917340821106277,3.985267271345954,4.25453772238397,14.9086,18.09515,0.1155935639494376,0.10953237195943408,1.0553369919921785,254,,0.2922739984922766,,,,,True,OK,True,True,True,3,True,False,False,0.6349400656901182,1701,True
ESR2,ENSG00000140009.19,shared-core;thyroid-branch;hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,78,0.2990703045866798,0.18511995565112743,0.3955674824601651,0.23090016401133895,0.13691150000000002,0.173567,0.08881247851403594,0.041894877395280576,2.119888731886839,254,,0.034985374733282254,,,,,True,OK,True,False,True,1,False,False,False,0.25431676248424406,1701,True
ESRRA,ENSG00000173153.17,shared-core;thyroid-branch;hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,78,5.475010424870445,5.436650622447685,5.634287583491426,5.61016128599958,42.3113,47.846599999999995,0.1524907040099634,0.0685844175330036,2.2234016048409706,254,,0.027068914843331862,,,,,True,OK,True,False,True,1,False,False,False,0.2290757420323756,1701,True
AHR,ENSG00000106546.14,shared-core;thyroid-branch;hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,78,3.3740291915153637,3.365120341542707,3.6458370510394267,3.6415889803655115,9.303915,11.48045,0.20209566385995079,0.08377037940536976,2.4124955061024385,254,,0.01655298732298297,,,,,True,OK,True,True,True,2,True,False,False,0.18724412747902958,1701,True
THRB,ENSG00000151090.20,shared-core;thyroid-branch;hypertension-branch,Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,78,2.3948128388621304,2.4392427620601103,2.472480071775413,2.5235733174293458,4.42357,4.75007,0.041244757998924415,0.05721966515690796,0.7208143893506349,254,,0.4716866018753978,,,,,True,OK,True,False,True,2,True,False,False,0.7548735351830488,1701,True
