gene_symbol,gene_id,branch_membership,tissue,tissue_role,gtex_release,gtex_annotation,expression_unit,preprocessing,model_formula,model_columns_used,n_male,n_female,male_mean_log2_tpm1,male_median_log2_tpm1,female_mean_log2_tpm1,female_median_log2_tpm1,male_median_tpm,female_median_tpm,female_minus_male_beta,female_minus_male_se,t_statistic,residual_df,direction,raw_p,FDR,fdr_family,fdr_denominator,meaningful_abs_effect_ge_0_25,is_expressed_median_tpm_ge_0_1,model_status,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate
ASCL1,ENSG00000139352.4,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,0.484308791609912,0.3144320314873786,0.3933995245554469,0.3038719090139266,0.243522,0.234453,-0.10871680215098951,0.041855944040575986,-2.5974041356132664,675,male-biased,0.009597865044296782,0.13909847060521294,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ATG4B,ENSG00000168397.17,thyroid-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,6.363617418931192,6.356680846473474,6.357143753591041,6.332774160056652,80.9505,79.6037,0.009720064944382323,0.027444208239467114,0.35417545514772913,675,female-biased,0.7233180055577902,0.9000377455520231,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ATM,ENSG00000149311.22,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,3.4074494076601316,3.4175960129666714,3.5264082597187856,3.4542706656594993,9.6856,9.96072,0.1258388888659187,0.0383635619781346,3.2801669703569463,675,female-biased,0.0010907866614496698,0.033592820464332804,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ATP5F1B,ENSG00000110955.9,thyroid-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,9.132686960864682,9.135003796061676,9.044873026702172,9.04348395078342,561.225,526.667,-0.10987133241225126,0.02642545245758401,-4.157784340253315,675,male-biased,3.6276348336211536e-05,0.003890283665388902,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ATXN2,ENSG00000204842.18,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,4.306182568141353,4.312563530834563,4.2443907833280665,4.235413063373953,18.8706,17.8359,-0.05465052517365368,0.024508624896905695,-2.22984869218646,675,male-biased,0.026085609559473498,0.2271620810969733,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
AURKA,ENSG00000087586.18,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,1.3687520928933075,1.342230443977834,1.394876436392065,1.3549993443192272,1.53543,1.55797,0.007206300455319416,0.031444843692174276,0.2291727230659715,675,female-biased,0.8188040917493554,0.9350306285272187,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
BAX,ENSG00000087088.21,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,5.821248532247841,5.795891599226753,5.842136928078285,5.826184907752808,54.5568,55.7357,0.00540149665651506,0.026407105002361618,0.20454709654965955,675,female-biased,0.8379876519492124,0.9434406933826055,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
BAZ2B,ENSG00000123636.20,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,3.836319485066557,3.840040182726607,3.796392879749378,3.797448834233223,13.3208,12.9042,-0.03431338786823414,0.02729852533501219,-1.2569685522252338,675,male-biased,0.20919979098419053,0.5491992171659055,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
BCL2,ENSG00000171791.14,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,4.424184388814812,4.464694402546437,4.351085265329166,4.358100828083602,21.0804,19.5078,-0.08156988254099395,0.03706814703788483,-2.2005384422811027,675,male-biased,0.028106678282290302,0.22944566075726652,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,True,False
BCL2L1,ENSG00000171552.14,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,6.4803116953584725,6.484315395170815,6.469216902880659,6.496139541453724,88.531,89.2678,-0.027167354446368128,0.028029333344718205,-0.9692472565169836,675,male-biased,0.3327690006960401,0.6665525410283486,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
BCL2L11,ENSG00000153094.26,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,4.663537248931627,4.701138700997968,4.614766786813016,4.624217896780637,25.0126,23.662,-0.026789191379661056,0.0372730485484077,-0.7187282077254582,675,male-biased,0.4725571176758024,0.7603347583175564,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
BIRC5,ENSG00000089685.15,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,0.7412618965908951,0.5882624953114624,0.7459375323487164,0.607480405413642,0.503435,0.523596,0.005762890322418564,0.044437446136456234,0.12968545277607033,675,female-biased,0.8968539270497091,0.9570650190660405,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
BRCA1,ENSG00000012048.26,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,2.2998634198594883,2.246806331643747,2.4978387502900214,2.401589511375091,3.74631,4.28385,0.11971775276324348,0.06475874750908081,1.8486730730308834,675,female-biased,0.06494216249597316,0.33075194387484,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,True,False
