gene_symbol,independent_datasets_measured,independent_datasets_significant_fdr_lt_0_05,independent_datasets_tumor_high,independent_datasets_normal_high,direction_concordance_fraction,consensus_direction,significant_datasets,significant_directions,sensitivity_contrasts_significant_fdr_lt_0_05
FABP1,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,1
FAS,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
FASN,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
FDPS,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,1
G6PD,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
GATA2,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
GRN,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
HSPA9,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
IL18,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
IL1A,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
IL1B,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
LDLR,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
LEPR,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
MKI67,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
NLRP3,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,1
NOS3,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
NR3C1,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
PGR,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
RXRA,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
SLC2A1,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
SORBS1,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
TIMP1,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
TIMP2,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,1
TPM1,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
UBE2C,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
PPARA,4,3,1,3,0.75,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:normal_high; TCGA-COAD:normal_high,1
TXN,4,3,3,1,0.75,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,1
ATF4,4,3,2,2,0.5,mixed_or_flat,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:tumor_high,2
INHBA,4,3,2,2,0.5,mixed_or_flat,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:tumor_high,2
NR4A1,4,3,2,2,0.5,mixed_or_flat,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:tumor_high,1
SIRT3,4,3,2,2,0.5,mixed_or_flat,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:normal_high; TCGA-COAD:normal_high,1
ADIPOQ,4,2,0,4,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,2
AR,4,2,0,4,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,2
CD86,4,2,0,4,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,1
GPX1,4,2,4,0,1.0,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,2
MMP9,4,2,4,0,1.0,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,2
PPARD,4,2,0,4,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,2
RYR1,4,2,0,4,1.0,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,2
STAT3,4,2,0,4,1.0,normal_high,GSE10950; TCGA-COAD,GSE10950:normal_high; TCGA-COAD:normal_high,1
VEGFA,4,2,4,0,1.0,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,2
BSCL2,4,2,3,1,0.75,tumor_high,GSE74602; TCGA-COAD,GSE74602:tumor_high; TCGA-COAD:tumor_high,1
CD80,4,2,3,1,0.75,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,2
GUCY2C,4,2,1,3,0.75,normal_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:normal_high,1
IFNG,4,2,3,1,0.75,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,2
IL13,4,2,3,1,0.75,tumor_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:tumor_high,1
IL5,4,2,3,1,0.75,tumor_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:tumor_high,1
IL6,4,2,3,1,0.75,tumor_high,GSE74602; TCGA-COAD,GSE74602:tumor_high; TCGA-COAD:tumor_high,0
PPARG,4,2,1,3,0.75,normal_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:normal_high,2
RELA,4,2,3,1,0.75,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,1
TP53,4,2,3,1,0.75,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,1
CEBPA,4,2,2,2,0.5,mixed_or_flat,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:normal_high,1
HMGCR,4,2,2,2,0.5,mixed_or_flat,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:normal_high,1
SREBF1,4,2,2,2,0.5,mixed_or_flat,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,1
WNT4,4,2,2,2,0.5,mixed_or_flat,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:normal_high,1
CAT,4,1,0,4,1.0,normal_high,TCGA-COAD,TCGA-COAD:normal_high,2
MUC2,2,1,0,2,1.0,normal_high,TCGA-COAD,TCGA-COAD:normal_high,2
RBFOX1,2,1,0,2,1.0,normal_high,TCGA-COAD,TCGA-COAD:normal_high,2
ACE,4,1,1,3,0.75,normal_high,GSE74602,GSE74602:normal_high,1
AKT1,4,1,1,3,0.75,normal_high,GSE10950,GSE10950:normal_high,0
ANGPTL4,4,1,1,3,0.75,normal_high,GSE10950,GSE10950:normal_high,1
CXCR4,4,1,1,3,0.75,normal_high,GSE74602,GSE74602:normal_high,1
GSR,4,1,1,3,0.75,normal_high,TCGA-COAD,TCGA-COAD:normal_high,2
NFE2L2,4,1,3,1,0.75,tumor_high,TCGA-COAD,TCGA-COAD:normal_high,0
SIRT1,4,1,1,3,0.75,normal_high,GSE10950,GSE10950:normal_high,1
SLC2A3,4,1,3,1,0.75,tumor_high,TCGA-COAD,TCGA-COAD:tumor_high,2
SQSTM1,4,1,3,1,0.75,tumor_high,GSE10950,GSE10950:tumor_high,1
TNF,4,1,1,3,0.75,normal_high,GSE74602,GSE74602:normal_high,1
CYP11B1,4,1,2,1,0.6666666666666666,tumor_high,GSE74602,GSE74602:normal_high,1
CYP17A1,4,1,1,2,0.6666666666666666,normal_high,GSE74602,GSE74602:normal_high,2
IL4,4,1,1,2,0.6666666666666666,normal_high,GSE74602,GSE74602:normal_high,0
ATG5,4,1,2,2,0.5,mixed_or_flat,TCGA-COAD,TCGA-COAD:normal_high,2
BECN1,4,1,2,2,0.5,mixed_or_flat,GSE10950,GSE10950:tumor_high,1
GJB2,4,1,2,2,0.5,mixed_or_flat,GSE10950,GSE10950:tumor_high,1
IL33,4,1,2,2,0.5,mixed_or_flat,TCGA-COAD,TCGA-COAD:tumor_high,0
NR1I2,4,1,2,2,0.5,mixed_or_flat,GSE74602,GSE74602:normal_high,1
STAT6,4,1,2,2,0.5,mixed_or_flat,GSE74602,GSE74602:normal_high,1
TNC,4,1,2,2,0.5,mixed_or_flat,GSE10950,GSE10950:normal_high,1
ALOX5,4,0,1,3,0.75,normal_high,,,1
MMP2,4,0,2,2,0.5,mixed_or_flat,,,1
ACP3,0,0,0,0,,mixed_or_flat,,,0
CCN2,0,0,0,0,,mixed_or_flat,,,0
MIR143,1,0,0,0,,mixed_or_flat,,,0
