gene_symbol,pdb_id,seed,output_pdbqt,log_file,mode,affinity_kcal_mol,rmsd_lb_A,rmsd_ub_A
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,3,-7.578,1.151,10.13
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,4,-7.539,0.9606,1.583
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,5,-7.525,2.688,10.15
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,6,-7.456,2.316,4.222
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,7,-7.423,2.888,9.925
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,8,-7.407,2.363,4.525
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,9,-7.377,3.186,7.952
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,10,-7.376,1.699,2.808
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,11,-7.345,1.797,10.22
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,12,-7.285,2.679,5.027
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,13,-7.265,4.539,9.473
