source,background,theme_id,theme_label,term_id,term_name,adjusted_p,intersection_size,intersection_genes,alignment_basis
GO:BP,gelsemium_crc1893,cell_death_cycle,Cell death / cell cycle / genome maintenance,GO:0006915,apoptotic process,0.036361625012118495,21,AKR1C3;ATG5;BECN1;CXCR4;DKK1;ESR1;F3;HPGD;HSPA1A;IL1A;MMP2;MMP9;NR3C1;PPARA;PPARD;PPARG;PTGS2;RELA;SIRT1;SQSTM1;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0006954,inflammatory response,6.464729647166584e-05,19,CCL20;CRP;CXCR4;ESR1;F3;IL1A;MMP9;NEAT1;NR3C1;PPARA;PPARD;PPARG;PTGER2;PTGER4;PTGS2;RELA;SELE;STAT3;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0006995,cellular response to nitrogen starvation,0.011842662689889519,2,ATG5;BECN1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:0007179,transforming growth factor beta receptor signaling pathway,0.0290991947461403,6,HPGD;HSPA1A;PPARA;PPARG;SIRT1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:0007186,G protein-coupled receptor signaling pathway,0.020788198050142866,10,AKR1C3;CXCR4;ESR1;HPGD;PGR;PPARG;PTGER2;PTGER4;RELA;SELE,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0007565,female pregnancy,0.002079472637512425,8,ESR1;HPGD;MMP2;MMP9;PGR;PPARD;PTGS2;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0007566,embryo implantation,0.007777092495927017,5,MMP2;MMP9;PPARD;PTGS2;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0007584,response to nutrient,0.04181287791096554,6,AKR1C3;BECN1;PPARA;PPARD;PPARG;RXRA,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0008202,steroid metabolic process,0.0019955740778572844,9,AKR1C3;CYP1A2;CYP2C9;CYP3A4;ESR1;NR1I2;NR3C1;PPARD;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0008203,cholesterol metabolic process,0.036361625012118495,4,CYP1A2;CYP2C9;CYP3A4;PPARD,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0008210,estrogen metabolic process,0.030721322189299696,3,CYP1A2;CYP2C9;CYP3A4,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0008283,cell population proliferation,0.03392729520759933,23,AKR1C3;BECN1;CRP;DUSP1;ESR1;F3;HPGD;HSPA1A;IL1A;MMP2;MMP9;NEAT1;PGR;PPARD;PPARG;PTGER2;PTGS1;PTGS2;RELA;SIRT1;SQSTM1;STAT3;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0008610,lipid biosynthetic process,9.58689316450666e-05,12,AKR1C3;BECN1;CYP1A2;CYP2C9;CYP3A4;NR3C1;PPARA;PPARD;PTGES2;PTGS1;PTGS2;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0009056,catabolic process,0.0011132724685663231,20,AKR1C3;ATG5;BECN1;CYP1A2;CYP2C9;CYP3A4;HPGD;HSPA1A;MMP2;MMP9;NEAT1;NR1I2;PPARA;PPARD;RELA;SIRT1;SQSTM1;STAT3;TIMP1;TIMP2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0009267,cellular response to starvation,0.04181287791096554,5,AKR1C3;ATG5;BECN1;PPARA;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,chemical_xenobiotic_stress,Chemical / xenobiotic / oxygen-stress response,GO:0009410,response to xenobiotic stimulus,0.035359694292155186,9,ATG5;BECN1;CA9;CYP1A2;CYP2C9;CYP3A4;MMP2;NR1I2;PPARG,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0009719,response to endogenous stimulus,0.006017100367402082,21,AKR1C3;BECN1;DKK1;ESR1;HPGD;HSPA1A;IGFBP1;MMP2;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER2;PTGER4;RELA;RXRA;SIRT1;STAT3;TIMP1;TIMP2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0009820,alkaloid metabolic process,0.039231209706835315,2,CYP1A2;CYP3A4,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0009893,positive regulation of metabolic process,0.043222159469707436,25,AKR1C3;ATG5;BECN1;CRP;DKK1;ESR1;F3;HSPA1A;IL1A;MMP9;NEAT1;NR1I2;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER4;PTGES2;PTGS2;RELA;RXRA;SIRT1;SQSTM1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0009894,regulation of catabolic process,0.024626084364793258,12,ATG5;BECN1;HPGD;HSPA1A;NEAT1;PPARA;RELA;SIRT1;SQSTM1;STAT3;TIMP1;TIMP2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0010040,response to iron(II) ion,0.039231209706835315,2,ATG5;BECN1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0010573,vascular endothelial growth factor production,0.015548014345796647,4,IL1A;PTGS2;RELA;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0010575,positive regulation of vascular endothelial growth factor production,0.011842662689889519,4,IL1A;PTGS2;RELA;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0010745,negative regulation of macrophage derived foam cell differentiation,0.015548014345796647,3,CRP;PPARA;PPARG,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0010875,positive regulation of cholesterol efflux,0.030721322189299696,3,PPARG;RXRA;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0010876,lipid localization,0.027445449272400554,7,CRP;PPARA;PPARD;PPARG;PTGS2;RXRA;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0010878,cholesterol storage,0.011842662689889519,3,PPARA;PPARD;PPARG,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0010887,negative regulation of cholesterol storage,0.003754025097632429,3,PPARA;PPARD;PPARG,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0015908,fatty acid transport,0.036361625012118495,4,PPARA;PPARD;PPARG;PTGS2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0016042,lipid catabolic process,0.006017100367402082,6,AKR1C3;CYP1A2;CYP3A4;HPGD;PPARA;PPARD,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0016053,organic acid biosynthetic process,0.00011860089717703042,8,AKR1C3;CYP1A2;CYP2C9;CYP3A4;PTGES2;PTGS1;PTGS2;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0016098,monoterpenoid metabolic process,0.003754025097632429,3,CYP1A2;CYP2C9;CYP3A4,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0019216,regulation of lipid metabolic process,0.0051113692895886085,8,AKR1C3;HPGD;NR3C1;PPARA;PPARD;PPARG;PTGS2;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,chemical_xenobiotic_stress,Chemical / xenobiotic / oxygen-stress response,GO:0019371,cyclooxygenase pathway,0.011842662689889519,2,PTGS1;PTGS2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0019395,fatty acid oxidation,0.04741010796641716,3,PPARA;PPARD;PPARG,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,0.015548014345796647,4,HSPA1A;PPARA;PPARG;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:0030518,nuclear receptor-mediated steroid hormone signaling pathway,0.001314956026631999,7,ESR1;NR3C1;PGR;PPARA;PPARD;RXRA;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0031392,regulation of prostaglandin biosynthetic process,0.024626084364793258,2,PTGS2;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0031397,negative regulation of protein ubiquitination,0.030721322189299696,3,ATG5;HSPA1A;SQSTM1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0032637,interleukin-8 production,0.039231209706835315,5,CRP;F3;HSPA1A;RELA;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0032677,regulation of interleukin-8 production,0.039231209706835315,5,CRP;F3;HSPA1A;RELA;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:0033210,leptin-mediated signaling pathway,0.039231209706835315,2,SIRT1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0033993,response to lipid,6.0080526634039634e-05,21,AKR1C3;CA9;DKK1;ESR1;HPGD;HSPA1A;IL1A;MMP2;MMP9;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER2;PTGER4;RELA;RXRA;SELE;SIRT1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:0035357,peroxisome proliferator activated receptor signaling pathway,0.002079472637512425,4,PPARA;PPARG;RXRA;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:0035556,intracellular signal transduction,0.0051113692895886085,26,AKR1C3;BECN1;CCL20;CXCR4;DKK1;DUSP1;ESR1;F3;HSPA1A;IL1A;MMP2;MMP9;NR1I2;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER4;PTGS2;RELA;RXRA;SELE;SIRT1;SQSTM1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0035973,aggrephagy,0.024626084364793258,2,ATG5;SQSTM1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0042127,regulation of cell population proliferation,0.01994231648934615,22,AKR1C3;BECN1;CRP;DUSP1;ESR1;F3;HPGD;HSPA1A;IL1A;MMP2;MMP9;NEAT1;PGR;PPARD;PPARG;PTGER2;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,chemical_xenobiotic_stress,Chemical / xenobiotic / oxygen-stress response,GO:0042178,xenobiotic catabolic process,0.002735826008314895,4,CYP1A2;CYP2C9;CYP3A4;NR1I2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0042180,ketone metabolic process,0.010237833930061745,6,AKR1C3;PPARA;PPARD;PPARG;PTGS2;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0042572,retinol metabolic process,0.02070568026337173,3,AKR1C3;CYP1A2;CYP3A4,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0042698,ovulation cycle,0.030236667825325674,4,ESR1;MMP2;PGR;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0042759,long-chain fatty acid biosynthetic process,0.0035897438310494704,4,CYP1A2;CYP2C9;CYP3A4;PTGS2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0042789,mRNA transcription by RNA polymerase II,0.036361625012118495,3,PPARG;RXRA;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,cell_death_cycle,Cell death / cell cycle / genome maintenance,GO:0042981,regulation of apoptotic process,0.01317298161302351,20,AKR1C3;ATG5;BECN1;DKK1;ESR1;F3;HPGD;HSPA1A;IL1A;MMP2;MMP9;NR3C1;PPARA;PPARD;PPARG;PTGS2;RELA;SIRT1;SQSTM1;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0044283,small molecule biosynthetic process,0.0011196797050937314,10,AKR1C3;CYP1A2;CYP2C9;CYP3A4;NR3C1;PPARA;PTGES2;PTGS1;PTGS2;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0046222,aflatoxin metabolic process,0.039231209706835315,2,CYP1A2;CYP3A4,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0046321,positive regulation of fatty acid oxidation,0.00910190374387419,3,PPARA;PPARD;PPARG,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:0048384,retinoic acid receptor signaling pathway,0.024818085926833135,3,AKR1C3;PPARG;RXRA,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0050727,regulation of inflammatory response,0.002735826008314895,11,ESR1;MMP9;NEAT1;PPARA;PPARD;PPARG;PTGER4;PTGS2;RELA;SELE;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0051707,response to other organism,0.005121000875265124,18,ATG5;BECN1;CCL20;CRP;CXCR4;ESR1;HPGD;HSPA1A;IL1A;MMP9;NR1I2;PPARD;PPARG;PTGER2;PTGS2;RELA;SELE;SQSTM1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0051716,cellular response to stimulus,0.018363908939677445,35,AKR1C3;ATG5;BECN1;CCL20;CXCR4;CYP1A2;CYP2C9;CYP3A4;DKK1;DUSP1;ESR1;F3;HPGD;HSPA1A;IGFBP1;IL1A;MMP2;MMP9;NR1I2;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER2;PTGER4;PTGS1;PTGS2;RELA;RXRA;SELE;SIRT1;SQSTM1;STAT3;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0060135,maternal process involved in female pregnancy,0.020788198050142866,4,ESR1;PGR;PPARD;PTGS2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0060612,adipose tissue development,0.04741010796641716,3,PPARD;PPARG;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0061614,miRNA transcription,0.0051113692895886085,7,ESR1;NR3C1;PPARA;PPARD;PPARG;RELA;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0062014,negative regulation of small molecule metabolic process,0.039231209706835315,4,AKR1C3;PPARA;SIRT1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0062029,positive regulation of stress granule assembly,0.011842662689889519,2,ATG5;BECN1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,chemical_xenobiotic_stress,Chemical / xenobiotic / oxygen-stress response,GO:0062197,cellular response to chemical stress,0.015548014345796647,8,ATG5;BECN1;HSPA1A;MMP2;PPARG;PTGS2;RELA;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0065008,regulation of biological quality,0.011171723815660048,22,AKR1C3;ATG5;CRP;CXCR4;CYP1A2;CYP2C9;CYP3A4;DKK1;ESR1;F3;HSPA1A;MMP2;NR3C1;PPARA;PPARD;PPARG;PTGER2;PTGER4;PTGS1;PTGS2;SIRT1;SQSTM1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,chemical_xenobiotic_stress,Chemical / xenobiotic / oxygen-stress response,GO:0070989,oxidative demethylation,0.003754025097632429,3,CYP1A2;CYP2C9;CYP3A4,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0071380,cellular response to prostaglandin E stimulus,0.011842662689889519,3,PPARG;PTGER2;PTGER4,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0071383,cellular response to steroid hormone stimulus,0.001098140849651034,9,AKR1C3;ESR1;HSPA1A;NR3C1;PGR;PPARA;PPARD;RXRA;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0071492,cellular response to UV-A,0.00593336364543644,3,MMP2;MMP9;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0071560,cellular response to transforming growth factor beta stimulus,0.04242837810604546,7,HPGD;HSPA1A;NR3C1;PPARA;PPARG;SIRT1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0090594,inflammatory response to wounding,0.010513692388108004,4,IL1A;PPARG;STAT3;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0097009,energy homeostasis,0.026497676253663883,4,PPARD;SIRT1;SQSTM1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0097267,omega-hydroxylase P450 pathway,0.039231209706835315,2,CYP1A2;CYP2C9,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0097305,response to alcohol,0.041367924550066305,7,AKR1C3;HPGD;NR3C1;PPARA;PPARG;PTGER2;PTGER4,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0098780,response to mitochondrial depolarisation,0.011842662689889519,2,BECN1;SQSTM1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:1900016,negative regulation of cytokine production involved in inflammatory response,0.036361625012118495,3,PPARA;RELA;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:1901654,response to ketone,0.02212429372284692,7,AKR1C3;CA9;NR3C1;PPARG;PTGER2;PTGER4;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,chemical_xenobiotic_stress,Chemical / xenobiotic / oxygen-stress response,GO:1901701,cellular response to oxygen-containing compound,0.03253500730312032,17,AKR1C3;BECN1;ESR1;IGFBP1;IL1A;MMP2;MMP9;NR3C1;PPARA;PPARD;PPARG;PTGER2;PTGER4;RELA;RXRA;SIRT1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:1902532,negative regulation of intracellular signal transduction,0.020788198050142866,11,DKK1;DUSP1;ESR1;HSPA1A;MMP9;PPARA;PPARG;PTGS2;RELA;SIRT1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:1902894,negative regulation of miRNA transcription,0.0025075075060019343,5,ESR1;PPARA;PPARD;PPARG;RELA,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:1905049,negative regulation of metallopeptidase activity,0.011842662689889519,2,TIMP1;TIMP2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:2000630,positive regulation of miRNA metabolic process,0.044730051117227415,5,NEAT1;NR3C1;PPARG;RELA;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,GO:2001242,regulation of intrinsic apoptotic signaling pathway,0.04603445597284999,6,BECN1;HSPA1A;MMP2;MMP9;PTGS2;SIRT1,GO-DAG-cleaned representative
REAC,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-8978868,Fatty acid metabolism,3.9802422220154506e-07,9,AKR1C3;CYP1A2;CYP2C9;HPGD;PPARD;PTGES2;PTGS1;PTGS2;RXRA,frozen term-name theme rule
REAC,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),7.158822204138875e-07,5,AKR1C3;HPGD;PTGES2;PTGS1;PTGS2,frozen term-name theme rule
REAC,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-2142753,Arachidonate metabolism,2.8494020107466143e-06,7,AKR1C3;CYP1A2;CYP2C9;HPGD;PTGES2;PTGS1;PTGS2,frozen term-name theme rule
REAC,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,REAC:R-HSA-4090294,SUMOylation of intracellular receptors,1.0557915336946468e-05,6,ESR1;NR3C1;PGR;PPARA;PPARG;RXRA,frozen term-name theme rule
REAC,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,REAC:R-HSA-556833,Metabolism of lipids,1.165956761370459e-05,12,AKR1C3;CYP1A2;CYP2C9;CYP3A4;HPGD;PPARA;PPARD;PPARG;PTGES2;PTGS1;PTGS2;RXRA,frozen term-name theme rule
REAC,gelsemium_crc1893,signaling_receptor,Signaling / receptor / hormone response,REAC:R-HSA-383280,Nuclear Receptor transcription pathway,3.12888942291696e-05,6,ESR1;PGR;PPARA;PPARD;PPARG;RXRA,frozen term-name theme rule
REAC,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,REAC:R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),4.159718900749383e-05,5,CYP1A2;CYP2C9;CYP3A4;HPGD;PTGS2,frozen term-name theme rule
REAC,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,REAC:R-HSA-9018677,Biosynthesis of DHA-derived SPMs,4.159718900749383e-05,5,CYP1A2;CYP2C9;CYP3A4;HPGD;PTGS2,frozen term-name theme rule
REAC,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,REAC:R-HSA-9027307,Biosynthesis of maresin-like SPMs,0.0027063304076110754,3,CYP1A2;CYP2C9;CYP3A4,frozen term-name theme rule
REAC,gelsemium_crc1893,other,Other / mixed biological processes,REAC:R-HSA-8953897,Cellular responses to stimuli,0.0027063304076110754,12,CA9;HSPA1A;IGFBP1;IL1A;NR3C1;PGR;PPARA;RELA;RXRA;SIRT1;SQSTM1;STAT3,frozen term-name theme rule
REAC,gelsemium_crc1893,other,Other / mixed biological processes,REAC:R-HSA-211945,Phase I - Functionalization of compounds,0.0027063304076110754,5,CYP1A2;CYP2C9;CYP3A4;PTGS1;RXRA,frozen term-name theme rule
REAC,gelsemium_crc1893,other,Other / mixed biological processes,REAC:R-HSA-2262752,Cellular responses to stress,0.0027063304076110754,12,CA9;HSPA1A;IGFBP1;IL1A;NR3C1;PGR;PPARA;RELA;RXRA;SIRT1;SQSTM1;STAT3,frozen term-name theme rule
REAC,gelsemium_crc1893,other,Other / mixed biological processes,REAC:R-HSA-2990846,SUMOylation,0.0027063304076110754,7,ESR1;NR3C1;PGR;PPARA;PPARG;RELA;RXRA,frozen term-name theme rule
