Patient,Class,Sample,Cell_type,n_cells,total_library_umi,total_umi,detected_cells,gene_symbol,mean_umi_per_cell,log1p_mean_umi_per_cell,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
SMC01,Tumor,SMC01-T,T cells,1244,3038843,227,192,CEBPB,0.182475884244373,0.16761044730231278,74.69948266494846,4.326771326403518,0.15434083601286175,True
SMC02,Normal,SMC02-N,B cells,500,6145194,8,8,CD36,0.016,0.01587334915629015,1.3018303409135659,0.8337046068510633,0.016,True
SMC02,Normal,SMC02-N,B cells,500,6145194,402,198,CEBPB,0.804,0.5900064216404319,65.4169746309067,4.195952665843259,0.396,True
SMC02,Normal,SMC02-N,Epithelial cells,119,1346121,1,1,CD36,0.008403361344537815,0.008368249670516609,0.7428752690137068,0.5555362028835815,0.008403361344537815,True
SMC02,Normal,SMC02-N,Epithelial cells,119,1346121,109,47,CEBPB,0.9159663865546218,0.6502221358429114,80.97340432249403,4.4063948571249,0.3949579831932773,True
SMC02,Normal,SMC02-N,Mast cells,5,10812,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC02,Normal,SMC02-N,Mast cells,5,10812,2,1,CEBPB,0.4,0.33647223662121295,184.9796522382538,5.225637271160433,0.2,False
SMC02,Normal,SMC02-N,Myeloids,21,175796,22,8,CD36,1.0476190476190477,0.7166776779701395,125.14505449498282,4.837432470949453,0.38095238095238093,False
SMC02,Normal,SMC02-N,Myeloids,21,175796,79,14,CEBPB,3.761904761904762,1.5606477482646683,449.3845138683474,6.110101693171198,0.6666666666666666,False
SMC02,Normal,SMC02-N,Stromal cells,265,1744153,422,57,CD36,1.5924528301886793,0.9526044662361272,241.95125083636586,5.492860809372784,0.21509433962264152,True
SMC02,Normal,SMC02-N,Stromal cells,265,1744153,679,160,CEBPB,2.5622641509433963,1.2703963401592786,389.3007092841052,5.966917491464204,0.6037735849056604,True
SMC02,Normal,SMC02-N,T cells,406,1404234,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC02,Normal,SMC02-N,T cells,406,1404234,141,108,CEBPB,0.3472906403940887,0.2980956428202486,100.4106153247963,4.619177773298982,0.2660098522167488,True
SMC02,Tumor,SMC02-T,B cells,90,495560,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC02,Tumor,SMC02-T,B cells,90,495560,19,16,CEBPB,0.2111111111111111,0.19153821189887862,38.34046331423036,3.672253590070779,0.17777777777777778,True
SMC02,Tumor,SMC02-T,Epithelial cells,352,8162628,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC02,Tumor,SMC02-T,Epithelial cells,352,8162628,1924,291,CEBPB,5.465909090909091,1.8665436196481244,235.708401754925,5.466829011263567,0.8267045454545454,True
SMC02,Tumor,SMC02-T,Myeloids,615,2674793,97,58,CD36,0.15772357723577235,0.1464556436054579,36.26448850434407,3.618040822339659,0.0943089430894309,True
SMC02,Tumor,SMC02-T,Myeloids,615,2674793,987,381,CEBPB,1.604878048780488,0.9573858598217867,369.00051704935674,5.9135044030679875,0.6195121951219512,True
SMC02,Tumor,SMC02-T,Stromal cells,105,1315584,11,4,CD36,0.10476190476190476,0.09962984094884127,8.361305701498345,2.2365847787838837,0.0380952380952381,True
SMC02,Tumor,SMC02-T,Stromal cells,105,1315584,500,75,CEBPB,4.761904761904762,1.751268107873318,380.05935006810665,5.942955137452093,0.7142857142857143,True
SMC02,Tumor,SMC02-T,T cells,527,1431570,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC02,Tumor,SMC02-T,T cells,527,1431570,124,98,CEBPB,0.23529411764705882,0.2113090936672069,86.61818842250118,4.4729886067839875,0.1859582542694497,True
SMC03,Normal,SMC03-N,B cells,697,6704654,1,1,CD36,0.0014347202295552368,0.0014336920018485886,0.14915012765759425,0.13902264973750916,0.0014347202295552368,True
SMC03,Normal,SMC03-N,B cells,697,6704654,350,189,CEBPB,0.5021520803443329,0.406898800110013,52.20254468015799,3.974106227537466,0.27116212338593976,True
SMC03,Normal,SMC03-N,Epithelial cells,65,1022785,1,1,CD36,0.015384615384615385,0.015267472130788436,0.977722590769321,0.6819459760289073,0.015384615384615385,True
SMC03,Normal,SMC03-N,Epithelial cells,65,1022785,142,34,CEBPB,2.1846153846153844,1.158331523369732,138.8366078892436,4.940474654528089,0.5230769230769231,True
SMC03,Normal,SMC03-N,Mast cells,2,5561,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC03,Normal,SMC03-N,Mast cells,2,5561,0,0,CEBPB,0.0,0.0,0.0,0.0,0.0,False
SMC03,Normal,SMC03-N,Myeloids,3,20495,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC03,Normal,SMC03-N,Myeloids,3,20495,2,1,CEBPB,0.6666666666666666,0.5108256237659907,97.58477677482313,4.590916855924174,0.3333333333333333,False
SMC03,Normal,SMC03-N,Stromal cells,25,202320,87,12,CD36,3.48,1.4996230464268938,430.01186239620404,6.066135612686028,0.48,False
SMC03,Normal,SMC03-N,Stromal cells,25,202320,63,16,CEBPB,2.52,1.2584609896100056,311.38790035587186,5.744245685960244,0.64,False
SMC03,Normal,SMC03-N,T cells,470,1863877,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC03,Normal,SMC03-N,T cells,470,1863877,150,112,CEBPB,0.3191489361702128,0.276986783335033,80.47741347739148,4.400325846591017,0.23829787234042554,True
SMC03,Tumor,SMC03-T,B cells,300,2549075,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC03,Tumor,SMC03-T,B cells,300,2549075,83,57,CEBPB,0.27666666666666667,0.24425251452444494,32.560830889636435,3.5133596396249556,0.19,True
SMC03,Tumor,SMC03-T,Epithelial cells,796,16778683,3,3,CD36,0.0037688442211055275,0.0037617599218916524,0.17879830020031964,0.1644955299057444,0.0037688442211055275,True
SMC03,Tumor,SMC03-T,Epithelial cells,796,16778683,1910,540,CEBPB,2.399497487437186,1.2236276228863503,113.83491779420352,4.743495599608005,0.678391959798995,True
SMC03,Tumor,SMC03-T,Myeloids,316,1732770,103,59,CD36,0.3259493670886076,0.28212870633522563,59.44239570167997,4.101690774303963,0.18670886075949367,True
SMC03,Tumor,SMC03-T,Myeloids,316,1732770,1200,260,CEBPB,3.7974683544303796,1.5680883526154048,692.5327654564657,6.541798485151372,0.8227848101265823,True
SMC03,Tumor,SMC03-T,Stromal cells,218,3133527,17,9,CD36,0.0779816513761468,0.07509045135506995,5.425196591572372,1.860227228223274,0.04128440366972477,True
SMC03,Tumor,SMC03-T,Stromal cells,218,3133527,1577,180,CEBPB,7.23394495412844,2.1082652381332903,503.26676617115476,6.223105426001253,0.8256880733944955,True
SMC03,Tumor,SMC03-T,T cells,493,1205504,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC03,Tumor,SMC03-T,T cells,493,1205504,141,98,CEBPB,0.28600405679513186,0.25153978039453584,116.96352728817159,4.7703754859090575,0.19878296146044624,True
SMC04,Normal,SMC04-N,B cells,569,6878511,4,4,CD36,0.007029876977152899,0.007005282588408643,0.5815212042257402,0.4583871713409246,0.007029876977152899,True
SMC04,Normal,SMC04-N,B cells,569,6878511,223,153,CEBPB,0.39191564147627417,0.33068095768809497,32.41980713558501,3.509148752222559,0.2688927943760984,True
SMC04,Normal,SMC04-N,Epithelial cells,169,1501935,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC04,Normal,SMC04-N,Epithelial cells,169,1501935,117,54,CEBPB,0.6923076923076923,0.5260930958967791,77.89950963257398,4.368175012782755,0.31952662721893493,True
SMC04,Normal,SMC04-N,Mast cells,9,21218,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC04,Normal,SMC04-N,Mast cells,9,21218,0,0,CEBPB,0.0,0.0,0.0,0.0,0.0,False
SMC04,Normal,SMC04-N,Myeloids,66,432150,45,26,CD36,0.6818181818181818,0.5198754592859086,104.13051023950017,4.655202532990783,0.3939393939393939,True
SMC04,Normal,SMC04-N,Myeloids,66,432150,181,47,CEBPB,2.742424242424242,1.3197335946015516,418.83605229665625,6.0398642833957386,0.7121212121212122,True
SMC04,Normal,SMC04-N,Stromal cells,439,2997287,426,62,CD36,0.9703872437357631,0.678230093856708,142.12853156871532,4.963743048720003,0.14123006833712984,True
SMC04,Normal,SMC04-N,Stromal cells,439,2997287,1745,340,CEBPB,3.9749430523917995,1.6044139237896242,582.1931633507235,6.368518457976086,0.7744874715261959,True
SMC04,Normal,SMC04-N,T cells,536,1654528,1,1,CD36,0.0018656716417910447,0.0018639334380626995,0.6044019805044097,0.47275108933359833,0.0018656716417910447,True
SMC04,Normal,SMC04-N,T cells,536,1654528,141,113,CEBPB,0.2630597014925373,0.23353711184147302,85.22067925112177,4.456910047403495,0.21082089552238806,True
SMC04,Tumor,SMC04-T,B cells,103,479579,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC04,Tumor,SMC04-T,B cells,103,479579,22,15,CEBPB,0.21359223300970873,0.19358474907266532,45.87356827550831,3.8474539403682915,0.14563106796116504,True
SMC04,Tumor,SMC04-T,Epithelial cells,307,6586600,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC04,Tumor,SMC04-T,Epithelial cells,307,6586600,947,227,CEBPB,3.0846905537459284,1.4072459736056688,143.77675887407767,4.975192962056032,0.739413680781759,True
SMC04,Tumor,SMC04-T,Myeloids,823,4066356,225,128,CD36,0.2733900364520049,0.24168266420391768,55.33209586174944,4.031264459062493,0.15552855407047386,True
SMC04,Tumor,SMC04-T,Myeloids,823,4066356,2339,635,CEBPB,2.842041312272175,1.3460038170923474,575.207876536142,6.3564684923524535,0.7715674362089915,True
SMC04,Tumor,SMC04-T,Stromal cells,149,1584188,14,5,CD36,0.09395973154362416,0.0898038948613032,8.837334962769571,2.286184837264253,0.03355704697986577,True
SMC04,Tumor,SMC04-T,Stromal cells,149,1584188,453,83,CEBPB,3.040268456375839,1.396311139363362,285.95090986675825,5.659311155369203,0.5570469798657718,True
SMC04,Tumor,SMC04-T,T cells,459,1442410,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC04,Tumor,SMC04-T,T cells,459,1442410,125,96,CEBPB,0.27233115468409586,0.2408507727676819,86.66051954714679,4.4734716218171195,0.20915032679738563,True
SMC05,Normal,SMC05-N,B cells,262,3177949,4,4,CD36,0.015267175572519083,0.01515180502060222,1.258673440008005,0.8147776675000538,0.015267175572519083,True
SMC05,Normal,SMC05-N,B cells,262,3177949,226,99,CEBPB,0.8625954198473282,0.6219709020920503,71.11504936045229,4.278262751503828,0.37786259541984735,True
SMC05,Normal,SMC05-N,Epithelial cells,75,672457,2,2,CD36,0.02666666666666667,0.02631730831737341,2.974167865008469,1.3798153840549374,0.02666666666666667,True
SMC05,Normal,SMC05-N,Epithelial cells,75,672457,38,20,CEBPB,0.5066666666666667,0.4098997051760302,56.50918943516091,4.0519447512977145,0.26666666666666666,True
SMC05,Normal,SMC05-N,Mast cells,7,12948,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC05,Normal,SMC05-N,Mast cells,7,12948,6,2,CEBPB,0.8571428571428571,0.6190392084062234,463.3920296570899,6.140729087008691,0.2857142857142857,False
SMC05,Normal,SMC05-N,Myeloids,21,185068,19,9,CD36,0.9047619047619048,0.6443570163905133,102.66496639073206,4.641164222001046,0.42857142857142855,False
SMC05,Normal,SMC05-N,Myeloids,21,185068,59,16,CEBPB,2.8095238095238093,1.3375041969504586,318.8017377396416,5.767701234217616,0.7619047619047619,False
SMC05,Normal,SMC05-N,Stromal cells,264,2219443,722,84,CD36,2.734848484848485,1.3177072514563193,325.3068450057064,5.787838181024685,0.3181818181818182,True
SMC05,Normal,SMC05-N,Stromal cells,264,2219443,1228,187,CEBPB,4.651515151515151,1.73192367761739,553.2919746080436,6.31769157789418,0.7083333333333334,True
SMC05,Normal,SMC05-N,T cells,485,1637506,2,2,CD36,0.004123711340206186,0.004115232145106594,1.2213695705542453,0.7981239293380922,0.004123711340206186,True
SMC05,Normal,SMC05-N,T cells,485,1637506,124,97,CEBPB,0.2556701030927835,0.2276693767724138,75.72491337436321,4.340226471464605,0.2,True
SMC05,Tumor,SMC05-T,B cells,106,1246185,1,1,CD36,0.009433962264150943,0.00938974034983903,0.8024490745756048,0.5891463371152205,0.009433962264150943,True
SMC05,Tumor,SMC05-T,B cells,106,1246185,42,31,CEBPB,0.39622641509433965,0.33377317965204795,33.7028611321754,3.5468221369305333,0.29245283018867924,True
SMC05,Tumor,SMC05-T,Epithelial cells,13,91555,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC05,Tumor,SMC05-T,Epithelial cells,13,91555,8,4,CEBPB,0.6153846153846154,0.4795730802618863,87.37917099011523,4.481636319596542,0.3076923076923077,False
SMC05,Tumor,SMC05-T,Myeloids,20,205190,10,6,CD36,0.5,0.4054651081081644,48.7353184853063,3.906715314229321,0.3,False
SMC05,Tumor,SMC05-T,Myeloids,20,205190,147,19,CEBPB,7.35,2.122261538862764,716.4091817340027,6.5756463636418765,0.95,False
SMC05,Tumor,SMC05-T,Stromal cells,16,215243,3,3,CD36,0.1875,0.17185025692665923,13.937735489655877,2.703890594565346,0.1875,False
SMC05,Tumor,SMC05-T,Stromal cells,16,215243,204,15,CEBPB,12.75,2.6210388241125804,947.7660132965997,6.855162206877389,0.9375,False
SMC05,Tumor,SMC05-T,T cells,505,2045991,3,3,CD36,0.005940594059405941,0.005923018303122066,1.466282109745351,0.9027117979335318,0.005940594059405941,True
SMC05,Tumor,SMC05-T,T cells,505,2045991,204,150,CEBPB,0.403960396039604,0.33929709725676765,99.70718346268386,4.612217132460156,0.297029702970297,True
SMC06,Normal,SMC06-N,B cells,475,7404951,4,4,CD36,0.008421052631578947,0.008385793376274027,0.5401791315026933,0.43189872881858216,0.008421052631578947,True
SMC06,Normal,SMC06-N,B cells,475,7404951,228,136,CEBPB,0.48,0.3920420877760237,30.790210495653515,3.459158396343178,0.2863157894736842,True
SMC06,Normal,SMC06-N,Epithelial cells,23,148899,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC06,Normal,SMC06-N,Epithelial cells,23,148899,10,7,CEBPB,0.43478260869565216,0.36101334553733055,67.15961826472979,4.2218522819292295,0.30434782608695654,False
SMC06,Normal,SMC06-N,Mast cells,1,2013,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC06,Normal,SMC06-N,Mast cells,1,2013,0,0,CEBPB,0.0,0.0,0.0,0.0,0.0,False
SMC06,Normal,SMC06-N,Myeloids,27,226431,3,3,CD36,0.1111111111111111,0.1053605156578263,13.249069252884984,2.656691588994485,0.1111111111111111,False
SMC06,Normal,SMC06-N,Myeloids,27,226431,52,14,CEBPB,1.9259259259259258,1.0736109864626924,229.65053371667307,5.440903723968952,0.5185185185185185,False
SMC06,Normal,SMC06-N,Stromal cells,87,718739,173,24,CD36,1.9885057471264367,1.094773512360944,240.69933592027147,5.4876945401685155,0.27586206896551724,True
SMC06,Normal,SMC06-N,Stromal cells,87,718739,313,66,CEBPB,3.5977011494252875,1.5255564284533982,435.4849256823409,6.078753840164062,0.7586206896551724,True
SMC06,Normal,SMC06-N,T cells,901,3354744,1,1,CD36,0.0011098779134295228,0.0011092624542857429,0.29808533825531847,0.2608903620801407,0.0011098779134295228,True
SMC06,Normal,SMC06-N,T cells,901,3354744,344,253,CEBPB,0.38179800221975585,0.3233855512904701,102.54135635982955,4.639971111251093,0.2807991120976693,True
SMC06,Tumor,SMC06-T,B cells,104,1995684,1,1,CD36,0.009615384615384616,0.009569451016150707,0.5010813335177312,0.40618573740431146,0.009615384615384616,True
SMC06,Tumor,SMC06-T,B cells,104,1995684,67,36,CEBPB,0.6442307692307693,0.4972726573612872,33.57244934568799,3.5430571031936386,0.34615384615384615,True
SMC06,Tumor,SMC06-T,Epithelial cells,189,4455341,1,1,CD36,0.005291005291005291,0.005277057100843764,0.22444971103221953,0.2024915275852858,0.005291005291005291,True
SMC06,Tumor,SMC06-T,Epithelial cells,189,4455341,613,157,CEBPB,3.2433862433862433,1.4453615928068722,137.58767286275057,4.931503142416178,0.8306878306878307,True
SMC06,Tumor,SMC06-T,Mast cells,1,4034,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC06,Tumor,SMC06-T,Mast cells,1,4034,0,0,CEBPB,0.0,0.0,0.0,0.0,0.0,False
SMC06,Tumor,SMC06-T,Myeloids,215,1401524,163,62,CD36,0.7581395348837209,0.5642561674919249,116.30196842865338,4.7647515366665685,0.28837209302325584,True
SMC06,Tumor,SMC06-T,Myeloids,215,1401524,1084,175,CEBPB,5.0418604651162795,1.7987119885429368,773.4437655009832,6.65214504973344,0.813953488372093,True
SMC06,Tumor,SMC06-T,Stromal cells,83,1431141,44,9,CD36,0.5301204819277109,0.4253464786619934,30.744699508993175,3.45772576680326,0.10843373493975904,True
SMC06,Tumor,SMC06-T,Stromal cells,83,1431141,572,66,CEBPB,6.891566265060241,2.065794627838654,399.68109361691126,5.9931658331421325,0.7951807228915663,True
SMC06,Tumor,SMC06-T,T cells,949,3403603,1,1,CD36,0.001053740779768177,0.0010531859846586533,0.29380629879571735,0.25758849306211556,0.001053740779768177,True
SMC06,Tumor,SMC06-T,T cells,949,3403603,466,277,CEBPB,0.4910432033719705,0.39947601146741013,136.9137352388043,4.9266283827312,0.291886195995785,True
SMC07,Normal,SMC07-N,B cells,507,4527340,10,10,CD36,0.01972386587771203,0.01953187091724597,2.2088025198019148,1.16589782075198,0.01972386587771203,True
SMC07,Normal,SMC07-N,B cells,507,4527340,187,121,CEBPB,0.368836291913215,0.3139609569156213,41.304607120295806,3.744895995494807,0.23865877712031558,True
SMC07,Normal,SMC07-N,Epithelial cells,128,1267852,4,3,CD36,0.03125,0.030771658666753687,3.154942374977521,1.4242985593730966,0.0234375,True
SMC07,Normal,SMC07-N,Epithelial cells,128,1267852,55,34,CEBPB,0.4296875,0.3574558889218038,43.380457655940916,3.7927992296626543,0.265625,True
SMC07,Normal,SMC07-N,Mast cells,3,9410,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC07,Normal,SMC07-N,Mast cells,3,9410,0,0,CEBPB,0.0,0.0,0.0,0.0,0.0,False
SMC07,Normal,SMC07-N,Myeloids,28,121305,4,2,CD36,0.14285714285714285,0.13353139262452263,32.97473311075389,3.5256171045465705,0.07142857142857142,False
SMC07,Normal,SMC07-N,Myeloids,28,121305,45,18,CEBPB,1.6071428571428572,0.9582549309731873,370.9657474959812,5.918801773410127,0.6428571428571429,False
SMC07,Normal,SMC07-N,Stromal cells,578,4277856,1164,129,CD36,2.013840830449827,1.1032152887400708,272.0989205807769,5.609834076003071,0.2231833910034602,True
SMC07,Normal,SMC07-N,Stromal cells,578,4277856,2019,415,CEBPB,3.4930795847750864,1.5025383429903711,471.9653957496466,6.15902222672402,0.7179930795847751,True
SMC07,Normal,SMC07-N,T cells,970,3007798,8,8,CD36,0.008247422680412371,0.008213598537388829,2.659753081822649,1.2973956811545952,0.008247422680412371,True
SMC07,Normal,SMC07-N,T cells,970,3007798,235,186,CEBPB,0.2422680412371134,0.21693877442732687,78.13024677854031,4.371095188263279,0.19175257731958764,True
SMC07,Tumor,SMC07-T,B cells,814,7785189,1,1,CD36,0.0012285012285012285,0.0012277472383224108,0.12844903315770498,0.12084415290394568,0.0012285012285012285,True
SMC07,Tumor,SMC07-T,B cells,814,7785189,269,190,CEBPB,0.33046683046683045,0.28552988099845034,34.552789919422636,3.57101863191602,0.2334152334152334,True
SMC07,Tumor,SMC07-T,Epithelial cells,542,12634066,7,3,CD36,0.012915129151291513,0.012832440069884423,0.5540575773468336,0.4408693023188206,0.005535055350553505,True
SMC07,Tumor,SMC07-T,Epithelial cells,542,12634066,2231,383,CEBPB,4.1162361623616235,1.6324190441761317,176.58606500868368,5.179455364690761,0.7066420664206642,True
SMC07,Tumor,SMC07-T,Mast cells,2,6975,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC07,Tumor,SMC07-T,Mast cells,2,6975,0,0,CEBPB,0.0,0.0,0.0,0.0,0.0,False
SMC07,Tumor,SMC07-T,Myeloids,332,2207215,147,97,CD36,0.4427710843373494,0.3665656284944267,66.59976486205467,4.213604504670896,0.2921686746987952,True
SMC07,Tumor,SMC07-T,Myeloids,332,2207215,850,244,CEBPB,2.5602409638554215,1.2698282290495548,385.10068117514606,5.9560981675140265,0.7349397590361446,True
SMC07,Tumor,SMC07-T,Stromal cells,209,1735699,127,31,CD36,0.6076555023923444,0.4747769079983932,73.16936865205315,4.306351243538221,0.14832535885167464,True
SMC07,Tumor,SMC07-T,Stromal cells,209,1735699,490,111,CEBPB,2.3444976076555024,1.2073164902689992,282.3070129094964,5.646531160887646,0.5311004784688995,True
SMC07,Tumor,SMC07-T,T cells,2171,4370193,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC07,Tumor,SMC07-T,T cells,2171,4370193,297,262,CEBPB,0.136803316444035,0.1282202151469866,67.96038527360233,4.233532213254017,0.12068171349608475,True
SMC08,Normal,SMC08-N,B cells,591,4313261,3,3,CD36,0.005076142131979695,0.005063301956546729,0.6955294381675489,0.5279950449616106,0.005076142131979695,True
SMC08,Normal,SMC08-N,B cells,591,4313261,238,129,CEBPB,0.4027072758037225,0.3384041377291968,55.17866876129221,4.0285371254411295,0.2182741116751269,True
SMC08,Normal,SMC08-N,Epithelial cells,18,139386,0,0,CD36,0.0,0.0,0.0,0.0,0.0,False
SMC08,Normal,SMC08-N,Epithelial cells,18,139386,14,7,CEBPB,0.7777777777777778,0.5753641449035619,100.44050335040822,4.619472452727159,0.3888888888888889,False
SMC08,Normal,SMC08-N,Mast cells,41,98149,1,1,CD36,0.024390243902439025,0.024097551579060503,10.188590816004238,2.414894581954379,0.024390243902439025,False
SMC08,Normal,SMC08-N,Mast cells,41,98149,11,7,CEBPB,0.2682926829268293,0.23767165187711956,112.07449897604663,4.728046884454658,0.17073170731707318,False
SMC08,Normal,SMC08-N,Myeloids,34,233489,38,16,CD36,1.1176470588235294,0.750305594399894,162.7485663136165,5.09833211914034,0.47058823529411764,False
SMC08,Normal,SMC08-N,Myeloids,34,233489,186,27,CEBPB,5.470588235294118,1.8672670217362002,796.6114035350702,6.681621515856193,0.7941176470588235,False
SMC08,Normal,SMC08-N,Stromal cells,233,1750819,335,48,CD36,1.4377682403433476,0.8910829651554508,191.33902476498142,5.259259568901207,0.20600858369098712,True
SMC08,Normal,SMC08-N,Stromal cells,233,1750819,903,144,CEBPB,3.875536480686695,1.584230145715396,515.758624963517,6.247575889208301,0.6180257510729614,True
SMC08,Normal,SMC08-N,T cells,703,2326071,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC08,Normal,SMC08-N,T cells,703,2326071,166,132,CEBPB,0.2361308677098151,0.21198623345472714,71.3649755317013,4.281722418966127,0.18776671408250356,True
SMC08,Tumor,SMC08-T,B cells,304,3087788,1,1,CD36,0.003289473684210526,0.0032840752011899254,0.32385643055805646,0.28054901550079536,0.003289473684210526,True
SMC08,Tumor,SMC08-T,B cells,304,3087788,126,77,CEBPB,0.4144736842105263,0.34675750728138643,40.805910250315115,3.7330377230837937,0.2532894736842105,True
SMC08,Tumor,SMC08-T,Epithelial cells,320,6089548,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC08,Tumor,SMC08-T,Epithelial cells,320,6089548,2063,232,CEBPB,6.446875,2.0077944813049697,338.7771965998133,5.82829009868642,0.725,True
SMC08,Tumor,SMC08-T,Myeloids,310,2347589,75,48,CD36,0.24193548387096775,0.2166710368085923,31.947670567548236,3.494920562472146,0.15483870967741936,True
SMC08,Tumor,SMC08-T,Myeloids,310,2347589,1470,273,CEBPB,4.741935483870968,1.747796345806939,626.1743431239455,6.441224561190468,0.8806451612903226,True
SMC08,Tumor,SMC08-T,Stromal cells,158,1817559,12,4,CD36,0.0759493670886076,0.07320340402329496,6.6022616047126945,2.0284457825917275,0.02531645569620253,True
SMC08,Tumor,SMC08-T,Stromal cells,158,1817559,718,126,CEBPB,4.544303797468355,1.7127710579094246,395.0353193486429,5.981503397551616,0.7974683544303798,True
