background,source,term_id,term_name,term_size_api,term_size_local,intersection_size_api,intersection_size_local,query_size_api,query_size_local,effective_domain_api,effective_domain_local,local_raw_p_custom_domain,local_raw_p_annotated_domain,gprofiler_p_value_adjusted,historical_runner_raw_p,gprofiler_p_value_reconstructed_bh,local_annotated_domain_bh_fdr,api_adjusted_p_abs_diff,audit_focus
sensitivity_dinp93,REAC,REAC:R-HSA-109606,Intrinsic Pathway for Apoptosis,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9006925,Intracellular signaling by second messengers,2,2,2,2,18,18,100,100,0.030909090909092683,0.043037974683545636,0.2690625000000001,0.030909090909092683,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-8985947,Interleukin-9 signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-1266695,Interleukin-7 signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-1059683,Interleukin-6 signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-392499,Metabolism of proteins,21,21,7,7,18,18,100,100,0.046137734468895845,0.10495875667278581,0.2690625000000001,0.046137734468895845,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-556833,Metabolism of lipids,21,21,6,6,18,18,100,100,0.1367584615951585,0.2545990713950923,0.2690625000000001,0.1367584615951585,0.26906250000000437,0.38457859731784994,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9730414,MITF-M-regulated melanocyte development,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9856651,MITF-M-dependent gene expression,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-8875791,MET activates STAT3,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-451927,Interleukin-2 family signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-8983432,Interleukin-15 signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-166166,MyD88-independent TLR4 cascade ,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-975155,MyD88 dependent cascade initiated on endosome,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-975871,MyD88 cascade initiated on plasma membrane,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-156581,Methylation,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-383280,Nuclear Receptor transcription pathway,7,7,3,3,18,18,100,100,0.1079636667692616,0.16131395298617907,0.2690625000000001,0.1079636667692616,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9675108,Nervous system development,4,4,3,3,18,18,100,100,0.017844423617619544,0.02859166150305452,0.2690625000000001,0.017844423617619544,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-199418,Negative regulation of the PI3K/AKT network,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-3772470,Negative regulation of TCF-dependent signaling by WNT ligand antagonists,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9022707,MECP2 regulates transcription factors,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
