input_set,input_symbol,ensembl_id
primary_genecards881,CKMT2-AS1,ENSG00000247572
primary_genecards881,CLDN1,ENSG00000163347
primary_genecards881,COL4A2-AS1,ENSG00000232814
primary_genecards881,COLCA1,ENSG00000196167
primary_genecards881,COMETT,ENSG00000231210
primary_genecards881,CP,ENSG00000047457
primary_genecards881,CPS1-IT1,ENSG00000280837
primary_genecards881,CREBBP,ENSG00000005339
primary_genecards881,CRNDE,ENSG00000245694
primary_genecards881,CRP,ENSG00000132693
primary_genecards881,CRTC3,ENSG00000140577
primary_genecards881,CTLA4,ENSG00000163599
primary_genecards881,CTNNA1,ENSG00000044115
primary_genecards881,CTNNB1,ENSG00000168036
primary_genecards881,CTSB,ENSG00000164733
primary_genecards881,CUL2,ENSG00000108094
primary_genecards881,CXCL12,ENSG00000107562
primary_genecards881,CXCL8,ENSG00000169429
primary_genecards881,CXCR4,ENSG00000121966
primary_genecards881,CYP1A1,ENSG00000140465
primary_genecards881,CYP1A2,ENSG00000140505
primary_genecards881,CYP1B1,ENSG00000138061
primary_genecards881,CYP24A1,ENSG00000019186
primary_genecards881,CYP2E1,ENSG00000130649
primary_genecards881,CYP3A4,ENSG00000160868
primary_genecards881,CYTOR,ENSG00000222041
primary_genecards881,DAAM2,ENSG00000146122
primary_genecards881,DANCR,ENSG00000226950
primary_genecards881,DCC,ENSG00000187323
primary_genecards881,DCLK1,ENSG00000133083
primary_genecards881,DCST1-AS1,ENSG00000232093
primary_genecards881,DDX11-AS1,ENSG00000245614
primary_genecards881,DDX3ILA1,ENSG00000232756
primary_genecards881,DGCR5,ENSG00000273032
primary_genecards881,DHFR,ENSG00000228716
primary_genecards881,DICER1-AS1,ENSG00000235706
primary_genecards881,DKK1,ENSG00000107984
primary_genecards881,DLC1,ENSG00000164741
primary_genecards881,DLEU1,ENSG00000176124
primary_genecards881,DLEU2,ENSG00000231607
primary_genecards881,DLGAP1-AS1,ENSG00000177337
primary_genecards881,DLGAP1-AS2,ENSG00000262001
primary_genecards881,DLX6-AS1,ENSG00000231764
primary_genecards881,DMD,ENSG00000198947
primary_genecards881,DNAJC3-DT,ENSG00000247400
primary_genecards881,DNMT1,ENSG00000130816
primary_genecards881,DNMT3A,ENSG00000119772
primary_genecards881,DPP10-AS1,ENSG00000235026
primary_genecards881,DPYD,ENSG00000188641
primary_genecards881,DSCAM-AS1,ENSG00000235123
primary_genecards881,DUSP16,ENSG00000111266
primary_genecards881,DUXAP8,ENSG00000206195
primary_genecards881,DUXAP8,ENSG00000271672
primary_genecards881,DUXAP9,ENSG00000225210
primary_genecards881,DUXAP9,ENSG00000293329
primary_genecards881,E2F1,ENSG00000101412
primary_genecards881,EBLN3P,ENSG00000281649
primary_genecards881,EGF,ENSG00000138798
primary_genecards881,EGFR,ENSG00000146648
primary_genecards881,EGFR-AS1,ENSG00000224057
primary_genecards881,EGOT,ENSG00000235947
primary_genecards881,EIF3E,ENSG00000104408
primary_genecards881,EIF3J-DT,ENSG00000179523
primary_genecards881,ELFN1-AS1,ENSG00000236081
primary_genecards881,ENG,ENSG00000106991
primary_genecards881,ENSG00000231881,ENSG00000231881
primary_genecards881,EOLA1-DT,ENSG00000241769
primary_genecards881,EP300,ENSG00000100393
primary_genecards881,EPB41L4A-AS1,ENSG00000224032
primary_genecards881,EPCAM,ENSG00000119888
primary_genecards881,EPHB2,ENSG00000133216
primary_genecards881,EPIC1,ENSG00000224271
primary_genecards881,ERBB2,ENSG00000141736
primary_genecards881,ERBB3,ENSG00000065361
primary_genecards881,ERBB4,ENSG00000178568
primary_genecards881,ERCC1,ENSG00000012061
primary_genecards881,ERCC2,ENSG00000104884
primary_genecards881,EREG,ENSG00000124882
primary_genecards881,ESR1,ENSG00000091831
primary_genecards881,ESR2,ENSG00000140009
primary_genecards881,ESRG,ENSG00000265992
primary_genecards881,ETV6,ENSG00000139083
primary_genecards881,EWSAT1,ENSG00000212766
primary_genecards881,EXO1,ENSG00000174371
primary_genecards881,EZH2,ENSG00000106462
primary_genecards881,EZR-AS1,ENSG00000233893
primary_genecards881,FALEC,ENSG00000228126
primary_genecards881,FAM201A,ENSG00000204860
primary_genecards881,FAM222A-AS1,ENSG00000255650
primary_genecards881,FAM230B,ENSG00000215498
primary_genecards881,FAM30A,ENSG00000226777
primary_genecards881,FAM3D-AS1,ENSG00000244383
primary_genecards881,FANCC,ENSG00000158169
primary_genecards881,FANCE,ENSG00000112039
primary_genecards881,FANCI,ENSG00000140525
primary_genecards881,FANCM,ENSG00000187790
primary_genecards881,FAP,ENSG00000078098
primary_genecards881,FARP1,ENSG00000152767
primary_genecards881,FARSA,ENSG00000179115
primary_genecards881,FASLG,ENSG00000117560
primary_genecards881,FBXO11,ENSG00000138081
primary_genecards881,FBXW7,ENSG00000109670
