GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore,gene_symbol
1242,CACNA1G,Calcium Voltage-Gated Channel Subunit Alpha1 G,Protein Coding,7.1,99,CACNA1G
1243,MIR495,MicroRNA 495,RNA Gene,7.1,63,MIR495
1244,ULK1,Unc-51 Like Autophagy Activating Kinase 1,Protein Coding,7.1,90,ULK1
1245,HLA-A,"Major Histocompatibility Complex, Class I, A",Protein Coding,7.1,95,HLA-A
1246,TUSC3,Tumor Suppressor Candidate 3,Protein Coding,7.1,92,TUSC3
1247,TXN,Thioredoxin,Protein Coding,7.0,88,TXN
1248,ERN1,Endoplasmic Reticulum To Nucleus Signaling 1,Protein Coding,7.0,89,ERN1
1249,NKD1,NKD Inhibitor Of Wnt Signaling Pathway 1,Protein Coding,7.0,64,NKD1
1250,TLR7,Toll Like Receptor 7,Protein Coding,7.0,98,TLR7
1251,IKBKB,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta,Protein Coding,7.0,100,IKBKB
1252,RPS6KB1,Ribosomal Protein S6 Kinase B1,Protein Coding,7.0,93,RPS6KB1
1253,GRP,Gastrin Releasing Peptide,Protein Coding,7.0,75,GRP
1254,NRP2,Neuropilin 2,Protein Coding,7.0,96,NRP2
1255,XBP1,X-Box Binding Protein 1,Protein Coding,7.0,86,XBP1
1256,ILK,Integrin Linked Kinase,Protein Coding,7.0,99,ILK
1257,CASP5,Caspase 5,Protein Coding,7.0,78,CASP5
1258,XRCC5,X-Ray Repair Cross Complementing 5,Protein Coding,7.0,91,XRCC5
1259,ABCA4,ATP Binding Cassette Subfamily A Member 4,Protein Coding,7.0,94,ABCA4
1260,SKP2,S-Phase Kinase Associated Protein 2,Protein Coding,7.0,88,SKP2
1261,FHIT,Fragile Histidine Triad Diadenosine Triphosphatase,Protein Coding,7.0,78,FHIT
1262,PTGES,Prostaglandin E Synthase,Protein Coding,7.0,76,PTGES
1263,FGF2,Fibroblast Growth Factor 2,Protein Coding,6.9,88,FGF2
1264,MIF,Macrophage Migration Inhibitory Factor,Protein Coding,6.9,86,MIF
1265,GLS,Glutaminase,Protein Coding,6.9,96,GLS
1266,RRM2,Ribonucleotide Reductase Regulatory Subunit M2,Protein Coding,6.9,89,RRM2
1267,TFAP2A,Transcription Factor AP-2 Alpha,Protein Coding,6.9,99,TFAP2A
1268,KLF6,KLF Transcription Factor 6,Protein Coding,6.9,74,KLF6
1269,CD4,CD4 Molecule,Protein Coding,6.9,95,CD4
1270,LMNA,Lamin A/C,Protein Coding,6.9,100,LMNA
1271,MAP3K7,Mitogen-Activated Protein Kinase Kinase Kinase 7,Protein Coding,6.9,100,MAP3K7
1272,CCR7,C-C Motif Chemokine Receptor 7,Protein Coding,6.9,82,CCR7
1273,SLCO1B1,Solute Carrier Organic Anion Transporter Family Member 1B1,Protein Coding,6.9,100,SLCO1B1
1274,TNFRSF10A,TNF Receptor Superfamily Member 10a,Protein Coding,6.9,89,TNFRSF10A
1275,CTSL,Cathepsin L,Protein Coding,6.9,91,CTSL
1276,LGALS9,Galectin 9,Protein Coding,6.8,79,LGALS9
1277,MIR186,MicroRNA 186,RNA Gene,6.8,60,MIR186
1278,MIR483,MicroRNA 483,RNA Gene,6.8,63,MIR483
1279,DIS3L2,DIS3 Like 3'-5' Exoribonuclease 2,Protein Coding,6.8,85,DIS3L2
1280,CXCR3,C-X-C Motif Chemokine Receptor 3,Protein Coding,6.8,85,CXCR3
1281,BDNF,Brain Derived Neurotrophic Factor,Protein Coding,6.8,100,BDNF
1282,NOX1,NADPH Oxidase 1,Protein Coding,6.8,87,NOX1
1283,DDB2,Damage Specific DNA Binding Protein 2,Protein Coding,6.8,96,DDB2
1284,MIR302A,MicroRNA 302a,RNA Gene,6.8,62,MIR302A
1285,E2F3,E2F Transcription Factor 3,Protein Coding,6.8,87,E2F3
1286,BNIP3,BCL2 Interacting Protein 3,Protein Coding,6.8,74,BNIP3
1287,HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,6.8,88,HSPA1A
1288,CCKBR,Cholecystokinin B Receptor,Protein Coding,6.8,87,CCKBR
1289,PTGES2,Prostaglandin E Synthase 2,Protein Coding,6.8,79,PTGES2
1290,FOXO4,Forkhead Box O4,Protein Coding,6.8,78,FOXO4
1291,MAPK7,Mitogen-Activated Protein Kinase 7,Protein Coding,6.8,92,MAPK7
1292,CDC20,Cell Division Cycle 20,Protein Coding,6.8,87,CDC20
1293,SCARNA5,Small Cajal Body-Specific RNA 5,RNA Gene,6.8,58,SCARNA5
1294,CHUK,Component Of Inhibitor Of Nuclear Factor Kappa B Kinase Complex,Protein Coding,6.8,100,CHUK
1295,ATF6,Activating Transcription Factor 6,Protein Coding,6.7,97,ATF6
1296,SERPINB5,Serpin Family B Member 5,Protein Coding,6.7,72,SERPINB5
1297,RIGI,RNA Sensor RIG-I,Protein Coding,6.7,100,RIGI
1298,CSNK2A2,Casein Kinase 2 Alpha 2,Protein Coding,6.7,91,CSNK2A2
1299,RBPJ,Recombination Signal Binding Protein For Immunoglobulin Kappa J Region,Protein Coding,6.7,100,RBPJ
1300,CTNND1,Catenin Delta 1,Protein Coding,6.7,100,CTNND1
1301,RXRA,Retinoid X Receptor Alpha,Protein Coding,6.7,91,RXRA
1302,CEACAM1,CEA Cell Adhesion Molecule 1,Protein Coding,6.7,84,CEACAM1
1303,BCAR4,Breast Cancer Anti-Estrogen Resistance 4,RNA Gene,6.7,55,BCAR4
1304,EED,Embryonic Ectoderm Development,Protein Coding,6.7,99,EED
1305,NUDT1,Nudix Hydrolase 1,Protein Coding,6.7,74,NUDT1
1306,IGFBP7,Insulin Like Growth Factor Binding Protein 7,Protein Coding,6.7,86,IGFBP7
1307,CD82,CD82 Molecule,Protein Coding,6.7,72,CD82
1308,SHC1,SHC Adaptor Protein 1,Protein Coding,6.7,92,SHC1
1309,PGK1,Phosphoglycerate Kinase 1,Protein Coding,6.6,98,PGK1
1310,FUT4,Fucosyltransferase 4,Protein Coding,6.6,70,FUT4
1311,PRMT1,Protein Arginine Methyltransferase 1,Protein Coding,6.6,92,PRMT1
1312,AIFM1,Apoptosis Inducing Factor Mitochondria Associated 1,Protein Coding,6.6,96,AIFM1
1313,COL1A1,Collagen Type I Alpha 1 Chain,Protein Coding,6.6,100,COL1A1
1314,FZD10,Frizzled Class Receptor 10,Protein Coding,6.6,76,FZD10
1315,MIR125B1,MicroRNA 125b-1,RNA Gene,6.6,67,MIR125B1
1316,FAT4,FAT Atypical Cadherin 4,Protein Coding,6.6,87,FAT4
1317,MIR590,MicroRNA 590,RNA Gene,6.6,66,MIR590
1318,GADD45B,Growth Arrest And DNA Damage Inducible Beta,Protein Coding,6.6,71,GADD45B
1319,IL22,Interleukin 22,Protein Coding,6.6,72,IL22
1320,SPINK1,Serine Peptidase Inhibitor Kazal Type 1,Protein Coding,6.5,82,SPINK1
1321,RPSA,Ribosomal Protein SA,Protein Coding,6.5,100,RPSA
1322,CEACAM7,CEA Cell Adhesion Molecule 7,Protein Coding,6.5,64,CEACAM7
1323,AKR1A1,Aldo-Keto Reductase Family 1 Member A1,Protein Coding,6.5,80,AKR1A1
1324,TXNRD1,Thioredoxin Reductase 1,Protein Coding,6.5,92,TXNRD1
1325,CALR,Calreticulin,Protein Coding,6.5,94,CALR
1326,CFL1,Cofilin 1,Protein Coding,6.5,88,CFL1
1327,IGF2R,Insulin Like Growth Factor 2 Receptor,Protein Coding,6.5,94,IGF2R
1328,LOC126860202,BRD4-Independent Group 4 Enhancer GRCh37_chr7:140493623-140494822,Functional Element,6.4,54,LOC126860202
1329,MCM9,Minichromosome Maintenance 9 Homologous Recombination Repair Factor,Protein Coding,6.4,84,MCM9
1330,CBR1,Carbonyl Reductase 1,Protein Coding,6.4,81,CBR1
1331,HPRT1,Hypoxanthine Phosphoribosyltransferase 1,Protein Coding,6.4,95,HPRT1
1332,FCGR2A,Fc Gamma Receptor IIa,Protein Coding,6.4,90,FCGR2A
1333,MUC6,"Mucin 6, Oligomeric Mucus/Gel-Forming (Gene/Pseudogene)",Protein Coding,6.4,75,MUC6
1334,GAST,Gastrin,Protein Coding,6.4,65,GAST
1335,EXOC4,Exocyst Complex Component 4,Protein Coding,6.4,79,EXOC4
1336,BIRC7,Baculoviral IAP Repeat Containing 7,Protein Coding,6.4,77,BIRC7
1337,TMSB4X,Thymosin Beta 4 X-Linked,Protein Coding,6.3,72,TMSB4X
1338,DAPK1,Death Associated Protein Kinase 1,Protein Coding,6.3,92,DAPK1
1339,VEGFD,Vascular Endothelial Growth Factor D,Protein Coding,6.3,73,VEGFD
1340,PTP4A3,Protein Tyrosine Phosphatase 4A3,Protein Coding,6.3,73,PTP4A3
1341,LOC129994371,ATAC-STARR-Seq Lymphoblastoid Active Region 22910,Functional Element,6.3,56,LOC129994371
1342,NTRK2,Neurotrophic Receptor Tyrosine Kinase 2,Protein Coding,6.3,100,NTRK2
1343,SDHA,Succinate Dehydrogenase Complex Flavoprotein Subunit A,Protein Coding,6.3,100,SDHA
1344,MIR98,MicroRNA 98,RNA Gene,6.3,65,MIR98
1345,MIR543,MicroRNA 543,RNA Gene,6.3,58,MIR543
1346,ERCC5,"ERCC Excision Repair 5, Endonuclease",Protein Coding,6.2,95,ERCC5
1347,PRKD1,Protein Kinase D1,Protein Coding,6.2,99,PRKD1
1348,TKT,Transketolase,Protein Coding,6.2,92,TKT
1349,MAP3K14,Mitogen-Activated Protein Kinase Kinase Kinase 14,Protein Coding,6.2,99,MAP3K14
1350,SLC16A3,Solute Carrier Family 16 Member 3,Protein Coding,6.2,84,SLC16A3
1351,CASC8,Cancer Susceptibility 8,RNA Gene,6.2,54,CASC8
1352,NOS3,Nitric Oxide Synthase 3,Protein Coding,6.2,100,NOS3
1353,MIRLET7C,MicroRNA Let-7c,RNA Gene,6.2,62,MIRLET7C
1354,PRKAR1A,Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha,Protein Coding,6.1,100,PRKAR1A
1355,FABP6,Fatty Acid Binding Protein 6,Protein Coding,6.1,70,FABP6
1356,BMP6,Bone Morphogenetic Protein 6,Protein Coding,6.1,82,BMP6
1357,SDHC,Succinate Dehydrogenase Complex Subunit C,Protein Coding,6.0,95,SDHC
1358,ATRX,ATRX Chromatin Remodeler,Protein Coding,6.0,99,ATRX
1359,PRMT5,Protein Arginine Methyltransferase 5,Protein Coding,6.0,91,PRMT5
1360,CASP6,Caspase 6,Protein Coding,5.9,90,CASP6
1361,IGFBP4,Insulin Like Growth Factor Binding Protein 4,Protein Coding,5.9,75,IGFBP4
1362,CEACAM3,CEA Cell Adhesion Molecule 3,Protein Coding,5.9,70,CEACAM3
1363,GUCA2A,Guanylate Cyclase Activator 2A,Protein Coding,5.9,54,GUCA2A
1364,KMT2C,Lysine Methyltransferase 2C,Protein Coding,5.9,100,KMT2C
1365,CRIPTO,"Cripto, EGF-CFC Family Member",Protein Coding,5.8,77,CRIPTO
1366,FUT3,Fucosyltransferase 3 (Lewis Blood Group),Protein Coding,5.8,81,FUT3
1367,BCAT1,Branched Chain Amino Acid Transaminase 1,Protein Coding,5.8,83,BCAT1
1368,SETDB1,SET Domain Bifurcated Histone Lysine Methyltransferase 1,Protein Coding,5.8,87,SETDB1
1369,ITGB3,Integrin Subunit Beta 3,Protein Coding,5.8,100,ITGB3
1370,MIR181D,MicroRNA 181d,RNA Gene,5.8,61,MIR181D
1371,FMNL2,Formin Like 2,Protein Coding,5.7,78,FMNL2
1372,NTS,Neurotensin,Protein Coding,5.7,70,NTS
1373,PRSS1,Serine Protease 1,Protein Coding,5.7,94,PRSS1
1374,GUSB,Glucuronidase Beta,Protein Coding,5.7,98,GUSB
1375,PTPRR,Protein Tyrosine Phosphatase Receptor Type R,Protein Coding,5.7,72,PTPRR
1376,MIR663A,MicroRNA 663a,RNA Gene,5.6,55,MIR663A
1377,CDKN2B,Cyclin Dependent Kinase Inhibitor 2B,Protein Coding,5.6,83,CDKN2B
1378,MIR199B,MicroRNA 199b,RNA Gene,5.6,63,MIR199B
1379,CLCA1,Chloride Channel Accessory 1,Protein Coding,5.6,72,CLCA1
1380,CCN4,Cellular Communication Network Factor 4,Protein Coding,5.6,72,CCN4
1381,PGR-AS1,PGR Antisense RNA 1,RNA Gene,5.6,52,PGR-AS1
1382,INSR,Insulin Receptor,Protein Coding,5.6,100,INSR
1383,LOC129933695,ATAC-STARR-Seq Lymphoblastoid Active Region 15732,Functional Element,5.6,52,LOC129933695
1384,PON1,Paraoxonase 1,Protein Coding,5.5,86,PON1
1385,UGT1A8,UDP Glucuronosyltransferase Family 1 Member A8,Protein Coding,5.5,89,UGT1A8
1386,SNORD118,"Small Nucleolar RNA, C/D Box 118",RNA Gene,5.5,62,SNORD118
1387,ERCC4,"ERCC Excision Repair 4, Endonuclease Catalytic Subunit",Protein Coding,5.5,98,ERCC4
1388,MIR379,MicroRNA 379,RNA Gene,5.5,59,MIR379
1389,PPP2R1B,Protein Phosphatase 2 Scaffold Subunit Abeta,Protein Coding,5.5,86,PPP2R1B
1390,TMPRSS4,Transmembrane Serine Protease 4,Protein Coding,5.5,74,TMPRSS4
1391,SDHAF2,Succinate Dehydrogenase Complex Assembly Factor 2,Protein Coding,5.5,82,SDHAF2
1392,XPC,"XPC Complex Subunit, DNA Damage Recognition And Repair Factor",Protein Coding,5.5,100,XPC
1393,AMACR,Alpha-Methylacyl-CoA Racemase,Protein Coding,5.5,88,AMACR
1394,IFI27,Interferon Alpha Inducible Protein 27,Protein Coding,5.5,70,IFI27
1395,PTBP1,Polypyrimidine Tract Binding Protein 1,Protein Coding,5.5,90,PTBP1
1396,KMT2D,Lysine Methyltransferase 2D,Protein Coding,5.5,100,KMT2D
1397,VEGFB,Vascular Endothelial Growth Factor B,Protein Coding,5.4,84,VEGFB
1398,NEUROG1,Neurogenin 1,Protein Coding,5.4,65,NEUROG1
1399,IRF5,Interferon Regulatory Factor 5,Protein Coding,5.4,88,IRF5
1400,AXL,AXL Receptor Tyrosine Kinase,Protein Coding,5.4,100,AXL
1401,UGT1A,UDP Glucuronosyltransferase Family 1 Member A Complex Locus,Protein Coding,5.4,42,UGT1A
1402,CD80,CD80 Molecule,Protein Coding,5.4,90,CD80
1403,TMX2-CTNND1,TMX2-CTNND1 Readthrough (NMD Candidate),Protein Coding,5.4,44,TMX2-CTNND1
1404,MAX,MYC Associated Transcriptional Regulator X,Protein Coding,5.4,100,MAX
1405,TPBG,Trophoblast Glycoprotein,Protein Coding,5.3,68,TPBG
1406,CDKN1C,Cyclin Dependent Kinase Inhibitor 1C,Protein Coding,5.3,94,CDKN1C
1407,UGT1A10,UDP Glucuronosyltransferase Family 1 Member A10,Protein Coding,5.3,88,UGT1A10
1408,HLA-B,"Major Histocompatibility Complex, Class I, B",Protein Coding,5.3,96,HLA-B
1409,EPM2AIP1,EPM2A Interacting Protein 1,Protein Coding,5.3,56,EPM2AIP1
1410,USP28,Ubiquitin Specific Peptidase 28,Protein Coding,5.3,76,USP28
1411,PSMA7,Proteasome 20S Subunit Alpha 7,Protein Coding,5.3,87,PSMA7
1412,CUL4B,Cullin 4B,Protein Coding,5.3,94,CUL4B
1413,DDX53,DEAD-Box Helicase 53,Protein Coding,5.3,58,DDX53
1414,AFAP1,Actin Filament Associated Protein 1,Protein Coding,5.2,67,AFAP1
1415,SH2B3,SH2B Adaptor Protein 3,Protein Coding,5.2,95,SH2B3
1416,REG4,Regenerating Family Member 4,Protein Coding,5.2,61,REG4
1417,MIR196A2,MicroRNA 196a-2,RNA Gene,5.2,59,MIR196A2
1418,ATP7A,ATPase Copper Transporting Alpha,Protein Coding,5.2,97,ATP7A
1419,COX5A,Cytochrome C Oxidase Subunit 5A,Protein Coding,5.2,80,COX5A
1420,GUCA2B,Guanylate Cyclase Activator 2B,Protein Coding,5.2,61,GUCA2B
1421,PKHD1,PKHD1 Ciliary IPT Domain Containing Fibrocystin/Polyductin,Protein Coding,5.2,84,PKHD1
1422,MIR146B,MicroRNA 146b,RNA Gene,5.2,61,MIR146B
1423,BTK,Bruton Tyrosine Kinase,Protein Coding,5.2,100,BTK
1424,APBA1,Amyloid Beta Precursor Protein Binding Family A Member 1,Protein Coding,5.1,81,APBA1
1425,ABCG1,ATP Binding Cassette Subfamily G Member 1,Protein Coding,5.1,87,ABCG1
1426,MIR520G,MicroRNA 520g,RNA Gene,5.1,55,MIR520G
1427,CYP3A5,Cytochrome P450 Family 3 Subfamily A Member 5,Protein Coding,5.1,90,CYP3A5
1428,FDXR,Ferredoxin Reductase,Protein Coding,5.1,90,FDXR
1429,HOXB13,Homeobox B13,Protein Coding,5.1,84,HOXB13
1430,AOPEP,Aminopeptidase O (Putative),Protein Coding,5.1,78,AOPEP
1431,ERCC6,"ERCC Excision Repair 6, Chromatin Remodeling Factor",Protein Coding,5.1,100,ERCC6
1432,ERCC3,"ERCC Excision Repair 3, TFIIH Core Complex Helicase Subunit",Protein Coding,5.1,100,ERCC3
1433,FGF3,Fibroblast Growth Factor 3,Protein Coding,5.0,87,FGF3
1434,GSTA1,Glutathione S-Transferase Alpha 1,Protein Coding,5.0,84,GSTA1
1435,REEP5,Receptor Accessory Protein 5,Protein Coding,5.0,65,REEP5
1436,IKZF1,IKAROS Family Zinc Finger 1,Protein Coding,5.0,99,IKZF1
1437,MIR498,MicroRNA 498,RNA Gene,5.0,57,MIR498
1438,EPDR1,Ependymin Related 1,Protein Coding,5.0,56,EPDR1
1439,TMEM127,Transmembrane Protein 127,Protein Coding,5.0,70,TMEM127
1440,ABL1,"ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase",Protein Coding,4.9,100,ABL1
1441,ABRAXAS1,"Abraxas 1, BRCA1 A Complex Subunit",Protein Coding,4.9,87,ABRAXAS1
1442,LIG1,DNA Ligase 1,Protein Coding,4.9,100,LIG1
1443,NTRK3,Neurotrophic Receptor Tyrosine Kinase 3,Protein Coding,4.9,99,NTRK3
1444,MIR320E,MicroRNA 320e,RNA Gene,4.9,56,MIR320E
1445,DUSP6,Dual Specificity Phosphatase 6,Protein Coding,4.9,93,DUSP6
1446,EGFL7,EGF Like Domain Multiple 7,Protein Coding,4.9,69,EGFL7
1447,ABCC4,ATP Binding Cassette Subfamily C Member 4 (PEL Blood Group),Protein Coding,4.9,93,ABCC4
1448,SNTB1,Syntrophin Beta 1,Protein Coding,4.9,75,SNTB1
1449,HCCAT5,Hepatocellular Carcinoma Associated Transcript 5,RNA Gene,4.9,51,HCCAT5
1450,LOC130062899,ATAC-STARR-Seq Lymphoblastoid Active Region 13597,Functional Element,4.9,60,LOC130062899
1451,XPA,"XPA, DNA Damage Recognition And Repair Factor",Protein Coding,4.9,93,XPA
1452,GGH,Gamma-Glutamyl Hydrolase,Protein Coding,4.9,77,GGH
1453,PHLPP1,PH Domain And Leucine Rich Repeat Protein Phosphatase 1,Protein Coding,4.9,79,PHLPP1
1454,ZNF148,Zinc Finger Protein 148,Protein Coding,4.9,79,ZNF148
1455,MIR100,MicroRNA 100,RNA Gene,4.9,62,MIR100
1456,SNORD44,"Small Nucleolar RNA, C/D Box 44",RNA Gene,4.9,51,SNORD44
1457,RHPN2,Rhophilin Rho GTPase Binding Protein 2,Protein Coding,4.8,69,RHPN2
1458,SLC16A7,Solute Carrier Family 16 Member 7,Protein Coding,4.8,79,SLC16A7
1459,SLC22A5,Solute Carrier Family 22 Member 5,Protein Coding,4.8,97,SLC22A5
1460,MT-ND1,Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1,Protein Coding,4.8,83,MT-ND1
1461,STK4,Serine/Threonine Kinase 4,Protein Coding,4.8,97,STK4
1462,PWAR1,Prader Willi/Angelman Region RNA 1,RNA Gene,4.8,48,PWAR1
1463,PTGER2,Prostaglandin E Receptor 2,Protein Coding,4.8,80,PTGER2
1464,MIR335,MicroRNA 335,RNA Gene,4.8,57,MIR335
1465,TNFRSF9,TNF Receptor Superfamily Member 9,Protein Coding,4.8,85,TNFRSF9
1466,NNT-AS1,NNT Antisense RNA 1,RNA Gene,4.8,51,NNT-AS1
1467,HUWE1,"HECT, UBA And WWE Domain Containing E3 Ubiquitin Protein Ligase 1",Protein Coding,4.8,95,HUWE1
1468,MIR124-3,MicroRNA 124-3,RNA Gene,4.8,59,MIR124-3
1469,NF2,"NF2, Moesin-Ezrin-Radixin Like (MERLIN) Tumor Suppressor",Protein Coding,4.8,100,NF2
1470,KCNQ1,Potassium Voltage-Gated Channel Subfamily Q Member 1,Protein Coding,4.8,100,KCNQ1
1471,DCBLD1,"Discoidin, CUB And LCCL Domain Containing 1",Protein Coding,4.8,55,DCBLD1
1472,RMI1,RecQ Mediated Genome Instability 1,Protein Coding,4.7,77,RMI1
1473,CCR6,C-C Motif Chemokine Receptor 6,Protein Coding,4.7,83,CCR6
1474,MIR4689,MicroRNA 4689,RNA Gene,4.7,55,MIR4689
1475,EHMT2,Euchromatic Histone Lysine Methyltransferase 2,Protein Coding,4.7,94,EHMT2
1476,PIK3R3,Phosphoinositide-3-Kinase Regulatory Subunit 3,Protein Coding,4.7,90,PIK3R3
1477,ZNRF3,Zinc And Ring Finger 3,Protein Coding,4.7,75,ZNRF3
1478,CYP2C19,Cytochrome P450 Family 2 Subfamily C Member 19,Protein Coding,4.7,92,CYP2C19
1479,SOD1,Superoxide Dismutase 1,Protein Coding,4.7,100,SOD1
1480,APC2,APC Regulator Of Wnt Signaling Pathway 2,Protein Coding,4.7,90,APC2
1481,AKAP9,A-Kinase Anchoring Protein 9,Protein Coding,4.7,95,AKAP9
1482,CLCA2,Chloride Channel Accessory 2,Protein Coding,4.7,70,CLCA2
1483,PRKAA1,Protein Kinase AMP-Activated Catalytic Subunit Alpha 1,Protein Coding,4.7,91,PRKAA1
1484,CHFR,Checkpoint With Forkhead And Ring Finger Domains,Protein Coding,4.7,69,CHFR
1485,TFF2,Trefoil Factor 2,Protein Coding,4.7,61,TFF2
1486,VHL,Von Hippel-Lindau Tumor Suppressor,Protein Coding,4.7,100,VHL
1487,SGPP1,Sphingosine-1-Phosphate Phosphatase 1,Protein Coding,4.7,68,SGPP1
1488,MIR381,MicroRNA 381,RNA Gene,4.7,56,MIR381
1489,FOXF1,Forkhead Box F1,Protein Coding,4.7,86,FOXF1
1490,HSPD1,Heat Shock Protein Family D (Hsp60) Member 1,Protein Coding,4.6,100,HSPD1
1491,MAP3K6,Mitogen-Activated Protein Kinase Kinase Kinase 6,Protein Coding,4.6,83,MAP3K6
1492,NOTCH4,Notch Receptor 4,Protein Coding,4.6,99,NOTCH4
1493,CYP19A1,Cytochrome P450 Family 19 Subfamily A Member 1,Protein Coding,4.6,100,CYP19A1
1494,PTPRC,Protein Tyrosine Phosphatase Receptor Type C,Protein Coding,4.6,100,PTPRC
1495,KISS1,KiSS-1 Metastasis Suppressor,Protein Coding,4.6,72,KISS1
1496,MIR559,MicroRNA 559,RNA Gene,4.6,52,MIR559
1497,FANCD2,FA Complementation Group D2,Protein Coding,4.6,96,FANCD2
1498,MIR15A,MicroRNA 15a,RNA Gene,4.6,66,MIR15A
1499,USP22,Ubiquitin Specific Peptidase 22,Protein Coding,4.5,74,USP22
1500,STRAP,Serine/Threonine Kinase Receptor Associated Protein,Protein Coding,4.5,76,STRAP
1501,SHMT2,Serine Hydroxymethyltransferase 2,Protein Coding,4.5,96,SHMT2
1502,FANCG,FA Complementation Group G,Protein Coding,4.5,94,FANCG
1503,FOXC2,Forkhead Box C2,Protein Coding,4.5,89,FOXC2
1504,RAD51B,RAD51 Paralog B,Protein Coding,4.5,95,RAD51B
1505,RNU6-1,"RNA, U6 Small Nuclear 1",RNA Gene,4.5,60,RNU6-1
1506,SYK,Spleen Associated Tyrosine Kinase,Protein Coding,4.5,95,SYK
1507,CDA,Cytidine Deaminase,Protein Coding,4.5,83,CDA
1508,LAMC1,Laminin Subunit Gamma 1,Protein Coding,4.5,97,LAMC1
1509,ENPP7,Ectonucleotide Pyrophosphatase/Phosphodiesterase 7,Protein Coding,4.5,66,ENPP7
1510,HOXB-AS3,HOXB Cluster Antisense RNA 3,RNA Gene,4.5,64,HOXB-AS3
1511,MIR222,MicroRNA 222,RNA Gene,4.5,66,MIR222
1512,CTHRC1,Collagen Triple Helix Repeat Containing 1,Protein Coding,4.5,61,CTHRC1
1513,HR,HR Lysine Demethylase And Nuclear Receptor Corepressor,Protein Coding,4.5,83,HR
1514,SGK2,Serum/Glucocorticoid Regulated Kinase 2,Protein Coding,4.5,76,SGK2
1515,ABCC5,ATP Binding Cassette Subfamily C Member 5,Protein Coding,4.5,83,ABCC5
1516,RBBP8,"RB Binding Protein 8, Endonuclease",Protein Coding,4.5,98,RBBP8
1517,MIR99A,MicroRNA 99a,RNA Gene,4.5,58,MIR99A
1518,CYP2D6,Cytochrome P450 Family 2 Subfamily D Member 6 (Gene/Pseudogene),Protein Coding,4.5,99,CYP2D6
1519,MIR519C,MicroRNA 519c,RNA Gene,4.5,54,MIR519C
1520,RNASEL,Ribonuclease L,Protein Coding,4.4,88,RNASEL
1521,LRIG1,Leucine Rich Repeats And Immunoglobulin Like Domains 1,Protein Coding,4.4,81,LRIG1
1522,GCNT3,"Glucosaminyl (N-Acetyl) Transferase 3, Mucin Type",Protein Coding,4.4,65,GCNT3
1523,TEK,TEK Receptor Tyrosine Kinase,Protein Coding,4.4,100,TEK
1524,SATB1,SATB Homeobox 1,Protein Coding,4.4,91,SATB1
1525,UPF1,UPF1 RNA Helicase And ATPase,Protein Coding,4.4,86,UPF1
1526,CHD1,Chromodomain Helicase DNA Binding Protein 1,Protein Coding,4.4,93,CHD1
1527,DCTN5,Dynactin Subunit 5,Protein Coding,4.4,71,DCTN5
1528,MRTFA,Myocardin Related Transcription Factor A,Protein Coding,4.4,92,MRTFA
1529,CHD8,Chromodomain Helicase DNA Binding Protein 8,Protein Coding,4.4,97,CHD8
1530,CLDN18,Claudin 18,Protein Coding,4.4,71,CLDN18
1531,GPX4,Glutathione Peroxidase 4,Protein Coding,4.4,97,GPX4
1532,NUDC,"Nuclear Distribution C, Dynein Complex Regulator",Protein Coding,4.4,91,NUDC
1533,NR0B2,Nuclear Receptor Subfamily 0 Group B Member 2,Protein Coding,4.4,86,NR0B2
1534,LINC02577,Long Intergenic Non-Protein Coding RNA 2577,RNA Gene,4.4,53,LINC02577
1535,SOS1,SOS Ras/Rac Guanine Nucleotide Exchange Factor 1,Protein Coding,4.4,100,SOS1
1536,AKR1B10,Aldo-Keto Reductase Family 1 Member B10,Protein Coding,4.4,73,AKR1B10
1537,HSPA4,Heat Shock Protein Family A (Hsp70) Member 4,Protein Coding,4.4,83,HSPA4
1538,SLC22A2,Solute Carrier Family 22 Member 2,Protein Coding,4.4,82,SLC22A2
1539,HDAC4,Histone Deacetylase 4,Protein Coding,4.4,100,HDAC4
1540,MCM4,Minichromosome Maintenance Complex Component 4,Protein Coding,4.4,98,MCM4
1541,FANCA,FA Complementation Group A,Protein Coding,4.4,96,FANCA
1542,HLA-C,"Major Histocompatibility Complex, Class I, C",Protein Coding,4.4,93,HLA-C
1543,SETD5,SET Domain Containing 5,Protein Coding,4.4,85,SETD5
1544,CYP2C8,Cytochrome P450 Family 2 Subfamily C Member 8,Protein Coding,4.4,88,CYP2C8
1545,CDH3,Cadherin 3,Protein Coding,4.4,95,CDH3
1546,NT5E,5'-Nucleotidase Ecto,Protein Coding,4.3,97,NT5E
1547,CD40,CD40 Molecule,Protein Coding,4.3,100,CD40
1548,ARHGAP11A-SCG5,ARHGAP11A-SCG5 Readthrough,Protein Coding,4.3,44,ARHGAP11A-SCG5
1549,ANGPTL4,Angiopoietin Like 4,Protein Coding,4.3,81,ANGPTL4
