GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore,gene_symbol
777,FAP,Fibroblast Activation Protein Alpha,Protein Coding,11.1,79,FAP
778,MIR146A,MicroRNA 146a,RNA Gene,11.1,66,MIR146A
779,NLRP3,NLR Family Pyrin Domain Containing 3,Protein Coding,11.1,100,NLRP3
780,UCHL1,Ubiquitin C-Terminal Hydrolase L1,Protein Coding,11.1,95,UCHL1
781,MIR532,MicroRNA 532,RNA Gene,11.0,55,MIR532
782,CERNA3,Competing Endogenous LncRNA 3 For MiR-645,RNA Gene,11.0,52,CERNA3
783,DNMT3A,DNA Methyltransferase 3 Alpha,Protein Coding,11.0,100,DNMT3A
784,KEAP1,Kelch Like ECH Associated Protein 1,Protein Coding,11.0,93,KEAP1
785,MIR150,MicroRNA 150,RNA Gene,11.0,64,MIR150
786,MKI67,Marker Of Proliferation Ki-67,Protein Coding,10.9,83,MKI67
787,AKT2,AKT Serine/Threonine Kinase 2,Protein Coding,10.9,100,AKT2
788,EREG,Epiregulin,Protein Coding,10.9,83,EREG
789,MACC1,MET Transcriptional Regulator MACC1,Protein Coding,10.9,55,MACC1
790,KRT19,Keratin 19,Protein Coding,10.9,81,KRT19
791,MIR92A1,MicroRNA 92a-1,RNA Gene,10.9,63,MIR92A1
792,POU5F1,POU Class 5 Homeobox 1,Protein Coding,10.9,91,POU5F1
793,SLC2A1,Solute Carrier Family 2 Member 1,Protein Coding,10.8,100,SLC2A1
794,MIR200B,MicroRNA 200b,RNA Gene,10.8,68,MIR200B
795,TIMP1,TIMP Metallopeptidase Inhibitor 1,Protein Coding,10.8,82,TIMP1
796,RASSF1,Ras Association Domain Family Member 1,Protein Coding,10.8,81,RASSF1
797,VEGFC,Vascular Endothelial Growth Factor C,Protein Coding,10.8,90,VEGFC
798,RYR1,Ryanodine Receptor 1,Protein Coding,10.8,100,RYR1
799,FN1,Fibronectin 1,Protein Coding,10.8,100,FN1
800,TOP2A,DNA Topoisomerase II Alpha,Protein Coding,10.8,93,TOP2A
801,IPMK,Inositol Polyphosphate Multikinase,Protein Coding,10.8,70,IPMK
802,HDAC1,Histone Deacetylase 1,Protein Coding,10.8,91,HDAC1
803,BUB1B-PAK6,BUB1B-PAK6 Readthrough,Protein Coding,10.8,48,BUB1B-PAK6
804,TNIK,TRAF2 And NCK Interacting Kinase,Protein Coding,10.7,92,TNIK
805,KDM1A,Lysine Demethylase 1A,Protein Coding,10.7,100,KDM1A
806,H2AX,H2A.X Variant Histone,Protein Coding,10.7,81,H2AX
