input_symbol,hgnc_status,approved_symbol,hgnc_id,entrez_id,input_matches_approved,resolution,request_status_code
HPGD,Approved,HPGD,HGNC:5154,3248,1,approved_symbol_exact,200
HSD3B2,Approved,HSD3B2,HGNC:5218,3284,1,approved_symbol_exact,200
HSPA1A,Approved,HSPA1A,HGNC:5232,3303,1,approved_symbol_exact,200
HSPA1L,Approved,HSPA1L,HGNC:5234,3305,1,approved_symbol_exact,200
IGFBP1,Approved,IGFBP1,HGNC:5469,3484,1,approved_symbol_exact,200
LUM,Approved,LUM,HGNC:6724,4060,1,approved_symbol_exact,200
MAP1LC3B,Approved,MAP1LC3B,HGNC:13352,81631,1,approved_symbol_exact,200
MIR675,Approved,MIR675,HGNC:33351,100033819,1,approved_symbol_exact,200
MMP2,Approved,MMP2,HGNC:7166,4313,1,approved_symbol_exact,200
MMP9,Approved,MMP9,HGNC:7176,4318,1,approved_symbol_exact,200
NEAT1,Approved,NEAT1,HGNC:30815,283131,1,approved_symbol_exact,200
NR1I2,Approved,NR1I2,HGNC:7968,8856,1,approved_symbol_exact,200
NR1I3,Approved,NR1I3,HGNC:7969,9970,1,approved_symbol_exact,200
NR3C1,Approved,NR3C1,HGNC:7978,2908,1,approved_symbol_exact,200
OMD,Approved,OMD,HGNC:8134,4958,1,approved_symbol_exact,200
PARP10,Approved,PARP10,HGNC:25895,84875,1,approved_symbol_exact,200
PGR,Approved,PGR,HGNC:8910,5241,1,approved_symbol_exact,200
PLA2G4A,Approved,PLA2G4A,HGNC:9035,5321,1,approved_symbol_exact,200
PLAC8,Approved,PLAC8,HGNC:19254,51316,1,approved_symbol_exact,200
PPARA,Approved,PPARA,HGNC:9232,5465,1,approved_symbol_exact,200
PPARB,Approved,PPARD,HGNC:9235,5467,0,approved_symbol_from_hgnc_alias,200
PPARG,Approved,PPARG,HGNC:9236,5468,1,approved_symbol_exact,200
PTGER1,Approved,PTGER1,HGNC:9593,5731,1,approved_symbol_exact,200
PTGER2,Approved,PTGER2,HGNC:9594,5732,1,approved_symbol_exact,200
PTGER3,Approved,PTGER3,HGNC:9595,5733,1,approved_symbol_exact,200
PTGER4,Approved,PTGER4,HGNC:9596,5734,1,approved_symbol_exact,200
PTGES,Approved,PTGES,HGNC:9599,9536,1,approved_symbol_exact,200
PTGES2,Approved,PTGES2,HGNC:17822,80142,1,approved_symbol_exact,200
PTGES3,Approved,PTGES3,HGNC:16049,10728,1,approved_symbol_exact,200
PTGFR,Approved,PTGFR,HGNC:9600,5737,1,approved_symbol_exact,200
PTGS1,Approved,PTGS1,HGNC:9604,5742,1,approved_symbol_exact,200
PTGS2,Approved,PTGS2,HGNC:9605,5743,1,approved_symbol_exact,200
PTX3,Approved,PTX3,HGNC:9692,5806,1,approved_symbol_exact,200
RELA,Approved,RELA,HGNC:9955,5970,1,approved_symbol_exact,200
RGS2,Approved,RGS2,HGNC:9998,5997,1,approved_symbol_exact,200
RPS2,Approved,RPS2,HGNC:10404,6187,1,approved_symbol_exact,200
RXRA,Approved,RXRA,HGNC:10477,6256,1,approved_symbol_exact,200
RXRB,Approved,RXRB,HGNC:10478,6257,1,approved_symbol_exact,200
SCGN,Approved,SCGN,HGNC:16941,10590,1,approved_symbol_exact,200
SIRT1,Approved,SIRT1,HGNC:14929,23411,1,approved_symbol_exact,200
SIRT2,Approved,SIRT2,HGNC:10886,22933,1,approved_symbol_exact,200
SIRT3,Approved,SIRT3,HGNC:14931,23410,1,approved_symbol_exact,200
SIRT5,Approved,SIRT5,HGNC:14933,23408,1,approved_symbol_exact,200
SLCO2A1,Approved,SLCO2A1,HGNC:10955,6578,1,approved_symbol_exact,200
SNHG25,Approved,SNHG25,HGNC:51534,105376843,1,approved_symbol_exact,200
SNORA13,Approved,SNORA13,HGNC:32601,654322,1,approved_symbol_exact,200
SNORA50C,Approved,SNORA50C,HGNC:32662,677842,1,approved_symbol_exact,200
SNORA64,Approved,SNORA64,HGNC:10221,26784,1,approved_symbol_exact,200
SNORA65,Approved,SNORA65,HGNC:10222,26783,1,approved_symbol_exact,200
SNORA72,Approved,SNORA72,HGNC:10234,26775,1,approved_symbol_exact,200
SPP2,Approved,SPP2,HGNC:11256,6694,1,approved_symbol_exact,200
SQSTM1,Approved,SQSTM1,HGNC:11280,8878,1,approved_symbol_exact,200
STAR,Approved,STAR,HGNC:11359,6770,1,approved_symbol_exact,200
STAT3,Approved,STAT3,HGNC:11364,6774,1,approved_symbol_exact,200
SUSD2,Approved,SUSD2,HGNC:30667,56241,1,approved_symbol_exact,200
TIMP1,Approved,TIMP1,HGNC:11820,7076,1,approved_symbol_exact,200
TIMP2,Approved,TIMP2,HGNC:11821,7077,1,approved_symbol_exact,200
TNC,Approved,TNC,HGNC:5318,3371,1,approved_symbol_exact,200
