ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs,multi_chemical_co_treatment_flag,single_chemical_record_flag,normalized_gene_symbol
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of AKR1C1 mRNA]],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of PTGER2 mRNA]],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of PTGER3 mRNA]],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of PTGFR mRNA]],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of PTGS1 mRNA]],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in decreased expression of PTGES2 mRNA]],affects^cotreatment|affects^reaction|decreases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of PTGES mRNA]],affects^cotreatment|affects^reaction|increases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of PTGS2 mRNA]],affects^cotreatment|affects^reaction|increases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of SLCO2A1 mRNA]],affects^cotreatment|affects^reaction|increases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of PTGER1 mRNA]],affects^cotreatment|affects^reaction|decreases^expression|decreases^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate inhibits the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of AKR1C3 mRNA]],affects^cotreatment|decreases^expression|decreases^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate inhibits the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of HPGD mRNA]],affects^cotreatment|decreases^expression|decreases^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,Cyclic AMP inhibits the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of PGR mRNA]],affects^cotreatment|decreases^reaction|increases^expression,37552060,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of ADAMTS1 mRNA],affects^cotreatment|affects^expression|affects^reaction,37552060,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of AKR1C1 mRNA],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of PTGER2 mRNA],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of PTGER3 mRNA],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of PTGFR mRNA],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of PTGS1 mRNA],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in decreased expression of PLA2G4A mRNA],affects^cotreatment|affects^reaction|decreases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in decreased expression of PTGES2 mRNA],affects^cotreatment|affects^reaction|decreases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in decreased expression of PTGES3 mRNA],affects^cotreatment|affects^reaction|decreases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased abundance of Dinoprost],affects^cotreatment|affects^reaction|increases^abundance,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased abundance of Dinoprostone],affects^cotreatment|affects^reaction|increases^abundance,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of CXCR4 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of CYP11A1 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of HSD3B2 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of PTGES mRNA],affects^cotreatment|affects^reaction|increases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of PTGS2 mRNA],affects^cotreatment|affects^reaction|increases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of PTX3 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of SLCO2A1 mRNA],affects^cotreatment|affects^reaction|increases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate co-treated with CGA protein] results in decreased expression of ABCC4 mRNA,affects^cotreatment|decreases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of AKR1C3 mRNA],affects^cotreatment|decreases^expression|decreases^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of HPGD mRNA],affects^cotreatment|decreases^expression|decreases^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of PTGER1 mRNA],affects^cotreatment|decreases^expression|decreases^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of PTGER4 mRNA],affects^cotreatment|decreases^expression|decreases^reaction,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of ABCC4 mRNA],affects^cotreatment|decreases^reaction|increases^expression,40456493,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of PGR mRNA],affects^cotreatment|decreases^reaction|increases^expression,37552060,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of RGS2 mRNA],affects^cotreatment|decreases^reaction|increases^expression,37552060,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CGA,1081,protein,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of STAR mRNA],affects^cotreatment|decreases^reaction|increases^expression,37552060,true,false,CGA
diisononyl phthalate,C012125,28553-12-0,CPS1,1373,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CPS1 mRNA,affects^cotreatment|decreases^expression,32949613,true,false,CPS1
diisononyl phthalate,C012125,28553-12-0,CRP,1401,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CRP mRNA,affects^cotreatment|decreases^expression,32949613,true,false,CRP
diisononyl phthalate,C012125,28553-12-0,CXCL13,10563,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CXCL13 mRNA,affects^cotreatment|decreases^expression,32949613,true,false,CXCL13
diisononyl phthalate,C012125,28553-12-0,CXCR4,7852,mRNA,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of CXCR4 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,true,false,CXCR4
diisononyl phthalate,C012125,28553-12-0,CYP11A1,1583,mRNA,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of CYP11A1 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,true,false,CYP11A1
diisononyl phthalate,C012125,28553-12-0,CYP2A6,1548,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in increased expression of CYP2A6 mRNA,affects^cotreatment|increases^expression,32949613,true,false,CYP2A6
diisononyl phthalate,C012125,28553-12-0,DDIT4,54541,protein,Homo sapiens,9606,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of DDIT4 protein],increases^expression|increases^reaction,37976928,false,true,DDIT4
diisononyl phthalate,C012125,28553-12-0,DDIT4,54541,protein,Homo sapiens,9606,DDIT4 protein promotes the reaction [diisononyl phthalate results in increased expression of ATG5 protein],increases^expression|increases^reaction,37976928,false,true,DDIT4
diisononyl phthalate,C012125,28553-12-0,DDIT4,54541,protein,Homo sapiens,9606,DDIT4 protein promotes the reaction [diisononyl phthalate results in increased expression of BECN1 protein],increases^expression|increases^reaction,37976928,false,true,DDIT4
diisononyl phthalate,C012125,28553-12-0,DDIT4,54541,protein,Homo sapiens,9606,DDIT4 protein promotes the reaction [diisononyl phthalate results in increased expression of MAP1LC3B protein],increases^expression|increases^reaction,37976928,false,true,DDIT4
diisononyl phthalate,C012125,28553-12-0,DDIT4,54541,protein,Homo sapiens,9606,DDIT4 protein promotes the reaction [diisononyl phthalate results in increased expression of SQSTM1 protein],increases^expression|increases^reaction,37976928,false,true,DDIT4
diisononyl phthalate,C012125,28553-12-0,DDIT4,54541,mRNA,Homo sapiens,9606,diisononyl phthalate results in increased expression of DDIT4 mRNA,increases^expression,37976928,false,true,DDIT4
diisononyl phthalate,C012125,28553-12-0,DDIT4,54541,protein,Homo sapiens,9606,diisononyl phthalate results in increased expression of DDIT4 protein,increases^expression,37976928,false,true,DDIT4
