background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
descriptive_annotated_genome,GO:BP,GO:1901655,cellular response to ketone,20972,106,79,9,2.3374185626513796e-10,1.4627461519705071e-08,24546,1.657803062255501e-07,1.1826273730654786e-07
descriptive_annotated_genome,GO:BP,GO:0042981,regulation of apoptotic process,20972,1426,79,24,2.360822182034077e-10,1.4627461519705071e-08,24546,1.657803062255501e-07,1.1826273730654786e-07
descriptive_annotated_genome,GO:BP,GO:0031667,response to nutrient levels,20972,475,79,15,2.429698819262383e-10,1.4753131230561108e-08,24546,1.6762364275205955e-07,1.192787744352289e-07
descriptive_annotated_genome,GO:BP,GO:0042180,ketone metabolic process,20972,205,79,11,3.0087596591266985e-10,1.791096926491893e-08,24546,2.0399390488879018e-07,1.4480983253514497e-07
descriptive_annotated_genome,GO:BP,GO:0071383,cellular response to steroid hormone stimulus,20972,210,79,11,3.889408114670133e-10,2.2708159684881686e-08,24546,2.592323469513361e-07,1.8359502227440977e-07
descriptive_annotated_genome,GO:BP,GO:0043067,regulation of programmed cell death,20972,1467,79,24,4.1992919240923563e-10,2.4054811851970708e-08,24546,2.7522159270501305e-07,1.9448267843164334e-07
descriptive_annotated_genome,GO:BP,GO:0051707,response to other organism,20972,1610,79,25,4.838376656489772e-10,2.7202428757598125e-08,24546,3.119087272783668e-07,2.1993109890777397e-07
descriptive_annotated_genome,GO:BP,GO:0043207,response to external biotic stimulus,20972,1613,79,25,5.030408020928275e-10,2.7767852275524475e-08,24546,3.190576855080379e-07,2.245025368758281e-07
descriptive_annotated_genome,GO:BP,GO:0001666,response to hypoxia,20972,278,79,12,5.400923860708782e-10,2.9280722930556914e-08,24546,3.3712052364843197e-07,2.3673406622313885e-07
descriptive_annotated_genome,GO:BP,GO:0051716,cellular response to stimulus,20972,7425,79,55,6.018377461436118e-10,3.205577889985982e-08,24546,3.6979168014611544e-07,2.59170338891949e-07
descriptive_annotated_genome,GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,20972,1777,79,26,6.984181528856467e-10,3.6558577795876555e-08,24546,4.225322376011565e-07,2.955753789781221e-07
descriptive_annotated_genome,GO:BP,GO:0022602,ovulation cycle process,20972,50,79,7,7.192841126429638e-10,3.7012653660746534e-08,24546,4.28562552205635e-07,2.9924657337176593e-07
