background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
sensitivity_crc_union,GO:BP,GO:0000278,mitotic cell cycle,16307,825,81,6,0.2261398683646295,0.293401983057699,24546,1.0,1.0
sensitivity_crc_union,GO:MF,GO:0005516,calmodulin binding,16307,181,81,2,0.22685991219842105,0.28971915009930277,10123,1.0,1.0
sensitivity_crc_union,GO:MF,GO:0030674,protein-macromolecule adaptor activity,16307,1000,81,7,0.22776183110357814,0.28971915009930277,10123,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0050767,regulation of neurogenesis,16307,332,81,3,0.22820296051418315,0.29563178581561506,24546,1.0,1.0
sensitivity_crc_union,GO:MF,GO:0001098,basal transcription machinery binding,16307,52,81,1,0.2284427435847933,0.28971915009930277,10123,1.0,1.0
sensitivity_crc_union,GO:MF,GO:0001099,basal RNA polymerase II transcription machinery binding,16307,52,81,1,0.2284427435847933,0.28971915009930277,10123,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0032507,maintenance of protein location in cell,16307,52,81,1,0.2284427435847933,0.29563178581561506,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0015804,neutral amino acid transport,16307,52,81,1,0.2284427435847933,0.29563178581561506,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0006998,nuclear envelope organization,16307,52,81,1,0.2284427435847933,0.29563178581561506,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:1903350,response to dopamine,16307,52,81,1,0.2284427435847933,0.29563178581561506,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0045185,maintenance of protein location,16307,52,81,1,0.2284427435847933,0.29563178581561506,24546,1.0,1.0
sensitivity_crc_union,KEGG,KEGG:04979,Cholesterol metabolism,16307,52,81,1,0.2284427435847933,0.3409593187832738,586,1.0,0.9990108040349917
sensitivity_crc_union,GO:BP,GO:0030324,lung development,16307,183,81,2,0.23052350909556565,0.2981974323025724,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0051276,chromosome organization,16307,495,81,4,0.23153885476220865,0.29938328920701235,24546,1.0,1.0
sensitivity_crc_union,GO:CC,GO:0070161,anchoring junction,16307,832,81,6,0.23181748043303332,0.3772536128332987,4069,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0098930,axonal transport,16307,53,81,1,0.23228747676040873,0.29945850507201766,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0048599,oocyte development,16307,53,81,1,0.23228747676040873,0.29945850507201766,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:1902808,positive regulation of cell cycle G1/S phase transition,16307,53,81,1,0.23228747676040873,0.29945850507201766,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0043030,regulation of macrophage activation,16307,53,81,1,0.23228747676040873,0.29945850507201766,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0060688,regulation of morphogenesis of a branching structure,16307,53,81,1,0.23228747676040873,0.29945850507201766,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0001836,release of cytochrome c from mitochondria,16307,53,81,1,0.23228747676040873,0.29945850507201766,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0030520,estrogen receptor signaling pathway,16307,53,81,1,0.23228747676040873,0.29945850507201766,24546,1.0,1.0
sensitivity_crc_union,KEGG,KEGG:00480,Glutathione metabolism,16307,53,81,1,0.23228747676040873,0.3441295952006058,586,1.0,1.0
sensitivity_crc_union,GO:CC,GO:0030017,sarcomere,16307,184,81,2,0.2323568964855613,0.3772536128332987,4069,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0046631,alpha-beta T cell activation,16307,186,81,2,0.23602657541500136,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0072538,T-helper 17 type immune response,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:2000351,regulation of endothelial cell apoptotic process,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0061178,regulation of insulin secretion involved in cellular response to glucose stimulus,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0071870,cellular response to catecholamine stimulus,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0060042,retina morphogenesis in camera-type eye,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0071709,membrane assembly,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0071470,cellular response to osmotic stress,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0071868,cellular response to monoamine stimulus,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
