background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
primary_dinp_exposure_universe,GO:BP,GO:0033554,cellular response to stress,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0033036,macromolecule localization,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0031347,regulation of defense response,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051240,positive regulation of multicellular organismal process,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010648,negative regulation of cell communication,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0023057,negative regulation of signaling,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0007166,cell surface receptor signaling pathway,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009968,negative regulation of signal transduction,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009653,anatomical structure morphogenesis,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009628,response to abiotic stimulus,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0060089,molecular transducer activity,93,19,81,19,0.05267673756760051,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0038023,signaling receptor activity,93,19,81,19,0.05267673756760051,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0045934,negative regulation of nucleobase-containing compound metabolic process,93,18,81,18,0.06271040186619108,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0032787,monocarboxylic acid metabolic process,93,18,81,18,0.06271040186619108,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:2000026,regulation of multicellular organismal development,93,18,81,18,0.06271040186619108,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0141124,intracellular signaling cassette,93,18,81,18,0.06271040186619108,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0007267,cell-cell signaling,93,18,81,18,0.06271040186619108,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006955,immune response,93,18,81,18,0.06271040186619108,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0008610,lipid biosynthetic process,93,18,81,18,0.06271040186619108,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0043168,anion binding,93,18,81,18,0.06271040186619108,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:CC,GO:0097708,intracellular vesicle,93,18,81,18,0.06271040186619108,0.9153079178885631,4069,1.0,1.0
primary_dinp_exposure_universe,GO:CC,GO:0031410,cytoplasmic vesicle,93,18,81,18,0.06271040186619108,0.9153079178885631,4069,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0043069,negative regulation of programmed cell death,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0045892,negative regulation of DNA-templated transcription,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051049,regulation of transport,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051241,negative regulation of multicellular organismal process,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051246,regulation of protein metabolic process,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051253,negative regulation of RNA metabolic process,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0048870,cell motility,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0060429,epithelium development,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:1902679,negative regulation of RNA biosynthetic process,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0016477,cell migration,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0030522,intracellular receptor signaling pathway,93,17,81,17,0.07446860221610191,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0042802,identical protein binding,93,17,81,17,0.07446860221610191,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:CC,GO:0031090,organelle membrane,93,17,81,17,0.07446860221610191,0.9153079178885631,4069,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,93,27,81,26,0.08143244441535949,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010605,negative regulation of macromolecule metabolic process,93,27,81,26,0.08143244441535949,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,KEGG,KEGG:05200,Pathways in cancer,93,16,81,16,0.08821665185599763,0.8753444642567676,586,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0043066,negative regulation of apoptotic process,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0040011,locomotion,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0040012,regulation of locomotion,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0000122,negative regulation of transcription by RNA polymerase II,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0002682,regulation of immune system process,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:2000145,regulation of cell motility,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:1902532,negative regulation of intracellular signal transduction,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010628,positive regulation of gene expression,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010647,positive regulation of cell communication,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0030334,regulation of cell migration,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0023056,positive regulation of signaling,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0008284,positive regulation of cell population proliferation,93,16,81,16,0.08821665185599763,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0003677,DNA binding,93,16,81,16,0.08821665185599763,0.8774796502864035,10123,1.0,1.0
