"gene_symbol","module","kME_own","kME_brown","kME_black","kME_pink","kME_yellow","kME_red","kME_magenta","kME_purple","kME_turquoise","kME_blue","kME_green","kME_grey"
"RPAP3","black",0.727678346903927,0.436678834309757,0.727678346903927,0.129752973059399,0.0696718775556386,0.51496663097455,0.44284921710066,-0.0385534871200341,-0.113388289089213,-0.0370921480682628,-0.0480364650963979,-0.135213797302123
"NXT2","black",0.725802867341903,0.3250724479046,0.725802867341903,0.172382446966185,0.00212957420960856,0.400361934552864,0.402051543664859,-0.00903481192853109,-0.120889770942481,-0.035096225363583,0.0194239564497754,-0.172079417193736
"TNKS2","black",0.724360746791765,0.216870040810067,0.724360746791765,0.00761153869632999,0.209926987568579,0.515587929008576,0.379105759544125,-0.0499837514113676,0.107036703730514,0.122418449190216,-0.0719175061357641,-0.148149970136562
"GTF2I","black",0.723800551910785,0.260844569962902,0.723800551910785,0.00742408963720239,-0.157403494787747,0.136988751805502,0.0876777404322453,0.0301049651564446,0.00320330794801879,0.0907890887539418,-0.102952693580205,0.0306714494023127
"GNA13","black",0.723208473194342,0.0361291870970529,0.723208473194342,-0.082002090952978,-0.0861357564869883,0.20339784613217,0.0512851305263221,0.226130664857895,0.0931982006725506,0.224282594543781,0.165968154220108,-0.0787485186724076
"TMPO","black",0.721049540290933,0.585656292488901,0.721049540290933,0.000512171060168005,-0.101799006482811,0.40640777407097,0.24550669816871,-0.055769773615756,-0.202169651262279,0.0211243878970964,0.0408613068797411,0.11575367993802
"VPS35","black",0.720589594927279,0.305389979454652,0.720589594927279,0.130802372598102,-0.107269964797169,0.222598445231388,0.221684597199055,0.0749702810390917,-0.0396805924360683,0.0750028931843404,0.00912094929116415,-0.122970307776742
"PTBP3","black",0.720264852868303,0.465017381361469,0.720264852868303,0.264397675650841,0.133363368458388,0.441912122034154,0.420337874120766,-0.0844309233687468,-0.161020655827087,-0.0936248302478143,0.0245660745830013,-0.111540176098032
"ESYT2","black",0.719938667393416,0.310640729556372,0.719938667393416,-0.193804499473641,-0.201770914410537,0.265548573177496,0.00526707354458964,0.0560625121994783,0.0806500683404549,0.260812838144611,0.0459546103680995,0.239045225719021
"SSFA2","black",0.717224945393436,0.214593940231154,0.717224945393436,-0.15272240093757,-0.0904070381290167,0.34699283059468,0.0396112476514969,0.121485579623884,-0.000982758838382869,0.175243325558597,0.225006572282356,0.154853739019249
"ATL2","black",0.716681567079524,0.408209529211686,0.716681567079524,0.0226009275805151,0.144894843286452,0.58653546141699,0.46555899379147,-0.145570323667931,-0.0567643393189686,-0.0172118957840429,-0.0429574616008478,-0.0557135421547486
"REEP3","black",0.715408716420082,0.172961567767474,0.715408716420082,-0.307859086188246,-0.101388431665108,0.427414939296724,0.0151880677483773,0.1281106359596,0.204746718707476,0.334537055223219,0.117724506642191,0.223780773961348
"LMAN1","black",0.714740726500782,0.252676924231565,0.714740726500782,-0.233311216780667,-0.0777074161299122,0.459203860324229,0.0999340414500306,0.101583616664623,0.0301411739468876,0.178706579282565,0.111160942778936,0.125927450186343
"PRKAR1A","black",0.713908819780991,0.177862985817436,0.713908819780991,-0.166238275549903,-0.266935102209502,0.205976745828383,0.00216902122678948,0.132749711119942,0.227773469145202,0.305249715896693,-0.0685552684708658,0.0774866277450172
"YWHAZ","black",0.712305019862086,0.247250380188397,0.712305019862086,0.0286627169823414,-0.218217133658982,0.149456308028543,0.13786847959136,0.0384920491707359,0.0288232488934495,0.105357873164984,0.0504258228007098,0.00584994446735862
"SPRED1","black",0.711646363315555,0.225600323575822,0.711646363315555,-0.325517016801115,-0.156657828275352,0.38503673227585,-0.0333243696665571,0.122340164922726,0.141506358614663,0.332828129073313,0.0876787369920342,0.264547076088266
"DDAH1","black",0.709800190643576,0.337593540717736,0.709800190643576,-0.0393705737321161,-0.335528881794132,0.112330354298205,-0.037171580925696,0.042870960410289,-0.178628488767164,0.017990110032428,0.17455921978274,0.170441937658566
"TOR1AIP1","black",0.705299715680872,0.196130165621411,0.705299715680872,-0.197961456195095,-0.0683141106713397,0.382425134495388,0.163476951644426,0.0817072432082774,0.307931142049999,0.339481004346159,-0.120914684948685,0.0474498899839396
"HACD3","black",0.704693486062473,0.58562976556777,0.704693486062473,-0.0272333762645483,-0.175185615011798,0.364624491948303,0.198848762217056,-0.086899244944477,-0.0913569075974462,0.0657269865536455,-0.0602203813711727,0.138649644458566
"ADAM9","black",0.703563565379235,0.206819231467227,0.703563565379235,-0.273105510155968,-0.0982434734246551,0.420786841437696,0.0360981445914848,0.131704512414165,0.106873520670871,0.275257455711967,0.149891909600886,0.235494522049172
"SP1","black",0.702078845333275,0.154839906112189,0.702078845333275,0.278796725344671,0.0768523971195047,0.222499725546363,0.309465636362607,0.00766700356766749,-0.105632933970098,-0.0852619934763427,0.0889607710712136,-0.244393563580035
"PTPN11","black",0.698351053002849,0.494467662184297,0.698351053002849,0.0995789562575469,0.0856105525427659,0.525681228879933,0.470249018650793,-0.152346621937896,-0.0367702067663411,-0.0375192574631232,-0.149734185318283,-0.093889955878764
"MFSD6","black",0.695539256252965,0.313374744494382,0.695539256252965,-0.0308927087824224,0.0183073551309588,0.534449522823154,0.278039865794545,-0.0284252276994282,-0.101006543855105,0.0242557245402545,0.30081150488301,0.147332084110121
"TBL1XR1","black",0.693268873474229,0.296305135843281,0.693268873474229,0.0127292961618623,0.157604636877989,0.616574155579787,0.434813956539428,-0.0368174714344864,-0.031496847782044,0.0297677467925497,0.0491710846776288,-0.0841744117320518
"GMCL1P1","black",0.693005165303822,0.551781551943383,0.693005165303822,0.00463707880766466,0.00273828276068588,0.605682992018183,0.38889392086787,-0.0910679980570161,-0.15332392359787,0.0331373655214191,0.104031677168446,0.0893436314559875
"ERLIN1","black",0.692248586674553,0.291377610937483,0.692248586674553,0.0773441009485098,-0.232066010501108,0.160162943779777,0.0438856326606824,0.120221711690061,-0.221660754350045,0.0152483307686234,0.251387728892066,0.0301547455309722
"MIR3652","black",0.690448351462679,0.390160203976538,0.690448351462679,-0.153274730875028,-0.0777163754496162,0.364093386846656,0.126342921846576,0.059818907975704,-0.0120880151576199,0.142759660201816,-0.0135770201349722,0.134656177748634
"AP1G1","black",0.690414380905467,0.468019825508199,0.690414380905467,-0.206490009424284,-0.202778484798661,0.383784625493712,0.063794419992885,0.0722152487307988,-0.0116786069484024,0.259903637982501,0.124897391490047,0.304110059284681
"FCF1","black",0.689896188672679,0.364311576283079,0.689896188672679,-0.053173642613536,-0.207386557882146,0.2995967444967,0.11591378460539,0.0903416402532505,-0.0399256275366396,0.12554863722147,0.0104610473087528,0.0641005528303735
"C6orf62","black",0.689432773869879,0.322935183411686,0.689432773869879,-0.121648778708869,-0.0404643172532728,0.379673106219961,0.214267739485957,0.0530088729151796,0.0557323579926744,0.256230943545223,-0.0485812188027199,0.0508937159791862
"SCOC","black",0.68737757489601,0.281004932548437,0.68737757489601,0.0104810072199159,0.0997342711638765,0.630576584982075,0.364125739129496,0.00637677752094646,-0.0440568765393926,0.0295742538662821,0.14127901881881,-0.110254053870887
"AP1S3","black",0.686542574337498,0.519325099260902,0.686542574337498,-0.3088324986371,-0.196979734388073,0.363829162001079,-0.0233751812200715,-0.028299070687458,-0.0858803205668145,0.200745839085934,0.0531978740165092,0.471377899262599
"HSP90AB1","black",0.683213549923166,0.31809557914134,0.683213549923166,0.163883466249306,-0.191737440370452,0.0561047517876462,0.152890822698928,-0.000578291903148714,-0.0382428505374162,0.00147512236464045,-0.141334327605873,-0.0832966995815573
