source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,precision,recall,raw_p_hypergeom,gprofiler_fdr,gprofiler_significant,parents,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_all_GO_KEGG_significant,BH_FDR_within_source,BH_FDR_within_source_significant
GO:BP,GO:0021953,central nervous system neuron differentiation,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron whose cell body resides in the central nervous system."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0007417;GO:0030182,24546,1.0,False,1.0,False
GO:BP,GO:0019216,regulation of lipid metabolic process,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving lipids."" [GOC:go_curators]",12,93,16,4,0.25,0.3333333333333333,0.12229043256340338,0.25435276305828924,True,GO:0006629;GO:0080090,24546,1.0,False,1.0,False
GO:BP,GO:0019229,regulation of vasoconstriction,"""Any process that modulates the frequency, rate or extent of reductions in the diameter of blood vessels."" [GOC:jl]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0042310;GO:0097746;GO:1903522,24546,1.0,False,1.0,False
GO:BP,GO:0051964,negative regulation of synapse assembly,"""Any process that stops, prevents, or reduces the frequency, rate or extent of synapse assembly, the aggregation, arrangement and bonding together of a set of components to form a synapse."" [GOC:ai, GOC:pr]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0007416;GO:0051961;GO:0051963;GO:1901889;GO:1905809,24546,1.0,False,1.0,False
GO:BP,GO:0051966,"regulation of synaptic transmission, glutamatergic","""Any process that modulates the frequency, rate or extent of glutamatergic synaptic transmission, the process of communication from a neuron to another neuron across a synapse using the neurotransmitter glutamate."" [GOC:ai]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0035249;GO:0050804,24546,1.0,False,1.0,False
GO:BP,GO:0052547,regulation of peptidase activity,"""Any process that modulates the frequency, rate or extent of peptidase activity, the hydrolysis of peptide bonds within proteins."" [GOC:ai]",3,93,16,2,0.125,0.6666666666666666,0.07552055237889922,0.25435276305828924,True,GO:0030162;GO:0051336,24546,1.0,False,1.0,False
GO:BP,GO:0018394,peptidyl-lysine acetylation,"""The acetylation of peptidyl-lysine."" [GOC:mah]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0006473;GO:0018205,24546,1.0,False,1.0,False
GO:BP,GO:0051547,regulation of keratinocyte migration,"""Any process that modulates the frequency, rate or extent of keratinocyte migration."" [GOC:ai]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0010632;GO:0051546,24546,1.0,False,1.0,False
GO:BP,GO:0051549,positive regulation of keratinocyte migration,"""Any process that activates or increases the frequency, rate or extent of keratinocyte migration."" [GOC:ai]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0010634;GO:0051546;GO:0051547,24546,1.0,False,1.0,False
GO:BP,GO:0051602,response to electrical stimulus,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electrical stimulus."" [GOC:ai]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0009628,24546,1.0,False,1.0,False
