"","tumor_status","age_at_diagnosis","os_event","rfs_event","dataset_validation","dataset_Non.Tumoral","sex_Female","tumor_location_proximal","molecular_subtype_C1","molecular_subtype_C2","molecular_subtype_C3","molecular_subtype_C6","molecular_subtype_C4","mmr_status_dMMR","cimp_status_X.","cin_status_X.","macrophage_core_marker_score"
"MEmagenta",6.17027299308932e-31,0.545912617722895,0.0043638472757207,0.0289723398848868,0.377788747358698,6.17027299308932e-31,0.992205175071535,9.43997406645367e-05,0.0170275740101938,7.34280062993372e-09,8.13534275838378e-30,2.27673829160383e-14,2.48188389472116e-14,2.32604287151192e-07,0.00149767396630266,7.59429649196259e-09,0.160812534439045
"MEgreenyellow",3.42851732868385e-56,0.281344600342597,0.0370269293296396,0.205941292916779,0.289830055376325,3.42851732868385e-56,0.22764746577662,0.000382797264713701,0.000472127321572804,2.11213464381285e-06,0.000629073467479138,1.56361551221784e-41,1.17829784565136e-21,0.00346722976709791,6.53181741282805e-06,0.6151697554279,0.00387138617056894
"MEsalmon",7.11131723501027e-05,0.3409242941411,0.0186754507043819,0.00719797392648481,0.428384912805806,7.11131723501027e-05,0.107121505404944,2.9119549493999e-10,0.0255492901381738,2.20647430598978e-40,0.000378851772602966,0.0140944530426745,0.000244052976895723,3.56627624056461e-41,4.30543011982293e-13,3.73725628162039e-22,0.0020632576718082
"MEdarkgreen",6.42611699222967e-37,0.659690481754162,0.616472133889194,0.192401054912627,0.924799138859687,6.42611699222967e-37,0.406190913724874,2.2949202419676e-09,5.92604414668224e-16,5.0881683689105e-38,0.0598426772541622,1.57292905081389e-12,0.0185260814925124,1.79391519426005e-26,4.49333447360343e-16,6.71331523450611e-18,2.4375921567288e-26
"MElightgreen",9.33669460951008e-08,0.343322038245795,0.397777739701797,0.0472898377527684,0.943133979531325,9.33669460951008e-08,0.827532305640522,0.0502725135323615,0.236582297555322,0.00893455496715794,0.708270681542837,2.89200679705318e-10,0.0226165918514783,0.0279739771752161,0.0519046277255615,0.00111870865103835,2.31899503027362e-40
"MEturquoise",0.000968102921739073,0.182534182052042,0.018723142721681,0.00375377639296232,0.00141264372684898,0.000968102921739073,0.876932807534949,0.0809249463715442,9.00903984071204e-18,0.121981930296175,2.19965736670585e-21,0.220574634533998,1.54111807169055e-60,0.00640947834923163,0.0740188508514013,0.422957084975841,1.47557215334859e-62
"MEblack",0.223200576201502,0.235558607237185,0.718239359831611,0.679570788318673,0.0647082471472646,0.223200576201502,0.515370107813694,9.48602830540828e-08,1.87217722244484e-16,1.15812804027409e-20,4.77849249281088e-07,0.398505899877394,1.24726034974338e-25,7.57308988683572e-19,6.03178167772838e-13,1.69958720474101e-06,4.03275194472143e-242
"MElightyellow",0.656856788554984,0.35174371908677,0.139582789661856,0.00903276900409695,0.776894314352231,0.656856788554984,0.405628428508017,2.17585842592551e-09,4.20060020955305e-10,1.42288327380837e-28,0.00202697174983258,0.128322720890362,0.000130429931028884,9.31069375422489e-21,4.26895697183878e-15,1.98699274922524e-07,1.74493149349984e-45
"MEroyalblue",0.0211483033967329,0.614480274062386,0.240264410209441,0.976041303200658,0.238336743433025,0.0211483033967329,0.547577763955992,0.0510648470134156,0.0978285233458407,0.000804294580874585,0.0940682154940191,5.37622889959246e-05,0.00953488714727112,8.20521827120854e-07,0.0137834038344263,4.62806700922127e-06,0.171468328021617
"MEdarkred",1.09434093321769e-10,0.945661260589736,0.0870111489099479,0.351084858542641,0.919883824010584,1.09434093321769e-10,0.785989571410821,0.460113332694528,7.05096801375406e-07,0.265339686721611,0.13911690954273,0.000135749778006786,0.00730023376834207,0.617845523569433,0.234028266145941,0.0953196999312152,0.00200858428260559
"MEmidnightblue",6.60179997087346e-18,0.766745704436502,0.391284463271725,0.356389874190494,0.315278112650481,6.60179997087346e-18,0.512263263673721,0.616774339615992,0.219900377208519,0.377918183188134,0.612313879070733,0.444840987223234,0.471091856181277,0.190229334825478,0.155444739767296,0.991318336217062,0.0525927205550731
"MEbrown",3.62437099212944e-24,0.454231668931003,0.0345376246610587,0.0814344254420146,0.228517279735199,3.62437099212944e-24,0.0943666778773308,0.433450364388771,0.000133425026832495,1.67797681985934e-09,0.789454361144788,4.09611607119389e-08,3.6747934561834e-10,1.01953128292847e-08,0.0127824846359108,0.0195948344723997,0.000410143585045484
