"gene_symbol","module","kME_own","kME_green","kME_yellow","kME_purple","kME_blue","kME_lightcyan","kME_pink","kME_tan","kME_red","kME_cyan","kME_grey60","kME_magenta","kME_greenyellow","kME_salmon","kME_darkgreen","kME_lightgreen","kME_turquoise","kME_black","kME_lightyellow","kME_royalblue","kME_darkred","kME_midnightblue","kME_brown","kME_grey"
"LAPTM5","black",0.88812800345801,0.175132768676836,0.0397392185951105,-0.213244493897995,-0.131445856859344,-0.103068116831472,-0.280794781146043,-0.196824377597685,-0.368058773505267,-0.213192240309075,-0.257066504781185,-0.136792471427466,-0.220137302942211,0.1693380943095,0.330769550855361,0.439261176929166,0.636644291179516,0.88812800345801,0.52084763331087,-0.118801749309728,-0.0689517029703104,-0.138731118022486,-0.047926014559557,0.189550763860892
"TLR8","black",0.887387572500121,0.211972762031246,0.230403158783908,-0.0892537345170949,-0.0520391881436744,-0.0704444239039189,-0.193991428500314,-0.130249765297069,-0.438800544003154,-0.208528994156945,-0.188694058362137,-0.0584290720126531,-0.149084696704627,0.243361724019411,0.41198508354611,0.477923704693773,0.508214750146233,0.887387572500121,0.55446072834328,-0.308848708045269,-0.106890641869084,-0.259107602517456,-0.10954167973372,0.129250902894135
"ITGB2","black",0.88581365217169,-0.00373675500345144,-0.0277782546573201,-0.246708736315368,-0.162137891906197,-0.139449676959135,-0.23286972881883,-0.160885080306903,-0.3401710179089,-0.211619050509024,-0.262240076278429,-0.177135769001125,-0.27779838794199,0.130616737030539,0.295761608325173,0.394038070597641,0.671266041450048,0.88581365217169,0.530092210509479,-0.0982131988795123,-0.0582193176210538,0.0237202848377791,0.000236831950716516,0.252442896725256
"C1QB","black",0.884090756304883,0.0816524112664749,0.048461057227356,-0.222700179922835,-0.152331288317833,-0.12976767065831,-0.276776904341544,-0.196088576794392,-0.38633611425926,-0.245289608585335,-0.276344143682104,-0.0624514647811779,-0.142620723667398,0.221649520650535,0.402908678233329,0.501031360599466,0.534690307555807,0.884090756304883,0.561800313081374,-0.119946305527018,-0.0785578771437178,-0.0592606468262013,-0.0168103757186241,0.14086825997391
"GIMAP4","black",0.881944620422521,0.131648016050882,0.21698869849086,-0.0669529403151923,-0.139404736676345,-0.0116426580870055,-0.142402964444613,-0.0806423824080703,-0.393324434872418,-0.146648695363706,-0.201049738548563,-0.0979120796119167,-0.0867382563817564,0.084731245730792,0.353707267811641,0.579310194909651,0.602125455195259,0.881944620422521,0.524239537885327,-0.18779030575236,-0.157436023887042,-0.288967276524519,-0.236218461810712,-0.0230943822816673
"C1QA","black",0.881390824372109,0.0122674822049709,-0.0110437014441609,-0.291084857419917,-0.247656060736665,-0.194364349193836,-0.2366458644613,-0.225068646351479,-0.39090534819606,-0.280134613717844,-0.329192021944271,-0.0500446133200358,-0.120380190700512,0.175777225866794,0.413045548345608,0.529506586331322,0.536220171278569,0.881390824372109,0.539479778960095,-0.0568988362774872,-0.105466865506218,-0.0218473889385347,-0.0587014028207675,0.118827069908771
"C1orf162","black",0.87717201477353,0.00743492279070977,0.0426592031805947,-0.215060076294763,-0.16867629048936,-0.112146422935734,-0.228168804307377,-0.148011716934627,-0.40408219739387,-0.212891214166763,-0.267785046624377,-0.164821429266433,-0.265352385842728,0.174386260319814,0.388119862653837,0.336981395833015,0.699106290330869,0.87717201477353,0.534965117658712,-0.177352314752861,-0.0855184168576401,-0.0557968130126538,-0.0423188075809879,0.210366812481929
"ARHGAP9","black",0.875897625374956,-0.090197938636704,0.0242519661174777,-0.273249612084968,-0.237509881770849,-0.210995129354856,-0.184400498443165,-0.110360916082614,-0.423292404432868,-0.295250455871763,-0.345293463432292,0.0204599749726735,-0.0575987541733038,0.148397368372911,0.453031690212893,0.627625003223193,0.518340266679851,0.875897625374956,0.567222101683243,-0.0582421912617892,-0.140605566063217,-0.0162091170091712,-0.091995704163542,0.151728870924812
"CSF1R","black",0.875811204751296,0.00338014670924602,0.00682046397314114,-0.273551253644828,-0.319853575627732,-0.210391610271326,-0.204860378548101,-0.180153629567887,-0.374864208607026,-0.250164922223729,-0.319399689557827,-0.110699424774527,-0.144186410902015,0.0809124824724828,0.375996641068958,0.480108310239757,0.716301641526588,0.875811204751296,0.450539359183063,-0.0986834100385601,-0.1549565980115,-0.0423016834692735,-0.160022201092033,0.0724932308535268
"CSF2RB","black",0.874806624964113,0.211136764155624,0.274560774835803,-0.0504568563378291,-0.0459450790296584,-0.0512616352800499,-0.18816656621583,-0.0671951116845451,-0.400039288062799,-0.166016458527189,-0.175414536064881,0.0223100487142161,-0.0466123338515776,0.209439068139903,0.432496970611972,0.62064049472468,0.583910738875277,0.874806624964113,0.507986642547876,-0.329049518418695,-0.0895931656967012,-0.251350818198933,-0.137722853503706,0.113402014804424
"FPR3","black",0.870570177673763,0.240989717591544,0.133926391968827,-0.136943816459727,-0.0447837625084943,-0.0250199173300455,-0.276668981845731,-0.174752221329883,-0.376793088945835,-0.188382328982792,-0.205722071077539,-0.127429897337852,-0.204323852665587,0.219698957203,0.347322814240214,0.401622154056291,0.592847261454903,0.870570177673763,0.57913943489244,-0.226780276009441,-0.0837131844943295,-0.225959484483049,-0.0512007150881393,0.166217314469723
"EVI2B","black",0.870003593387456,0.209803920309066,0.32120650742368,-0.079412533009504,-0.165390563747534,-0.0791774993356803,-0.161348173791419,-0.0937117850475027,-0.491928003858319,-0.20879226721406,-0.264047905527895,0.148637632124692,0.0880574889465741,0.203831460595618,0.513926662911935,0.693620326973324,0.499929454106931,0.870003593387456,0.502820821301959,-0.225562174314236,-0.184735857205342,-0.326288570772719,-0.275070870324807,0.0428065624003107
"CD300LF","black",0.869594297075744,0.0281308798019606,0.0614927352639628,-0.232185968820407,-0.162450215316461,-0.175028589397151,-0.16579019769436,-0.132967167876717,-0.410665459999815,-0.265677456275668,-0.279467412901602,-0.0213962723052372,-0.135879461982466,0.200882818050083,0.405418990751214,0.466763609450003,0.505257710985487,0.869594297075744,0.560716554345033,-0.175331775659315,-0.0881821960144201,-0.0291470686130698,-0.0478264841389779,0.202305216965729
"C3AR1","black",0.868663710715427,0.0506136233403821,0.03738636464236,-0.200323868771494,-0.16030751732116,-0.112805180556095,-0.225910747362467,-0.177284085172995,-0.396352961451327,-0.204897483049874,-0.245048926465142,-0.188803467073798,-0.277522271271213,0.0819087750217187,0.298215999136835,0.383766149578266,0.657863959299562,0.868663710715427,0.510638398242595,-0.100884984709028,-0.106624933824189,-0.145455804460432,-0.110876534301711,0.202789930238639
"CD84","black",0.867861289583336,0.112422278875821,0.214469394365235,-0.0390427338077482,-0.111779778933147,-0.0568553083586338,-0.086846173891732,0.012871832948624,-0.392720106900246,-0.112265984608692,-0.165677031356443,-0.132645852873634,-0.182739337495901,0.0564790178867031,0.298857780892084,0.435925797704774,0.616863412127281,0.867861289583336,0.522681511135199,-0.212931585278097,-0.135244225706127,-0.173966969157042,-0.198360193791232,0.0787906575396239
"CD300A","black",0.866011481023667,0.047231718442056,0.0127821970464957,-0.275115579816399,-0.153982146023621,-0.156375967208851,-0.259131662847711,-0.219227465702708,-0.418231722222734,-0.29972863918028,-0.303213907911583,-0.0540726112325258,-0.172994498537792,0.212995317721731,0.404249438839215,0.474867810839118,0.51189124483192,0.866011481023667,0.534920200887463,-0.161448022865716,-0.0779729851422379,-0.111445303520987,-0.018646007074072,0.274794712289878
"FYB","black",0.865747635029341,0.173087758390381,0.353965889813867,0.0678323606046178,-0.0650467597639294,0.0207521312512295,-0.0118144238892222,0.0976849706350641,-0.388421822453696,-0.0679814315047043,-0.115153134781173,-0.00824278530490484,-0.0269984745352086,0.0893845226784986,0.37510041350596,0.582071581553615,0.493355541107109,0.865747635029341,0.605048618749456,-0.272011242742044,-0.139411494268745,-0.229092193995367,-0.243986726705865,-0.00371339362268372
"HLA-DPB1","black",0.864539763756021,0.0677928873141708,0.0668561996733373,-0.213392856325033,-0.240693285864218,-0.167385895758913,-0.20323532565556,-0.145131913965561,-0.378413209700886,-0.203083422978996,-0.301906452901198,-0.029537859864579,-0.0655637099872144,0.14288022635057,0.402196263468931,0.560609260757779,0.535893791499402,0.864539763756021,0.558250905269961,-0.0970638818459992,-0.145831083992456,-0.130811450892608,-0.149120127881799,0.0622200248894361
"IKZF1","black",0.864302351881234,0.163707746031676,0.239529954915212,-0.0813422844227372,-0.126028654427247,-0.0793268361617067,-0.154364006170948,-0.0808203848437587,-0.381319343409696,-0.176147589779358,-0.204431777327842,0.0916273367810704,0.0897164468439815,0.216714056058238,0.469112638784194,0.745095536058672,0.413465954761783,0.864302351881234,0.55197388819565,-0.277929608375765,-0.109055022575877,-0.227122262501173,-0.164732267565892,-0.0300036978905327
"MS4A4A","black",0.864242228967878,0.243942597489611,0.247585491195031,-0.0563139367344352,-0.0660039316661634,-0.0126679261001585,-0.208671218552223,-0.0990835690096421,-0.417510213986019,-0.164992478520449,-0.171328126928483,-0.0476749978219419,-0.101183348018989,0.201039712319126,0.417791107627569,0.445509572372951,0.605759248730699,0.864242228967878,0.515474212807612,-0.293795015055787,-0.112416335145715,-0.272084248280337,-0.141707315863477,0.0572547895695437
"LY96","black",0.862465417945524,0.156438411952552,0.331522513203183,0.0483032105845861,-0.0346066290823633,0.0357966366737831,-0.103305287161675,0.0107240580509798,-0.415962626462106,-0.0700409865577155,-0.122123417605731,-0.119659832670665,-0.184217925536734,0.107958005052934,0.338191484979347,0.487042969735668,0.681222545616491,0.862465417945524,0.519149806014626,-0.301562694152072,-0.0998931290921935,-0.282571253719301,-0.20702085614888,0.110508572736145
"CD37","black",0.860975673771931,-0.0284879723805437,-0.0400249745497735,-0.351745283374434,-0.363089689536931,-0.259972911843782,-0.192020751260499,-0.21743908622996,-0.399341704872771,-0.325283667883356,-0.387342485074808,-0.00708665295813095,-0.0289166161342524,0.124940031271225,0.464728063174191,0.600319778402433,0.555809043383996,0.860975673771931,0.494209026604791,-0.0289133063761851,-0.160888417664022,-0.0412404236595432,-0.153534211408918,0.0628001933931016
"HAVCR2","black",0.85967693346143,0.0703072003072106,0.0343323895175269,-0.200718654627548,-0.0577703846235281,-0.0905975992211155,-0.272293946880415,-0.174590861114115,-0.402466980926243,-0.25460559980743,-0.258655883485082,-0.172029826807096,-0.325310641902904,0.268931842694551,0.345440595076219,0.30998815174392,0.578548055906319,0.85967693346143,0.605950320153815,-0.216474968091354,-0.0704112162522043,-0.0337311943299833,0.0752100834237688,0.293553605193118
"CCR1","black",0.858897523448054,0.101469423017692,0.0536445089165575,-0.148280041637032,-0.00785735098857665,-0.0462313690434825,-0.236590998403769,-0.172258558802525,-0.320068881470411,-0.169730479732253,-0.163674541446817,-0.212377216254809,-0.293510456120624,0.195212709510999,0.295400424156334,0.35378461910085,0.597810901065635,0.858897523448054,0.604995317332766,-0.210619078862825,0.0112992789634653,-0.0906827299343776,0.0498434022387167,0.260868529797505
"RCSD1","black",0.858700005967022,0.113262811838294,0.184557768777931,-0.15289637820026,-0.194765199854236,-0.108440879696233,-0.177486299013268,-0.126272206333939,-0.39558343789493,-0.24270636132912,-0.291952609189861,0.0767842554528117,0.072771708925194,0.218358290163845,0.491645807182419,0.661668444993787,0.519239290694343,0.858700005967022,0.460379904972439,-0.203793864772434,-0.151690601181877,-0.199793096295014,-0.177534839801794,-0.0505288547790778
"GMFG","black",0.858441721697977,0.0252334837469622,0.0371576159826965,-0.23058373257668,-0.15357849368089,-0.103153122864883,-0.254632415800135,-0.246889750921489,-0.384970836187021,-0.238878310702419,-0.277190278255607,-0.104440090582616,-0.14890067956498,0.128108996083904,0.351143496087688,0.561117504569553,0.576397811610092,0.858441721697977,0.446375142403301,-0.0780255071720627,-0.0811953360632166,-0.222004993939295,-0.108541208274337,0.133903187689828
"CD14","black",0.858289237182374,0.0920078921347236,0.0599992697362746,-0.27102026909135,-0.239532389942518,-0.18520894048473,-0.267575905917121,-0.200337219765724,-0.457178622821122,-0.294723070331533,-0.33846518366467,-0.0720281867252844,-0.178272797710616,0.192813158386257,0.43755961202255,0.39611332090285,0.670196265999847,0.858289237182374,0.473499072119888,-0.123227870461587,-0.10829510386024,-0.130835450070625,-0.110819678515304,0.185357923664609
"NCKAP1L","black",0.857756929106539,0.114408054360425,0.270872538078335,-0.0461917463153243,-0.160946514943068,-0.0959188903952439,-0.103244503244431,-0.0117172433293621,-0.398873611222757,-0.160690525042026,-0.201768258495669,0.00484599037041048,-0.00468866307502567,0.159231127049029,0.439681331919126,0.574731511516718,0.598489105777242,0.857756929106539,0.484829500657775,-0.305180500571869,-0.153657111043539,-0.221852450710989,-0.226548951162014,-0.0605697960418327
"C10orf128","black",0.855416995070864,0.043681640900029,0.181832879689081,-0.168218268375109,-0.256282969434989,-0.124484102125442,-0.148266610141366,-0.112231471534097,-0.424448430449661,-0.240798806583243,-0.275201778125406,0.0238083250282924,0.0001575967328009,0.131964255731604,0.476492195049998,0.556656797215345,0.663121497070218,0.855416995070864,0.443605667191128,-0.216148866386989,-0.183205872781215,-0.227340879879067,-0.246474047180258,-0.010399024746018
"MYO1F","black",0.855200182052594,-0.106436535240873,-0.0965496101828386,-0.321823857127663,-0.219979780714655,-0.178180454427838,-0.224583599674755,-0.196779878377153,-0.313606929303237,-0.266905982182763,-0.318178204408362,-0.125449363173024,-0.204942090778328,0.180680225318288,0.368942674374001,0.471059496589131,0.58833198596344,0.855200182052594,0.519294549119848,-0.121417224437609,-0.0896290254289309,0.0805004234907678,0.0468564228936871,0.227565517547028
"LCP2","black",0.854832810147996,0.184294295978552,0.1724400924053,-0.0872803897670998,0.0421382625139939,-0.0423981138765291,-0.225911666112784,-0.0856695327145695,-0.388919803048396,-0.190250963575002,-0.188570303751895,-0.0963666678220071,-0.250613033941002,0.252840896816229,0.352183283059358,0.395716379826803,0.577300033912311,0.854832810147996,0.574221253814732,-0.295111511202017,-0.0339420429006185,-0.146217854666598,0.0288000960740942,0.307804377242245
"TAGAP","black",0.854303843024895,0.165984164158193,0.163045173719365,-0.13183214896093,-0.115454915028876,-0.0835838574970158,-0.206137423005919,-0.138208152290359,-0.368791370400598,-0.181902276284708,-0.214459920822679,0.00892664115718008,-0.036276764756705,0.180060502175395,0.412464123974634,0.641424618356791,0.50318139264309,0.854303843024895,0.530590614278958,-0.178105146738407,-0.0671740825591789,-0.242978397707083,-0.129731607659021,0.105531304065505
"MAFB","black",0.853109973707682,0.101137875772939,0.148051091145011,-0.13410691171621,-0.185179284372135,-0.0787215981915382,-0.166572458082218,-0.0787862572134368,-0.401381301309509,-0.167693903871964,-0.246326156940733,-0.146730434748171,-0.22151751298354,0.118987467221318,0.369866515336807,0.364182531041549,0.767601539734008,0.853109973707682,0.513966020798457,-0.25869727535394,-0.151410111016895,-0.141570142671824,-0.15880511370494,0.125568684929731
"FLI1","black",0.852358462599922,0.204710051475235,0.272751550473353,-0.0347017553415782,-0.0590001090193703,-0.00849599360013106,-0.2307345571843,-0.108533073968144,-0.395556352743624,-0.158988928366743,-0.174710197058567,-0.0713942342735898,-0.103111097956755,0.178026833050764,0.398441374407399,0.55088153878709,0.69535392032539,0.852358462599922,0.451285736963683,-0.328280596748035,-0.116868060552989,-0.300762561704516,-0.168510392004788,0.0323735242684207
"C1QC","black",0.85131238807283,0.101328169265733,0.0119201602761898,-0.27996260147507,-0.230177046908719,-0.173367798951413,-0.28837519679548,-0.2493235320901,-0.377966400765408,-0.292533207950018,-0.324685148227215,-0.0320594173403423,-0.0923594421825535,0.243731927905034,0.424804413328806,0.49327511122388,0.532955348881761,0.85131238807283,0.514152039091429,-0.137952637580837,-0.116879077344787,-0.0484101455585788,-0.0417019252915557,0.0936910882315639
"RASSF5","black",0.850901756890404,0.0507757098860933,0.0900338571765475,-0.221575285148065,-0.148291718751555,-0.107087530293932,-0.221250239885096,-0.15342719144228,-0.436262557947348,-0.269060338474765,-0.303786779198788,-0.0286311801590996,-0.0988715801283944,0.20364741678882,0.433185841004359,0.580087438508138,0.52678414725139,0.850901756890404,0.529154275787601,-0.166375896252266,-0.0961464419525402,-0.174549504941513,-0.0913731498189896,0.193753033980516
"CD163","black",0.850802125066642,0.151027162503946,0.16031747141061,-0.103870784867655,-0.0876381520852873,-0.0633214304091157,-0.171073505769323,-0.0655710300090459,-0.4349871568535,-0.175286631559255,-0.20053006244664,-0.157537917893063,-0.253866051274755,0.121707221809563,0.341699691870113,0.347638832172676,0.666675136881356,0.850802125066642,0.510540268363899,-0.198115984660036,-0.0871788918025369,-0.172114627654806,-0.11611037542065,0.170769506385071
"HLA-DMB","black",0.84894030997929,0.0550798003168241,0.0583561837274864,-0.2041127946143,-0.137653544073266,-0.12664881622176,-0.219407983005817,-0.143759683669425,-0.381921278832485,-0.218980895189444,-0.272182184906987,-0.0198577619655259,-0.0916984466038941,0.205126741052113,0.386628626523121,0.518449938253922,0.425860293958556,0.84894030997929,0.638169032580716,-0.0715395859252978,-0.106310252557844,-0.0978324930017611,-0.0455123810924218,0.152237916277816
"LST1","black",0.84822021260694,-0.0533295789467874,-0.107703132746626,-0.359194804768221,-0.267418044243791,-0.200666036401602,-0.315535962849135,-0.320010651084428,-0.336796529898097,-0.312314434493071,-0.332956526390209,-0.0804656216730089,-0.152277031352787,0.157375304981896,0.355745056673639,0.50334666199417,0.556992513252454,0.84822021260694,0.44305037031309,0.0130811318330854,-0.108763031450229,-0.0490442495838636,-0.0349419567051687,0.17639500210462
"GIMAP6","black",0.84709431336499,0.157939657144919,0.208162615883824,-0.0968433527932433,-0.128581044465368,-0.0111326574988437,-0.229153273433992,-0.168165708767297,-0.360033878154568,-0.189899667352679,-0.222962307912366,-0.00497413617762909,-0.00103968851267831,0.210166628432525,0.438786040957518,0.579340631094418,0.583192458138145,0.84709431336499,0.495636814697163,-0.266238861298607,-0.133333859674305,-0.247118058602739,-0.151294710176543,-0.0646887775524173
"CD48","black",0.846174672078459,0.173840638434982,0.160893548867514,-0.196350004772696,-0.221563024569094,-0.113043498402831,-0.225258032709133,-0.217728777040107,-0.401421326322298,-0.264234083789269,-0.302169692229076,0.127031691534363,0.153286734210531,0.212497730018118,0.507092908505618,0.74327808643699,0.361527472978115,0.846174672078459,0.504632966324935,-0.15528374357066,-0.146369757788587,-0.325400028573505,-0.226217435832463,-0.072940346718819
"ARHGAP25","black",0.845928298706531,-0.0209190725263984,0.0163997081283037,-0.2899654427462,-0.294055655356482,-0.2056379781571,-0.250789322415186,-0.210113397295835,-0.406149903832231,-0.31572264325721,-0.345766667894332,-0.00823919838658614,-0.0133987588802028,0.117264375628146,0.43133069257547,0.655814398698615,0.457236100306805,0.845928298706531,0.521003152219983,-0.056738819348892,-0.141095023529668,-0.164864531313689,-0.185932737024018,0.0303902379301011
"GIMAP1","black",0.84364773495094,0.0418964795923867,0.122207287842628,-0.190135641749175,-0.234811631407748,-0.130890892948858,-0.202300102703311,-0.16875550641764,-0.380100267689943,-0.25114723864461,-0.297558233096522,0.00258458628184153,-0.0196016121258142,0.175171588435209,0.446992828147753,0.557081441845804,0.595783933927451,0.84364773495094,0.461310427586728,-0.188793520948333,-0.154703487927656,-0.153834311808947,-0.163132457156235,-0.0212953117170947
"CLEC7A","black",0.842238998930652,0.307114110056356,0.205259651851689,-0.0596073657001263,0.027436620921034,0.0155210084632537,-0.182507570684013,-0.10963748098534,-0.384148476271649,-0.164518148362237,-0.129143970350518,-0.125572828689326,-0.217355735100502,0.238045159746919,0.324835813416116,0.387949989910244,0.550648296782009,0.842238998930652,0.511224697512642,-0.330038934686443,-0.0483598364396749,-0.283408169128339,-0.0497088854848834,0.166167062667381
"CYBB","black",0.841108444033897,0.305674905556888,0.264827988188136,-0.0115674485803017,-0.0267395622620228,0.00961316477477817,-0.168323152879102,-0.0792592893645633,-0.369890181696315,-0.115690480785843,-0.133993684544026,-0.0971953026766156,-0.147107596199775,0.227053121688872,0.337055572421182,0.419365303323071,0.573894972037784,0.841108444033897,0.504348914314749,-0.372125710548089,-0.098660288666115,-0.260205140576002,-0.125497463089988,0.0540144826587896
"ARHGEF6","black",0.838948608055186,0.0922356327408123,0.21513420987098,-0.0499862579040212,-0.205598096247665,-0.0432680310387411,-0.0851480903615822,-0.0272734506888931,-0.342459745579692,-0.0813323001713489,-0.170507627966683,-0.132092380843871,-0.0829184876122738,-0.00891960378411927,0.298695436543753,0.564771051777886,0.721265549809249,0.838948608055186,0.437613918235545,-0.192215000227147,-0.140371652055348,-0.247763497910555,-0.29804380970949,-0.073960518047008
"MS4A6A","black",0.837420759728974,0.205346186974497,0.226640303528099,-0.0328622186687377,-0.123312112632941,0.00204928021211237,-0.13407285549869,-0.0699842501422144,-0.340781699887832,-0.0817409628289961,-0.152258037670089,-0.0753877328083599,-0.0548764291952809,0.0632413970480324,0.3157471003341,0.520889382428679,0.572444835293684,0.837420759728974,0.487371056194091,-0.184720009293567,-0.123316989206423,-0.299414681033695,-0.244965023648099,-0.069282880407519
"TNFSF13B","black",0.8373444966922,0.000389119371204518,0.217397074129453,0.00528849795194251,-0.0298744760987927,-0.0135575660316583,-0.0319563062029165,0.0870110280403933,-0.400930787740326,-0.0310522419780755,-0.146911402298884,-0.169884656052015,-0.271053814027224,0.079164656352563,0.293508192224915,0.359614803058281,0.590778707844528,0.8373444966922,0.700077591388184,-0.218358915776516,-0.0838580921684577,-0.0985618121636065,-0.108601543805519,0.218156038756117
