term_id,term_name,global_fdr,intersection_size,intersection_genes,go_depth,term_theme_id,term_theme_label,status,representative_term_id,fold_reason,gene_jaccard_to_representative
GO:0008219,cell death,0.03732800247468826,12,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,2,apoptosis_cell_death,Apoptosis / programmed cell death,folded,GO:0006915,ancestor-descendant redundancy,1.000000
GO:0008283,cell population proliferation,0.00428942664119152,14,BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,2,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0008283,,
GO:0008610,lipid biosynthetic process,0.005849796511218857,7,BECN1;CYP1A2;CYP3A4;PPARD;PTGS1;PTGS2;SIRT1,6,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0008610,,
GO:0009056,catabolic process,0.009427534111278836,11,BECN1;CYP1A2;CYP3A4;MMP2;MMP9;NEAT1;PPARD;RELA;SIRT1;STAT3;TIMP1,3,general_metabolism,General metabolism / biosynthesis / storage,retained_representative,GO:0009056,,
GO:0009605,response to external stimulus,0.006443937153578333,12,BECN1;CRP;CXCR4;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3,2,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0051707,ancestor-descendant redundancy,0.750000
GO:0009607,response to biotic stimulus,0.03658169649799155,9,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA,2,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0051707,ancestor-descendant redundancy,1.000000
GO:0009628,response to abiotic stimulus,0.02585071762250262,10,BECN1;CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,2,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0001666,ancestor-descendant redundancy,0.700000
GO:0009755,hormone-mediated signaling pathway,0.022383661616626156,5,ESR1;PPARD;PPARG;RELA;SIRT1,6,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:0009755,,
GO:0009966,regulation of signal transduction,0.01804116983302586,13,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,7,signaling_receptor,Signaling / receptor / hormone response,folded,GO:1902532,ancestor-descendant redundancy,0.615385
GO:0010586,miRNA metabolic process,0.013442385214167914,6,ESR1;NEAT1;PPARD;PPARG;RELA;STAT3,8,mirna_regulation,miRNA transcription / metabolism,folded,GO:0061614,ancestor-descendant redundancy,0.833333
GO:0010646,regulation of cell communication,0.025841931441080542,13,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,4,signaling_receptor,Signaling / receptor / hormone response,folded,GO:1902532,ancestor-descendant redundancy,0.615385
GO:0010876,lipid localization,0.04876019881269913,5,CRP;PPARD;PPARG;PTGS2;SIRT1,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0010876,,
GO:0010883,regulation of lipid storage,0.020329567669730736,4,CRP;PPARD;PPARG;SIRT1,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0010883,,
GO:0012501,programmed cell death,0.03732800247468826,12,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,3,apoptosis_cell_death,Apoptosis / programmed cell death,folded,GO:0006915,ancestor-descendant redundancy,1.000000
GO:0016053,organic acid biosynthetic process,0.018025021529489507,5,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1,0,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0016053,,
GO:0019752,carboxylic acid metabolic process,0.005849796511218857,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001676,ancestor-descendant redundancy,0.500000
GO:0019915,lipid storage,0.020329567669730736,4,CRP;PPARD;PPARG;SIRT1,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0019915,,
GO:0023051,regulation of signaling,0.025618847845572085,13,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,3,signaling_receptor,Signaling / receptor / hormone response,folded,GO:1902532,ancestor-descendant redundancy,0.615385
GO:0030334,regulation of cell migration,0.04360122660091371,9,CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;SIRT1;STAT3;TIMP1,6,matrix_migration,Matrix remodeling / cell migration,retained_representative,GO:0030334,,
GO:0030522,intracellular receptor signaling pathway,0.006443937153578333,7,BECN1;ESR1;PPARD;PPARG;RELA;SIRT1;STAT3,7,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:0030522,,
GO:0031347,regulation of defense response,0.0031003540661524403,9,BECN1;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3,5,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0050727,ancestor-descendant redundancy,0.888889
GO:0032101,regulation of response to external stimulus,0.004696542460027737,10,BECN1;CXCR4;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3,4,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0050727,ancestor-descendant redundancy,0.800000
GO:0032501,multicellular organismal process,0.006641004960446473,16,BECN1;CRP;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,1,development_reproduction,Development / reproduction / circulation,folded,GO:0007275,ancestor-descendant redundancy,0.875000
GO:0032502,developmental process,0.020329567669730736,15,BECN1;CRP;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,1,development_reproduction,Development / reproduction / circulation,folded,GO:0048731,ancestor-descendant redundancy,0.933333
GO:0032787,monocarboxylic acid metabolic process,0.0021307781762883063,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3,6,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001676,ancestor-descendant redundancy,0.500000
GO:0033559,unsaturated fatty acid metabolic process,0.025618847845572085,4,CYP1A2;PTGS1;PTGS2;SIRT1,10,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,0.750000
GO:0033993,response to lipid,0.022920812324725717,9,DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;RELA;SIRT1;STAT3,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0033993,,
GO:0036293,response to decreased oxygen levels,0.024987481900900138,7,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1,4,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,folded,GO:0001666,ancestor-descendant redundancy,1.000000
GO:0036294,cellular response to decreased oxygen levels,0.02933133489791236,5,BECN1;PPARD;PPARG;PTGS2;SIRT1,10,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,retained_representative,GO:0036294,,
GO:0042127,regulation of cell population proliferation,0.001982446792593204,14,BECN1;CRP;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,4,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0042127,,
GO:0042221,response to chemical,0.0012686458499641202,16,BECN1;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,2,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,folded,GO:0070887,ancestor-descendant redundancy,0.937500
GO:0042981,regulation of apoptotic process,0.026253202802905256,11,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,5,apoptosis_cell_death,Apoptosis / programmed cell death,folded,GO:0043066,ancestor-descendant redundancy,0.818182
GO:0043066,negative regulation of apoptotic process,0.03658169649799155,9,BECN1;DKK1;ESR1;MMP9;PPARD;PTGS2;RELA;SIRT1;TIMP1,9,apoptosis_cell_death,Apoptosis / programmed cell death,retained_representative,GO:0043066,,
GO:0043067,regulation of programmed cell death,0.030115366957533606,11,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,4,apoptosis_cell_death,Apoptosis / programmed cell death,folded,GO:0043066,ancestor-descendant redundancy,0.818182
GO:0043069,negative regulation of programmed cell death,0.04876019881269913,9,BECN1;DKK1;ESR1;MMP9;PPARD;PTGS2;RELA;SIRT1;TIMP1,7,apoptosis_cell_death,Apoptosis / programmed cell death,folded,GO:0043066,ancestor-descendant redundancy,1.000000
GO:0043207,response to external biotic stimulus,0.026253202802905256,9,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA,4,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0051707,ancestor-descendant redundancy,1.000000
GO:0043436,oxoacid metabolic process,0.005849796511218857,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001676,ancestor-descendant redundancy,0.500000
GO:0044238,primary metabolic process,0.031999805704375446,16,BECN1;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,3,general_metabolism,General metabolism / biosynthesis / storage,retained_representative,GO:0044238,,
GO:0044281,small molecule metabolic process,0.034215201865082395,8,CYP1A2;CYP3A4;PPARD;PPARG;PTGS1;PTGS2;SIRT1;STAT3,3,general_metabolism,General metabolism / biosynthesis / storage,folded,GO:0001676,ancestor-descendant redundancy,0.500000
GO:0044419,biological process involved in interspecies interaction between organisms,0.04101220417348617,9,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA,1,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0051707,ancestor-descendant redundancy,1.000000
GO:0044703,multi-organism reproductive process,0.006443937153578333,6,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1,2,development_reproduction,Development / reproduction / circulation,folded,GO:0007565,ancestor-descendant redundancy,1.000000
GO:0044706,multi-multicellular organism process,0.006443937153578333,6,ESR1;MMP2;MMP9;PPARD;PTGS2;TIMP1,2,development_reproduction,Development / reproduction / circulation,folded,GO:0007565,ancestor-descendant redundancy,1.000000
GO:0046394,carboxylic acid biosynthetic process,0.018025021529489507,5,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,0.600000
GO:0046456,icosanoid biosynthetic process,0.026253202802905256,3,PTGS1;PTGS2;SIRT1,10,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,1.000000
GO:0046457,prostanoid biosynthetic process,0.01804116983302586,3,PTGS1;PTGS2;SIRT1,21,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,1.000000
GO:0048513,animal organ development,0.018025021529489507,13,CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,4,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0048513,,
GO:0048518,positive regulation of biological process,0.026894914308514272,15,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,3,development_reproduction,Development / reproduction / circulation,folded,GO:0048522,ancestor-descendant redundancy,1.000000
GO:0048522,positive regulation of cellular process,0.026253202802905256,15,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,5,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0048522,,
GO:0048583,regulation of response to stimulus,0.020329567669730736,14,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,3,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0048584,ancestor-descendant redundancy,0.928571
GO:0048584,positive regulation of response to stimulus,0.00722674533949985,13,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3,5,inflammation_defense,Inflammation / defense / stimulus response,retained_representative,GO:0048584,,
GO:0048731,system development,0.016539778405010502,14,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,3,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0048731,,
GO:0048856,anatomical structure development,0.046117314599727836,14,BECN1;CXCR4;CYP1A2;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,2,development_reproduction,Development / reproduction / circulation,folded,GO:0048731,ancestor-descendant redundancy,1.000000
GO:0050727,regulation of inflammatory response,0.001982446792593204,8,ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;STAT3,7,inflammation_defense,Inflammation / defense / stimulus response,retained_representative,GO:0050727,,
GO:0050896,response to stimulus,0.001982446792593204,18,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,1,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0070887,ancestor-descendant redundancy,0.833333
GO:0051239,regulation of multicellular organismal process,0.004696542460027737,14,BECN1;CRP;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,3,development_reproduction,Development / reproduction / circulation,retained_representative,GO:0051239,,
GO:0051707,response to other organism,0.026253202802905256,9,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA,6,inflammation_defense,Inflammation / defense / stimulus response,retained_representative,GO:0051707,,
GO:0051716,cellular response to stimulus,0.020441619780274933,16,BECN1;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,3,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0070887,ancestor-descendant redundancy,0.937500
GO:0061614,miRNA transcription,0.033807645234822395,5,ESR1;PPARD;PPARG;RELA;STAT3,15,mirna_regulation,miRNA transcription / metabolism,retained_representative,GO:0061614,,
GO:0062197,cellular response to chemical stress,0.028237591296531184,6,BECN1;MMP2;PPARG;PTGS2;RELA;SIRT1,8,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,retained_representative,GO:0062197,,
GO:0065007,biological regulation,0.016895039215047522,18,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,1,development_reproduction,Development / reproduction / circulation,folded,GO:0048522,ancestor-descendant redundancy,0.833333
GO:0065008,regulation of biological quality,0.006878078148631979,12,CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;PPARD;PPARG;PTGS1;PTGS2;SIRT1,2,general_metabolism,General metabolism / biosynthesis / storage,retained_representative,GO:0065008,,
GO:0070482,response to oxygen levels,0.026253202802905256,7,BECN1;CXCR4;MMP2;PPARD;PPARG;PTGS2;SIRT1,3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,folded,GO:0001666,ancestor-descendant redundancy,1.000000
GO:0070887,cellular response to chemical stimulus,0.0007479911063191124,15,BECN1;CXCR4;CYP1A2;CYP3A4;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,5,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,retained_representative,GO:0070887,,
GO:0071453,cellular response to oxygen levels,0.033807645234822395,5,BECN1;PPARD;PPARG;PTGS2;SIRT1,8,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,folded,GO:0036294,ancestor-descendant redundancy,1.000000
GO:0071492,cellular response to UV-A,0.01804116983302586,3,MMP2;MMP9;TIMP1,14,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,retained_representative,GO:0071492,,
GO:0072330,monocarboxylic acid biosynthetic process,0.009427534111278836,5,CYP1A2;CYP3A4;PTGS1;PTGS2;SIRT1,10,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,folded,GO:0001516,ancestor-descendant redundancy,0.600000
GO:0080134,regulation of response to stress,0.026253202802905256,10,BECN1;ESR1;MMP9;NEAT1;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3,4,inflammation_defense,Inflammation / defense / stimulus response,folded,GO:0050727,ancestor-descendant redundancy,0.800000
GO:0120254,olefinic compound metabolic process,0.020329567669730736,4,CYP1A2;CYP3A4;PTGS1;PTGS2,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0120254,,
GO:0170062,nutrient storage,0.020329567669730736,4,CRP;PPARD;PPARG;SIRT1,2,general_metabolism,General metabolism / biosynthesis / storage,folded,GO:0019915,ancestor-descendant redundancy,1.000000
GO:1901700,response to oxygen-containing compound,0.037467514944093665,11,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;RELA;SIRT1;STAT3;TIMP1,3,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,retained_representative,GO:1901700,,
GO:1902531,regulation of intracellular signal transduction,0.03546946054989412,11,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3,8,signaling_receptor,Signaling / receptor / hormone response,folded,GO:1902532,ancestor-descendant redundancy,0.727273
GO:1902532,negative regulation of intracellular signal transduction,0.025618847845572085,8,DKK1;ESR1;MMP9;PPARG;PTGS2;RELA;SIRT1;STAT3,15,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:1902532,,
GO:1902893,regulation of miRNA transcription,0.033807645234822395,5,ESR1;PPARD;PPARG;RELA;STAT3,15,mirna_regulation,miRNA transcription / metabolism,folded,GO:1902894,ancestor-descendant redundancy,0.800000
GO:1902894,negative regulation of miRNA transcription,0.025618847845572085,4,ESR1;PPARD;PPARG;RELA,27,mirna_regulation,miRNA transcription / metabolism,retained_representative,GO:1902894,,
GO:2000628,regulation of miRNA metabolic process,0.011287521275165295,6,ESR1;NEAT1;PPARD;PPARG;RELA;STAT3,9,mirna_regulation,miRNA transcription / metabolism,folded,GO:1902894,ancestor-descendant redundancy,0.666667
GO:2000629,negative regulation of miRNA metabolic process,0.025618847845572085,4,ESR1;PPARD;PPARG;RELA,16,mirna_regulation,miRNA transcription / metabolism,folded,GO:1902894,ancestor-descendant redundancy,1.000000
GO:2001233,regulation of apoptotic signaling pathway,0.037467514944093665,7,BECN1;MMP2;MMP9;PPARG;PTGS2;RELA;SIRT1,10,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:2001233,,
