gene_symbol,protein_name,max_evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,supporting_ids,audit_note
PLIN1,perilipin 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
PLIN4,perilipin 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent 1K",B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1388778_at,"See master evidence_note for species, co-treatment and assay caveats."
PSME3,proteasome activator subunit 3,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1370725_a_at,"See master evidence_note for species, co-treatment and assay caveats."
RAB5A,"RAB5A, member RAS oncogene family",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37810885,"See master evidence_note for species, co-treatment and assay caveats."
RARRES2,retinoic acid receptor responder 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
RBFOX1,RNA binding fox-1 homolog 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
RDH16,retinol dehydrogenase 16,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
RETSAT,retinol saturase,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1370806_at,"See master evidence_note for species, co-treatment and assay caveats."
RGS2,regulator of G protein signaling 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
RN7SK,RNA component of 7SK nuclear ribonucleoprotein,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
RTN2,reticulon 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
RXRG,retinoid X receptor gamma,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
RYR1,ryanodine receptor 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
SAA1,serum amyloid A1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
