analysis_category,category,term,description,hit_gene_count,gene_coverage_percent,number_of_genes,number_of_genes_in_background,background_gene_count,inputGenes,preferredNames,p_value,fdr,p_value_numeric,fdr_numeric,fdr_lt_0_05,neg_log10_fdr,rank_score,is_representative,reduced_rank,representative_term,representative_description,redundancy_cluster_size,redundancy_intersection_count,redundancy_jaccard,redundancy_overlap_coefficient,redundancy_reason,redundancy_cluster_terms
KEGG,KEGG,hsa04152,AMPK signaling pathway,10,10.416666666666668,10,120,120,"['9606.ENSP00000212015', '9606.ENSP00000287820', '9606.ENSP00000287936', '9606.ENSP00000304592', '9606.ENSP00000330393', '9606.ENSP00000348069', '9606.ENSP00000389814', '9606.ENSP00000415743', '9606.ENSP00000451828', '9606.ENSP00000483300']","['SIRT1', 'PPARG', 'HMGCR', 'FASN', 'LEPR', 'SREBF1', 'ADIPOQ', 'CD36', 'AKT1', 'ACACA']",7.35e-10,1.9e-08,7.35e-10,1.9e-08,True,7.721246399047171,0.8042964999007471,1,11.0,hsa04152,AMPK signaling pathway,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04152;hsa04910
KEGG,KEGG,hsa04211,Longevity regulating pathway,9,9.375,9,87,87,"['9606.ENSP00000212015', '9606.ENSP00000241052', '9606.ENSP00000269305', '9606.ENSP00000287820', '9606.ENSP00000336790', '9606.ENSP00000358072', '9606.ENSP00000384273', '9606.ENSP00000389814', '9606.ENSP00000451828']","['SIRT1', 'CAT', 'TP53', 'PPARG', 'ATF4', 'ATG5', 'RELA', 'ADIPOQ', 'AKT1']",9.27e-10,2.23e-08,9.27e-10,2.23e-08,True,7.651695136951839,0.7173464190892349,1,12.0,hsa04211,Longevity regulating pathway,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04211;hsa04213
KEGG,KEGG,hsa04066,HIF-1 signaling pathway,9,9.375,9,102,102,"['9606.ENSP00000218388', '9606.ENSP00000229135', '9606.ENSP00000264657', '9606.ENSP00000297494', '9606.ENSP00000314897', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000416293', '9606.ENSP00000451828']","['TIMP1', 'IFNG', 'STAT3', 'NOS3', 'ANGPT2', 'RELA', 'IL6', 'SLC2A1', 'AKT1']",3.41e-09,6.73e-08,3.41e-09,6.73e-08,True,7.171984935776023,0.6723735877290021,1,13.0,hsa04066,HIF-1 signaling pathway,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04066;hsa05235
KEGG,KEGG,hsa04217,Necroptosis,10,10.416666666666668,10,147,147,"['9606.ENSP00000229135', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000264657', '9606.ENSP00000300134', '9606.ENSP00000337383', '9606.ENSP00000370842', '9606.ENSP00000374455', '9606.ENSP00000398698', '9606.ENSP00000498466']","['IFNG', 'IL1A', 'IL1B', 'STAT3', 'STAT6', 'NLRP3', 'IL33', 'SQSTM1', 'TNF', 'FAS']",4.64e-09,8.66e-08,4.64e-09,8.66e-08,True,7.062482107982653,0.7356752195815265,1,14.0,hsa04217,Necroptosis,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04217
KEGG,KEGG,hsa04668,TNF signaling pathway,9,9.375,9,111,111,"['9606.ENSP00000263341', '9606.ENSP00000305422', '9606.ENSP00000336790', '9606.ENSP00000361405', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['IL1B', 'CEBPB', 'ATF4', 'MMP9', 'RELA', 'IL6', 'TNF', 'AKT1', 'FAS']",6.8e-09,1.2e-07,6.8e-09,1.2e-07,True,6.920818753952375,0.6488267581830351,1,15.0,hsa04668,TNF signaling pathway,8,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa01523;hsa04064;hsa04668;hsa05010;hsa05142;hsa05161;hsa05163;hsa05168
KEGG,KEGG,hsa05160,Hepatitis C,10,10.416666666666668,10,157,157,"['9606.ENSP00000229135', '9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000384273', '9606.ENSP00000385523', '9606.ENSP00000398698', '9606.ENSP00000419692', '9606.ENSP00000451828', '9606.ENSP00000454071', '9606.ENSP00000498466']","['IFNG', 'STAT3', 'TP53', 'RELA', 'PPARA', 'TNF', 'RXRA', 'AKT1', 'LDLR', 'FAS']",8.42e-09,1.41e-07,8.42e-09,1.41e-07,True,6.85078088734462,0.713623009098398,1,16.0,hsa05160,Hepatitis C,4,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa05145;hsa05160;hsa05222;hsa05223
KEGG,KEGG,hsa04672,Intestinal immune network for IgA production,6,6.25,6,43,43,"['9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000264246', '9606.ENSP00000332049', '9606.ENSP00000385675', '9606.ENSP00000386884']","['IL4', 'IL5', 'CD80', 'CD86', 'IL6', 'CXCR4']",1.31e-07,1.58e-06,1.31e-07,1.58e-06,True,5.801342913045578,0.3625839320653486,1,17.0,hsa04672,Intestinal immune network for IgA production,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04672;hsa05320
KEGG,KEGG,hsa05131,Shigellosis,10,10.416666666666668,10,218,218,"['9606.ENSP00000263341', '9606.ENSP00000269305', '9606.ENSP00000280357', '9606.ENSP00000337383', '9606.ENSP00000355231', '9606.ENSP00000358072', '9606.ENSP00000374455', '9606.ENSP00000384273', '9606.ENSP00000398698', '9606.ENSP00000451828']","['IL1B', 'TP53', 'IL18', 'NLRP3', 'BECN1', 'ATG5', 'SQSTM1', 'RELA', 'TNF', 'AKT1']",1.6e-07,1.79e-06,1.6e-07,1.79e-06,True,5.747146969020107,0.5986611426062612,1,18.0,hsa05131,Shigellosis,6,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04136;hsa04137;hsa04140;hsa04621;hsa04622;hsa05131
KEGG,KEGG,hsa04010,MAPK signaling pathway,11,11.458333333333332,11,286,286,"['9606.ENSP00000239223', '9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000269305', '9606.ENSP00000314897', '9606.ENSP00000336790', '9606.ENSP00000384273', '9606.ENSP00000398698', '9606.ENSP00000440864', '9606.ENSP00000451828', '9606.ENSP00000498466']","['DUSP1', 'IL1A', 'IL1B', 'TP53', 'ANGPT2', 'ATF4', 'RELA', 'TNF', 'NR4A1', 'AKT1', 'FAS']",2.05e-07,2.12e-06,2.05e-07,2.12e-06,True,5.673664139071248,0.6501073492685804,1,19.0,hsa04010,MAPK signaling pathway,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04010
KEGG,KEGG,hsa05202,Transcriptional misregulation in cancer,9,9.375,9,171,171,"['9606.ENSP00000269305', '9606.ENSP00000287820', '9606.ENSP00000305422', '9606.ENSP00000332049', '9606.ENSP00000361405', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000419692', '9606.ENSP00000427514']","['TP53', 'PPARG', 'CEBPB', 'CD86', 'MMP9', 'RELA', 'IL6', 'RXRA', 'CEBPA']",2.29e-07,2.26e-06,2.29e-07,2.26e-06,True,5.645891560852599,0.5293023338299312,1,20.0,hsa05202,Transcriptional misregulation in cancer,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa05202;hsa05216
KEGG,KEGG,hsa05167,Kaposi sarcoma-associated herpesvirus infection,9,9.375,9,187,187,"['9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000314897', '9606.ENSP00000332049', '9606.ENSP00000355231', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000451828', '9606.ENSP00000498466']","['STAT3', 'TP53', 'ANGPT2', 'CD86', 'BECN1', 'RELA', 'IL6', 'AKT1', 'FAS']",4.7e-07,4.38e-06,4.7e-07,4.38e-06,True,5.3585258894959,0.5023618021402406,1,21.0,hsa05167,Kaposi sarcoma-associated herpesvirus infection,4,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa05162;hsa05167;hsa05169;hsa05212
KEGG,KEGG,hsa04664,Fc epsilon RI signaling pathway,6,6.25,6,65,65,"['9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000304915', '9606.ENSP00000363512', '9606.ENSP00000398698', '9606.ENSP00000451828']","['IL4', 'IL5', 'IL13', 'ALOX5', 'TNF', 'AKT1']",1.23e-06,9.87e-06,1.23e-06,9.87e-06,True,5.005682847330363,0.3128551779581477,1,22.0,hsa04664,Fc epsilon RI signaling pathway,3,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04660;hsa04664;hsa05310
KEGG,KEGG,hsa04927,Cortisol synthesis and secretion,6,6.25,6,65,65,"['9606.ENSP00000292427', '9606.ENSP00000336790', '9606.ENSP00000358903', '9606.ENSP00000398832', '9606.ENSP00000440864', '9606.ENSP00000454071']","['CYP11B1', 'ATF4', 'CYP17A1', 'AGTR1', 'NR4A1', 'LDLR']",1.23e-06,9.87e-06,1.23e-06,9.87e-06,True,5.005682847330363,0.3128551779581477,1,23.0,hsa04927,Cortisol synthesis and secretion,3,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04925;hsa04927;hsa04934
KEGG,KEGG,hsa04151,PI3K-Akt signaling pathway,11,11.458333333333332,11,349,349,"['9606.ENSP00000231449', '9606.ENSP00000265131', '9606.ENSP00000269305', '9606.ENSP00000297494', '9606.ENSP00000314897', '9606.ENSP00000336790', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000419692', '9606.ENSP00000440864', '9606.ENSP00000451828']","['IL4', 'TNC', 'TP53', 'NOS3', 'ANGPT2', 'ATF4', 'RELA', 'IL6', 'RXRA', 'NR4A1', 'AKT1']",1.37e-06,1.05e-05,1.37e-06,1.05e-05,True,4.978810700930062,0.5704887261482362,1,24.0,hsa04151,PI3K-Akt signaling pathway,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04151
KEGG,KEGG,hsa04915,Estrogen signaling pathway,7,7.291666666666667,7,133,133,"['9606.ENSP00000219070', '9606.ENSP00000297494', '9606.ENSP00000325120', '9606.ENSP00000336790', '9606.ENSP00000361405', '9606.ENSP00000405330', '9606.ENSP00000451828']","['MMP2', 'NOS3', 'PGR', 'ATF4', 'MMP9', 'ESR1', 'AKT1']",5.37e-06,3.64e-05,5.37e-06,3.64e-05,True,4.438898616350944,0.32366969077558966,1,25.0,hsa04915,Estrogen signaling pathway,3,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa01522;hsa04915;hsa04926
KEGG,KEGG,hsa05166,Human T-cell leukemia virus 1 infection,8,8.333333333333332,8,210,210,"['9606.ENSP00000269305', '9606.ENSP00000336790', '9606.ENSP00000349078', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000416293', '9606.ENSP00000451828']","['TP53', 'ATF4', 'FDPS', 'RELA', 'IL6', 'TNF', 'SLC2A1', 'AKT1']",1.1e-05,6.87e-05,1.1e-05,6.87e-05,True,4.16304326294045,0.3469202719117041,1,26.0,hsa05166,Human T-cell leukemia virus 1 infection,4,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04071;hsa04210;hsa04722;hsa05166
KEGG,KEGG,hsa04218,Cellular senescence,7,7.291666666666667,7,150,150,"['9606.ENSP00000212015', '9606.ENSP00000263339', '9606.ENSP00000269305', '9606.ENSP00000374455', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000451828']","['SIRT1', 'IL1A', 'TP53', 'SQSTM1', 'RELA', 'IL6', 'AKT1']",1.14e-05,6.87e-05,1.14e-05,6.87e-05,True,4.16304326294045,0.30355523792274114,1,27.0,hsa04218,Cellular senescence,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04218;hsa05220
KEGG,KEGG,hsa04922,Glucagon signaling pathway,6,6.25,6,100,100,"['9606.ENSP00000212015', '9606.ENSP00000336790', '9606.ENSP00000385523', '9606.ENSP00000416293', '9606.ENSP00000451828', '9606.ENSP00000483300']","['SIRT1', 'ATF4', 'PPARA', 'SLC2A1', 'AKT1', 'ACACA']",1.28e-05,7.43e-05,1.28e-05,7.43e-05,True,4.129011186239425,0.25806319913996406,1,28.0,hsa04922,Glucagon signaling pathway,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04922
KEGG,KEGG,hsa05230,Central carbon metabolism in cancer,5,5.208333333333334,5,68,68,"['9606.ENSP00000269305', '9606.ENSP00000372191', '9606.ENSP00000377192', '9606.ENSP00000416293', '9606.ENSP00000451828']","['TP53', 'SIRT3', 'G6PD', 'SLC2A1', 'AKT1']",2.8e-05,0.00014,2.8e-05,0.00014,True,3.853871964321762,0.20072249814175847,1,29.0,hsa05230,Central carbon metabolism in cancer,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa05230
KEGG,KEGG,hsa04371,Apelin signaling pathway,6,6.25,6,133,133,"['9606.ENSP00000297494', '9606.ENSP00000352608', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000398832', '9606.ENSP00000451828']","['NOS3', 'RYR1', 'BECN1', 'CCN2', 'AGTR1', 'AKT1']",5.94e-05,0.00027,5.94e-05,0.00027,True,3.5686362358410126,0.2230397647400633,1,30.0,hsa04371,Apelin signaling pathway,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04371
KEGG,KEGG,hsa04976,Bile secretion,5,5.208333333333334,5,88,88,"['9606.ENSP00000287936', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000454071', '9606.ENSP00000498939']","['HMGCR', 'SLC2A1', 'RXRA', 'LDLR', 'CYP3A4']",8.96e-05,0.0004,8.96e-05,0.0004,True,3.3979400086720375,0.1769760421183353,1,31.0,hsa04976,Bile secretion,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04976
KEGG,KEGG,hsa00061,Fatty acid biosynthesis,3,3.125,3,17,17,"['9606.ENSP00000304592', '9606.ENSP00000339787', '9606.ENSP00000483300']","['FASN', 'ACSL4', 'ACACA']",0.00012,0.00052,0.00012,0.00052,True,3.283996656365201,0.10262489551141253,1,32.0,hsa00061,Fatty acid biosynthesis,3,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa00061;hsa01100;hsa01212
KEGG,KEGG,hsa05206,MicroRNAs in cancer,6,6.25,6,159,159,"['9606.ENSP00000212015', '9606.ENSP00000264657', '9606.ENSP00000265131', '9606.ENSP00000269305', '9606.ENSP00000351022', '9606.ENSP00000361405']","['SIRT1', 'STAT3', 'TNC', 'TP53', 'TPM1', 'MMP9']",0.00015,0.00065,0.00015,0.00065,True,3.1870866433571443,0.19919291520982152,1,33.0,hsa05206,MicroRNAs in cancer,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa05206
KEGG,KEGG,hsa04068,FoxO signaling pathway,5,5.208333333333334,5,126,126,"['9606.ENSP00000212015', '9606.ENSP00000241052', '9606.ENSP00000264657', '9606.ENSP00000385675', '9606.ENSP00000451828']","['SIRT1', 'CAT', 'STAT3', 'IL6', 'AKT1']",0.00044,0.0018,0.00044,0.0018,True,2.744727494896694,0.1429545570258695,1,34.0,hsa04068,FoxO signaling pathway,2,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa01521;hsa04068
KEGG,KEGG,hsa05410,Hypertrophic cardiomyopathy,4,4.166666666666666,4,88,88,"['9606.ENSP00000290866', '9606.ENSP00000351022', '9606.ENSP00000385675', '9606.ENSP00000398698']","['ACE', 'TPM1', 'IL6', 'TNF']",0.001,0.0039,0.001,0.0039,True,2.408935392973501,0.10037230804056252,1,35.0,hsa05410,Hypertrophic cardiomyopathy,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa05410
KEGG,KEGG,hsa05165,Human papillomavirus infection,7,7.291666666666667,7,324,324,"['9606.ENSP00000265131', '9606.ENSP00000269305', '9606.ENSP00000290167', '9606.ENSP00000384273', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['TNC', 'TP53', 'WNT4', 'RELA', 'TNF', 'AKT1', 'FAS']",0.0011,0.0042,0.0011,0.0042,True,2.3767507096020997,0.17330473924181977,1,36.0,hsa05165,Human papillomavirus infection,3,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa01524;hsa05165;hsa05170
KEGG,KEGG,hsa04216,Ferroptosis,3,3.125,3,41,41,"['9606.ENSP00000269305', '9606.ENSP00000339787', '9606.ENSP00000358072']","['TP53', 'ACSL4', 'ATG5']",0.0013,0.0044,0.0013,0.0044,True,2.3565473235138126,0.07364210385980664,1,37.0,hsa04216,Ferroptosis,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04216
KEGG,KEGG,hsa04979,Cholesterol metabolism,3,3.125,3,48,48,"['9606.ENSP00000301455', '9606.ENSP00000415743', '9606.ENSP00000454071']","['ANGPTL4', 'CD36', 'LDLR']",0.0019,0.0066,0.0019,0.0066,True,2.1804560644581312,0.0681392520143166,1,38.0,hsa04979,Cholesterol metabolism,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04979
KEGG,KEGG,hsa04913,Ovarian steroidogenesis,3,3.125,3,50,50,"['9606.ENSP00000358903', '9606.ENSP00000363512', '9606.ENSP00000454071']","['CYP17A1', 'ALOX5', 'LDLR']",0.0022,0.0072,0.0022,0.0072,True,2.1426675035687315,0.06695835948652286,1,39.0,hsa04913,Ovarian steroidogenesis,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa04913
KEGG,KEGG,hsa00140,Steroid hormone biosynthesis,3,3.125,3,60,60,"['9606.ENSP00000292427', '9606.ENSP00000358903', '9606.ENSP00000498939']","['CYP11B1', 'CYP17A1', 'CYP3A4']",0.0036,0.0112,0.0036,0.0112,True,1.9507819773298183,0.06096193679155682,1,40.0,hsa00140,Steroid hormone biosynthesis,1,0,1.0,1.0,representative term; no previously selected term exceeded the overlap threshold,hsa00140
