analysis_category,category,term,description,number_of_genes,number_of_genes_in_background,inputGenes,preferredNames,p_value,fdr,p_value_numeric,fdr_numeric,significant_fdr_lt_0_05
KEGG,KEGG,hsa05166,Human T-cell leukemia virus 1 infection,8,210,"['9606.ENSP00000269305', '9606.ENSP00000336790', '9606.ENSP00000349078', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000416293', '9606.ENSP00000451828']","['TP53', 'ATF4', 'FDPS', 'RELA', 'IL6', 'TNF', 'SLC2A1', 'AKT1']",1.1e-05,6.87e-05,1.1e-05,6.87e-05,True
KEGG,KEGG,hsa04218,Cellular senescence,7,150,"['9606.ENSP00000212015', '9606.ENSP00000263339', '9606.ENSP00000269305', '9606.ENSP00000374455', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000451828']","['SIRT1', 'IL1A', 'TP53', 'SQSTM1', 'RELA', 'IL6', 'AKT1']",1.14e-05,6.87e-05,1.14e-05,6.87e-05,True
KEGG,KEGG,hsa04660,T cell receptor signaling pathway,6,100,"['9606.ENSP00000229135', '9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000384273', '9606.ENSP00000398698', '9606.ENSP00000451828']","['IFNG', 'IL4', 'IL5', 'RELA', 'TNF', 'AKT1']",1.28e-05,7.43e-05,1.28e-05,7.43e-05,True
KEGG,KEGG,hsa04922,Glucagon signaling pathway,6,100,"['9606.ENSP00000212015', '9606.ENSP00000336790', '9606.ENSP00000385523', '9606.ENSP00000416293', '9606.ENSP00000451828', '9606.ENSP00000483300']","['SIRT1', 'ATF4', 'PPARA', 'SLC2A1', 'AKT1', 'ACACA']",1.28e-05,7.43e-05,1.28e-05,7.43e-05,True
KEGG,KEGG,hsa04934,Cushing syndrome,7,153,"['9606.ENSP00000290167', '9606.ENSP00000292427', '9606.ENSP00000336790', '9606.ENSP00000358903', '9606.ENSP00000398832', '9606.ENSP00000440864', '9606.ENSP00000454071']","['WNT4', 'CYP11B1', 'ATF4', 'CYP17A1', 'AGTR1', 'NR4A1', 'LDLR']",1.29e-05,7.43e-05,1.29e-05,7.43e-05,True
KEGG,KEGG,hsa04625,C-type lectin receptor signaling pathway,6,101,"['9606.ENSP00000263341', '9606.ENSP00000337383', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000451828']","['IL1B', 'NLRP3', 'RELA', 'IL6', 'TNF', 'AKT1']",1.35e-05,7.46e-05,1.35e-05,7.46e-05,True
KEGG,KEGG,hsa05146,Amoebiasis,6,101,"['9606.ENSP00000229135', '9606.ENSP00000263341', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000494061']","['IFNG', 'IL1B', 'RELA', 'IL6', 'TNF', 'MUC2']",1.35e-05,7.46e-05,1.35e-05,7.46e-05,True
KEGG,KEGG,hsa05310,Asthma,4,27,"['9606.ENSP00000231449', '9606.ENSP00000231454', '9606.ENSP00000304915', '9606.ENSP00000398698']","['IL4', 'IL5', 'IL13', 'TNF']",1.48e-05,7.88e-05,1.48e-05,7.88e-05,True
KEGG,KEGG,hsa04623,Cytosolic DNA-sensing pathway,5,62,"['9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000370842', '9606.ENSP00000384273', '9606.ENSP00000385675']","['IL1B', 'IL18', 'IL33', 'RELA', 'IL6']",1.84e-05,9.65e-05,1.84e-05,9.65e-05,True
KEGG,KEGG,hsa01523,Antifolate resistance,4,31,"['9606.ENSP00000263341', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698']","['IL1B', 'RELA', 'IL6', 'TNF']",2.42e-05,0.00013,2.42e-05,0.00013,True
KEGG,KEGG,hsa05221,Acute myeloid leukemia,5,67,"['9606.ENSP00000264657', '9606.ENSP00000310928', '9606.ENSP00000384273', '9606.ENSP00000427514', '9606.ENSP00000451828']","['STAT3', 'PPARD', 'RELA', 'CEBPA', 'AKT1']",2.61e-05,0.00013,2.61e-05,0.00013,True
KEGG,KEGG,hsa04917,Prolactin signaling pathway,5,68,"['9606.ENSP00000264657', '9606.ENSP00000358903', '9606.ENSP00000384273', '9606.ENSP00000405330', '9606.ENSP00000451828']","['STAT3', 'CYP17A1', 'RELA', 'ESR1', 'AKT1']",2.8e-05,0.00014,2.8e-05,0.00014,True
KEGG,KEGG,hsa05230,Central carbon metabolism in cancer,5,68,"['9606.ENSP00000269305', '9606.ENSP00000372191', '9606.ENSP00000377192', '9606.ENSP00000416293', '9606.ENSP00000451828']","['TP53', 'SIRT3', 'G6PD', 'SLC2A1', 'AKT1']",2.8e-05,0.00014,2.8e-05,0.00014,True
KEGG,KEGG,hsa04919,Thyroid hormone signaling pathway,6,120,"['9606.ENSP00000269305', '9606.ENSP00000290167', '9606.ENSP00000405330', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000451828']","['TP53', 'WNT4', 'ESR1', 'SLC2A1', 'RXRA', 'AKT1']",3.43e-05,0.00017,3.43e-05,0.00017,True
KEGG,KEGG,hsa04926,Relaxin signaling pathway,6,126,"['9606.ENSP00000219070', '9606.ENSP00000297494', '9606.ENSP00000336790', '9606.ENSP00000361405', '9606.ENSP00000384273', '9606.ENSP00000451828']","['MMP2', 'NOS3', 'ATF4', 'MMP9', 'RELA', 'AKT1']",4.45e-05,0.00021,4.45e-05,0.00021,True
KEGG,KEGG,hsa05130,Pathogenic Escherichia coli infection,7,187,"['9606.ENSP00000263341', '9606.ENSP00000280357', '9606.ENSP00000337383', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000498466']","['IL1B', 'IL18', 'NLRP3', 'RELA', 'IL6', 'TNF', 'FAS']",4.45e-05,0.00021,4.45e-05,0.00021,True
KEGG,KEGG,hsa05169,Epstein-Barr virus infection,7,192,"['9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['STAT3', 'TP53', 'RELA', 'IL6', 'TNF', 'AKT1', 'FAS']",5.23e-05,0.00024,5.23e-05,0.00024,True
KEGG,KEGG,hsa04210,Apoptosis,6,131,"['9606.ENSP00000269305', '9606.ENSP00000336790', '9606.ENSP00000384273', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['TP53', 'ATF4', 'RELA', 'TNF', 'AKT1', 'FAS']",5.48e-05,0.00025,5.48e-05,0.00025,True
KEGG,KEGG,hsa04371,Apelin signaling pathway,6,133,"['9606.ENSP00000297494', '9606.ENSP00000352608', '9606.ENSP00000355231', '9606.ENSP00000356954', '9606.ENSP00000398832', '9606.ENSP00000451828']","['NOS3', 'RYR1', 'BECN1', 'CCN2', 'AGTR1', 'AKT1']",5.94e-05,0.00027,5.94e-05,0.00027,True
KEGG,KEGG,hsa04976,Bile secretion,5,88,"['9606.ENSP00000287936', '9606.ENSP00000416293', '9606.ENSP00000419692', '9606.ENSP00000454071', '9606.ENSP00000498939']","['HMGCR', 'SLC2A1', 'RXRA', 'LDLR', 'CYP3A4']",8.96e-05,0.0004,8.96e-05,0.0004,True
KEGG,KEGG,hsa00061,Fatty acid biosynthesis,3,17,"['9606.ENSP00000304592', '9606.ENSP00000339787', '9606.ENSP00000483300']","['FASN', 'ACSL4', 'ACACA']",0.00012,0.00052,0.00012,0.00052,True
KEGG,KEGG,hsa01522,Endocrine resistance,5,94,"['9606.ENSP00000219070', '9606.ENSP00000269305', '9606.ENSP00000361405', '9606.ENSP00000405330', '9606.ENSP00000451828']","['MMP2', 'TP53', 'MMP9', 'ESR1', 'AKT1']",0.00012,0.00053,0.00012,0.00053,True
KEGG,KEGG,hsa04061,Viral protein interaction with cytokine and cytokine receptor,5,96,"['9606.ENSP00000246657', '9606.ENSP00000280357', '9606.ENSP00000385675', '9606.ENSP00000386884', '9606.ENSP00000398698']","['CCR7', 'IL18', 'IL6', 'CXCR4', 'TNF']",0.00013,0.00057,0.00013,0.00057,True
KEGG,KEGG,hsa05206,MicroRNAs in cancer,6,159,"['9606.ENSP00000212015', '9606.ENSP00000264657', '9606.ENSP00000265131', '9606.ENSP00000269305', '9606.ENSP00000351022', '9606.ENSP00000361405']","['SIRT1', 'STAT3', 'TNC', 'TP53', 'TPM1', 'MMP9']",0.00015,0.00065,0.00015,0.00065,True
KEGG,KEGG,hsa04213,Longevity regulating pathway - multiple species,4,61,"['9606.ENSP00000212015', '9606.ENSP00000241052', '9606.ENSP00000358072', '9606.ENSP00000451828']","['SIRT1', 'CAT', 'ATG5', 'AKT1']",0.00028,0.0012,0.00028,0.0012,True
