donor_id,threshold,score,analysis_group,n_cells,score_value,rank,rank_percentile,n_candidate_groups
KUL01,30,Score_C,endothelial_like,101,-0.11492352783410993,5,0.0,5
KUL19,30,Score_C,mast_cells,31,0.6004730494198526,1,1.0,6
KUL19,30,Score_C,fibroblast_like,189,0.4975084288534933,2,0.8,6
KUL19,30,Score_C,C1QC_like_TAM,129,0.37424096863110207,3,0.6,6
KUL19,30,Score_C,tumor_epithelial,574,0.09710732000106553,4,0.4,6
KUL19,30,Score_C,FCN1_inflammatory_monocyte_like,35,-0.03577645864344703,5,0.19999999999999996,6
KUL19,30,Score_C,endothelial_like,176,-0.0614112031572181,6,0.0,6
KUL21,30,Score_C,fibroblast_like,613,0.8641117166181184,1,1.0,5
KUL21,30,Score_C,tumor_epithelial,759,0.2856436739617133,2,0.75,5
KUL21,30,Score_C,resident_like,84,0.026246384784356567,3,0.5,5
KUL21,30,Score_C,endothelial_like,99,-0.14349380297286835,4,0.25,5
KUL21,30,Score_C,FCN1_inflammatory_monocyte_like,139,-0.19448642761879573,5,0.0,5
KUL28,30,Score_C,tumor_epithelial,40,0.30915947492103324,1,1.0,3
KUL28,30,Score_C,endothelial_like,127,-0.12569103284308042,2,0.5,3
KUL28,30,Score_C,fibroblast_like,43,-0.21168555475987746,3,0.0,3
KUL30,30,Score_C,fibroblast_like,126,0.6361777385754277,1,1.0,5
KUL30,30,Score_C,FCN1_inflammatory_monocyte_like,31,0.07231804821973946,2,0.75,5
KUL30,30,Score_C,tumor_epithelial,68,0.055828139231055195,3,0.5,5
KUL30,30,Score_C,C1QC_like_TAM,30,0.03644402885010963,4,0.25,5
KUL30,30,Score_C,endothelial_like,111,-0.23282338783601494,5,0.0,5
KUL31,30,Score_C,tumor_epithelial,41,0.06391122151911544,1,1.0,1
KUL01,30,Score_D,fibroblast_like,311,0.25622953053948305,1,1.0,5
KUL01,30,Score_D,FCN1_inflammatory_monocyte_like,161,0.2279184942401794,2,0.75,5
KUL01,30,Score_D,SPP1_like_TAM,156,0.18529462052163326,3,0.5,5
KUL01,30,Score_D,endothelial_like,101,0.12858123164028898,4,0.25,5
KUL01,30,Score_D,tumor_epithelial,730,0.10946754853092815,5,0.0,5
KUL19,30,Score_D,mast_cells,31,0.4285771697066947,1,1.0,6
KUL19,30,Score_D,C1QC_like_TAM,129,0.3096479864314132,2,0.8,6
KUL19,30,Score_D,FCN1_inflammatory_monocyte_like,35,0.255034659762152,3,0.6,6
