donor_id,condition,analysis_group,n_cells,pseudobulk_score,cell_global_sensitivity_mean,eligible_ge_10,eligible_ge_20,eligible_ge_30
KUL21,normal,pericyte_like,7,0.0,0.0,False,False,False
KUL21,normal,resident_like,30,0.0,0.0,True,True,True
KUL21,normal,smooth_muscle_like,13,0.0,0.0,True,False,False
KUL21,tumor,B_cells,104,0.0,0.0,True,True,True
KUL21,tumor,C1QC_like_TAM,2,0.0,0.0,False,False,False
KUL21,tumor,FCN1_inflammatory_monocyte_like,139,0.0,0.0,True,True,True
KUL21,tumor,SPP1_like_TAM,9,0.0,0.0,False,False,False
KUL21,tumor,T_cells,226,0.0,0.0,True,True,True
KUL21,tumor,endothelial_like,99,0.0,0.0,True,True,True
KUL21,tumor,fibroblast_like,613,0.19540534871464066,0.004540332676247636,True,True,True
KUL21,tumor,mast_cells,27,0.0,0.0,True,True,False
KUL21,tumor,other_myeloid,10,0.0,0.0,True,False,False
KUL21,tumor,pericyte_like,51,0.0,0.0,True,True,True
KUL21,tumor,resident_like,84,0.15816096928426582,0.0,True,True,True
KUL21,tumor,smooth_muscle_like,26,0.0,0.0,True,True,False
KUL21,tumor,tumor_epithelial,759,0.08018546385680793,0.0,True,True,True
KUL28,border,B_cells,121,0.0,0.0,True,True,True
KUL28,border,C1QC_like_TAM,22,0.0,0.0,True,True,False
KUL28,border,FCN1_inflammatory_monocyte_like,11,0.0,0.0,True,False,False
KUL28,border,SPP1_like_TAM,1,0.0,0.0,False,False,False
KUL28,border,T_cells,19,0.0,0.0,True,False,False
KUL28,border,border_epithelial,17,0.0,0.0,True,False,False
KUL28,border,endothelial_like,70,0.0,0.0,True,True,True
KUL28,border,enteric_glial_like,3,0.0,0.0,False,False,False
KUL28,border,fibroblast_like,75,0.18966860205667255,0.014943769996216922,True,True,True
KUL28,border,mast_cells,12,0.0,0.0,True,False,False
KUL28,border,pericyte_like,53,0.09447306290765589,0.0,True,True,True
KUL28,border,smooth_muscle_like,2,0.0,0.0,False,False,False
KUL28,normal,B_cells,271,0.0,0.0,True,True,True
KUL28,normal,C1QC_like_TAM,5,0.0,0.0,False,False,False
KUL28,normal,FCN1_inflammatory_monocyte_like,2,0.0,0.0,False,False,False
KUL28,normal,T_cells,124,0.0,0.0,True,True,True
KUL28,normal,endothelial_like,55,0.0,0.0,True,True,True
KUL28,normal,enteric_glial_like,78,0.0,0.0,True,True,True
KUL28,normal,fibroblast_like,284,0.15539774977435877,0.0,True,True,True
KUL28,normal,mast_cells,19,0.0,0.0,True,False,False
KUL28,normal,normal_epithelial,20,0.0,0.0,True,True,False
KUL28,normal,other_myeloid,2,0.0,0.0,False,False,False
KUL28,normal,pericyte_like,15,0.0,0.0,True,False,False
KUL28,normal,resident_like,7,0.0,0.0,False,False,False
KUL28,normal,smooth_muscle_like,26,0.0,0.0,True,True,False
KUL28,tumor,B_cells,4,0.0,0.0,False,False,False
KUL28,tumor,C1QC_like_TAM,26,0.4555026064694253,0.0,True,True,False
KUL28,tumor,FCN1_inflammatory_monocyte_like,14,0.0,0.0,True,False,False
KUL28,tumor,SPP1_like_TAM,12,0.0,0.0,True,False,False
KUL28,tumor,T_cells,67,0.0,0.0,True,True,True
KUL28,tumor,endothelial_like,127,0.0,0.0,True,True,True
KUL28,tumor,enteric_glial_like,14,0.0,0.0,True,False,False
KUL28,tumor,fibroblast_like,43,0.2360336421130232,0.0,True,True,True
KUL28,tumor,mast_cells,10,0.0,0.0,True,False,False
KUL28,tumor,other_myeloid,3,0.999856617913793,0.0,False,False,False
KUL28,tumor,pericyte_like,56,0.0,0.0,True,True,True
KUL28,tumor,resident_like,4,0.0,0.0,False,False,False
