gene_symbol,gene_id,chemical,chemical_identity,exact_evidence_rows,exact_human_supported,exact_experimental_supported,CTD_support,PubChem_support,ChEMBL_support,number_independent_sources,number_independent_references,number_species,evidence_species,evidence_tiers,evidence_types,evidence_directions,evidence_role,direct_target_binding_flag,metabolism_related_flag,ambiguous_direction_flag,evidence_source_databases,evidence_provenance,parent_naphthalene_rows_in_primary,primary_universe_rule
CASP3,836,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1346978|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346978|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347034|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347034|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CASP7,840,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1346978|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346978|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347034|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347034|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CES1,1066,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,True,False,False,1,1,1,Homo sapiens,Tier A,curated chemical-gene interaction,affects,ambiguous_direction;gene_to_chemical_metabolism,False,True,True,CTD,CTD|CTD-PMID:12837533|Homo sapiens|affects|curated chemical-gene interaction,0,exact 2-NAP evidence required; parent-only evidence excluded
CFTR,1080,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1224863|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CGAS,115004,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259398|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CHO,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,False,True,False,False,True,1,1,1,Cricetulus griseus,Tier B,target activity / physicochemical assay,,ambiguous_direction;other_exact_interaction,False,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL1932277; ChEMBL-document:CHEMBL1926568|Cricetulus griseus|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,14,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1963588|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963588|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963588|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963588|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963589|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963589|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963589|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963589|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061102|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061102|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061103|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061103|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061103|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061103|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,16,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1963590|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963590|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963590|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963590|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963591|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1963591|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1963591|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963591|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061098|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061098|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061098|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061098|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061099|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061099|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061099|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061099|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP19A1,1588,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive;Inconclusive,bioassay_target;direct_binding,True,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:743083|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:743083|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743139|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:743139|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP1A1,1543,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,True,False,False,1,1,1,Homo sapiens,Tier A,curated chemical-gene interaction,increases,gene_to_chemical_metabolism,False,True,False,CTD,CTD|CTD-PMID:16243959|Homo sapiens|increases|curated chemical-gene interaction,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP1A2,1544;P05177,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,9,True,False,True,True,True,3,6,1,Homo sapiens,Tier A,bioassay activity;curated chemical-gene interaction;target activity / physicochemical assay,Active;Unspecified;affects;decreases;increases,ambiguous_direction;bioassay_target;direct_binding;gene_to_chemical_metabolism;other_exact_interaction,True,True,True,CTD;ChEMBL;PubChem BioAssay,CTD|CTD-PMID:32278787|Homo sapiens|affects|curated chemical-gene interaction;CTD|CTD-PMID:15916432|Homo sapiens|decreases|curated chemical-gene interaction;CTD|CTD-PMID:16243959|Homo sapiens|increases|curated chemical-gene interaction;PubChem BioAssay|PubChem-AID:241334; PMID:15916432|Homo sapiens|Unspecified|bioassay activity;PubChem BioAssay|PubChem-AID:1671199|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671199|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671199|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671199|Homo sapiens|Active|bioassay activity;ChEMBL|ChEMBL-assay:CHEMBL830921; ChEMBL-document:CHEMBL1144444|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP1B1,1545,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,False,True,True,False,False,1,1,1,Mus musculus,Tier B,curated chemical-gene interaction,affects;increases,direct_binding,True,False,False,CTD,CTD|CTD-PMID:27837168|Mus musculus|affects;increases|curated chemical-gene interaction,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP2A3,P11509,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,True,False,False,False,True,1,2,1,Homo sapiens,Tier A,target activity / physicochemical assay,,ambiguous_direction;direct_binding,True,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL832816; ChEMBL-document:CHEMBL1141174|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1023677; ChEMBL-document:CHEMBL1158374|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP2A6,1548,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Unspecified,ambiguous_direction;bioassay_target;direct_binding,True,False,True,PubChem BioAssay,PubChem BioAssay|PubChem-AID:241172; PMID:15658857|Homo sapiens|Unspecified|bioassay activity;PubChem BioAssay|PubChem-AID:420671; PMID:19110342|Homo sapiens|Unspecified|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP2B6,1555,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,True,False,False,1,1,1,Homo sapiens,Tier A,curated chemical-gene interaction,increases,gene_to_chemical_metabolism,False,True,False,CTD,CTD|CTD-PMID:16243959|Homo sapiens|increases|curated chemical-gene interaction,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP2C19,1557,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Active,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1671197|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671197|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671197|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671197|Homo sapiens|Active|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP2C9,1559,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1671198|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671198|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671198|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671198|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP2D6,1565,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Active;Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1671196|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671196|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671196|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671196|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP2E1,1571,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,True,False,False,1,1,1,Homo sapiens,Tier A,curated chemical-gene interaction,increases,gene_to_chemical_metabolism,False,True,False,CTD,CTD|CTD-PMID:16243959|Homo sapiens|increases|curated chemical-gene interaction,0,exact 2-NAP evidence required; parent-only evidence excluded
CYP3A4,1576,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,5,True,False,True,True,False,2,2,1,Homo sapiens,Tier A,bioassay activity;curated chemical-gene interaction,Active;Inactive;increases,bioassay_target;gene_to_chemical_metabolism,False,True,False,CTD;PubChem BioAssay,CTD|CTD-PMID:16243959|Homo sapiens|increases|curated chemical-gene interaction;PubChem BioAssay|PubChem-AID:1671201|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671201|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671201|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671201|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
Casp3,100689061,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,False,True,False,True,False,1,2,1,Cricetulus griseus,Tier B,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1346980|Cricetulus griseus|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346980|Cricetulus griseus|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347037|Cricetulus griseus|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347037|Cricetulus griseus|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
Casp7,100766857,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,False,True,False,True,False,1,2,1,Cricetulus griseus,Tier B,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1346980|Cricetulus griseus|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346980|Cricetulus griseus|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347037|Cricetulus griseus|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347037|Cricetulus griseus|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
Cgas,214763,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,False,True,False,True,False,1,1,1,Mus musculus,Tier B,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259397|Mus musculus|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
Cyp2a-5,P20852,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,False,True,False,False,True,1,2,1,Mus musculus,Tier B,target activity / physicochemical assay,,ambiguous_direction;direct_binding,True,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL832818; ChEMBL-document:CHEMBL1141174|Mus musculus|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1023676; ChEMBL-document:CHEMBL1158374|Mus musculus|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
Cyp2a5,13087,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,False,True,False,True,False,1,2,1,Mus musculus,Tier B,bioassay activity,Unspecified,ambiguous_direction;bioassay_target;direct_binding,True,False,True,PubChem BioAssay,PubChem BioAssay|PubChem-AID:241174; PMID:15658857|Mus musculus|Unspecified|bioassay activity;PubChem BioAssay|PubChem-AID:420670; PMID:19110342|Mus musculus|Unspecified|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
