drug,signature_id,cell_line,pert_time,pert_dose,persistent_id,tissue,disease
simvastatin,PBIOA015_HCC515_24H_P09_simvastatin_1.11uM,HCC515,24 h,1.11 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HCC515_24H_P09_simvastatin_1.11uM.tsv,lung,lung cancer
simvastatin,REP.B004_HT29_24H_L24_simvastatin_0.01uM,HT29,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_HT29_24H_L24_simvastatin_0.01uM.tsv,intestine,colon adenocarcinoma
simvastatin,REP.B004_HT29_24H_L23_simvastatin_0.03uM,HT29,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_HT29_24H_L23_simvastatin_0.03uM.tsv,intestine,colon adenocarcinoma
simvastatin,PBIOA015_HT29_24H_P12_simvastatin_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HT29_24H_P12_simvastatin_0.04uM.tsv,intestine,colon adenocarcinoma
simvastatin,REP.A004_HT29_24H_L24_simvastatin_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A004_HT29_24H_L24_simvastatin_0.04uM.tsv,intestine,colon adenocarcinoma
simvastatin,REP.B004_MCF7_24H_L24_simvastatin_0.01uM,MCF7,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_MCF7_24H_L24_simvastatin_0.01uM.tsv,breast,breast adenocarcinoma
simvastatin,REP.B004_MCF7_24H_L23_simvastatin_0.03uM,MCF7,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_MCF7_24H_L23_simvastatin_0.03uM.tsv,breast,breast adenocarcinoma
simvastatin,PBIOA015_MCF7_24H_P12_simvastatin_0.04uM,MCF7,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_MCF7_24H_P12_simvastatin_0.04uM.tsv,breast,breast adenocarcinoma
simvastatin,REP.A004_MCF7_24H_L24_simvastatin_0.04uM,MCF7,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A004_MCF7_24H_L24_simvastatin_0.04uM.tsv,breast,breast adenocarcinoma
simvastatin,REP.B004_PC3_24H_L24_simvastatin_0.01uM,PC3,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_PC3_24H_L24_simvastatin_0.01uM.tsv,prostate gland,prostate adenocarcinoma
simvastatin,REP.B004_PC3_24H_L23_simvastatin_0.03uM,PC3,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B004_PC3_24H_L23_simvastatin_0.03uM.tsv,prostate gland,prostate adenocarcinoma
simvastatin,PBIOA015_PC3_24H_P12_simvastatin_0.04uM,PC3,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_PC3_24H_P12_simvastatin_0.04uM.tsv,prostate gland,prostate adenocarcinoma
simvastatin,REP.A004_PC3_24H_L24_simvastatin_0.04uM,PC3,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A004_PC3_24H_L24_simvastatin_0.04uM.tsv,prostate gland,prostate adenocarcinoma
sulfasalazine,REP.B005_A549_24H_L12_sulfasalazine_0.01uM,A549,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_A549_24H_L12_sulfasalazine_0.01uM.tsv,lung,lung cancer
sulfasalazine,REP.B005_A549_24H_L11_sulfasalazine_0.03uM,A549,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_A549_24H_L11_sulfasalazine_0.03uM.tsv,lung,lung cancer
sulfasalazine,REP.A005_A549_24H_L12_sulfasalazine_0.04uM,A549,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A005_A549_24H_L12_sulfasalazine_0.04uM.tsv,lung,lung cancer
sulfasalazine,REP.B005_A549_24H_L10_sulfasalazine_0.08uM,A549,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_A549_24H_L10_sulfasalazine_0.08uM.tsv,lung,lung cancer
sulfasalazine,REP.B005_HT29_24H_L12_sulfasalazine_0.01uM,HT29,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_HT29_24H_L12_sulfasalazine_0.01uM.tsv,intestine,colon adenocarcinoma
sulfasalazine,REP.B005_HT29_24H_L11_sulfasalazine_0.03uM,HT29,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_HT29_24H_L11_sulfasalazine_0.03uM.tsv,intestine,colon adenocarcinoma
sulfasalazine,REP.A005_HT29_24H_L12_sulfasalazine_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A005_HT29_24H_L12_sulfasalazine_0.04uM.tsv,intestine,colon adenocarcinoma
sulfasalazine,REP.B005_HT29_24H_L10_sulfasalazine_0.08uM,HT29,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_HT29_24H_L10_sulfasalazine_0.08uM.tsv,intestine,colon adenocarcinoma
sulfasalazine,REP.B005_MCF7_24H_L12_sulfasalazine_0.01uM,MCF7,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_MCF7_24H_L12_sulfasalazine_0.01uM.tsv,breast,breast adenocarcinoma
sulfasalazine,REP.B005_MCF7_24H_L11_sulfasalazine_0.03uM,MCF7,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_MCF7_24H_L11_sulfasalazine_0.03uM.tsv,breast,breast adenocarcinoma
sulfasalazine,REP.A005_MCF7_24H_L12_sulfasalazine_0.04uM,MCF7,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A005_MCF7_24H_L12_sulfasalazine_0.04uM.tsv,breast,breast adenocarcinoma
sulfasalazine,REP.B005_MCF7_24H_L10_sulfasalazine_0.08uM,MCF7,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_MCF7_24H_L10_sulfasalazine_0.08uM.tsv,breast,breast adenocarcinoma
sulfasalazine,REP.B005_PC3_24H_L12_sulfasalazine_0.01uM,PC3,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_PC3_24H_L12_sulfasalazine_0.01uM.tsv,prostate gland,prostate adenocarcinoma
sulfasalazine,REP.B005_PC3_24H_L11_sulfasalazine_0.03uM,PC3,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_PC3_24H_L11_sulfasalazine_0.03uM.tsv,prostate gland,prostate adenocarcinoma
sulfasalazine,REP.A005_PC3_24H_L12_sulfasalazine_0.04uM,PC3,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A005_PC3_24H_L12_sulfasalazine_0.04uM.tsv,prostate gland,prostate adenocarcinoma
sulfasalazine,REP.B005_PC3_24H_L10_sulfasalazine_0.08uM,PC3,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B005_PC3_24H_L10_sulfasalazine_0.08uM.tsv,prostate gland,prostate adenocarcinoma
tacrolimus,REP.B028_A549_24H_N12_tacrolimus_0.01uM,A549,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B028_A549_24H_N12_tacrolimus_0.01uM.tsv,lung,lung cancer
tacrolimus,REP.B028_A549_24H_N11_tacrolimus_0.03uM,A549,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B028_A549_24H_N11_tacrolimus_0.03uM.tsv,lung,lung cancer
tacrolimus,PBIOA015_A549_24H_M12_tacrolimus_0.04uM,A549,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_A549_24H_M12_tacrolimus_0.04uM.tsv,lung,lung cancer
tacrolimus,REP.A028_A549_24H_N12_tacrolimus_0.04uM,A549,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A028_A549_24H_N12_tacrolimus_0.04uM.tsv,lung,lung cancer
tacrolimus,PBIOA015_HCC515_24H_M12_tacrolimus_0.04uM,HCC515,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HCC515_24H_M12_tacrolimus_0.04uM.tsv,lung,lung cancer
tacrolimus,PBIOA015_HCC515_24H_M11_tacrolimus_0.125uM,HCC515,24 h,0.125 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HCC515_24H_M11_tacrolimus_0.125uM.tsv,lung,lung cancer
tacrolimus,PBIOA015_HCC515_24H_M10_tacrolimus_0.37uM,HCC515,24 h,0.37 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HCC515_24H_M10_tacrolimus_0.37uM.tsv,lung,lung cancer
tacrolimus,PBIOA015_HCC515_24H_M09_tacrolimus_1.11uM,HCC515,24 h,1.11 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HCC515_24H_M09_tacrolimus_1.11uM.tsv,lung,lung cancer
tacrolimus,REP.B028_HT29_24H_N12_tacrolimus_0.01uM,HT29,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B028_HT29_24H_N12_tacrolimus_0.01uM.tsv,intestine,colon adenocarcinoma
tacrolimus,REP.B028_HT29_24H_N11_tacrolimus_0.03uM,HT29,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B028_HT29_24H_N11_tacrolimus_0.03uM.tsv,intestine,colon adenocarcinoma
tacrolimus,PBIOA015_HT29_24H_M12_tacrolimus_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_HT29_24H_M12_tacrolimus_0.04uM.tsv,intestine,colon adenocarcinoma
tacrolimus,REP.A028_HT29_24H_N12_tacrolimus_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A028_HT29_24H_N12_tacrolimus_0.04uM.tsv,intestine,colon adenocarcinoma
tacrolimus,REP.B028_MCF7_24H_N12_tacrolimus_0.01uM,MCF7,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B028_MCF7_24H_N12_tacrolimus_0.01uM.tsv,breast,breast adenocarcinoma
tacrolimus,REP.B028_MCF7_24H_N11_tacrolimus_0.03uM,MCF7,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B028_MCF7_24H_N11_tacrolimus_0.03uM.tsv,breast,breast adenocarcinoma
tacrolimus,PBIOA015_MCF7_24H_M12_tacrolimus_0.04uM,MCF7,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_MCF7_24H_M12_tacrolimus_0.04uM.tsv,breast,breast adenocarcinoma
tacrolimus,REP.A028_MCF7_24H_N12_tacrolimus_0.04uM,MCF7,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A028_MCF7_24H_N12_tacrolimus_0.04uM.tsv,breast,breast adenocarcinoma
