source_article,source_table,article_rank,gene_symbol_raw,gene_symbol,description,gifts,genecard_id,relevance_score,in_dinp_93,dinp_support_count,CTD,ToxCast,Tox21,T3DB
10.1186/s12906-021-03273-7,Table S2,1690,IBSP,IBSP,Integrin Binding Sialoprotein,37,GC04P087799,11.12,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1691,URI1,URI1,URI1 Prefoldin Like Chaperone,36,GC19P029923,11.1,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1692,LINC01630,LINC01630,Long Intergenic Non-Protein Coding RNA 1630,12,GC18P051348,11.1,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1693,CXCR3,CXCR3,C-X-C Motif Chemokine Receptor 3,44,GC0XM071615,11.09,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1694,ANXA3,ANXA3,Annexin A3,42,GC04P078551,11.09,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1695,TRPV4,TRPV4,Transient Receptor Potential Cation Channel Subfamily V Member 4,49,GC12M109783,11.08,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1696,PRKAA2,PRKAA2,Protein Kinase AMP-Activated Catalytic Subunit Alpha 2,50,GC01P056645,11.08,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1697,NOG,NOG,Noggin,47,GC17P056593,11.08,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1698,DSG2,DSG2,Desmoglein 2,45,GC18P031498,11.07,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1699,TOR1A,TOR1A,Torsin Family 1 Member A,44,GC09M129812,11.05,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1700,SCNN1B,SCNN1B,Sodium Channel Epithelial 1 Subunit Beta,48,GC16P023278,11.05,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1701,RPL5,RPL5,Ribosomal Protein L5,47,GC01P092832,11.05,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1702,PLAT,PLAT,"Plasminogen Activator, Tissue Type",49,GC08M042174,11.05,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1703,RRM1,RRM1,Ribonucleotide Reductase Catalytic Subunit M1,47,GC11P004115,11.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1704,PRKCE,PRKCE,Protein Kinase C Epsilon,50,GC02P045651,11.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1705,PIM1,PIM1,"Pim-1 Proto-Oncogene, Serine/Threonine Kinase",50,GC06P047469,11.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1706,LINC01618,LINC01618,Long Intergenic Non-Protein Coding RNA 1618,12,GC04P052726,11.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1707,LINC01507,LINC01507,Long Intergenic Non-Protein Coding RNA 1507,13,GC09P079824,11.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1708,EWSR1,EWSR1,EWS RNA Binding Protein 1,43,GC22P029269,11.04,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1709,MIR129-1,MIR129-1,MicroRNA 129-1,17,GC07P128207,11.03,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1710,LUCAT1,LUCAT1,Lung Cancer Associated Transcript 1,15,GC05M091054,11.03,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1711,GTF2H5,GTF2H5,General Transcription Factor IIH Subunit 5,40,GC06P158168,11.03,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1712,CRYGC,CRYGC,Crystallin Gamma C,40,GC02M208128,11.03,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1713,MAMDC2-AS1,MAMDC2-AS1,MAMDC2 Antisense RNA 1,13,GC09M070036,11.01,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1714,DCN,DCN,Decorin,47,GC12M091140,11.01,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1715,ESRRA,ESRRA,Estrogen Related Receptor Alpha,47,GC11P064305,11,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1716,SCT,SCT,Secretin,35,GC11M000626,10.99,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1717,IL16,IL16,Interleukin 16,42,GC15P081159,10.99,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1718,TP53BP1,TP53BP1,Tumor Protein P53 Binding Protein 1,44,GC15M043403,10.98,False,,,,,
