background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,raw_hypergeom_p,gprofiler_adjusted_p,gprofiler_significant,intersection_genes,parents,query_input_symbols,background_input_symbols
gelsemium_crc1893,REAC,REAC:R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,SUMO E3 ligases SUMOylate target proteins,53,1875,41,7,0.00010323876214365848,0.0027063304076110754,True,ESR1;NR3C1;PGR;PPARA;PPARG;RELA;RXRA,REAC:R-HSA-2990846,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9018682,Biosynthesis of maresins,Biosynthesis of maresins,6,1875,41,3,0.00018563246631214978,0.004541807675753548,True,CYP1A2;CYP2C9;CYP3A4,REAC:R-HSA-9018677,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1592389,Activation of Matrix Metalloproteinases,Activation of Matrix Metalloproteinases,16,1875,41,4,0.00029658597654307333,0.006802940836946206,True,MMP2;MMP9;TIMP1;TIMP2,REAC:R-HSA-1474228,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-5362517,Signaling by Retinoic Acid,Signaling by Retinoic Acid,7,1875,41,3,0.00031992013931821616,0.006906511242909285,True,AKR1C3;PPARD;RXRA,REAC:R-HSA-9006931,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-211897,Cytochrome P450 - arranged by substrate type,Cytochrome P450 - arranged by substrate type,17,1875,41,4,0.0003817254092252013,0.007782956954743357,True,CYP1A2;CYP2C9;CYP3A4;RXRA,REAC:R-HSA-211945,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-391903,Eicosanoid ligand-binding receptors,Eicosanoid ligand-binding receptors,2,1875,41,2,0.00046673781572525606,0.008564638918534328,True,PTGER2;PTGER4,REAC:R-HSA-373076,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-391908,Prostanoid ligand receptors,Prostanoid ligand receptors,2,1875,41,2,0.00046673781572525606,0.008564638918534328,True,PTGER2;PTGER4,REAC:R-HSA-391903,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-211981,Xenobiotics,Xenobiotics,8,1875,41,3,0.0005040984146086209,0.008809719912416858,True,CYP1A2;CYP2C9;CYP3A4,REAC:R-HSA-211897,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-6783783,Interleukin-10 signaling,Interleukin-10 signaling,33,1875,41,5,0.0005888163510746563,0.009822527311076997,True,CCL20;IL1A;PTGS2;STAT3;TIMP1,REAC:R-HSA-449147,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9844594,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,9,1875,41,3,0.0007446712162527697,0.010511320629416078,True,PPARA;PPARG;RXRA,REAC:R-HSA-9843743,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,9,1875,41,3,0.0007446712162527697,0.010511320629416078,True,HSPA1A;NR3C1;PGR,REAC:R-HSA-2262752,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1430728,Metabolism,Metabolism,227,1875,41,13,0.0006655501685485613,0.010511320629416078,True,AKR1C3;CA9;CYP1A2;CYP2C9;CYP3A4;HPGD;PPARA;PPARD;PPARG;PTGES2;PTGS1;PTGS2;RXRA,REAC:0000000,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9843743,Transcriptional regulation of brown and beige adipocyte differentiation,Transcriptional regulation of brown and beige adipocyte differentiation,9,1875,41,3,0.0007446712162527697,0.010511320629416078,True,PPARA;PPARG;RXRA,REAC:R-HSA-9843745,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-211859,Biological oxidations,Biological oxidations,36,1875,41,5,0.0008910509849515262,0.012111693017627913,True,CYP1A2;CYP2C9;CYP3A4;PTGS1;RXRA,REAC:R-HSA-1430728,41,1893
gelsemium_crc1893,REAC,REAC:0000000,REACTOME root term,REACTOME root term,1361,1875,41,38,0.001273641102365302,0.01669379587738052,True,AKR1C3;ATG5;BECN1;CA9;CCL20;CRP;CXCR4;CYP1A2;CYP2C9;CYP3A4;DKK1;DUSP1;ESR1;F3;HPGD;HSPA1A;IGFBP1;IL1A;MMP2;MMP9;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER2;PTGER4;PTGES2;PTGS1;PTGS2;RELA;RXRA;SELE;SIRT1;SQSTM1;STAT3;TIMP1;TIMP2,,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9018679,Biosynthesis of EPA-derived SPMs,Biosynthesis of EPA-derived SPMs,3,1875,41,2,0.0013807764212137217,0.017473963675312974,True,HPGD;PTGS2,REAC:R-HSA-9018678,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,Signaling by Nuclear Receptors,83,1875,41,7,0.0017085516524137049,0.02090128188113447,True,AKR1C3;ESR1;MMP2;MMP9;PGR;PPARD;RXRA,REAC:R-HSA-162582,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-597592,Post-translational protein modification,Post-translational protein modification,195,1875,41,11,0.0022140817713429406,0.026211871292980495,True,BECN1;ESR1;IGFBP1;NR3C1;PGR;PPARA;PPARG;RELA;RXRA;SQSTM1;TIMP1,REAC:R-HSA-392499,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,Transcriptional regulation of white adipocyte differentiation,27,1875,41,4,0.0024016368779819996,0.026709113158064075,True,PPARA;PPARG;RELA;RXRA,REAC:R-HSA-9843745,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9707616,Heme signaling,Heme signaling,13,1875,41,3,0.0023852067567454254,0.026709113158064075,True,PPARA;RXRA;SIRT1,REAC:R-HSA-2262752,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-200425,Carnitine shuttle,Carnitine shuttle,4,1875,41,2,0.002723270623028368,0.027011900503986247,True,PPARD;RXRA,REAC:R-HSA-8978868,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-2142816,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),4,1875,41,2,0.002723270623028368,0.027011900503986247,True,CYP1A2;CYP2C9,REAC:R-HSA-2142753,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9839383,TGFBR3 PTM regulation,TGFBR3 PTM regulation,4,1875,41,2,0.002723270623028368,0.027011900503986247,True,TIMP1;TIMP2,REAC:R-HSA-9839373,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-2142670,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),4,1875,41,2,0.002723270623028368,0.027011900503986247,True,CYP1A2;CYP2C9,REAC:R-HSA-2142753,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-392499,Metabolism of proteins,Metabolism of proteins,267,1875,41,13,0.0031127229852116163,0.030062350936035948,True,BECN1;ESR1;IGFBP1;MMP2;NR3C1;PGR;PPARA;PPARG;RELA;RXRA;SQSTM1;STAT3;TIMP1,REAC:0000000,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-5205685,PINK1-PRKN Mediated Mitophagy,PINK1-PRKN Mediated Mitophagy,5,1875,41,2,0.004475951455175407,0.03880197992582092,True,ATG5;SQSTM1,REAC:R-HSA-5205647,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,5,1875,41,2,0.004475951455175407,0.03880197992582092,True,AKR1C3;RXRA,REAC:R-HSA-192105,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9843745,Adipogenesis,Adipogenesis,32,1875,41,4,0.004546281026760024,0.03880197992582092,True,PPARA;PPARG;RELA;RXRA,REAC:R-HSA-1266738,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-5205647,Mitophagy,Mitophagy,5,1875,41,2,0.004475951455175407,0.03880197992582092,True,ATG5;SQSTM1,REAC:R-HSA-9663891,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-5423646,Aflatoxin activation and detoxification,Aflatoxin activation and detoxification,5,1875,41,2,0.004475951455175407,0.03880197992582092,True,CYP1A2;CYP3A4,REAC:R-HSA-211859,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9707564,Cytoprotection by HMOX1,Cytoprotection by HMOX1,17,1875,41,3,0.005335976194064718,0.04450689234590532,True,PPARA;RXRA;STAT3,REAC:R-HSA-9711123,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-162582,Signal Transduction,Signal Transduction,587,1875,41,21,0.0057149375312386345,0.04660849053244349,True,AKR1C3;CCL20;CXCR4;DKK1;DUSP1;ESR1;F3;MMP2;MMP9;NR3C1;PGR;PPARD;PPARG;PTGER2;PTGER4;RELA;RXRA;SQSTM1;STAT3;TIMP1;TIMP2,REAC:0000000,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-446652,Interleukin-1 family signaling,Interleukin-1 family signaling,35,1875,41,4,0.0063128726752051875,0.04780225276992034,True,IL1A;RELA;SQSTM1;STAT3,REAC:R-HSA-449147,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1989781,PPARA activates gene expression,PPARA activates gene expression,18,1875,41,3,0.006306561385516241,0.04780225276992034,True,PPARA;PPARG;RXRA,REAC:R-HSA-400206,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,Interleukin-4 and Interleukin-13 signaling,79,1875,41,6,0.00638231712733934,0.04780225276992034,True,IL1A;MMP2;MMP9;PTGS2;STAT3;TIMP1,REAC:R-HSA-449147,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-400206,Regulation of lipid metabolism by PPARalpha,Regulation of lipid metabolism by PPARalpha,18,1875,41,3,0.006306561385516241,0.04780225276992034,True,PPARA;PPARG;RXRA,REAC:R-HSA-556833,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-448706,Interleukin-1 processing,Interleukin-1 processing,6,1875,41,2,0.006621110949618367,0.048598954370010994,True,IL1A;RELA,REAC:R-HSA-446652,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-192105,Synthesis of bile acids and bile salts,Synthesis of bile acids and bile salts,7,1875,41,2,0.009141587273727785,0.06099931871725428,True,AKR1C3;RXRA,REAC:R-HSA-194068,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-2426168,Activation of gene expression by SREBF (SREBP),Activation of gene expression by SREBF (SREBP),7,1875,41,2,0.009141587273727785,0.06099931871725428,True,PPARA;RXRA,REAC:R-HSA-1655829,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,7,1875,41,2,0.009141587273727785,0.06099931871725428,True,AKR1C3;RXRA,REAC:R-HSA-192105,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression","BMAL1:CLOCK,NPAS2 activates circadian expression",7,1875,41,2,0.009141587273727785,0.06099931871725428,True,PPARA;RXRA,REAC:R-HSA-9909396,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9909396,Circadian clock,Circadian clock,7,1875,41,2,0.009141587273727785,0.06099931871725428,True,PPARA;RXRA,REAC:0000000,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1632852,Macroautophagy,Macroautophagy,21,1875,41,3,0.009821418357364078,0.0643653667346885,True,ATG5;BECN1;SQSTM1,REAC:R-HSA-9612973,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9711123,Cellular response to chemical stress,Cellular response to chemical stress,64,1875,41,5,0.01147288997997039,0.07386930916909187,True,PPARA;RELA;RXRA;SQSTM1;STAT3,REAC:R-HSA-2262752,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),Regulation of cholesterol biosynthesis by SREBP (SREBF),8,1875,41,2,0.01202075022675312,0.07390673531800313,True,PPARA;RXRA,REAC:R-HSA-8957322,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1474228,Degradation of the extracellular matrix,Degradation of the extracellular matrix,42,1875,41,4,0.01208284501112738,0.07390673531800313,True,MMP2;MMP9;TIMP1;TIMP2,REAC:R-HSA-1474244,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-209560,NF-kB is activated and signals survival,NF-kB is activated and signals survival,8,1875,41,2,0.01202075022675312,0.07390673531800313,True,RELA;SQSTM1,REAC:R-HSA-193639,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9020702,Interleukin-1 signaling,Interleukin-1 signaling,24,1875,41,3,0.014282208818749814,0.08454146187833454,True,IL1A;RELA;SQSTM1,REAC:R-HSA-446652,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9839373,Signaling by TGFBR3,Signaling by TGFBR3,24,1875,41,3,0.014282208818749814,0.08454146187833454,True,RXRA;TIMP1;TIMP2,REAC:R-HSA-9006936,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-193639,p75NTR signals via NF-kB,p75NTR signals via NF-kB,9,1875,41,2,0.015242487086887337,0.08879353588702026,True,RELA;SQSTM1,REAC:R-HSA-193704,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-449147,Signaling by Interleukins,Signaling by Interleukins,185,1875,41,9,0.015638864422870737,0.08967911317464214,True,CCL20;IL1A;MMP2;MMP9;PTGS2;RELA;SQSTM1;STAT3;TIMP1,REAC:R-HSA-1280215,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9612973,Autophagy,Autophagy,25,1875,41,3,0.015986118460265427,0.0902600842292655,True,ATG5;BECN1;SQSTM1,REAC:0000000,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system,256,1875,41,11,0.017794085896628207,0.09894590187960646,True,BECN1;CCL20;HSPA1A;IL1A;MMP2;MMP9;PTGS2;RELA;SQSTM1;STAT3;TIMP1,REAC:R-HSA-168256,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9664424,Cell recruitment (pro-inflammatory response),Cell recruitment (pro-inflammatory response),10,1875,41,2,0.01879118880123018,0.09994733753673421,True,IL1A;RELA,REAC:R-HSA-9658195,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis,Transcriptional activation of mitochondrial biogenesis,10,1875,41,2,0.01879118880123018,0.09994733753673421,True,PPARA;RXRA,REAC:R-HSA-1592230,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9660826,Purinergic signaling in leishmaniasis infection,Purinergic signaling in leishmaniasis infection,10,1875,41,2,0.01879118880123018,0.09994733753673421,True,IL1A;RELA,REAC:R-HSA-9664424,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9749641,Aspirin ADME,Aspirin ADME,11,1875,41,2,0.022651736510718518,0.10015888312539117,True,CYP2C9;CYP3A4,REAC:R-HSA-9748784,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-168330,Viral RNP Complexes in the Host Cell Nucleus,Viral RNP Complexes in the Host Cell Nucleus,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,HSPA1A,REAC:R-HSA-168274,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-211957,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,CYP1A2,REAC:R-HSA-211981,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-140180,COX reactions,COX reactions,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,PTGS1,REAC:R-HSA-211945,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9022707,MECP2 regulates transcription factors,MECP2 regulates transcription factors,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,PPARG,REAC:R-HSA-8986944,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9632974,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,RXRA,REAC:R-HSA-9024446,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9854907,Regulation of MITF-M dependent genes involved in metabolism,Regulation of MITF-M dependent genes involved in metabolism,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,SIRT1,REAC:R-HSA-9856651,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-140834,Extrinsic Pathway of Fibrin Clot Formation,Extrinsic Pathway of Fibrin Clot Formation,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,F3,REAC:R-HSA-140877,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-8934903,Receptor Mediated Mitophagy,Receptor Mediated Mitophagy,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,ATG5,REAC:R-HSA-5205647,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-3371453,Regulation of HSF1-mediated heat shock response,Regulation of HSF1-mediated heat shock response,11,1875,41,2,0.022651736510718518,0.10015888312539117,True,HSPA1A;SIRT1,REAC:R-HSA-3371556,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-8957322,Metabolism of steroids,Metabolism of steroids,28,1875,41,3,0.021761019452345428,0.10015888312539117,True,AKR1C3;PPARA;RXRA,REAC:R-HSA-556833,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-173623,Classical antibody-mediated complement activation,Classical antibody-mediated complement activation,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,CRP,REAC:R-HSA-166786,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-194068,Bile acid and bile salt metabolism,Bile acid and bile salt metabolism,11,1875,41,2,0.022651736510718518,0.10015888312539117,True,AKR1C3;RXRA,REAC:R-HSA-8957322,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,Export of Viral Ribonucleoproteins from Nucleus,1,1875,41,1,0.021866666666705496,0.10015888312539117,True,HSPA1A,REAC:R-HSA-168255,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),Senescence-Associated Secretory Phenotype (SASP),29,1875,41,3,0.02390858071498772,0.10445772764751086,True,IL1A;RELA;STAT3,REAC:R-HSA-2559583,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,Antimicrobial mechanism of IFN-stimulated genes,30,1875,41,3,0.026167738295524767,0.11298305828734383,True,BECN1;HSPA1A;STAT3,REAC:R-HSA-913531,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1592230,Mitochondrial biogenesis,Mitochondrial biogenesis,12,1875,41,2,0.026809488402698742,0.11440793306724355,True,PPARA;RXRA,REAC:R-HSA-1852241,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-8939902,Regulation of RUNX2 expression and activity,Regulation of RUNX2 expression and activity,13,1875,41,2,0.031250266883885096,0.1303278175720395,True,ESR1;NR3C1,REAC:R-HSA-8878166,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-3928665,EPH-ephrin mediated repulsion of cells,EPH-ephrin mediated repulsion of cells,13,1875,41,2,0.031250266883885096,0.1303278175720395,True,MMP2;MMP9,REAC:R-HSA-2682334,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9614085,FOXO-mediated transcription,FOXO-mediated transcription,34,1875,41,3,0.03631633706638884,0.1480899522589825,True,IGFBP1;NR3C1;SIRT1,REAC:R-HSA-212436,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9663891,Selective autophagy,Selective autophagy,14,1875,41,2,0.035960346064962644,0.1480899522589825,True,ATG5;SQSTM1,REAC:R-HSA-1632852,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9768777,Regulation of NPAS4 gene transcription,Regulation of NPAS4 gene transcription,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,NR3C1,REAC:R-HSA-9768759,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-1475029,Reversible hydration of carbon dioxide,Reversible hydration of carbon dioxide,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,CA9,REAC:R-HSA-1430728,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",15,1875,41,2,0.04092643955284017,0.1498003825939879,True,IGFBP1;NR3C1,REAC:R-HSA-9614085,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-166786,Creation of C4 and C2 activators,Creation of C4 and C2 activators,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,CRP,REAC:R-HSA-166663,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9031525,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake ,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake ,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,RXRA,REAC:R-HSA-9024446,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,Negative regulators of DDX58/IFIH1 signaling,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,ATG5,REAC:R-HSA-168928,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9018896,Biosynthesis of E-series 18(S)-resolvins,Biosynthesis of E-series 18(S)-resolvins,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,HPGD,REAC:R-HSA-9018679,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-166663,Initial triggering of complement,Initial triggering of complement,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,CRP,REAC:R-HSA-166658,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-373076,Class A/1 (Rhodopsin-like receptors),Class A/1 (Rhodopsin-like receptors),59,1875,41,4,0.03761054624308939,0.1498003825939879,True,CCL20;CXCR4;PTGER2;PTGER4,REAC:R-HSA-500792,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-168256,Immune System,Immune System,438,1875,41,15,0.037574315262718344,0.1498003825939879,True,ATG5;BECN1;CCL20;CRP;HSPA1A;IL1A;MMP2;MMP9;PTGES2;PTGS2;RELA;SQSTM1;STAT3;TIMP1;TIMP2,REAC:0000000,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9679504,Translation of Replicase and Assembly of the Replication Transcription Complex,Translation of Replicase and Assembly of the Replication Transcription Complex,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,BECN1,REAC:R-HSA-9678108,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-5339717,Signaling by LRP5 mutants ,Signaling by LRP5 mutants ,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,DKK1,REAC:R-HSA-4791275,41,1893
gelsemium_crc1893,REAC,REAC:R-HSA-9018676,Biosynthesis of D-series resolvins,Biosynthesis of D-series resolvins,2,1875,41,1,0.04326659551783656,0.1498003825939879,True,HPGD,REAC:R-HSA-9018677,41,1893
