cross_rank,gene_symbol,protein_name,source_databases,DINP_evidence_grade,DINP_evidence_partition,DINP_database_source,DINP_evidence_type,DINP_independent_source_count,candidate_tier,cross_support_flag,ppi_pathway_candidate,cross_rank_score,ppi_hub_score,pathway_component_score,transcriptomic_component_score,ppi_component_rank,pathway_component_rank,transcriptomic_component_rank,hub_rank,hub_tier,mapping_status,in_network,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,representative_term_count,representative_description_count,GO_BP_term_count,GO_CC_term_count,GO_MF_term_count,KEGG_term_count,pathway_min_fdr,independent_datasets_measured,independent_datasets_significant_fdr_lt_0_05,independent_datasets_tumor_high,independent_datasets_normal_high,direction_concordance_fraction,consensus_direction,significant_datasets,significant_directions,sensitivity_contrasts_significant_fdr_lt_0_05,primary_dataset_replication_fraction
23,TNF,tumor necrosis factor,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 3: PPI/pathway only,False,True,0.6885627726879282,0.9895833333333334,0.9896907216494846,0.3333333333333333,2,2,70,2.0,top20,mapped,yes,36,30.785,0.0669614970771933,0.4853321829163072,0.2915530015928009,0.0373528318837668,39,39.0,15,4,2,18,6.120000000000001e-36,3,1,0,3,1.0,normal_high,GSE74602,GSE74602:normal_high,1,0.3333333333333333
24,IL13,interleukin 13,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.6743806158581473,0.875,0.788659793814433,0.4444444444444444,13,21,57,13.0,top20,mapped,yes,17,14.877,0.0031687967559717,0.3723932472691162,0.1750797150507762,0.0175517136403641,16,16.0,9,2,1,4,6.120000000000001e-36,3,2,2,1,0.6666666666666666,tumor_high,GSE74602; TCGA-COAD,GSE74602:normal_high; TCGA-COAD:tumor_high,1,0.6666666666666666
25,SIRT1,sirtuin 1,GeneCards;TTD,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 3: PPI/pathway only,False,True,0.6520011259862484,0.90625,0.9175257731958762,0.3333333333333333,10,9,70,10.0,top20,mapped,yes,19,15.623,0.0190045843754,0.4321936227429888,0.1525504240314505,0.0204501330452373,23,23.0,11,3,2,7,6.120000000000001e-36,3,1,0,3,1.0,normal_high,GSE10950,GSE10950:normal_high,1,0.3333333333333333
26,IL4,interleukin 4,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 3: PPI/pathway only,False,True,0.651916909875006,0.8958333333333334,0.9278350515463918,0.3333333333333333,11,8,70,11.0,top20,mapped,yes,18,16.265,0.0058013171169856,0.3921226908330428,0.1884142536599435,0.019099360657838,24,24.0,16,1,1,6,1.45e-16,3,1,0,2,1.0,normal_high,GSE74602,GSE74602:normal_high,0,0.3333333333333333
27,NLRP3,NLR family pyrin domain containing 3,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.6425604096088339,0.6354166666666667,0.41752577319587625,1.0,36,55,1,36.0,ranked_all,mapped,yes,8,7.025,0.002418675139324,0.3442472460220318,0.085857246511896,0.0097262124820742,10,10.0,3,2,2,3,6.120000000000001e-36,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,1,1.0
28,CEBPA,CCAAT enhancer binding protein alpha,GeneCards,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 2: replicated + pathway,False,False,0.637624162565851,0.7395833333333333,0.788659793814433,0.4444444444444444,26,21,57,26.0,ranked_all,mapped,yes,12,10.38,0.0111869883698554,0.4000711237553343,0.1078268557629881,0.0145438326192334,16,16.0,10,1,2,3,6.120000000000001e-36,3,2,1,2,0.6666666666666666,normal_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:normal_high,1,0.6666666666666666
29,GATA2,GATA binding protein 2,GeneCards,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 2: replicated + pathway,False,False,0.637095452404198,0.29166666666666663,0.8865979381443299,1.0,69,11,1,69.0,ranked_all,mapped,yes,2,1.658,0.0,0.2753977968176255,0.0127576397570512,0.0038063724605134,21,21.0,18,1,2,0,3.14e-15,3,3,0,3,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,1.0
30,ATF4,activating transcription factor 4,GeneCards,A,experimental_or_curated,PubMed/primary literature,Primary experimental DINP exposure study,1,Tier 2: replicated + pathway,False,False,0.6263316395713714,0.40625,0.9072164948453608,0.6666666666666666,58,10,42,58.0,ranked_all,mapped,yes,3,2.776,0.0001356079323604,0.3166338305657191,0.0271795548702702,0.0051016240973881,22,22.0,5,3,2,12,6.120000000000001e-36,3,3,1,2,0.6666666666666666,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:tumor_high,2,1.0
31,SREBF1,sterol regulatory element binding transcription factor 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.6247459830671009,0.8125,0.6752577319587629,0.4444444444444444,19,29,57,19.0,top20,mapped,yes,14,11.879,0.0257731159968266,0.3795546558704453,0.0747812960892968,0.0177786249761245,14,14.0,8,2,2,2,6.120000000000001e-36,3,2,2,1,0.6666666666666666,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,1,0.6666666666666666
32,G6PD,glucose-6-phosphate dehydrogenase,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.6146165362577758,0.47916666666666663,0.48453608247422686,1.0,51,48,1,51.0,ranked_all,mapped,yes,4,3.45,0.0022211297267288,0.3132832080200501,0.0208335159946818,0.0068328659672066,11,11.0,6,2,2,1,6.120000000000001e-36,3,3,3,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,1.0
