compartment,donor_id,tumor_score,normal_score,tumor_minus_normal
myeloid,C111,0.055061370364997475,-0.017928354222813293,0.07298972458781076
myeloid,C112,0.04167824773359297,-0.02081791931131433,0.062496167044907305
myeloid,C113,-0.03767973542740451,-0.14434722156007312,0.10666748613266862
myeloid,C114,-0.025665878977646453,-0.07491463846020317,0.04924875948255672
myeloid,C115,0.024357811291525724,-0.0484308203337874,0.07278863162531313
myeloid,C116,-0.013476741950025493,-0.002490654803402539,-0.010986087146622954
myeloid,C119,0.014455208596158085,-0.16478809273841105,0.17924330133456914
myeloid,C122,0.005400400599592578,-0.09383375683482778,0.09923415743442036
myeloid,C123,0.017046168605613116,-0.12105978463566841,0.13810595324128153
myeloid,C124,0.03613864188019728,0.08918361171182708,-0.0530449698316298
myeloid,C125,0.033114468986706114,-0.01919201373075913,0.05230648271746524
myeloid,C126,0.03373456847420063,-0.020617892930763354,0.054352461404963984
myeloid,C129,0.019372939854578747,-0.08110582399137348,0.10047876384595222
myeloid,C130,0.0299565709908785,0.01061192056027428,0.019344650430604217
myeloid,C132,0.14425827266914434,-0.1858335613062358,0.3300918339753801
myeloid,C133,0.09042594976799867,0.129814357075109,-0.039388407307110324
myeloid,C134,0.04387833863934686,0.01144356744024839,0.032434771199098475
myeloid,C135,0.010688909216152745,-0.006717777050497635,0.01740668626665038
myeloid,C136,0.05659120489175035,0.012629907643593079,0.043961297248157276
myeloid,C137,0.06282228793580424,-0.03017719176286502,0.09299947969866926
myeloid,C138,0.011793100730445635,-0.04240592193960532,0.05419902267005096
myeloid,C139,-0.028198244256003726,-0.06078507395334874,0.03258682969734501
myeloid,C140,0.026838072420565053,-0.15440260253246826,0.1812406749530333
myeloid,C142,-0.026850495382025344,-0.12703382874952654,0.1001833333675012
myeloid,C143,0.009994914946363816,-0.12601090959268219,0.136005824539046
myeloid,C151,0.029181138559399435,-0.03773598141899162,0.06691711997839106
myeloid,C152,-0.0012087104059134096,0.25853403481530285,-0.25974274522121626
myeloid,C155,0.15870707797331396,0.052293144777147346,0.10641393319616661
myeloid,C157,0.21925550409704495,0.09327022147792137,0.12598528261912356
myeloid,C162,0.09373752186024399,-0.00027294136398774783,0.09401046322423173
myeloid,C165,0.09634431755251233,-0.00040973057485562374,0.09675404812736794
myeloid,C170,0.098185037104219,0.010417396774087555,0.08776764033013144
fibroblast,C106,0.026365465527347417,0.6275198942223525,-0.6011544286950051
fibroblast,C107,0.49625622568784084,0.617108854790596,-0.12085262910275513
fibroblast,C109,0.6395882859387955,0.6104303317872145,0.029157954151580956
fibroblast,C110,0.32753629600909295,0.3709334923291866,-0.043397196320093645
fibroblast,C111,0.450023837117492,0.317738155795603,0.132285681321889
fibroblast,C112,0.36831473782089025,0.4428646289013791,-0.07454989108048887
fibroblast,C113,0.27816303102278445,0.687860979984311,-0.4096979489615265
fibroblast,C114,0.3168388745988243,0.6963404297402298,-0.3795015551414055
fibroblast,C115,0.4738426176478176,0.44441673231071216,0.02942588533710544
fibroblast,C116,0.3578240339679535,0.32347624287306476,0.034347791094888724
fibroblast,C119,0.3841404257288637,0.0005610058179500443,0.38357941991091365
fibroblast,C122,0.3086030416078457,0.5344774633419986,-0.22587442173415295
fibroblast,C123,0.42981593846500377,0.3462134960210848,0.08360244244391896
fibroblast,C124,0.3853267397695828,0.670134673336941,-0.2848079335673582
fibroblast,C125,0.44111006621080623,0.46812311572044224,-0.02701304950963601
fibroblast,C126,0.2753627372755423,0.43121750934307806,-0.15585477206753579
fibroblast,C129,0.34021070554631355,0.4884651453602574,-0.14825443981394387
fibroblast,C130,0.27557164843662585,0.4967622265206822,-0.22119057808405634
fibroblast,C133,0.3454216777850272,0.5866864365103494,-0.24126475872532216
fibroblast,C135,0.4348130740838504,0.3995089599762389,0.03530411410761147
fibroblast,C136,0.5068792446408701,0.4858744767310583,0.02100476790981176
fibroblast,C138,0.16608463642525095,0.44694361534796506,-0.2808589789227141
fibroblast,C139,0.321200758089618,0.7278973466409524,-0.4066965885513344
fibroblast,C140,0.37312754158434275,0.6599037510127828,-0.28677620942844
fibroblast,C142,0.01922639098811944,0.35389093367661545,-0.334664542688496
fibroblast,C143,0.3309074238828979,0.6093534501033155,-0.27844602622041764
fibroblast,C152,0.11324557859346923,0.602106655664901,-0.4888610770714317
fibroblast,C155,0.5032391397035568,0.7207919303152343,-0.21755279061167743
fibroblast,C157,0.6643375999651976,0.5514518798421609,0.11288572012303666
fibroblast,C162,0.5032320694539559,0.4578229628323088,0.045409106621647155
