pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_MATURATION_OF_SARS_COV_2_SPIKE_PROTEIN,-1.6177540035423568,0.10571562262787361,39,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4406809983426495
REACTOME_REGULATION_OF_IFNA_IFNB_SIGNALING,1.617364562811008,0.10579961040921339,12,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4406809983426495
REACTOME_SIGNALING_BY_ERBB2,-1.6088578233046937,0.10764743370575465,46,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4471038297665151
REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS,-1.6057776658630127,0.10832276954001019,27,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4486342466501272
REACTOME_TP53_REGULATES_METABOLIC_GENES,1.6032241519518067,0.10888517507699662,75,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4496896213631894
REACTOME_SOMITOGENESIS,-1.5971168073349944,0.11023967235529752,42,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4527021270164752
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA,1.5968658506356685,0.11029561340266225,60,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4527021270164752
REACTOME_METABOLISM_OF_POLYAMINES,-1.5946976405923454,0.11077986592052762,45,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4527021270164752
REACTOME_SIGNALING_BY_ACTIVIN,-1.594369996503379,0.11085318842127094,16,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4527021270164752
REACTOME_PLASMA_LIPOPROTEIN_REMODELING,-1.59281462971863,0.11120178218504186,28,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.452860739706215
REACTOME_SIGNALING_BY_NOTCH3,-1.5889776552402437,0.11206543750777305,46,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.45430250729396693
REACTOME_CHROMOSOME_MAINTENANCE,-1.5884824127071142,0.11217729489269634,90,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.45430250729396693
REACTOME_UNWINDING_OF_DNA,-1.5776251682293434,0.11465174685902595,12,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.46304103289474013
REACTOME_DEVELOPMENTAL_LINEAGE_OF_MAMMARY_STEM_CELLS,-1.5730258627175064,0.11571282980085763,13,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.46603900046516217
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,-1.564443345984011,0.11771348794352887,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.47279428399296486
REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS,-1.5568557711393016,0.119504732371311,18,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4772347715881181
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,-1.5565731703053212,0.11957185787803486,67,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4772347715881181
REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL,-1.555620622663537,0.11979833185556728,14,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4772347715881181
REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION,-1.5519550965209112,0.12067296824539972,81,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4785985293465101
REACTOME_SARS_COV_1_HOST_INTERACTIONS,-1.5514437062637354,0.12079538804983736,77,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4785985293465101
