pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,-1.2460278711152877,0.2127541631415848,93,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3797882619206312
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE,-1.2439558921225142,0.21351579690735067,15,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3806830427787155
REACTOME_FLT3_SIGNALING_IN_DISEASE,-1.2428221049968478,0.2139333949387714,27,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.38074290037058633
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,1.2424509648915185,0.21407022168578793,33,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.38074290037058633
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,-1.2404408195478733,0.2148123907715006,25,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3811879057207187
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,-1.2403610416020274,0.2148418839356171,87,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3811879057207187
REACTOME_PI_3K_CASCADE_FGFR2,-1.2361821312019126,0.21639087116550149,14,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.38307579490904076
REACTOME_SARS_COV_2_MODULATES_AUTOPHAGY,1.2360769457361829,0.2164299634711817,10,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.38307579490904076
REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS,-1.2352848347742145,0.21672451575318374,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3831333035443224
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS,1.2284189440858395,0.21928973999672552,21,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.38719999984929065
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,1.2257614393664418,0.2202884620479736,64,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.38849424790607645
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,-1.2237450112907693,0.22104843393843698,34,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.38936483182890946
