pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_MITOPHAGY,0.6402013220916691,0.5220417233883656,35,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7836052479966736
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,0.6370392276830253,0.5240992921407301,26,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7854591629676184
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,-0.6362681031872195,0.5246016910888558,15,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7854591629676184
REACTOME_SIGNALING_BY_NOTCH2,-0.6357847446324758,0.5249167320176977,27,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7854591629676184
REACTOME_SIGNALING_BY_NOTCH,0.633689914879306,0.526283207912257,168,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7854591629676184
REACTOME_HCMV_LATE_EVENTS,-0.632606849836725,0.5269904128433607,63,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7854591629676184
REACTOME_LANOSTEROL_BIOSYNTHESIS,0.6325278855395947,0.5270419928291592,13,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7854591629676184
REACTOME_DUAL_INCISION_IN_GG_NER,0.6324629083064355,0.5270844383072176,39,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7854591629676184
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,0.6303113104406133,0.528490924384322,45,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7863586842680291
REACTOME_RAC3_GTPASE_CYCLE,0.6298737266137361,0.5287772038949143,83,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7863586842680291
