sample_id,AKR1C3,ATG5,BECN1,CA9,CCL20,CRP,CXCR4,CYP1A2,CYP2C9,CYP3A4,DKK1,DUSP1,ESR1,F3,HPGD,HSPA1A,IGFBP1,IL1A,MIR675,MMP2,MMP9,NEAT1,NR1I2,NR3C1,PGR,PPARA,PPARD,PPARG,PTGER2,PTGER4,PTGES2,PTGS1,PTGS2,RELA,RXRA,SELE,SIRT1,SQSTM1,STAT3,TIMP1,TIMP2
TCGA-DY-A1DE-01,6.188,4.532,6.132,2.221,8.224,-9.966,3.573,-9.966,-3.626,-5.012,-0.1187,5.143,-5.012,3.172,2.217,5.257,-1.214,-2.548,-9.966,4.919,6.16,8.78,4.093,1.486,-3.816,2.759,3.887,5.852,-0.9132,2.903,6.878,1.585,-1.117,5.742,3.734,0.679,2.382,8.684,5.276,8.587,5.475
TCGA-AH-6644-01,4.572,4.801,6.151,4.035,5.286,-3.458,4.567,-9.966,-9.966,-3.626,-1.318,4.889,-2.635,4.505,2.173,7.897,-4.608,-0.2498,-9.966,8.388,3.826,7.985,4.772,1.986,-3.308,2.66,4.294,4.212,1.619,2.345,6.372,2.936,5.465,5.985,4.634,-0.1345,3.981,8.912,5.794,9.363,7.314
TCGA-AF-2689-11,5.317,4.479,6.298,-0.8863,4.19,-9.966,5.897,-9.966,-4.608,-0.8863,-1.318,8.286,-1.214,4.771,6.48,7.149,-4.035,-2.548,-9.966,6.545,4.272,6.844,4.48,3.645,-0.1665,2.892,4.544,6.006,1.537,4.207,5.945,5.489,2.496,5.457,4.911,-0.1665,3.332,8.343,5.652,7.11,7.256
TCGA-F5-6861-01,6.199,4.473,6.439,6.205,5.605,-9.966,2.716,-9.966,-1.595,-3.047,-1.056,4.683,-3.458,3.933,1.345,6.207,-3.047,1.164,-9.966,6.203,5.18,6.998,4.121,0.2642,-5.012,3.612,4.367,6.411,0.8164,2.749,7.556,2.362,-1.248,5.537,4.784,-0.5125,3.032,8.34,5.68,7.98,5.772
TCGA-F5-6814-01,3.894,4.651,6.108,6.454,4.56,-4.035,3.953,-9.966,-1.994,-4.035,-0.5332,3.84,-3.458,3.546,3.957,7.976,-5.574,-2.388,-9.966,4.869,5.108,6.55,3.16,0.7579,-4.035,3.233,3.628,5.869,2.108,3.123,6.833,0.9642,0.6517,5.69,4.246,-1.431,2.747,7.979,4.944,9.027,5.326
TCGA-EI-6511-01,5.572,4.807,5.976,3.309,7.765,-9.966,4.872,-9.966,-2.388,-2.635,-3.626,4.832,-2.388,3.477,4.442,5.436,-0.1665,-0.2159,-9.966,7.199,6.543,5.236,4.121,1.665,-5.012,3.077,3.356,5.247,0.1124,2.642,6.402,2.157,1.022,5.965,4.339,-0.5543,2.991,8.498,5.514,8.991,6.004
TCGA-AG-3732-01,5.689,4.481,6.727,5.004,6.914,-9.966,5.433,-6.506,-3.308,1.328,-3.171,5.908,-0.9132,6.0,5.062,6.947,-9.966,-2.727,-9.966,4.527,4.141,7.249,3.199,2.868,-3.047,3.813,4.161,5.092,2.58,4.609,6.052,2.462,0.8164,5.515,4.808,-1.552,3.489,7.447,6.447,5.907,4.833
TCGA-AH-6544-01,5.821,4.083,6.189,6.125,4.418,-9.966,2.524,-9.966,-3.626,-1.283,0.1124,4.969,-9.966,3.227,3.652,5.725,-5.574,-0.2845,-9.966,5.004,-1.117,6.172,4.717,0.0014,-5.574,2.475,3.709,5.26,-0.4131,2.549,6.562,0.434,0.2029,4.807,4.099,-2.932,2.667,7.729,5.066,8.297,5.308
TCGA-AF-6672-01,4.67,4.222,5.848,6.441,6.827,-9.966,4.97,-9.966,-3.171,-1.639,0.2762,5.401,-3.308,5.687,2.568,6.087,-3.458,-2.245,-9.966,5.371,1.705,7.862,4.105,0.547,-4.293,2.667,3.861,5.539,2.322,4.036,5.754,0.7579,1.856,5.044,3.191,-0.9132,2.824,8.456,5.274,8.393,5.079
TCGA-DY-A0XA-01,4.527,4.331,6.266,6.065,7.042,-9.966,4.082,-9.966,-9.966,-2.053,-2.548,5.932,-4.035,1.949,-0.1665,5.198,-2.388,-0.8339,-9.966,6.025,4.366,7.881,4.401,0.1388,-4.035,3.706,3.356,5.492,-1.884,2.064,5.852,2.217,-0.6643,5.134,4.144,-2.727,3.356,8.053,5.167,8.131,4.672
TCGA-EI-7002-01,5.214,4.552,6.771,3.75,6.8,-9.966,3.705,-9.966,-4.293,-0.9406,-1.781,4.96,-3.458,3.496,2.561,4.463,1.258,0.537,-9.966,7.295,4.743,7.346,6.215,1.043,-3.816,2.088,3.836,5.824,0.03,2.87,6.141,1.93,0.8805,5.85,4.221,0.434,2.611,8.809,5.972,8.384,6.446
TCGA-AG-3742-11,6.593,5.378,6.177,-1.595,4.594,-9.966,4.366,-9.966,-4.608,2.008,-2.245,8.429,-1.431,4.056,7.13,6.231,-9.966,-1.685,-9.966,5.77,2.084,6.302,3.077,3.992,0.2642,2.791,3.728,4.824,2.015,4.05,5.536,5.911,3.954,5.095,4.388,-2.548,3.568,7.473,5.191,6.845,7.306
TCGA-F5-6702-01,6.523,4.845,5.992,2.478,4.676,-9.966,5.566,-9.966,-4.608,-2.114,1.158,8.412,-1.51,3.603,4.187,8.852,-2.114,-2.315,-9.966,9.974,5.441,7.428,3.991,3.062,-1.149,2.953,4.717,5.527,3.141,2.789,5.641,2.727,1.029,5.932,4.172,0.5069,3.181,8.066,5.64,9.049,9.52
TCGA-DY-A1H8-01,5.545,2.731,4.879,6.324,7.963,-9.966,2.284,-9.966,-4.293,-4.035,0.1776,2.678,-9.966,2.642,-0.1504,6.532,0.5069,-6.506,-9.966,2.646,2.516,8.59,3.335,-2.388,-9.966,0.7407,3.048,5.099,-3.816,0.3907,6.238,-2.388,-3.171,4.469,2.681,-4.035,1.486,6.882,3.319,9.516,1.581
TCGA-DT-5265-01,6.946,3.351,6.169,8.019,2.801,-2.932,4.886,-9.966,-1.283,-0.8084,2.154,6.655,-3.047,4.974,2.911,7.762,-3.626,-2.315,-9.966,6.859,5.249,6.711,3.449,1.417,-1.639,2.534,3.9,4.631,-0.4719,0.8961,6.167,2.793,2.036,4.738,4.375,-1.884,2.977,8.317,5.401,10.71,7.241
TCGA-F5-6465-01,6.017,5.09,6.528,3.823,6.7,-9.966,5.675,-9.966,-2.826,-1.639,-3.458,6.877,-1.056,4.244,4.804,6.132,-4.293,1.623,-9.966,8.597,5.115,7.153,5.021,2.422,-2.245,3.933,5.007,6.022,1.05,2.866,5.741,2.379,1.022,5.738,4.465,2.609,3.299,8.315,5.773,8.496,7.65
TCGA-AF-3400-11,6.698,4.761,6.407,1.276,2.66,-9.966,2.808,-9.966,-3.308,0.7999,-1.994,5.89,-3.308,3.99,6.64,6.398,-5.574,-4.035,-9.966,5.377,1.258,6.092,4.914,2.284,-2.315,3.44,6.004,6.286,2.074,4.584,6.58,2.836,-1.685,5.546,5.117,-3.458,2.814,8.009,6.078,6.051,5.674
TCGA-F5-6864-01,5.398,4.564,6.69,0.044,7.115,-1.781,4.08,-9.966,-5.012,-2.245,-2.466,5.143,-2.727,2.251,4.084,6.01,-2.466,-3.816,-9.966,6.713,4.989,8.187,4.921,1.956,-1.831,3.428,3.807,6.185,2.022,2.731,6.081,2.712,-0.7346,5.631,4.576,0.9935,3.041,8.844,6.143,10.19,7.321
TCGA-EI-6510-01,6.248,4.593,6.755,5.186,7.439,-9.966,3.38,-9.966,-5.012,-1.685,-4.608,4.025,-3.626,3.957,1.39,4.16,-5.012,-0.4921,-9.966,3.793,2.793,6.777,5.022,0.044,-5.012,3.603,3.651,6.572,2.892,3.916,6.721,3.618,-0.6873,5.623,3.889,-0.8339,2.989,8.293,5.755,8.108,3.202
TCGA-F5-6812-01,7.151,4.096,5.803,1.209,3.456,-1.595,5.128,-5.574,-4.608,-2.315,-1.831,6.538,-0.6193,2.692,3.271,6.884,-5.012,-2.178,-9.966,6.451,5.173,7.422,4.596,2.18,-1.938,2.337,3.659,5.122,0.7579,1.844,5.79,2.196,0.7493,5.404,4.15,2.154,3.149,8.238,5.392,9.179,7.169
