cycle,cycle_index,source_component,source_variable,source_file,adult_rows,valid_binary_rows,cases,controls,ambiguous_or_missing,core_complete_rows,core_complete_cases,core_complete_controls,disease_id
2003-2004,2,MCQ,MCQ160B,2003-2004_MCQ.XPT,5041,5019,197,4822,22,4363,158,4205,NHANES_CONGESTIVE_HEART_FAILURE
2005-2006,3,MCQ,MCQ160B,2005-2006_MCQ.XPT,4979,4962,180,4782,17,4452,147,4305,NHANES_CONGESTIVE_HEART_FAILURE
2007-2008,4,MCQ,MCQ160B,2007-2008_MCQ.XPT,5935,5910,217,5693,25,5062,166,4896,NHANES_CONGESTIVE_HEART_FAILURE
2009-2010,5,MCQ,MCQ160B,2009-2010_MCQ.XPT,6218,6199,174,6025,19,5394,145,5249,NHANES_CONGESTIVE_HEART_FAILURE
2011-2012,6,MCQ,MCQ160B,2011-2012_MCQ.XPT,5560,5544,187,5357,16,4785,160,4625,NHANES_CONGESTIVE_HEART_FAILURE
2013-2014,7,MCQ,MCQ160B,2013-2014_MCQ.XPT,5769,5761,182,5579,8,5090,157,4933,NHANES_CONGESTIVE_HEART_FAILURE
2015-2016,8,MCQ,MCQ160B,2015-2016_MCQ.XPT,5719,5708,214,5494,11,4836,164,4672,NHANES_CONGESTIVE_HEART_FAILURE
2017-2018,9,MCQ,MCQ160B,2017-2018_MCQ.XPT,5569,5552,201,5351,17,4478,161,4317,NHANES_CONGESTIVE_HEART_FAILURE
1999-2000,0,MCQ,MCQ160C,1999-2000_MCQ.XPT,4880,4847,203,4644,33,3724,140,3584,NHANES_CORONARY_HEART_DISEASE
2001-2002,1,MCQ,MCQ160C,2001-2002_MCQ.XPT,5411,5371,240,5131,40,4344,174,4170,NHANES_CORONARY_HEART_DISEASE
2003-2004,2,MCQ,MCQ160C,2003-2004_MCQ.XPT,5041,5012,264,4748,29,4362,235,4127,NHANES_CORONARY_HEART_DISEASE
2005-2006,3,MCQ,MCQ160C,2005-2006_MCQ.XPT,4979,4953,200,4753,26,4443,166,4277,NHANES_CORONARY_HEART_DISEASE
2007-2008,4,MCQ,MCQ160C,2007-2008_MCQ.XPT,5935,5906,253,5653,29,5062,205,4857,NHANES_CORONARY_HEART_DISEASE
2009-2010,5,MCQ,MCQ160C,2009-2010_MCQ.XPT,6218,6190,254,5936,28,5386,228,5158,NHANES_CORONARY_HEART_DISEASE
2011-2012,6,MCQ,MCQ160C,2011-2012_MCQ.XPT,5560,5538,196,5342,22,4781,164,4617,NHANES_CORONARY_HEART_DISEASE
2013-2014,7,MCQ,MCQ160C,2013-2014_MCQ.XPT,5769,5751,232,5519,18,5083,196,4887,NHANES_CORONARY_HEART_DISEASE
2015-2016,8,MCQ,MCQ160C,2015-2016_MCQ.XPT,5719,5693,244,5449,26,4826,192,4634,NHANES_CORONARY_HEART_DISEASE
2017-2018,9,MCQ,MCQ160C,2017-2018_MCQ.XPT,5569,5553,265,5288,16,4479,208,4271,NHANES_CORONARY_HEART_DISEASE
1999-2000,0,MCQ,MCQ160G,1999-2000_MCQ.XPT,4880,4874,95,4779,6,3739,70,3669,NHANES_EMPHYSEMA
2001-2002,1,MCQ,MCQ160G,2001-2002_MCQ.XPT,5411,5403,96,5307,8,4362,72,4290,NHANES_EMPHYSEMA
2003-2004,2,MCQ,MCQ160G,2003-2004_MCQ.XPT,5041,5031,118,4913,10,4376,100,4276,NHANES_EMPHYSEMA
2005-2006,3,MCQ,MCQ160G,2005-2006_MCQ.XPT,4979,4970,98,4872,9,4456,87,4369,NHANES_EMPHYSEMA
2007-2008,4,MCQ,MCQ160G,2007-2008_MCQ.XPT,5935,5924,164,5760,11,5074,142,4932,NHANES_EMPHYSEMA
2009-2010,5,MCQ,MCQ160G,2009-2010_MCQ.XPT,6218,6214,137,6077,4,5407,118,5289,NHANES_EMPHYSEMA
2011-2012,6,MCQ,MCQ160G,2011-2012_MCQ.XPT,5560,5550,100,5450,10,4789,84,4705,NHANES_EMPHYSEMA
2013-2014,7,MCQ,MCQ160G,2013-2014_MCQ.XPT,5769,5766,95,5671,3,5094,86,5008,NHANES_EMPHYSEMA
2015-2016,8,MCQ,MCQ160G,2015-2016_MCQ.XPT,5719,5712,125,5587,7,4839,108,4731,NHANES_EMPHYSEMA
2017-2018,9,MCQ,MCQ160G,2017-2018_MCQ.XPT,5569,5556,106,5450,13,4481,75,4406,NHANES_EMPHYSEMA
1999-2000,0,MCQ,MCQ160J,1999-2000_MCQ.XPT,4880,4876,1440,3436,4,3743,1144,2599,NHANES_HAY_FEVER
2001-2002,1,MCQ,MCQ160J,2001-2002_MCQ.XPT,5411,5407,1488,3919,4,4364,1203,3161,NHANES_HAY_FEVER
2003-2004,2,MCQ,MCQ160J,2003-2004_MCQ.XPT,5041,5036,1447,3589,5,4377,1278,3099,NHANES_HAY_FEVER
1999-2000,0,MCQ,MCQ160E,1999-2000_MCQ.XPT,4880,4864,221,4643,16,3733,152,3581,NHANES_HEART_ATTACK
2001-2002,1,MCQ,MCQ160E,2001-2002_MCQ.XPT,5411,5399,258,5141,12,4362,170,4192,NHANES_HEART_ATTACK
2003-2004,2,MCQ,MCQ160E,2003-2004_MCQ.XPT,5041,5030,274,4756,11,4375,233,4142,NHANES_HEART_ATTACK
2005-2006,3,MCQ,MCQ160E,2005-2006_MCQ.XPT,4979,4971,215,4756,8,4454,184,4270,NHANES_HEART_ATTACK
2007-2008,4,MCQ,MCQ160E,2007-2008_MCQ.XPT,5935,5924,282,5642,11,5076,230,4846,NHANES_HEART_ATTACK
2009-2010,5,MCQ,MCQ160E,2009-2010_MCQ.XPT,6218,6201,261,5940,17,5397,231,5166,NHANES_HEART_ATTACK
2011-2012,6,MCQ,MCQ160E,2011-2012_MCQ.XPT,5560,5552,203,5349,8,4793,164,4629,NHANES_HEART_ATTACK
2013-2014,7,MCQ,MCQ160E,2013-2014_MCQ.XPT,5769,5766,230,5536,3,5093,206,4887,NHANES_HEART_ATTACK
2015-2016,8,MCQ,MCQ160E,2015-2016_MCQ.XPT,5719,5710,251,5459,9,4837,206,4631,NHANES_HEART_ATTACK
2017-2018,9,MCQ,MCQ160E,2017-2018_MCQ.XPT,5569,5559,270,5289,10,4483,222,4261,NHANES_HEART_ATTACK
1999-2000,0,BPQ,BPQ020,1999-2000_BPQ.XPT,4880,4814,1487,3327,66,3705,1116,2589,NHANES_HIGH_BLOOD_PRESSURE
2001-2002,1,BPQ,BPQ020,2001-2002_BPQ.XPT,5411,5346,1638,3708,65,4321,1254,3067,NHANES_HIGH_BLOOD_PRESSURE
2003-2004,2,BPQ,BPQ020,2003-2004_BPQ.XPT,5041,4987,1749,3238,54,4334,1518,2816,NHANES_HIGH_BLOOD_PRESSURE
2005-2006,3,BPQ,BPQ020,2005-2006_BPQ.XPT,4979,4964,1574,3390,15,4449,1396,3053,NHANES_HIGH_BLOOD_PRESSURE
2007-2008,4,BPQ,BPQ020,2007-2008_BPQ.XPT,5935,5929,2124,3805,6,5078,1815,3263,NHANES_HIGH_BLOOD_PRESSURE
2009-2010,5,BPQ,BPQ020,2009-2010_BPQ.XPT,6218,6206,2192,4014,12,5400,1897,3503,NHANES_HIGH_BLOOD_PRESSURE
2011-2012,6,BPQ,BPQ020,2011-2012_BPQ.XPT,5560,5552,2003,3549,8,4787,1701,3086,NHANES_HIGH_BLOOD_PRESSURE
2013-2014,7,BPQ,BPQ020,2013-2014_BPQ.XPT,5769,5765,2145,3620,4,5093,1889,3204,NHANES_HIGH_BLOOD_PRESSURE
2015-2016,8,BPQ,BPQ020,2015-2016_BPQ.XPT,5719,5713,2070,3643,6,4838,1735,3103,NHANES_HIGH_BLOOD_PRESSURE
2017-2018,9,BPQ,BPQ020,2017-2018_BPQ.XPT,5569,5559,2119,3440,10,4482,1699,2783,NHANES_HIGH_BLOOD_PRESSURE
1999-2000,0,BPQ,BPQ080,1999-2000_BPQ.XPT,4880,3165,1166,1999,1715,2441,909,1532,NHANES_HIGH_CHOLESTEROL
2001-2002,1,BPQ,BPQ080,2001-2002_BPQ.XPT,5411,3578,1336,2242,1833,2887,1082,1805,NHANES_HIGH_CHOLESTEROL
2003-2004,2,BPQ,BPQ080,2003-2004_BPQ.XPT,5041,3445,1510,1935,1596,3005,1345,1660,NHANES_HIGH_CHOLESTEROL
2005-2006,3,BPQ,BPQ080,2005-2006_BPQ.XPT,4979,3347,1386,1961,1632,3012,1240,1772,NHANES_HIGH_CHOLESTEROL
2007-2008,4,BPQ,BPQ080,2007-2008_BPQ.XPT,5935,4183,1906,2277,1752,3585,1639,1946,NHANES_HIGH_CHOLESTEROL
2009-2010,5,BPQ,BPQ080,2009-2010_BPQ.XPT,6218,4324,1875,2449,1894,3809,1641,2168,NHANES_HIGH_CHOLESTEROL
2011-2012,6,BPQ,BPQ080,2011-2012_BPQ.XPT,5560,5522,1826,3696,38,4766,1597,3169,NHANES_HIGH_CHOLESTEROL
2013-2014,7,BPQ,BPQ080,2013-2014_BPQ.XPT,5769,5735,2009,3726,34,5064,1788,3276,NHANES_HIGH_CHOLESTEROL
2015-2016,8,BPQ,BPQ080,2015-2016_BPQ.XPT,5719,5675,1939,3736,44,4807,1646,3161,NHANES_HIGH_CHOLESTEROL
2017-2018,9,BPQ,BPQ080,2017-2018_BPQ.XPT,5569,5530,1948,3582,39,4464,1584,2880,NHANES_HIGH_CHOLESTEROL
1999-2000,0,MCQ,MCQ160L,1999-2000_MCQ.XPT,4880,4868,153,4715,12,3738,111,3627,NHANES_LIVER_CONDITION
2001-2002,1,MCQ,MCQ160L,2001-2002_MCQ.XPT,5411,5399,158,5241,12,4358,134,4224,NHANES_LIVER_CONDITION
2003-2004,2,MCQ,MCQ160L,2003-2004_MCQ.XPT,5041,5031,170,4861,10,4375,141,4234,NHANES_LIVER_CONDITION
2005-2006,3,MCQ,MCQ160L,2005-2006_MCQ.XPT,4979,4968,163,4805,11,4452,141,4311,NHANES_LIVER_CONDITION
2007-2008,4,MCQ,MCQ160L,2007-2008_MCQ.XPT,5935,5926,226,5700,9,5077,183,4894,NHANES_LIVER_CONDITION
2009-2010,5,MCQ,MCQ160L,2009-2010_MCQ.XPT,6218,6201,189,6012,17,5398,162,5236,NHANES_LIVER_CONDITION
2011-2012,6,MCQ,MCQ160L,2011-2012_MCQ.XPT,5560,5553,219,5334,7,4791,186,4605,NHANES_LIVER_CONDITION
2013-2014,7,MCQ,MCQ160L,2013-2014_MCQ.XPT,5769,5759,234,5525,10,5089,201,4888,NHANES_LIVER_CONDITION
2015-2016,8,MCQ,MCQ160L,2015-2016_MCQ.XPT,5719,5707,259,5448,12,4838,209,4629,NHANES_LIVER_CONDITION
2017-2018,9,MCQ,MCQ160L,2017-2018_MCQ.XPT,5569,5554,294,5260,15,4478,241,4237,NHANES_LIVER_CONDITION
1999-2000,0,MCQ,MCQ160F,1999-2000_MCQ.XPT,4880,4877,190,4687,3,3741,123,3618,NHANES_STROKE
2001-2002,1,MCQ,MCQ160F,2001-2002_MCQ.XPT,5411,5401,204,5197,10,4361,110,4251,NHANES_STROKE
2003-2004,2,MCQ,MCQ160F,2003-2004_MCQ.XPT,5041,5033,212,4821,8,4376,169,4207,NHANES_STROKE
2005-2006,3,MCQ,MCQ160F,2005-2006_MCQ.XPT,4979,4970,193,4777,9,4453,154,4299,NHANES_STROKE
2007-2008,4,MCQ,MCQ160F,2007-2008_MCQ.XPT,5935,5917,258,5659,18,5068,198,4870,NHANES_STROKE
2009-2010,5,MCQ,MCQ160F,2009-2010_MCQ.XPT,6218,6210,227,5983,8,5405,194,5211,NHANES_STROKE
2011-2012,6,MCQ,MCQ160F,2011-2012_MCQ.XPT,5560,5555,229,5326,5,4794,193,4601,NHANES_STROKE
2013-2014,7,MCQ,MCQ160F,2013-2014_MCQ.XPT,5769,5764,202,5562,5,5091,166,4925,NHANES_STROKE
2015-2016,8,MCQ,MCQ160F,2015-2016_MCQ.XPT,5719,5714,209,5505,5,4840,171,4669,NHANES_STROKE
2017-2018,9,MCQ,MCQ160F,2017-2018_MCQ.XPT,5569,5559,273,5286,10,4483,219,4264,NHANES_STROKE
