gene_a,gene_b,pearson_r,abs_r,p_value,BH_FDR
MMP9,RELA,0.30434901719572083,0.30434901719572083,1.381611756659916e-09,6.473837945492177e-09
RXRA,SIRT1,0.3036638218035417,0.3036638218035417,1.5100566323242253e-09,7.035491127874231e-09
PGR,PTGES2,-0.3033103595834078,0.3033103595834078,1.5807740467742733e-09,7.323359990705673e-09
CYP3A4,HPGD,0.3020694294326907,0.3020694294326907,1.8554155357650571e-09,8.5474198838615e-09
ESR1,F3,0.30147516325606855,0.30147516325606855,2.002820186000238e-09,9.174930461006678e-09
PGR,PTGER2,0.30113730886302803,0.30113730886302803,2.0916253905142463e-09,9.528515667898234e-09
DUSP1,IL1A,0.30080264884366387,0.30080264884366387,2.1833521888070678e-09,9.89142980564528e-09
PPARG,PTGER4,0.2985229578597083,0.2985229578597083,2.9205604658789117e-09,1.315856913198191e-08
F3,NR3C1,0.2978103442686056,0.2978103442686056,3.1969386919970047e-09,1.4325080477800787e-08
PPARA,PPARD,0.29629514553412445,0.29629514553412445,3.871438617163741e-09,1.7212072883526054e-08
CXCR4,NR1I2,-0.2962665985605577,0.2962665985605577,3.885385305210232e-09,1.7212072883526054e-08
PPARD,PTGER4,0.29622824058237834,0.29622824058237834,3.904201897970544e-09,1.7212072883526054e-08
ATG5,PTGS1,0.2960276631946824,0.2960276631946824,4.004043412046535e-09,1.7557837421808338e-08
SQSTM1,TIMP2,0.2949282648624476,0.2949282648624476,4.596824134998053e-09,2.004997761009789e-08
HSPA1A,TIMP1,0.29202368605749646,0.29202368605749646,6.601605631296679e-09,2.864188686594326e-08
NR3C1,PTGES2,-0.2882377175146896,0.2882377175146896,1.0517205512196247e-08,4.5390044842110116e-08
MMP9,PPARD,0.28799979837293255,0.28799979837293255,1.0827069628120705e-08,4.648270730397371e-08
F3,HPGD,0.28432477770301806,0.28432477770301806,1.6897228738647126e-08,7.21652477379721e-08
PPARA,RELA,0.28399073865623403,0.28399073865623403,1.7589273715750097e-08,7.473162925862735e-08
HPGD,STAT3,0.28206001166555694,0.28206001166555694,2.2159391527209842e-08,9.36634074861447e-08
CXCR4,RELA,0.2802300945137988,0.2802300945137988,2.7537608219023638e-08,1.1579917302358658e-07
SIRT1,SQSTM1,0.2798884744945424,0.2798884744945424,2.8672646831631573e-08,1.1995699184662189e-07
PGR,TIMP1,0.27887675029744224,0.27887675029744224,3.230565605037924e-08,1.3447024345843135e-07
HSPA1A,PPARD,0.2752287057127122,0.2752287057127122,4.947329369304673e-08,2.0488939812271879e-07
PGR,PTGS2,0.2746038087685282,0.2746038087685282,5.3187103026759294e-08,2.1916293709518906e-07
AKR1C3,SQSTM1,0.2724084156909202,0.2724084156909202,6.84891844935699e-08,2.808056564236366e-07
HSPA1A,SQSTM1,0.2707498116580805,0.2707498116580805,8.278367588918556e-08,3.3772444890115504e-07
ATG5,SELE,0.27019930536558484,0.27019930536558484,8.813462025140991e-08,3.5749547262057795e-07
PTGER2,RELA,0.27016270839015366,0.27016270839015366,8.850192797802113e-08,3.5749547262057795e-07
PPARG,SQSTM1,0.26986412201751575,0.26986412201751575,9.155436383802332e-08,3.6801263895676036e-07
NR1I2,SQSTM1,0.26976385099837724,0.26976385099837724,9.260201357324697e-08,3.704080542929879e-07
MIR675,SQSTM1,-0.26740439476926353,0.26740439476926353,1.208692427033176e-07,4.811299952267983e-07
HSPA1A,RXRA,0.2670761647709456,0.2670761647709456,1.2540723347344444e-07,4.967822775276543e-07
HPGD,TIMP2,0.26613039125346827,0.26613039125346827,1.3942007994768678e-07,5.496368536399191e-07
ATG5,PPARA,0.2652770679872822,0.2652770679872822,1.533482566274172e-07,6.016534470549382e-07
DUSP1,RXRA,0.26436167367684604,0.26436167367684604,1.6977743062878434e-07,6.629404434076341e-07
ESR1,PPARA,0.263608499408893,0.263608499408893,1.845540925310161e-07,7.172244354285933e-07
PTGER4,RXRA,0.26303956133877643,0.26303956133877643,1.9652933415723398e-07,7.601606321176032e-07
MIR675,PPARD,-0.2589259789969716,0.2589259789969716,3.0827873793298067e-07,1.1868007751410523e-06
MMP2,SIRT1,0.258878010294118,0.258878010294118,3.0988738048565905e-07,1.1874189345712171e-06
F3,MMP2,0.2583576853023189,0.2583576853023189,3.278634504824422e-07,1.2504559506772215e-06
ATG5,PTGER4,0.2580050493153947,0.2580050493153947,3.4061180704988687e-07,1.2930633415782743e-06
PPARA,PPARG,0.25612921523576326,0.25612921523576326,4.168474144215463e-07,1.5751837779984698e-06
PPARG,RELA,0.25581758979325386,0.25581758979325386,4.3100546099022116e-07,1.6212132018898227e-06
NEAT1,PPARA,0.2554338923408054,0.2554338923408054,4.490733447945859e-07,1.681461838956897e-06
ATG5,RXRA,0.2540198751756462,0.2540198751756462,5.221489083514375e-07,1.94619138567354e-06
ATG5,DUSP1,0.2537733301094321,0.2537733301094321,5.360077113970424e-07,1.988806892966402e-06
ATG5,CCL20,0.2534109104801938,0.2534109104801938,5.570231393988325e-07,2.057472857238931e-06
AKR1C3,NR1I2,0.25049774022338733,0.25049774022338733,7.571869979327433e-07,2.7842750596630028e-06
PGR,PTGER4,0.25022254573862973,0.25022254573862973,7.793157179441715e-07,2.8528521817599134e-06
CRP,CYP1A2,0.25016545419133873,0.25016545419133873,7.839835968344931e-07,2.8571846640190415e-06
DUSP1,SIRT1,0.2498626341686314,0.2498626341686314,8.091944552739955e-07,2.9360152801976825e-06
BECN1,PTGS1,0.24834407948022344,0.24834407948022344,9.478034620195017e-07,3.4237834310836626e-06
RELA,SELE,0.24725113076572097,0.24725113076572097,1.061363962405728e-06,3.817186180582005e-06
DKK1,DUSP1,0.2464124881489481,0.2464124881489481,1.1572299889220105e-06,4.143792973432526e-06
HPGD,PTGS1,0.2463025464527818,0.2463025464527818,1.1703964447870432e-06,4.172717759675545e-06
SELE,SIRT1,0.24600746284491723,0.24600746284491723,1.206448773672479e-06,4.282632010439103e-06
HPGD,SIRT1,0.2448544756792058,0.2448544756792058,1.3577868280721833e-06,4.799074133703407e-06
DUSP1,HSPA1A,0.24470259223864874,0.24470259223864874,1.3790290125709653e-06,4.853235151537303e-06
PPARA,SQSTM1,0.2439061116640863,0.2439061116640863,1.495737931008264e-06,5.241474800969131e-06
MMP2,PTGER4,0.2428855666173902,0.2428855666173902,1.659152266617295e-06,5.7893823771326885e-06
ATG5,NR3C1,0.24051862481640104,0.24051862481640104,2.1065064230774834e-06,7.319217232726849e-06
DKK1,TIMP2,0.23962049039350378,0.23962049039350378,2.3047533718612515e-06,7.9742521726845e-06
ATG5,PPARD,0.2388268828644332,0.2388268828644332,2.4946689431217836e-06,8.595077871259926e-06
BECN1,PTGES2,0.23876427377130063,0.23876427377130063,2.5102721959846694e-06,8.61264937534489e-06
AKR1C3,CYP3A4,0.23815112998030377,0.23815112998030377,2.668090988702353e-06,9.11597754473304e-06
HSPA1A,PTGS1,0.2371498903465875,0.2371498903465875,2.9463783775401517e-06,1.0025021865489313e-05
MMP2,RXRA,0.23696955459373067,0.23696955459373067,2.999363386705803e-06,1.016313213677173e-05
