dataset,cell_line,gene,parental_n,resistant_n,mean_parental,mean_resistant,delta_resistant_minus_parental,p_value,direction
GSE42387,HCT116,SLC22A5,3,3,10.027523494333332,9.875103397666667,-0.15242009666666512,0.1357070515934137,down
GSE42387,HCT116,SLC25A20,3,3,8.673883312666666,9.295036574666666,0.621153262,0.007690970684963437,up
GSE42387,HT29,ACADM,3,3,9.987356976,9.966309651666668,-0.02104732433333112,0.9408491422454596,down
GSE42387,HT29,ACADVL,3,3,13.881407876666666,13.41697089,-0.4644369866666658,0.007002465002926934,down
GSE42387,HT29,BBOX1,3,3,6.869837805,6.618118175333334,-0.25171962966666683,0.23082095271953615,down
GSE42387,HT29,CPT1A,3,3,10.4039259275,8.2735516315,-2.1303742959999994,0.0005201826876242522,down
GSE42387,HT29,CPT1B,3,3,7.279896835333333,7.778413406333333,0.4985165709999997,0.026578036072819496,up
GSE42387,HT29,CPT2,3,3,11.059495786666668,10.749908563333333,-0.30958722333333455,0.027300637758225308,down
GSE42387,HT29,ECHS1,3,3,14.01233442,13.946701836666668,-0.06563258333333266,0.7144828185039886,down
GSE42387,HT29,ETFA,3,3,12.47826259,12.163049803333331,-0.3152127866666685,0.254038476861479,down
GSE42387,HT29,ETFB,3,3,15.241785456666667,14.748532063333334,-0.4932533933333332,0.051131858896010164,down
GSE42387,HT29,ETFDH,3,3,9.968899564666666,9.773885982666668,-0.19501358199999785,0.2225541414828349,down
GSE42387,HT29,FABP6,3,3,7.347616645333335,7.112424559333334,-0.23519208600000052,0.14071545913164185,down
GSE42387,HT29,HADHA,3,3,10.236403446666667,10.19803682,-0.0383666266666669,0.7108107165214513,down
GSE42387,HT29,HADHB,3,3,13.406332606666666,13.375239343333334,-0.03109326333333229,0.7349048234159842,down
GSE42387,HT29,KLF5,3,3,12.149708756666667,12.261752046666667,0.11204328999999902,0.5567625426340926,up
GSE42387,HT29,PPARGC1A,3,3,6.6123950989999996,6.600189387,-0.012205711999999203,0.691752644420263,down
GSE42387,HT29,SLC22A5,3,3,9.499289376333332,9.97369237,0.4744029936666685,0.07304325367038468,up
GSE42387,HT29,SLC25A20,3,3,8.421271838000001,7.898549608000001,-0.5227222300000003,0.13065340641828413,down
GSE42387,LoVo,ACADM,3,3,10.899207603333332,10.730156253000002,-0.16905135033332996,0.7485158839537074,down
GSE42387,LoVo,ACADVL,3,3,14.499510143333334,14.606787993333333,0.10727784999999912,0.5009826399371368,up
GSE42387,LoVo,BBOX1,3,3,6.732674413666667,6.622782534333333,-0.10989187933333433,0.28905780861409003,down
GSE42387,LoVo,CPT1A,3,3,10.436731929333334,10.690554337666667,0.2538224083333329,0.20750121982818084,up
GSE42387,LoVo,CPT1B,3,3,9.532166310333333,9.437249129666666,-0.09491718066666621,0.6103288750464976,down
GSE42387,LoVo,CPT2,3,3,11.14075971,10.75373945,-0.3870202599999999,0.24256792183016238,down
GSE42387,LoVo,ECHS1,3,3,13.719127456666667,13.577126393333332,-0.1420010633333355,0.5377764098262241,down
GSE42387,LoVo,ETFA,3,3,12.913615666666667,13.212717933333336,0.2991022666666687,0.04263194725046249,up
GSE42387,LoVo,ETFB,3,3,14.04289061,14.15567256,0.11278194999999869,0.23027129988628675,up
