rank_by_adjusted_OLS_FDR,gene_symbol,male_n,female_n,male_median,female_median,median_delta_male_minus_female,mann_whitney_U,mann_whitney_p,adjusted_n,adjusted_beta_male_minus_female,adjusted_se,adjusted_ci_low,adjusted_ci_high,adjusted_p_value,adjusted_status,BH_FDR_mann_whitney_81_genes,BH_FDR_adjusted_OLS_81_genes,direction
13,SLCO2A1,205,172,2.251,2.5185,-0.26750000000000007,15920.0,0.10478496301036389,377,-0.20085125616868565,0.1368179218136966,-0.46900945536314803,0.06730694302577672,0.14209916636753112,ok,0.8851270581970455,0.8091025374864032,lower_in_male
14,SIRT1,205,172,2.953,2.9175,0.035499999999999865,18255.0,0.5534704727954904,377,0.08125794078061875,0.05559840621632409,-0.02771293300120431,0.1902288145624418,0.14387398397432832,ok,0.8966221659286946,0.8091025374864032,higher_in_male
15,IGFBP1,205,172,-4.035,-4.293,0.258,19155.5,0.14649964068906526,377,0.486324218633169,0.33899673171404626,-0.17809716640314888,1.150745603669487,0.1514015289999298,ok,0.8851270581970455,0.8091025374864032,higher_in_male
16,SIRT5,205,172,3.809,3.6895,0.11950000000000038,19033.5,0.1831039056594338,377,0.07758254822790431,0.05551907089077802,-0.031232831173146708,0.18639792762895532,0.16229224424472244,ok,0.8851270581970455,0.8091025374864032,higher_in_male
17,RXRB,205,172,4.51,4.477,0.032999999999999474,18740.0,0.2924479025249086,377,0.06948414834753959,0.05096094312238938,-0.03039746479053776,0.16936576148561694,0.17273176786464706,ok,0.8851270581970455,0.8091025374864032,higher_in_male
18,STAT3,205,172,5.681,5.6025,0.07850000000000001,18642.0,0.33716752192181654,377,0.08692141468520961,0.06514759687556199,-0.040765528870226025,0.21460835824064525,0.18213082143696668,ok,0.8851270581970455,0.8091025374864032,higher_in_male
19,CASP14,205,172,-9.966,-9.966,0.0,18173.5,0.35033014509037275,377,0.2121992597577405,0.16519458381352706,-0.11157617495785588,0.5359746944733369,0.19895263457352053,ok,0.8851270581970455,0.8091025374864032,higher_in_male
20,PGR,205,172,-3.816,-3.816,0.0,16742.0,0.3990042737603242,377,-0.24452463735606328,0.1907096007466565,-0.618308586325523,0.12925931161339643,0.1997784043176304,ok,0.8851270581970455,0.8091025374864032,lower_in_male
21,HSPA1L,205,172,-0.5543,-0.7227,0.1684,18780.5,0.2751443059360018,377,0.09965852400179459,0.08073322677135134,-0.058575692825758946,0.2578927408293481,0.2170472972847215,ok,0.8851270581970455,0.8371824323839258,higher_in_male
22,SNORA65,205,172,-9.966,-9.966,0.0,16668.0,0.23330392616513462,377,-0.7523223418573332,0.6424736184523606,-2.0115474950410883,0.5069028113264219,0.24160770222205885,ok,0.8851270581970455,0.8895556309084894,lower_in_male
23,BECN1,205,172,6.123,6.111000000000001,0.011999999999999567,18112.0,0.6477581098159704,377,0.053033497831612764,0.050422648282813724,-0.04579307680783254,0.15186007247105807,0.29290081723552586,ok,0.9539710344562473,0.9042757318713975,higher_in_male
