test_id,variable,cycle,source_data_file,source_weight_variable,exposure_rows,exposure_nonmissing,universal_outcome_covariate_rows,merge_rows,crc_vs_cancer_free_rows,complete_case_rows,complete_case_crc_cases
NHANES_URXMZP,URXMZP,2005-2006,PHTHTE_D.xpt,WTSB2YR,2638,2548,9822,2638,1424,1286,6
NHANES_URXMZP,URXMZP,2007-2008,PHTHTE_E.xpt,WTSB2YR,2718,2604,9666,2718,1717,1476,13
NHANES_URXMZP,URXMZP,2009-2010,PHTHTE_F.xpt,WTSB2YR,2819,2749,10109,2819,1803,1574,16
NHANES_URXMZP,URXMZP,2011-2012,PHTHTE_G.xpt,WTSA2YR,2594,2489,9364,2594,1636,1415,10
NHANES_URXMZP,URXMZP,2013-2014,PHTHTE_H.xpt,WTSB2YR,2777,2685,9770,2777,1688,1484,7
NHANES_URXMZP,URXMZP,2015-2016,PHTHTE_I.xpt,WTSB2YR,3205,2975,9575,3205,1595,1377,9
NHANES_URXMZP,URXMZP,2017-2018,PHTHTE_J.xpt,WTSB2YR,2986,2762,8897,2986,1601,1324,9
NHANES_URXP02,URXP02,2001-2002,PHPYPA_B.xpt,WTSPH2YR,2901,2748,10470,2901,1581,1362,12
NHANES_URXP02,URXP02,2003-2004,L31PAH_C.xpt,WTSB2YR,2697,2575,9645,2697,1445,1273,15
NHANES_URXP02,URXP02,2005-2006,PAH_D.xpt,WTSB2YR,2638,2446,9822,2638,1424,1238,6
NHANES_URXP02,URXP02,2007-2008,PAH_E.xpt,WTSB2YR,2718,2531,9666,2718,1717,1443,12
NHANES_URXP02,URXP02,2009-2010,PAH_F.xpt,WTSB2YR,2819,2747,10109,2819,1803,1571,16
NHANES_URXP02,URXP02,2011-2012,PAH_G.xpt,WTSA2YR,2594,2492,9364,2594,1636,1414,10
NHANES_URXP02,URXP02,2013-2014,PAH_H.xpt,WTSA2YR,2755,2641,9770,2755,1691,1509,10
NHANES_URXP02,URXP02,2015-2016,PAH_I.xpt,WTSA2YR,3279,2986,9575,3279,1695,1415,11
NHANES_URXP04,URXP04,2001-2002,PHPYPA_B.xpt,WTSPH2YR,2901,2745,10470,2901,1581,1361,12
NHANES_URXP04,URXP04,2003-2004,L31PAH_C.xpt,WTSB2YR,2697,2521,9645,2697,1445,1241,13
NHANES_URXP04,URXP04,2005-2006,PAH_D.xpt,WTSB2YR,2638,2431,9822,2638,1424,1232,6
NHANES_URXP04,URXP04,2007-2008,PAH_E.xpt,WTSB2YR,2718,2582,9666,2718,1717,1471,13
NHANES_URXP04,URXP04,2009-2010,PAH_F.xpt,WTSB2YR,2819,2747,10109,2819,1803,1571,16
NHANES_URXP04,URXP04,2011-2012,PAH_G.xpt,WTSA2YR,2594,2492,9364,2594,1636,1414,10
NHANES_URXP04,URXP04,2013-2014,PAH_H.xpt,WTSA2YR,2755,2650,9770,2755,1691,1517,10
NHANES_URXP04,URXP04,2015-2016,PAH_I.xpt,WTSA2YR,3279,3037,9575,3279,1695,1452,11
NHANES_URXP04,URXP04,2017-2018,PAH_J.xpt,WTSA2YR,2979,2774,8897,2979,1579,1304,9
NHANES_URXP10,URXP10,2001-2002,PHPYPA_B.xpt,WTSPH2YR,2901,2747,10470,2901,1581,1360,12
NHANES_URXP10,URXP10,2003-2004,L31PAH_C.xpt,WTSB2YR,2697,2515,9645,2697,1445,1241,13
NHANES_URXP10,URXP10,2005-2006,PAH_D.xpt,WTSB2YR,2638,2415,9822,2638,1424,1221,6
NHANES_URXP10,URXP10,2007-2008,PAH_E.xpt,WTSB2YR,2718,2581,9666,2718,1717,1461,13
NHANES_URXP10,URXP10,2009-2010,PAH_F.xpt,WTSB2YR,2819,2746,10109,2819,1803,1571,16
NHANES_URXP10,URXP10,2011-2012,PAH_G.xpt,WTSA2YR,2594,2487,9364,2594,1636,1411,10
NHANES_URXP10,URXP10,2013-2014,PAH_H.xpt,WTSA2YR,2755,2650,9770,2755,1691,1517,10
NHANES_URXP10,URXP10,2015-2016,PAH_I.xpt,WTSA2YR,3279,3036,9575,3279,1695,1451,11
NHANES_URXP10,URXP10,2017-2018,PAH_J.xpt,WTSA2YR,2979,2775,8897,2979,1579,1305,9
NHANES_URXP25,URXP25,2013-2014,PAH_H.xpt,WTSA2YR,2755,2650,9770,2755,1691,1517,10
NHANES_URXP25,URXP25,2015-2016,PAH_I.xpt,WTSA2YR,3279,3035,9575,3279,1695,1453,11
NHANES_URXP25,URXP25,2017-2018,PAH_J.xpt,WTSA2YR,2979,2774,8897,2979,1579,1305,9
NHANES_URXUBA,URXUBA,1999-2000,LAB06HM.xpt,WTSHM2YR,2547,2180,9493,2547,1352,990,6
NHANES_URXUBA,URXUBA,2001-2002,L06HM_B.xpt,WTSHM2YR,2804,2690,10470,2804,1483,1267,7
NHANES_URXUBA,URXUBA,2003-2004,L06HM_C.xpt,WTSA2YR,2673,2558,9645,2673,1464,1312,11
NHANES_URXUBA,URXUBA,2005-2006,UHM_D.xpt,WTSA2YR,2692,2576,9822,2692,1460,1317,11
