cycle,cycle_index,source_variable,source_file,adult_rows,valid_binary_rows,cases,controls,ambiguous_or_missing,core_complete_rows,core_complete_cases,core_complete_controls,disease_id
2007-2008,4,MCQ160G,2007-2008_MCQ.XPT,5935,5924,164,5760,11,5074,142,4932,NHANES_EMPHYSEMA
2009-2010,5,MCQ160G,2009-2010_MCQ.XPT,6218,6214,137,6077,4,5407,118,5289,NHANES_EMPHYSEMA
2011-2012,6,MCQ160G,2011-2012_MCQ.XPT,5560,5550,100,5450,10,4789,84,4705,NHANES_EMPHYSEMA
2013-2014,7,MCQ160G,2013-2014_MCQ.XPT,5769,5766,95,5671,3,5094,86,5008,NHANES_EMPHYSEMA
2015-2016,8,MCQ160G,2015-2016_MCQ.XPT,5719,5712,125,5587,7,4839,108,4731,NHANES_EMPHYSEMA
2017-2018,9,MCQ160G,2017-2018_MCQ.XPT,5569,5556,106,5450,13,4481,75,4406,NHANES_EMPHYSEMA
1999-2000,0,MCQ160J,1999-2000_MCQ.XPT,4880,4876,1440,3436,4,3743,1144,2599,NHANES_HAY_FEVER
2001-2002,1,MCQ160J,2001-2002_MCQ.XPT,5411,5407,1488,3919,4,4364,1203,3161,NHANES_HAY_FEVER
2003-2004,2,MCQ160J,2003-2004_MCQ.XPT,5041,5036,1447,3589,5,4377,1278,3099,NHANES_HAY_FEVER
1999-2000,0,MCQ160E,1999-2000_MCQ.XPT,4880,4864,221,4643,16,3733,152,3581,NHANES_HEART_ATTACK
2001-2002,1,MCQ160E,2001-2002_MCQ.XPT,5411,5399,258,5141,12,4362,170,4192,NHANES_HEART_ATTACK
2003-2004,2,MCQ160E,2003-2004_MCQ.XPT,5041,5030,274,4756,11,4375,233,4142,NHANES_HEART_ATTACK
2005-2006,3,MCQ160E,2005-2006_MCQ.XPT,4979,4971,215,4756,8,4454,184,4270,NHANES_HEART_ATTACK
2007-2008,4,MCQ160E,2007-2008_MCQ.XPT,5935,5924,282,5642,11,5076,230,4846,NHANES_HEART_ATTACK
2009-2010,5,MCQ160E,2009-2010_MCQ.XPT,6218,6201,261,5940,17,5397,231,5166,NHANES_HEART_ATTACK
2011-2012,6,MCQ160E,2011-2012_MCQ.XPT,5560,5552,203,5349,8,4793,164,4629,NHANES_HEART_ATTACK
2013-2014,7,MCQ160E,2013-2014_MCQ.XPT,5769,5766,230,5536,3,5093,206,4887,NHANES_HEART_ATTACK
2015-2016,8,MCQ160E,2015-2016_MCQ.XPT,5719,5710,251,5459,9,4837,206,4631,NHANES_HEART_ATTACK
2017-2018,9,MCQ160E,2017-2018_MCQ.XPT,5569,5559,270,5289,10,4483,222,4261,NHANES_HEART_ATTACK
1999-2000,0,MCQ160L,1999-2000_MCQ.XPT,4880,4868,153,4715,12,3738,111,3627,NHANES_LIVER_CONDITION
2001-2002,1,MCQ160L,2001-2002_MCQ.XPT,5411,5399,158,5241,12,4358,134,4224,NHANES_LIVER_CONDITION
2003-2004,2,MCQ160L,2003-2004_MCQ.XPT,5041,5031,170,4861,10,4375,141,4234,NHANES_LIVER_CONDITION
2005-2006,3,MCQ160L,2005-2006_MCQ.XPT,4979,4968,163,4805,11,4452,141,4311,NHANES_LIVER_CONDITION
2007-2008,4,MCQ160L,2007-2008_MCQ.XPT,5935,5926,226,5700,9,5077,183,4894,NHANES_LIVER_CONDITION
2009-2010,5,MCQ160L,2009-2010_MCQ.XPT,6218,6201,189,6012,17,5398,162,5236,NHANES_LIVER_CONDITION
2011-2012,6,MCQ160L,2011-2012_MCQ.XPT,5560,5553,219,5334,7,4791,186,4605,NHANES_LIVER_CONDITION
2013-2014,7,MCQ160L,2013-2014_MCQ.XPT,5769,5759,234,5525,10,5089,201,4888,NHANES_LIVER_CONDITION
2015-2016,8,MCQ160L,2015-2016_MCQ.XPT,5719,5707,259,5448,12,4838,209,4629,NHANES_LIVER_CONDITION
2017-2018,9,MCQ160L,2017-2018_MCQ.XPT,5569,5554,294,5260,15,4478,241,4237,NHANES_LIVER_CONDITION
1999-2000,0,MCQ160F,1999-2000_MCQ.XPT,4880,4877,190,4687,3,3741,123,3618,NHANES_STROKE
2001-2002,1,MCQ160F,2001-2002_MCQ.XPT,5411,5401,204,5197,10,4361,110,4251,NHANES_STROKE
2003-2004,2,MCQ160F,2003-2004_MCQ.XPT,5041,5033,212,4821,8,4376,169,4207,NHANES_STROKE
2005-2006,3,MCQ160F,2005-2006_MCQ.XPT,4979,4970,193,4777,9,4453,154,4299,NHANES_STROKE
2007-2008,4,MCQ160F,2007-2008_MCQ.XPT,5935,5917,258,5659,18,5068,198,4870,NHANES_STROKE
2009-2010,5,MCQ160F,2009-2010_MCQ.XPT,6218,6210,227,5983,8,5405,194,5211,NHANES_STROKE
2011-2012,6,MCQ160F,2011-2012_MCQ.XPT,5560,5555,229,5326,5,4794,193,4601,NHANES_STROKE
2013-2014,7,MCQ160F,2013-2014_MCQ.XPT,5769,5764,202,5562,5,5091,166,4925,NHANES_STROKE
2015-2016,8,MCQ160F,2015-2016_MCQ.XPT,5719,5714,209,5505,5,4840,171,4669,NHANES_STROKE
2017-2018,9,MCQ160F,2017-2018_MCQ.XPT,5569,5559,273,5286,10,4483,219,4264,NHANES_STROKE
