chemical_id,canonical_name,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,classification_rule_prefixes,eligible_as_environmental_exposure,drug_like_exclusion,drugcentral_match,pah_formula,pah_structure_valid,classification_exclusion_reason
C029938,nickel sulfate,7786-81-4,,DTXSID6023787,LGQLOGILCSXPEA-UHFFFAOYSA-L,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C017558,nickel sulfide,16812-54-7,CID:166709,DTXSID5036921,ADGNAMGSVYAHHD-UHFFFAOYSA-N,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C091887,nickel sulfite,7757-95-1,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C042584,nickel-zinc ferrite,12645-50-0,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000726653,NiCoFe2O4,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C514075,nicomide,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C078972,Niferex,75534-60-0,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C035959,nifluridide,61444-62-0,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C052288,Nilacid antacid,115586-23-7,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C061287,Nile Blue-platinum tetrachloride complex,123797-79-5,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
D009556,Niobium,7440-03-1,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615507,Niobium-90,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615508,Niobium-92,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615509,Niobium-95,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C073844,niobium carbide,12069-94-2,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C545369,niobium pentabromide,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C535111,niobium pentachloride,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C073337,niobium pentoxide,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C008150,N-iodophthalimide,20919-42-0,,,,phthalates,D02.241.223.805,True,False,False,,False,
C053992,N-isoamylphthalamide,41764-14-1,,,,phthalates,D02.241.223.805,True,False,False,,False,
C071294,N-isopropylterephthalamic acid,779-47-5,,,,phthalates,D02.241.223.805,True,False,False,,False,
C103253,N-methyl-bis(heptafluorobutyramide),,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C103252,N-methyl-N-trimethylsilylheptafluorobutyramide,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C512684,N-methyl perfluorobutane sulfonamidoethanol,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C530609,N'-morpholino-N-(2'-methoxyphenyl)phthalamide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C502587,"(N-N'-bis-(2-(1H-indol-3-yl)-ethyl)-N,N'-bis-(3-thiomorpholin-4-yl-propyl)-phthalamide)",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C575414,"N,N'-bis-2-mercaptoethylisophthalamide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C573964,"N,N-dimethylaminophthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C570714,"N,N'-dithiobisphthalimide",7764-30-9,,,,phthalates,D02.241.223.805,True,False,False,,False,
C044517,"N-nitrosobis(2,2,3,3,4,4,4-heptafluorobutyl)amine",83329-16-2,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C000720149,"N,N,N-trimethyl-3-((perfluorooctanoyl)amino)-1-propanaminium chloride",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C040915,"N,N',N'-tri(pentafluorobenzyl)histamine",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C060999,"N,N-perfluorodiethylcyclohexylamine",308-95-2,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C000598528,"N,N'-thiobisphthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
D009614,Nobelium,10028-14-5,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C000615201,Nobelium-254,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C519419,N-(o-hydroxyphenyl)phthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C542778,nonafluorobutane-1-sulfonic acid,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C063006,norflurane,,CID:13129,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C404445,"N(O,S)-ethoxycarbonyl heptafluorobutyl ester",,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C487613,noviflumuron,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C046048,N-pentafluorobenzoyl-di-n-butylamide taurine,97142-25-1,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C036142,N-pentafluorobenzoylmethionylglycine-N-hydroxysuccinimide ester,83800-45-7,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C495827,N-pentafluorobenzyl-1-deoxynojirimycin,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C413732,"N-phenyl-4,5,6,7-tetrachlorophthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C037430,N-phenylphthalimide,520-03-6,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000596135,N-phenylselenophthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C108154,N-phthalimidino glutaric acid,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C429883,N-phthalimidomethyl-ketomethylene,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C011990,N-phthalylisoglutamine,2614-08-6,,,,phthalates,D02.241.223.805,True,False,False,,False,
C445522,"N-(pyridin-3-ylmethyl)-4,5,6,7-tetrafluorophthalimide",,,,,phthalates,D02.241.223.805,True,False,False,,False,
C442273,N-(pyrimidin-2-yl)pentafluorobenzamide,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C581288,NSC 104999,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C550834,NSC 13778,,,,,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,
C508802,NSC 401077,,CID:344265,,,phthalates,D02.241.223.805,True,False,False,,False,
C095060,NSC 640168,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C509131,N-(tert-butyldimethylsilyl)(15N)phthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C089353,N-tosyloxy-3-phthalimido-4-methyl-2-azetidinone,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C499039,N-(trichlromethylthio)phthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C000600197,N-(trifluoromethylthio)phthalimide,,,,,phthalates,D02.241.223.805,True,False,False,,False,
C029930,Nuva Tach,80106-43-0,,,,bisphenols,D02.455.426.559.389.657.110,True,False,False,,False,
C007785,octafluorocyclobutane,115-25-3,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C523241,octafluoronaphthalene,,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C019027,octafluoropentanoic acid,376-72-7,,,,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
C059211,octafluorotoluene,434-64-0,CID:9906,DTXSID1059993,USPWUOFNOTUBAD-UHFFFAOYSA-N,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,
