chemical_id,canonical_name,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,classification_rule_prefixes,eligible_as_environmental_exposure,drug_like_exclusion,drugcentral_match,pah_formula,pah_structure_valid,classification_exclusion_reason
C002521,diphenylphosphorylcholine,39625-04-2,,,,,,False,False,False,,False,
C575987,diphenylprolinol,,,,,,,False,False,False,,False,
C529940,diphenylprolinol silyl ether,,,,,,,False,False,False,,False,
C000599343,diphenylprolinol trimethylsilyl ether,,,,,,,False,False,False,,False,
C001088,diphenylpropenamine,5666-18-2,,,,,,False,False,False,,False,
C009871,diphenylpyraline,147-20-6,,DTXSID3022952,OWQUZNMMYNAXSL-UHFFFAOYSA-N,,,False,False,True,,False,drugcentral_cas_or_inn
C440550,diphenyl pyraline tetrachloroferrate,,,,,,,False,False,False,,False,
C032792,diphenylsilanediol,947-42-2,,,,,,False,False,False,,False,
C444009,diphenyl sulfide,139-66-2,,,,,,False,False,False,,False,
D000098783,Diphenyl Sulfone Compounds,,,,,,,False,False,False,,False,
C048860,diphenyl sulfoxide,,,,,,,False,False,False,,False,
C503220,diphenyl telluride,,,,,,,False,False,False,,False,
C000727476,diphenylterazine,,,,,,,False,False,False,,False,
C000594118,diphenylthioarsinic acid,,,,,,,False,False,False,,False,
C073336,diphenylthiohydantoin,21083-47-6,,,,,,False,False,False,,False,
C059372,diphenylthiosulfinate,1208-20-4,,,,,,False,False,False,,False,
C032788,diphenylthiourea,102-08-9,CID:700999,DTXSID4026139,FCSHMCFRCYZTRQ-UHFFFAOYSA-N,,,False,False,False,,False,
C063612,diphenyltin,1011-95-6,,DTXSID80904118,ZKCZXVODRKOWIY-UHFFFAOYSA-N,,,False,False,False,,False,
C546233,diphenyltin camphorsulfonyl hydride,,,,,,,False,False,False,,False,
C086664,diphenyltin chloride,1135-99-5,CID:14342,DTXSID7074458,ISXUHJXWYNONDI-UHFFFAOYSA-L,,,False,False,False,,False,
C547046,diphenylvinylphosphine,,,,,,,False,False,False,,False,
C511645,diphenylzinc,,,,,,,False,False,False,,False,
C010940,diphepanol,510-07-6,,,,,,False,False,False,,False,
C037924,diphetarsone,515-76-4,,,,,,False,False,False,,False,
C007525,diphezyl,34987-38-7,,,,,,False,False,False,,False,
C513811,diphlorethohydroxycarmalol,,CID:16075395,,,,,False,False,False,,False,
C013509,diphloretin phosphate,39201-04-2,,DTXSID80959981,NGZJJNCWIBSKQW-UHFFFAOYSA-N,,,False,False,False,,False,
D011756,Diphosphates,,CID:644102,,,,,False,False,False,,False,
C071040,diphosphatidylethanolamine trifluoromethylphenyl diazirine,,,,,,,False,False,False,,False,
C013510,"diphosphatidylglycerol-2-(2',2',5',5'-tetramethylpyrroline-N-oxide)carboxylate",,,,,,,False,False,False,,False,
C026665,diphosphatidylinositol,,,,,,,False,False,False,,False,
C558943,"diphosphin 4,6-bis(3-diisopropylphosphinophenyl)dibenzofuran",,,,,,,False,False,False,,False,
D004163,Diphosphoglyceric Acids,,,,,,,False,False,False,,False,
C109526,diphosphoimidazole,,,,,,,False,False,False,,False,
C023687,diphosphoinositides,,,,,,,False,False,False,,False,
D004164,Diphosphonates,,CID:2088,,,,,False,False,False,,False,
C048494,diphosphonopentaosylceramide,103147-89-3,,,,,,False,False,False,,False,
C068259,diphosphoribosyl-adenosine monophosphate,70028-80-7,,,,,,False,False,False,,False,
C107241,diphosphoric acid,2466-09-3,,DTXSID4075035,XPPKVPWEQAFLFU-UHFFFAOYSA-N,,,False,False,False,,False,
C547289,diphosphoric acid 1-glucopyranosyl ester 2-((2-thio)uridin-5'-yl) ester,,,,,,,False,False,False,,False,
C049596,diphosphoryl lipid A,,,,,,,False,False,False,,False,
C472007,diphoterine,,,,,,,False,False,False,,False,
C027527,diphthamide,75645-22-6,,,,,,False,False,False,,False,
D004166,Diphtheria Antitoxin,,,,,,,False,False,False,,False,
C122182,diphtheria-tetanus-acellular pertussis-Hib-hepatitis B vaccine,,,,,,,False,False,False,,False,
C541235,diphtheria-tetanus-acellular pertussis-inactivated poliovirus-Haemophilus influenzae b conjugate-hepatitis B vaccine,,,,,,,False,False,False,,False,
D022681,Diphtheria-Tetanus-acellular Pertussis Vaccines,,,,,,,False,False,False,,False,
C541234,diphtheria-tetanus-five component acellular pertussis-inactivated poliomyelitis -Haemophilus influenzae type b conjugate vaccine,,,,,,,False,False,False,,False,
C080881,diphtheria-tetanus-pertussis-haemophilus b conjugate vaccine,,,,,,,False,False,False,,False,
D015721,Diphtheria-Tetanus-Pertussis Vaccine,,,,,,,False,False,False,,False,
D022422,Diphtheria-Tetanus Vaccine,,,,,,,False,False,False,,False,
D004167,Diphtheria Toxin,,,,,,,False,False,False,,False,
C029795,diphtheria toxin fragment A,,,,,,,False,False,False,,False,
C039171,diphtheria toxin fragment B,,,,,,,False,False,False,,False,
C407154,"diphtheria toxin-interleukin-3 fusion protein, recombinant",,,,,,,False,False,False,,False,
C069655,diphtheria toxin-related-alpha-melanocyte-stimulating hormone fusion toxin,,,,,,,False,False,False,,False,
C076961,diphtheria toxin-related-murine interleukin-4-fusion toxin,,,,,,,False,False,False,,False,
D004168,Diphtheria Toxoid,,,,,,,False,False,False,,False,
C027529,diphthine,75645-23-7,,,,,,False,False,False,,False,
C010130,diphyllin,,,,,,,False,False,False,,False,
C103138,diphyllin acetyl apioside,111647-42-8,,,,,,False,False,False,,False,
C470265,diphylloside B,118544-18-6,,,,,,False,False,False,,False,
C107331,diphytanoylphosphatidylethanolamine,,,,,,,False,False,False,,False,
C512560,dipicolinatodioxovanadium(V),,,,,,,False,False,False,,False,
C525541,"(dipicolinato-kappa(3)O,N,O')(1H-imidazole-kappaN(3))(1,10-phenanthroline-N,N')manganese(II)",,,,,,,False,False,False,,False,
C004860,dipicolinic acid,499-83-2,,DTXSID7022043,WJJMNDUMQPNECX-UHFFFAOYSA-N,,,False,False,False,,False,
C520963,dipicolylcyanine,,,,,,,False,False,False,,False,
C011454,dipicrylamine,131-73-7,,,,,,False,False,False,,False,
C007526,dipin,738-99-8,CID:96563,DTXSID50224219,RWNNRGBCWXOVAC-UHFFFAOYSA-N,,,False,False,False,,False,
C060938,dipinacoline glutamate,123729-01-1,,,,,,False,False,False,,False,
C007527,dipipanone,467-83-4,,DTXSID50894759,SVDHSZFEQYXRDC-UHFFFAOYSA-N,,,False,False,True,,False,drugcentral_cas_or_inn
C475903,dipiperamide D,,,,,,,False,False,False,,False,
C475902,dipiperamide E,,,,,,,False,False,False,,False,
C023791,dipiperidinoethane,1932-04-3,,,,,,False,False,False,,False,
C036080,dipiperidinoethane-di-N-oxide,68601-52-5,,,,,,False,False,False,,False,
C089721,dipitramine,,,,,,,False,False,False,,False,
C015174,dipivaloylisoproterenol,65114-85-4,,,,,,False,False,False,,False,
C014515,dipivaloylmethane,1118-71-4,CID:70700,DTXSID7049396,YRAJNWYBUCUFBD-UHFFFAOYSA-N,,,False,False,False,,False,
C015175,dipivaloylnorepinephrine,65114-84-3,,,,,,False,False,False,,False,
C430882,dipivalyl terbutalone,,,,,,,False,False,False,,False,
C015173,dipivefrin,52365-63-6,,DTXSID1048544,OCUJLLGVOUDECM-UHFFFAOYSA-N,,,False,False,True,,False,drugcentral_cas_or_inn
C004268,diplacin,19918-85-5,,,,,,False,False,False,,False,
C000597874,diplacone,,,,,,,False,False,False,,False,
C568734,diplasterioside A,,,,,,,False,False,False,,False,
C568735,diplasterioside B,,,,,,,False,False,False,,False,
C000713254,diplatin,,,,,,,False,False,False,,False,
C511026,diplobifuranylone A,,,,,,,False,False,False,,False,
C511027,diplobifuranylone B,,,,,,,False,False,False,,False,
C077448,diploceline,69306-89-4,,,,,,False,False,False,,False,
C478926,diplodialide A,,,,,,,False,False,False,,False,
C456848,diplodiatoxin,,,,,,,False,False,False,,False,
C023783,diplodiol,69199-05-9,,,,,,False,False,False,,False,
C582796,diplomorphanin A,,,,,,,False,False,False,,False,
C582795,diplomorphanin B,,,,,,,False,False,False,,False,
C568540,diplonine,,,,,,,False,False,False,,False,
C000599084,diplopimarane,,,,,,,False,False,False,,False,
C028765,diploptene,1615-91-4,,,,,,False,False,False,,False,
C029766,diplopterol,1721-59-1,,,,,,False,False,False,,False,
C475235,diplopyrone,,,,,,,False,False,False,,False,
C562203,diplotasin,,,,,,,False,False,False,,False,
C562200,diplotrin A,,,,,,,False,False,False,,False,
C562201,diplotrin B,,,,,,,False,False,False,,False,
C562202,diplotrin C,,,,,,,False,False,False,,False,
C533293,"di(p-methoxybenzyl)-N,N-diisopropylphosphoramidite",,,,,,,False,False,False,,False,
C514604,dipodazine,,,,,,,False,False,False,,False,
C522257,di-(polyethylene glycol)-avidin-biotin-octa(ethyleneimine),,,,,,,False,False,False,,False,
C010366,diponium,58875-33-5,,,,,,False,False,False,,False,
C038067,dipotassium magnesium dioxalate,65877-79-4,,,,,,False,False,False,,False,
C110376,dipotassium pentachloronitrosylruthenate,,,,,,,False,False,False,,False,
