time_ps,core_rmsd_vs_40ns_after_protein_fit_A,core_internal_rmsd_vs_40ns_A,branch1_rmsd_vs_40ns_after_core_fit_A,branch2_rmsd_vs_40ns_after_core_fit_A,com_drift_vs_40ns_A,com_displacement_vs_minimized_A,pair_retention_vs_40ns,pocket_residue_fraction_vs_40ns,nearest_distance_to_40ns_pocket_A,pair_retention_vs_minimized,pocket_residue_fraction_vs_minimized,nearest_distance_to_minimized_pocket_A
6.283000018732171884e+04,1.232123394399848859e+00,6.843953159907469053e-02,1.035785495607116191e+00,2.643770196501233016e+00,1.220845248723450682e+00,1.142407204479892080e+00,4.285714285714285476e-01,1.000000000000000000e+00,3.569867053880223740e+00,0.000000000000000000e+00,1.666666666666666574e-01,4.042106279420276671e+00
6.284000018735153571e+04,1.438552016273958012e+00,4.776361375267302450e-02,9.166461339825722199e-01,1.619262354155196926e+00,9.232753664652738612e-01,8.631746139995049028e-01,5.238095238095238360e-01,8.333333333333333703e-01,3.568624322897115508e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.597917306038564078e+00
6.285000018738134531e+04,1.571618281815400309e+00,3.771044984744857664e-02,1.181596009789730450e+00,1.910770780255733436e+00,1.278814477867572075e+00,1.126076485810445726e+00,3.333333333333333148e-01,8.333333333333333703e-01,3.857711233071655865e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.795130990263263726e+00
6.286000018741116219e+04,1.046872561973863913e+00,5.785718967993800504e-02,1.093351894299234850e+00,1.739456054320589029e+00,8.224283924630980680e-01,7.556782968638351417e-01,3.809523809523809312e-01,8.333333333333333703e-01,3.418078860133304087e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.418078860133304087e+00
6.287000018744097906e+04,1.272297327052400950e+00,5.479446337057597427e-02,1.152096395221521963e+00,1.992272168871575877e+00,8.284555226422626317e-01,6.133264446581521145e-01,1.428571428571428492e-01,6.666666666666666297e-01,3.732871971578197279e+00,0.000000000000000000e+00,1.666666666666666574e-01,4.044312389392276330e+00
6.288000018747078866e+04,1.037395848121261510e+00,8.420807111247866072e-02,1.863303641005532141e+00,1.419086795706904880e+00,9.865750253991719676e-01,9.095831151056610331e-01,2.380952380952380820e-01,8.333333333333333703e-01,3.599981627600680412e+00,4.166666666666666435e-02,3.333333333333333148e-01,4.090925911458286990e+00
6.289000018750060553e+04,9.341417028444964910e-01,5.165068996408134910e-02,1.689459644978991371e+00,1.710580377482979531e+00,1.110364770891495656e+00,1.058334213482943875e+00,3.333333333333333148e-01,8.333333333333333703e-01,3.571553977369667621e+00,0.000000000000000000e+00,1.666666666666666574e-01,4.421072686314419187e+00
6.290000018753041513e+04,9.154907154226382682e-01,6.813563062379379698e-02,1.049047998002915483e+00,1.503877446794181560e+00,7.007325141835688553e-01,5.295170565329180290e-01,3.809523809523809312e-01,1.000000000000000000e+00,3.622522321801553868e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.723643459046072302e+00
6.291000018756023201e+04,6.934012407051394211e-01,5.539472269081947148e-02,6.947662080113088390e-01,1.508911621336629594e+00,7.981501970865799711e-01,6.851630259002476908e-01,7.142857142857143016e-01,1.000000000000000000e+00,3.351562597060833593e+00,4.166666666666666435e-02,3.333333333333333148e-01,4.027216807036619883e+00
6.292000018759004888e+04,9.503406970176890844e-01,3.674260156177147629e-02,6.272502711737676373e-01,1.523305408404922012e+00,1.080878953093797668e+00,9.449657915989114754e-01,4.285714285714285476e-01,1.000000000000000000e+00,3.394377119114962316e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.394377119114962316e+00
6.293000018761985848e+04,9.411132304895352130e-01,5.097039858651073591e-02,1.530495932275690585e+00,1.584035185040353788e+00,6.805415086948118919e-01,7.251123086772464088e-01,6.190476190476190688e-01,1.000000000000000000e+00,3.410673045256126468e+00,0.000000000000000000e+00,1.666666666666666574e-01,4.024967643508215787e+00
6.294000018764967535e+04,6.189835628754379870e-01,7.252071164445213214e-02,7.543754090016623337e-01,1.978080240179074467e+00,5.223360158345344839e-01,3.912276017454068278e-01,4.285714285714285476e-01,1.000000000000000000e+00,3.761560275868747638e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.908926048963966782e+00
6.295000018767949223e+04,1.201147821326493892e+00,6.477133510564613006e-02,6.372068790979799058e-01,1.903905496276768528e+00,9.875243339011254839e-01,8.163994956480198351e-01,3.809523809523809312e-01,1.000000000000000000e+00,3.733307908560590249e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.653861612674149661e+00
6.296000018770930183e+04,1.238819986482304847e+00,6.079933962161022248e-02,1.939671435328769622e+00,3.045441197896478158e+00,3.293302928485209446e-01,4.701097020212337552e-01,4.761904761904761640e-01,8.333333333333333703e-01,3.692207674108378690e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.692207674108378690e+00
6.297000018773911870e+04,1.197104196446769242e+00,4.912022139446052538e-02,1.098665831100317458e+00,1.462130682058840891e+00,9.771837218912347023e-01,9.579136735077079523e-01,5.238095238095238360e-01,1.000000000000000000e+00,3.751241558823214195e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.847712139993996860e+00
6.298000018776892830e+04,1.041404401461563545e+00,6.331607785871452843e-02,8.117430556410757392e-01,1.418640192964021329e+00,9.736195405388390345e-01,9.115906496646410950e-01,4.285714285714285476e-01,8.333333333333333703e-01,3.759238569947922048e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.854279893726958228e+00
6.299000018779874517e+04,1.154408106472347484e+00,4.417913925176141648e-02,7.142529812723173999e-01,1.359863122542602998e+00,9.726626237043407563e-01,8.315610821412021680e-01,4.761904761904761640e-01,8.333333333333333703e-01,3.945623246892611569e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.973370686679102537e+00
