time_ps,protein_ca_rmsd_A,ligand_rmsd_A,ligand_com_displacement_A
4.200000012521903727e+02,1.324570921268936941e+00,3.855207096338607808e+00,1.962600584216522392e+00
4.300000012820044617e+02,1.322296203101276157e+00,3.749064437118552195e+00,1.940638954295254015e+00
4.400000013118184938e+02,1.226735253345811572e+00,3.901196603505385330e+00,2.024494819496567732e+00
4.500000013416325828e+02,1.196605120170660008e+00,3.728279311448829070e+00,1.815961547339676407e+00
4.600000013714466149e+02,1.077850692393526044e+00,3.792922537939885430e+00,2.022005771626461890e+00
4.700000014012607039e+02,1.161165498369672200e+00,3.844557353636455233e+00,2.524553890865611994e+00
4.800000014310747360e+02,1.165719393670132220e+00,3.697981458336097038e+00,1.807317349003701112e+00
4.900000014608887682e+02,1.204694107193632124e+00,3.481092341269083068e+00,1.672299117490339881e+00
5.000000014907028572e+02,1.142534540747958127e+00,3.696631496480862644e+00,2.163309246655023887e+00
5.100000015205168893e+02,1.142341200536731716e+00,3.716114648349248650e+00,2.006678584515415587e+00
5.200000015503309214e+02,1.143870834144618431e+00,3.786038011050908203e+00,2.140377793285651364e+00
5.300000015801450672e+02,1.207535290333801692e+00,3.704235093078766639e+00,2.205849716512214620e+00
5.400000016099590994e+02,1.112927861822201159e+00,3.976227336867377282e+00,2.452591489694660343e+00
5.500000016397731315e+02,1.123808528140577634e+00,3.672160640319520830e+00,2.425307699392498684e+00
5.600000016695871636e+02,1.050958021416935617e+00,3.722850725864485621e+00,2.254705120712562572e+00
5.700000016994011958e+02,1.158304292582828188e+00,3.552989978429774709e+00,1.990785626855497092e+00
5.800000017292153416e+02,1.130496786067008541e+00,3.464558843241116293e+00,1.780276844279416126e+00
5.900000017590293737e+02,1.126170781516392827e+00,3.584930252758948388e+00,2.052277453906911298e+00
6.000000017888434058e+02,1.114928849588490589e+00,3.510150432576523816e+00,1.994230642427835098e+00
6.100000018186574380e+02,1.156003312177758868e+00,3.566238471858798942e+00,2.097156030734576682e+00
6.200000018484715838e+02,1.094877040958884384e+00,3.487610018309370563e+00,1.796421031514536137e+00
6.300000018782856159e+02,1.192821333534186179e+00,3.701877082103915750e+00,2.275870720167582739e+00
6.400000019080996481e+02,1.149113336487307624e+00,3.693370272671382626e+00,2.194102286223438281e+00
6.500000019379136802e+02,1.151781102074660446e+00,3.509087946545675685e+00,1.904651655919576969e+00
6.600000019677277123e+02,1.100022874471309198e+00,3.721460171992959420e+00,2.345733725322991070e+00
6.700000019975418581e+02,1.050159669068629897e+00,3.609546384248505380e+00,2.195768010494958844e+00
6.800000020273558903e+02,1.152678471825747009e+00,3.483625062724313270e+00,2.112678322046075863e+00
6.900000020571699224e+02,1.113114240130142152e+00,3.437694106561749230e+00,2.025689062939569851e+00
7.000000020869839545e+02,1.183291104586406739e+00,3.406099531299888294e+00,1.892181792421073760e+00
7.100000021167981004e+02,1.094602779311207197e+00,3.794627759614837004e+00,2.122708932544733251e+00
7.200000021466121325e+02,1.188377977139236652e+00,3.237644794671312720e+00,1.507509894686541285e+00
7.300000021764261646e+02,1.212030305085102011e+00,3.694242526861368781e+00,2.128413679385023016e+00
7.400000022062401968e+02,1.295997151688324411e+00,3.389450964049690374e+00,1.723147341705443036e+00
7.500000022360542289e+02,1.256497481248765702e+00,3.468724437809986849e+00,1.597507316935592891e+00
7.600000022658683747e+02,1.316703830345238524e+00,3.552679593292043414e+00,1.917549401269525333e+00
7.700000022956824068e+02,1.105664685358997534e+00,3.548127799853019848e+00,1.682528274286176018e+00
7.800000023254964390e+02,1.216069486539291811e+00,3.478466992103840916e+00,1.816202242669414435e+00
7.900000023553104711e+02,1.199408609136948023e+00,3.505485550087296343e+00,1.615620535119248524e+00
8.000000023851246169e+02,1.186077147772945484e+00,3.580128333161527898e+00,1.993744607605409724e+00
8.100000024149386491e+02,1.197609936520492635e+00,3.732768312967654101e+00,2.255125935509931345e+00
8.200000024447526812e+02,1.164634727364410871e+00,3.581354806038631544e+00,1.935605045316062256e+00
8.300000024745667133e+02,1.219213960441943412e+00,3.612349768444107045e+00,1.973283768212922951e+00
8.400000025043807454e+02,1.070461646674190526e+00,3.535572754733830259e+00,2.030231893749439909e+00
8.500000025341948913e+02,1.134861490903748882e+00,3.616021029089510286e+00,2.230166473167476404e+00
8.600000025640089234e+02,1.219895573964178137e+00,3.262713029711878931e+00,1.933072641372235667e+00
8.700000025938229555e+02,1.114373509375914395e+00,3.609174468012866566e+00,1.873525531322285609e+00
8.800000026236369877e+02,1.209261663920715435e+00,3.705079155487198239e+00,1.866954763476124324e+00
8.900000026534510198e+02,1.170036159179699942e+00,3.805045310991737928e+00,2.012043004899458420e+00
9.000000026832651656e+02,1.240341048047866490e+00,3.748447279464429460e+00,2.156703234558645210e+00
9.100000027130791977e+02,1.242046673516072675e+00,3.703378880429642805e+00,2.364003201834002255e+00
9.200000027428932299e+02,1.168506079073040160e+00,3.600328614115780201e+00,2.120212969485675281e+00
9.300000027727072620e+02,1.232573522124884580e+00,3.604674883473534042e+00,1.983332806774552370e+00
9.400000028025214078e+02,1.229234118726760361e+00,3.547681577017457677e+00,2.064481028116288197e+00
9.500000028323354400e+02,1.176772308809251877e+00,3.581674459938406496e+00,1.855964010518025731e+00
9.600000028621494721e+02,1.236458276071692453e+00,3.782043761418730554e+00,2.200528778089286597e+00
9.700000028919635042e+02,1.235536095061912309e+00,3.686316177570556185e+00,2.255299466652959772e+00
9.800000029217775364e+02,1.206956887727777872e+00,3.476029114842318357e+00,1.985281520698872759e+00
9.900000029515916822e+02,1.221404549462982825e+00,3.810352285407580641e+00,2.205116739460667219e+00
1.000000002981405714e+03,1.299390467681391881e+00,3.681222140799590647e+00,2.189021198209300856e+00
1.010000003011219746e+03,1.336965310788145844e+00,3.834577996567844149e+00,2.419507395479636891e+00
1.020000003041033779e+03,1.217910874423923984e+00,3.789658539011381500e+00,2.191296908447502911e+00
1.030000003070847924e+03,1.183152075037469997e+00,4.196029119164410126e+00,2.633601098068569790e+00
1.040000003100661843e+03,1.161128338206026678e+00,3.605040704143819497e+00,1.924175317833670018e+00
1.050000003130475989e+03,1.328136584797427133e+00,4.109685842376041620e+00,2.348513542457036252e+00
1.060000003160290134e+03,1.346740596370498588e+00,3.701479135876962978e+00,2.044822923581052443e+00
1.070000003190104053e+03,1.319528483084213777e+00,3.877386082158857494e+00,1.908789627883854312e+00
1.080000003219918199e+03,1.330986112140875255e+00,3.998970729356978726e+00,1.970134077511966675e+00
1.090000003249732117e+03,1.239981659385275492e+00,4.138788097842668101e+00,2.077796142147170233e+00
1.100000003279546263e+03,1.231539514232120824e+00,3.878608013102423868e+00,1.822117413095789784e+00
1.110000003309360409e+03,1.201652426819367792e+00,3.977719993870475701e+00,1.744331938903418200e+00
1.120000003339174327e+03,1.211865111244261772e+00,3.878331211337494366e+00,1.596815912543536387e+00
1.130000003368988473e+03,1.147478997151166524e+00,3.903800584392358441e+00,1.837878290024276273e+00
1.140000003398802392e+03,1.173761813184421188e+00,3.879104563989486998e+00,1.812261559226008956e+00
1.150000003428616537e+03,1.232477835512154396e+00,3.707988750848499215e+00,1.777523420602520110e+00
1.160000003458430683e+03,1.184030189525625998e+00,3.590406063744164822e+00,1.546413030455556337e+00
1.170000003488244602e+03,1.187821688372351803e+00,3.928931328062963413e+00,2.056747130086902686e+00
1.180000003518058747e+03,1.245003483386106780e+00,3.834185729617020755e+00,1.838716186687339160e+00
1.190000003547872893e+03,1.265902674483945223e+00,3.746647671921623957e+00,1.949201488468565335e+00
1.200000003577686812e+03,1.157040584895886681e+00,4.065878461722634896e+00,1.856040096780660509e+00
1.210000003607500958e+03,1.153598607298464973e+00,3.880711893876354956e+00,1.840071495464550289e+00
1.220000003637314876e+03,1.151801356885293393e+00,4.107433746746448122e+00,1.999368597039032247e+00
1.230000003667129022e+03,1.155588622590676406e+00,4.256932922065129077e+00,2.499284488546331673e+00
1.240000003696943168e+03,1.255564268254273363e+00,3.951036790269676580e+00,2.027068728636266748e+00
1.250000003726757086e+03,1.200297040903611334e+00,4.165347752679145366e+00,2.310968277039370466e+00
1.260000003756571232e+03,1.210505839277895346e+00,3.769761180980593096e+00,1.596237426099483825e+00
1.270000003786385150e+03,1.180603072203003867e+00,3.756271629217507790e+00,1.372445169035035883e+00
1.280000003816199296e+03,1.213584212388233219e+00,3.836170497050275241e+00,1.915670981154036223e+00
1.290000003846013442e+03,1.256494295222041480e+00,3.829567772564313799e+00,1.832581561324910124e+00
1.300000003875827360e+03,1.266596013483446637e+00,4.085454527176371364e+00,2.217017226364407012e+00
1.310000003905641506e+03,1.279790972155057549e+00,3.799137899971591459e+00,1.769744479855899222e+00
1.320000003935455425e+03,1.201332159891012497e+00,4.060010534458425191e+00,2.306132107981616830e+00
1.330000003965269570e+03,1.248368797323867740e+00,3.893449075994317443e+00,2.093328115198985984e+00
1.340000003995083716e+03,1.158045127689844023e+00,3.998749085720582297e+00,1.957029338934852314e+00
1.350000004024897635e+03,1.265849826774017028e+00,3.892200774271621366e+00,2.384304065122095917e+00
1.360000004054711781e+03,1.304886379547939068e+00,3.845304857050456881e+00,2.091733703639830910e+00
1.370000004084525699e+03,1.256540725366799283e+00,4.034709208982348194e+00,2.629625085041389809e+00
1.380000004114339845e+03,1.285357782165707174e+00,4.121843725924309254e+00,2.832047057030668391e+00
1.390000004144153991e+03,1.408635690571714338e+00,4.187165178243025032e+00,2.476647546195743566e+00
1.400000004173967909e+03,1.270475039554711971e+00,4.251990297931115492e+00,2.508475482719466854e+00
1.410000004203782055e+03,1.309825900877418681e+00,4.381812133716248781e+00,2.645735121077659624e+00
1.420000004233596201e+03,1.264018459120991533e+00,4.239455702784493241e+00,2.426874106991626867e+00
1.430000004263410119e+03,1.291451266485650562e+00,4.275328210024744280e+00,2.760733982001133402e+00
1.440000004293224265e+03,1.276137484529691113e+00,3.898256716297562097e+00,2.194821085843993824e+00
1.450000004323038183e+03,1.302271173716270880e+00,3.850951904315353058e+00,2.192617053526200621e+00
1.460000004352852329e+03,1.256153825927009748e+00,4.109797946467243612e+00,2.546549116868068730e+00
1.470000004382666475e+03,1.247802345445025773e+00,4.063046981971836225e+00,2.392868154122362867e+00
1.480000004412480394e+03,1.180290133972367483e+00,4.084720061495879406e+00,2.118964244302454336e+00
1.490000004442294539e+03,1.191908342284938804e+00,4.075318213219662589e+00,2.338018808050960740e+00
1.500000004472108458e+03,1.319575136406485827e+00,4.046090485995062380e+00,2.361645172492077727e+00
1.510000004501922604e+03,1.234461937881354832e+00,3.995888444766242831e+00,2.137863056744150558e+00
1.520000004531736749e+03,1.192251602669470723e+00,4.139311399575237083e+00,2.418065158480779520e+00
1.530000004561550668e+03,1.196553923005156950e+00,3.743280236207787048e+00,1.686042496396555901e+00
