condition,sender_state,receiver_state,ligand,receptor,pathway,category,sender_cells,receiver_cells,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present
tumor,tumor_epithelial,C1QC_like_TAM,IL18,IL18R1+IL18RAP,IL-related,Secreted Signaling,2212,208,0.31237587332725525,0.3481012658227849,5.991065988131858e-08,6.933752452815367e-08,2.125336793615625e-08,1,2
tumor,tumor_epithelial,C1QC_like_TAM,IL12A+IL12B,IL12RB1+IL12RB2,IL-related,Secreted Signaling,2212,208,3.865738998413231e-08,5.625439504630119e-08,0.01726030951782096,0.024981502032243426,9.68340412286184e-10,2,2
tumor,tumor_epithelial,C1QC_like_TAM,EGF,EGFR,EGF,Secreted Signaling,2212,208,0.011512744240462777,0.02034358047016275,0.030010674148797985,0.04807692307692307,0.0005813120588757372,1,1
tumor,tumor_epithelial,C1QC_like_TAM,TGFA,EGFR,EGF,Secreted Signaling,2212,208,0.08255229890346526,0.13200723327305608,0.030010674148797985,0.04807692307692307,0.003965241643742471,1,1
tumor,tumor_epithelial,C1QC_like_TAM,HBEGF,EGFR,EGF,Secreted Signaling,2212,208,0.07280101627111435,0.10849909584086799,0.030010674148797985,0.04807692307692307,0.003375887680216278,1,1
tumor,tumor_epithelial,C1QC_like_TAM,AREG,EGFR,EGF,Secreted Signaling,2212,208,0.2467597275972366,0.2278481012658228,0.030010674148797985,0.04807692307692307,0.009006707443341236,1,1
tumor,tumor_epithelial,C1QC_like_TAM,EREG,EGFR,EGF,Secreted Signaling,2212,208,0.05681201815605163,0.060126582278481014,0.030010674148797985,0.04807692307692307,0.002220033745413652,1,1
tumor,tumor_epithelial,C1QC_like_TAM,MIF,CD74+CXCR4,MIF,Secreted Signaling,2212,208,1.6961292028427124,0.825497287522604,2.059440768449671,0.7522156621387671,1.4727638984034335,1,2
tumor,tumor_epithelial,C1QC_like_TAM,MIF,CD74+ACKR3,MIF,Secreted Signaling,2212,208,1.6961292028427124,0.825497287522604,0.22437760436200224,0.09711062440732766,0.17466682172172557,1,2
tumor,tumor_epithelial,C1QC_like_TAM,C3,C3AR1,Complement,Secreted Signaling,2212,208,0.07572488486766814,0.10804701627486438,0.7832002639770508,0.6057692307692307,0.0623039695625425,1,1
tumor,tumor_epithelial,C1QC_like_TAM,C5,C5AR1,Complement,Secreted Signaling,2212,208,0.01362939551472664,0.023960216998191678,0.5291237831115723,0.46634615384615385,0.008976695874701702,1,1
tumor,tumor_epithelial,C1QC_like_TAM,C5,C5AR2,Complement,Secreted Signaling,2212,208,0.01362939551472664,0.023960216998191678,0.09444171935319899,0.09134615384615384,0.0016784590353915315,1,1
tumor,tumor_epithelial,C1QC_like_TAM,GAS6,AXL,GAS,Secreted Signaling,2212,208,0.19954122602939606,0.2590415913200723,0.5392821431159973,0.4567307692307692,0.11283380220859397,1,1
